Original,Translate,Translate_GPT_1
"Sì pensa che•lla faccie ben servire,","Assurez-vous que vous avez bien servi,",s'assurer que vous vous êtes satisfait adéquatement.
Né•ttu da•llei giamai non ti partire.,Et tu ne t'éloigneras jamais d'elle.,Et tu ne te sépareras jamais d'elle.
"Dàlle vivanda, c’a piacier le sia,","Donne-lui à manger, qu'elle aime bien.","Offrez sa nourriture, afin qu'elle soit heureuse"
"E po’ sì•lle dirai: “Anima mia,","Et tu lui diras : ""Mon âme,","Et puis tu vas dire, ""Mon coeur,"""
Istanotte ti tenni in mio dormire,"Hier soir, dans mon rêve, je t'ai gardée.","Hier soir, dans mon rêve, je t'ai serré dans mes bras."
"Intra.lle braccia sana, al me’ disire:","dans mes bras sains, à mon désir:","dans mes bras en bonne santé, à mon désir."
"Molto mi fecie Idio gran cortesia,","Dieu m'a fait une grande courtoisie,",Dieu m'a accordé une grande bonté.
Che mi mostrò sì dolze avisione”.,qui m'a montré une si belle vision.,que j'avais une vue si tendre.
"Po’ dica, ch’ella l’oda, come sagio,","Alors dis, que tu l'écoutes, comme un homme sage,","Alors vous dites, que vous l'écoutez, comme un homme sage."
"Che per lei fara’ far gran prociessione,",qui fera une grande procession pour elle,que pour elle fera une grande parade
"O•ttu n’andra’ in lontan pellegrinagio,","ou que vous allez dans un long pèlerinage,","que vous preniez un long voyage,"
Se Giesocristo le dà guerigione.,si Jésus-Christ la guérit.,si Jésus-Christ le guérit.
"Così avrai il su’ amor, e ’l su’ coragio».","Donc, vous aurez son amour et son courage","De cette façon, vous gagnerez son affection et son audace."
"Quand’ebi inteso Amico, che leale","Quand j'ai compris Ami, quel fidèle","Quand j'ai entendu Ami, comme c'était loyal"
"Consiglio mi dava, a su’ podere,","Il m'a donné des conseils, en son pouvoir","Il m'a donné des conseils, à son meilleur."
"I’ sì•lli dissi: «Amico, il mi’ volere","Je lui ai dit : ""Mon Dieu, ma volonté.""","Je lui ai dit: Camarade, mon vœu"
"Non fu unquanche d’esser disleale,",Ce n'était jamais censé être déloyal.,Il n'a jamais dû être trompeur.
"Né piaccia a Dio, ch’i’ sia condotto a tale,",Dieu n'aime pas que je sois conduit à une telle,Qu'il ne soit pas accordé à Dieu que je sois conduit à une telle
"Ch’i’ a le gienti mostri benvolere,",que je montre de la gentillesse aux gens,que je montre de la gentillesse aux gens
"E servali del corpo, e dell’avere,",et des serviteurs du corps et d'avoir,et dépendant du corps et de la richesse
Ched i’ pensase poi di far lor male.,Et puis j'ai pensé que je leur ferais du mal.,Et puis j'envisagerais de lui faire du mal.
Ma sòffera ch’i’ avante disfidi,"Mais d'abord, laissez-moi défier.","Tout d'abord, laissez-moi défier."
"E Mala-Bocca, e tutta sua masnada,","Mishaps et toute sa bande,",Le mal et son groupe.
"Sì che neuno in me giamai si fidi,",que personne en moi ne me fait jamais confiance,que personne ne me fait jamais confiance
Po’ penserò di metterli a la spada».,Alors je vais penser à les mettre à l'épée.,Alors j'envisage de les armer de l'épée.
"Que’ mi rispuose: «Amico, mal ti guidi:","Il m'a dit : ""Tu as tort.","Il m'a dit : ""Camarade, mais tu as tort."
Cotesta sì nonn-è la dritta strada.,Ce n'est pas la bonne façon.,Ce n'est pas la voie appropriée.
"A te sì non convien far disfidaglia,","Tu ne veux pas relever ce défi,",Il n'est pas conseillé pour vous de relever ce défi.
Se•ttu vuo’ ben civir di questa guerra.,Si vous voulez mettre fin à cette guerre.,Si vous voulez mettre fin à cette guerre avec bonheur.
"Lasciala far a’ gran’ signior’ di terra,",Que les grands maîtres de la terre le fassent.,Laissez les dirigeants de la terre.
Che posson soferir oste e battaglia.,qui peuvent se permettre l'armée et les batailles!,Qu'ils puissent financer l'armée et les escarmouches !
"Mala-Bocca, che così ti travaglia,","Malabocia, qui vous tourmente,","Malheur, qui vous afflige,"
È traditor: chi ’l tradiscie non erra.,C'est un traître: celui qui le trahit ne s'égare pas;,Il est infidèle: ceux qui l'aiment ne font pas d'erreur.
"Chi con falsi senbianti no•ll’aferra,","qui ne le capture pas avec de fausses apparences,",Celui qui ne le trompe pas par de fausses prétentions.
Il su’ buon giocho mette a ripentaglia.,Il met son bon jeu en danger.,menace sa bonne réputation.
"Se•ttu lo sfidi, o batti, e’ griderà,","Si vous le défiez ou le frappez, il criera,","Si vous le défiez ou l'attaquez, il criera."
Chéd egli è di natura di mastino:,parce qu'il est de nature masmineuse,Parce qu'il est tenace dans la nature
"Chi più ’l minaccia, più gli abaierà.","Plus il le menace, plus il l'aboie.","Plus il le menace, plus il lui crie dessus."
"Chi Mala-Bocca vuol metter al chino,",Celui qui veut conquérir Malabocia,Quiconque veut soumettre Malabocia
"Sed egli è sagio, egli•lusingherà:","Il le flattera, s'il est sage,",Il le flattera s'il est sage.
Ché cierto sie quell’è ’l dritto camino».,Je suis sûr que c'est la bonne façon.,qu'il est indiscutable qu'il s'agisse de la manière appropriée.
"«Po’ mi convien ovrar di tradigione,","""Alors je ferais mieux d'opérer selon la tradition,","""Alors il est préférable pour moi d'agir selon la coutume,"
"E a•tte pare, Amico, ch’i’ la faccia,","Et il te semble, mec, que je vais le faire,","Il vous semble, camarade, que je l'engage."
"I’ la farò,   come ch’ella mi spiaccia,","Je vais le faire, comme si je n'aimais pas ça.","Je le ferai, malgré ma dissidence."
Per venir al di su di quel cagnione.,Pour venir au-dessus de ce chien,Pour passer devant ce chien
"Ma sì•tti priego, gientil conpagnione,","Mais s'il te plaît, gentil compagnon,","S'il vous plaît, adorable compagnon,"
"Se•ssai alcuna via, che•ssia più avaccia,","S'il y a un moyen, qu'il soit plus rapide.","S'il y a un chemin, qu'il soit plus rapide"
"Per Malabocca e suo’ metter in caccia,",pour chasser Malabocia et la sienne,Exorciser Malabocia et la sienne
"E trar Bellacoglienza di pregione,",Et la réception gratuite de Bell en prison,Et la réception gratuite de Bell de la prison
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,",Tu m'apprends et je m'en vais.,Que tu m'apprennes et que je vais y aller
"E menerò   comeco tal aiuto,",et j'apporterai cette aide initiale,et je fournirai ce soutien initial
Ched i’ quella forteza abatterò».,Parce que cette forteresse que je vais enterrer,Parce que cette forteresse s'est effondrée
"«E’ nonn-à guari ch’i’ ne son venuto»,","""Ce n'est pas grand chose que je suis venu de là,""",Je n'ai pas été comme ça depuis longtemps.
"Rispuose Amico, «ma ’l ver ti dirò,","répondit l'Ami, mais je vous dirai la vérité,","L'ami répondit, mais je vous révélerai la vérité."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","que si je partais, je regrettais","que si j'y vais, je regrette"
"S’uom apella il camin Troppo-Donare,",Si un homme appelle la cheminée Too-Donate,Si un homme appelle l'Abondance-Don de Cheminée.
"E’ fu fondato per Folle-Largheza,",a été construit pour Folle-Largheza,Il a été construit pour Extreme-Ampiezza
"L’entrata guarda madonna Richeza,",la grotte regarde Madonna Wealth,L'entrée regarde Mme Abondance.
"Che non i lascia nessun huon passare,",Ça ne laisse passer personne.,Ça ne permet à personne de passer.
"S’e’ nonn-è su’ parente, o su’ conpare,","S'il n'est pas son parent, ou son partenaire","S'il n'est pas un consanguine, ou son ami"
"Già tanto nonn-avrebe in sé belleza,","Peu importe à quel point elle est belle,","Peu importe à quel point elle peut être attirante,"
"Cortesia, né saver, né gientileza,","Avec courtoisie, ni la connaissance, ni la bonté.","Avec courtoisie, ni la connaissance, ni la bonté."
Ched ella gli degniasse pur parlare.,qu'elle ne mériterait que de lui parler,qu'elle ne l'accorderait qu'à parler
"Se puo’ per quel camin trovar   passagio,",si ce chemin peut trouver un passage,Si ce chemin peut trouver un moyen d'entrer.
"Tu•ssì abattera’ tosto il castello,",Tu feras bientôt descendre le château.,Vous allez bientôt démolir le manoir.
"Bellacoglienza trarà’ di servagio,",Belle réception sortira de la servitude,"Libération, extraction, hospitalité."
"Non vi varrà gittar   di manganello,",Tu ne pourras pas lancer des matraques.,Tu n'auras pas besoin de lancer des bâtons.
"Néd a le guardie lor folle musagio,",Ni à leurs gardes fous s'amuser,Ni à leurs gardes la joie folle
"Porte, né mura, né trar   di quadrello.","Portes, pas de murs, pas de tir carré","Portes, pas de murs, pas de treillis"
"Or sì•tt’ò detto tutta la sentenza,","Maintenant, toute la phrase est dit","Maintenant, toute la sentence a été prononcée."
Di ciò che•ssagio Amante far   dovria.,de ce qu'un amant sage devrait faire:,de ce qu'un amant sage devrait faire
"Così l’amor di lor guadagnieria,",alors l'amour les gagnera,pour que l'affection les amène
"Sanz’aver mai tra•llor malivoglienza,",Sans avoir d'amitié entre eux,Sans avoir une alliance entre eux
"Se mai trai di pregion Bellacoglienza,","Si vous libèrez la réception Bell de la prison,","Si vous libèrez Bellaccoglienca de la prison,"
"Sì fa che•ttu ne tenghi questa via,",Laisse-toi faire.,Assurez-vous de suivre ce chemin.
"Od altri menti mai non t’ameria,","Sinon, il ne t'aimerait jamais.","Sinon, il ne l'aimera jamais."
Che ch’ella ti mostrasse in aparenza.,Qu'il vous a montré en apparence,Qu'il vous montrerait dehors
"E dàlle spazio di poter andare,",Et donne-lui la liberté d'y aller.,Donne-lui la liberté de bouger.
"Colà, dove le piacie, per la villa;",partout où elle aime dans la ville;,Où qu'elle aime en ville.
Pena perduta seria   in le’ guardare:,la pénalité à regarder serait de perdre,La conséquence de l'observation serait de se disperser.
Ché•ttu teresti più tosto un’anguilla,Pourquoi t'approcherais-tu d'une anguille ?,parce que vous serreriez une anguille plus fermement
"Ben viva per la coda, e fossi in mare,","bien vivant près de la queue, même si vous étiez en mer,","Bienvenue dans la queue, même si vous étiez dans l'océan."
"Che non faresti femina, che ghilla».","Qu'est-ce qu'une femme ne ferait pas, idiote","Ce qu'une femme ne ferait pas, imbécile."
"Così mi confortò il buon Amico,",Alors le bon ami m'a réconforté.,"De cette façon, mon ami bienveillant m'a consolé."
"Po’•ssi partì da me, sanza più dire.",Puis il est parti sans un autre mot.,Puis il est parti sans autre phrase.
"Allor mi comincià’ fort’ a giechire,","À ce moment-là, j'ai commencé à être très humble.","À ce moment-là, j'ai commencé à être très humilié."
"Ver’ Mala-Bocca, il mi’ crudel nemico;","vers Malabocia, mon ennemi cruel.","Pour le Mal, mon ennemi impitoyable."
"Lo Schifo i’ sì pregiava   men ch’un fico,",Je m'en fous de la Résistance.,Je ne me souciais pas du tout de la Résistance.
Ch’egli avea gran talento di dormire;,"qui avaient un grand désir de dormir,",qui avait un grand désir de se reposer.
Vergognia si volea ben sofferire,La modestie voulait vraiment s'abstenir,L'humilité désirait sincèrement s'abstenir
"Di gueregiarmi, per cierto vi dico,","Pour m'avoir combattu, je suis sûr de te le dire.","Pour m'avoir combattu, je peux vous l'assurer."
"Ma’ e’ v’era Paura, la dottosa,","Mais il y avait la peur, la peur,","Il y avait de l'anxiété, l'angoisse."
"C’udendomi parlar tutta tremava,","Qui, m'écoutant parler, trembla partout:","qui, en m'écoutant parler, tremblait dans chaque fibre."
"Quella nonn-era punto dormigliosa,",qu'on n'était pas somnolent du tout;,Celui-là n'était pas du tout somnolent.
"In ben guardar il Fior molto pensava,","a pris grand soin de garder la Fleur,",Une grande attention a été accordée à la préservation de la Fleur.
"Vie più che•ll’altre guardi’ era curiosa,","et était plus curieux que les autres gardes,",et plus intéressé que les autres sentinelles.
Perciò che ben in lor non si fidava.,Comme il ne leur faisait pas confiance.,depuis qu'il faisait confiance en eux.
"Intorno dal castello andai ciercando,",Tout autour du château je suis allé chercher,Tout autour du manoir que je suis allé enquêter.
"Sed i’ potesse trovar quel’entrata,",Si je pouvais trouver cette entrée,Si je pouvais localiser cette porte...
"La qual Folle-Largheza avea fondata,",que Forte-Largheza avait fondé,La force qu'il avait mise en place
"Per avacciar ciò, che giva pensando.",pour accélérer ce que je pensais.,"Accélérer, ce que je méditais."
"Allor guardai, e sì vidi onbreando","Puis j'ai regardé, et j'ai regardé dans l'ombre.",Puis j'ai regardé dans les ténèbres.
"Di sotto un pin una donna pregiata,","sous un pin, une femme digne,","Sous une épinette, une femme digne de respect."
"Sì nobil mente vestita e parata,",si noblement habillé et paré,magnifiquement attiré et orné
Che tutto ’l mondo gìa di lei parlando.,que le monde entier parlait d'elle.,que le monde entier parlait d'elle.
"E sì avea in sé tanta beleza,",et avait tellement de beauté en lui,Elle était douée d'un grand charme.
Che tutto intorno lei aluminava,qui a tout éclairé autour d'elle,qui a allumé tout autour d'elle
"Chol su’ visagio, tanto avea chiareza.","avec son visage, il avait tant de clarté;","Avec son visage, il avait beaucoup de transparence."
Ed un suo amico co•llei si posava.,et une de tes amies qui était avec elle,et une de ses compagnes qui était avec elle
"La donna si avea nome Richeza,",La femme s'appelait Richeza.,Elle s'appelait Abondance.
Ma•llui non so com’altri l’apellava.,Mais je ne sais pas quel autre nom il s'appelait.,"Cependant, je ne connaissais pas son nom."
"Col capo inchino la donna salutai,","J'ai salué la femme avec la tête baissée,","J'ai salué la femme avec un arc,"
E sì•lla cominciai   a domandare,Et j'ai commencé à lui demander.,J'ai commencé à lui demander.
"Del camin, c’uomo apella Tropo-Dare.",du chemin appelé Tropo-Dare.,du chemin appelé Tropo-Try.
Quella rispose: «Già per me no ’l sai,Et elle dit: Tu ne le sauras pas de moi.,"Elle répondit: ""Tu ne l'apprendras pas de moi."
"E, se ’l sapessi, già non vi ’nterrai,","Et si tu savais, tu n'entrerais jamais,","Et si vous le connaissiez, vous n'entreriez jamais."
Chéd i’ difendo a ciaschedun l’entrare,"parce que j'interdis l'entrée à tous,",Parce que j'interdis l'accès à tout le monde.
Sed e’ nonn-à che spender e che dare.,Mais il faut dépenser et donner.,Mais il est nécessaire d'investir et de distribuer.
"Sì farai   gran saver, se•tte ne vai:","Donc, si vous êtes intelligent, vous partez,","Donc, si vous êtes intelligent, vous partez."
"C’unquanche non volesti mi’ acontanza,",Si tu ne veux pas de ma compagnie,Si tu ne désires jamais ma présence
Né mi pregiasti mai  a la tua vita.,Tu ne m'as jamais loué dans ta vie.,Tu ne m'as jamais loué dans ta vie.
"Ma or ne prenderò buona vengianza,",Mais maintenant je vais prendre ma douce vengeance :,"Maintenant, je vais me venger."
"Ché, sie ciertano, se•ttu m’ài   schernita,","afin que vous soyez sûrs si vous m'avez méprisé,","Parce que tu es absolument convaincu si tu m'as dédaigné,"
"I’ ti darò tormento e malenanza,","Je vous donnerai le châtiment et le malheur,",Je vous donnerai l'affliction et la tristesse.
Sì ch’e’ me’ ti varia avermi servita».,qu'il serait mieux pour vous de m'avoir servi,qu'il vaudrait mieux que tu m'accueilles
"«Per Dio, gientil madonna, e per merzede»,","Par Dieu, aimable dame, et par miséricorde,","Pour la Divine, gentille dame, et par pitié."
"Le dissi allor, «s’i’ ò ver’ voi fallato,","Je lui ai dit alors, si je te faisais du mal,","Je lui ai dit que si je vous causais de la douleur,"
Ched e’ vi piaccia ched e’ sia amendato,"Ce que vous aimez, c'est exact.","Ce que tu aimes, c'est approprié."
"Per me, chéd i’ ’l farò a buona fede:","pour moi, parce que je le ferai de bonne foi.","Pour moi, car je le ferai avec sincérité."
"Ch’i’ son ciertan, che ’l vostro cuor non crede",Parce que je suis sûr que ton cœur ne croit pas,Parce que je suis sûr que ton cœur ne croit pas
"Com’io dentro dal mio ne son crucciato,","Comme dans le mien, je suis affligé par elle;","Comme dans le mien, je suis affligé;"
"Ma quando vo’ m’avrete ben provato,",Mais quand tu me testes,Quand vas-tu me tester ?
"E’ sarà cierto di ciò, c’or non vede.","Et il sera certain de cela, que maintenant il ne voit pas",Il sera indiscutable de ce qui n'est pas visible maintenant.
"Per ch’i’ vi priego, che mi diate il passo,",C'est pour ça que je vous supplie de me laisser passer.,Je vous supplie de me donner la permission de passer.
Ched i’ potesse abatter il castello,Pour que je puisse descendre le château.,"Comme ça, je peux démolir le manoir."
"Di Gielosia, che m’à sì messo al basso».","de jalousie, qui m'a déposé.","de l'envie, qui m'a placé."
Quella mi disse: «Tu•ssè mio ribello:,Il me dit: Tu es mon ennemi.,Il me dit: Tu es mon adversaire.
"Per altra via andrai, ché sarà’ lasso","le long d'un autre chemin, vous irez, parce que vous serez épuisés","Sur un autre chemin tu iras, parce que tu seras épuisé."
Inanzi che n’abatti un sol crinello».,avant de briser un seul oiseau noir de la tour,Avant de démolir un seul oiseau noir de la tour
"Già no•mi valse nessuna preghera,",Je n'ai pas fait de prières.,Je n'ai rien supplié.
"Ched i’ verso Richeza far potesse,","que je pourrais faire vers Richeza,","Que je pourrais offrir à Richesa,"
"Ché poco parve ch’e’ le ne calesse,","Parce qu'il semblait qu'elle ne se souciait pas beaucoup,",Parce qu'elle semblait indifférente.
Sì•lla trovai ver’ me crudel e fera.,Je l'ai trouvée si cruelle envers moi.,Si impitoyable que je l'ai trouvée sur moi.
"Lo Dio D’Amor, che guar’ lungi non m’era,","Le Dieu d'Amour, qui n'était pas loin de moi,","La Tranche Divine, qui n'était pas loin de moi,"
"Mi riguardò com’io mi contenesse,",Il a regardé comment je m'en sortais.,Il a examiné comment j'agissais.
E parvemi ched e’ gli ne incresciesse;,Et ça semblait le déranger.,Et il me semblait que ça l'irritait.
"Si venne a me e disse: «In che manera,","Il est venu me voir et m'a dit: ""De quelle manière,","Il est venu me voir et m'a dit: ""De quelle manière,"
"Amico, m’ài guardato l’omanagio,","Mec, tu as prêté serment.","Mec, tu as tenu ta promesse."
"Che mi faciesti, passat’à un anno?».",Tu m'as fait il y a un an ?,Qu'est-ce que tu m'as fait il y a un an ?
"I’ gli dissi: «Messer, vo’ avete il gagio","Je lui ai dit: Seigneur, tu as ma promesse,","""Je lui ai dit, Son Excellence, j'ai donné ma parole,"
"Or, ch’è il core». «E’ non ti fia già danno,","Maintenant que c'est mon cœur, ça ne vous fera aucun mal.","Maintenant que c'est mon cœur, il ne vous fera aucun mal."
Ché tu•tti sè portato come sagio:,"Car tu as agi sagement,","Puisque vous avez agi prudemment,"
Sì avrai guiderdon del grande afanno».,Vous serez récompensés pour votre grande angoisse.,Vous aurez une récompense pour votre grande souffrance.
Lo Dio d’Amor per tutto ’l regnio manda,"Dans tout le royaume, le Dieu d'Amour envoie","Dans tout le royaume, l'Être Suprême d'Amour envoie"
Messagi e lettere a la Baronia:,messagers et lettres à tous les barons;,Les porteurs et les épîtres à tous les messieurs.
"Che davanti da lui ciaschedun sia,",Celui qui est devant lui,Celui qui est devant lui
"Ad alcun priega, e ad alcun comanda;",à certains qu'il demande et à d'autres qu'il commande,Quelqu'un demande et quelqu'un d'autre est responsable.
"E ch’e’ vorrà far lor una domanda,","Il leur posera une question,",Il aimerait leur poser une question.
"La qual fornita converrà che•ssia,","Ce qui, à condition qu'il soit nécessaire,","Ce qui, à condition qu'il soit indispensable,"
"D’abatter il castel di Gielosia,","Pour détruire le château de Gielosia,","Démolissez, annihilez, démolissez le château de Gielosia."
Sì ch’e’ non vi dimori inn-uscio banda.,afin qu'il n'y ait plus de gang maléfique qui habite en vous.,afin qu'il n'y ait plus de groupe criminel qui y vit.
"Al giorno ciaschedun si presentò,","Le grand jour, tout le monde s'est pointé,","Dans le grand événement, tous se sont matérialisés,"
Presto di far il su’ comandamento;,prêt à exécuter votre commande;,prêt à obéir à votre ordre.
Dell’armadure ciaschedun pensò,Tout le monde réfléchit sur ses bras,Tout le monde méditait sur les membres.
Per dar a Gielosia   pene e tormento.,pour donner des tourments et de la jalousie à la jalousie.,Pour infliger la jalousie affliction et l'envie.
"La Baronia   i’ sì vi nomerò,","Le Baronia, que j'ai à l'esprit,","Baronia, dans ma tête,"
Secondo ched i’ ò   rimenbramento.,Je te nommerai selon ce que j'ai en mémoire.,Je vais vous dessiner en fonction de ce que j'ai en tête.
"Madonna Oziosa venne la primiera,","Notre-Dame Oziosa est venue en premier,",D'abord Mme Lazy est arrivée.
"Con Nobiltà-di-Chuor, e con Richezza,","avec la noblesse du cœur et avec la richesse,","avec la noblesse du cœur et avec la richesse,"
"Franchigia, Cortesia, Pietà, Largheza,","Bienveillance, courtoisie, miséricorde, générosité,","L'affabilité, la gentillesse, la compassion, la magnanimité."
"Ardimento, e Honor: ciaschedun v’era.",Daring et Honorer tous ceux qu'il y avait,Renforcement et intégrité de tous ceux qu'il y avait
"Diletto et Conpagnia seguian la schiera,","Bien-aimés et Compagnie suivit l'armée,",Le plaisir et la Société accompagnèrent la procession.
"Angielicanza, Sicurtà, et Leteza,","Angielicanza, Sécurité, et Letizia,","Ecclésiastique, protection et joie."
"E Solazo, e Bieltate, e Giovaneza",et la joie et la beauté et la jeunesse,"Letizia, Splendore et Jeunesse"
Andavan tutte inpresso la bandera.,Ils sont tous passés sous le drapeau ensemble.,Ils ont procédé ensemble sous la bannière.
"Ancor v’era   Humiltate, e Pacienza,","Il y avait aussi Humilité, et Patience,",Il y avait aussi l'humilité et la tolérance.
"Giolività vi fue, e Ben-Cielare,","Il y avait Joy, et Bon Ciel.","Il y avait Letizia, et Favorable."
E Falsenbiante e Costretta-Astinenza.,et la Falsité et l'abstinence forcée.,Mendacia e Abstinenza Coatta.
"Amor si cominciò a maravigliare,","L'amour a commencé à se demander,",L'amour a commencé à se demander.
"Po’ vide Falsenbiante in sua presenza,","Puis il vit la Falsité en sa présence,",Il a donc vu la Deception en sa présence.
E disse: «Chi•ll’à tolto a sichurare?».,"Et il a dit, ""Qui vous a amené ici en sécurité?","Et il a demandé, ""Qui vous a amené ici en sécurité?"""
"Astinenza Costretta venne avanti,","L'abstinence forcée est apparue,",L'abstinence forcée est apparue au premier plan.
"E disse: «E’ vien comeco in conpagnia,","Et il a dit, ""Il vient en compagnie,","Il a dit, ""Venez en compagnie."""
"Ché sanza lui civir non mi poria,","Parce que sans lui, je ne pouvais pas vivre,","Parce que sans lui, je ne pouvais pas survivre."
"Tanto non pregherei né Die, né ’ santi;",Je ne voudrais donc pas prier Dieu ni les saints;,Je ne prierais ni le Divin ni le Béni.
"E’ me e sé governa co’ senbianti,","C'est lui et lui qui règne avec l'apparence,",C'est lui et il s'adapte en apparence.
"Che gli ’nsegniò sua madre, Ipocresia.","Qui lui a appris sa mère, Hypocrisie.","Qui lui a appris sa mère, Fingimento."
I’ porto il manto di Papalardia,Je porte le manteau de Papalardia,Je porte le manteau de Papalardia.
"Per più tosto venir, a tenpo, a’ guanti.","Pour venir plus vite, à temps, aux gants.","Pour arriver plus rapidement, en temps utile, aux gants."
E così tra noi due ci governiamo,"Et donc entre nous deux, nous gouvernons.","Et donc entre nous, on se contrôle l'un l'autre."
E nostra vita dimenian gioiosa,"Et notre vie, nous passons la joie",Passons nos vies gaiement.
"Sanza dir cosa   mai, che noi pensiamo.",Sans jamais dire ce que nous pensons.,Sans jamais exprimer nos pensées.
"La ciera nostra par molto pietosa,","Notre visage a l'air pitoyable,","Notre expression est très compatissante,"
"Ma nonn-è mal nesun, che non pensiamo.","Mais il n'y a aucun mal à nous, nous ne pensons pas.","Mais il n'y a en aucun de nous aucun défaut, que nous ne réfléchissons pas."
Ben paia•noi giente relegiosa».,C'est bien vu par les religieux.,Elle est bien respectée par les gens pieux.
"Lo Dio d’Amor sorise, quando udio",Dieu d'Amour sourit quand il entendit,La divinité de l'amour sourit quand elle écouta
"Astinenza-Costretta sì parlare,","Abstinence - Corrigée pour parler ainsi,",L'abstinence-Expression forte de cette façon.
E disse: «Qui à giente d’alt’affare!,"Et il a dit, 'Voici des gens de grande importance!","Et il a dit, 'Voici des gens de grande importance!"
"Dì, Falsenbiante, se•tt’aiuti Idio,","Dis: «Falsenbiant, si vous êtes aidés par Dieu,","Expliquez, Falsenbian, si vous êtes soutenu par la divinité."
"S’i’ ti ritengnio del consiglio mio,","Si je vous tiens sur mon conseil,","Si je t'inclus dans mon conseil,"
Mi potrò io   in te punto fidare?».,Puis-je vous faire confiance d'une façon ou d'une autre?.,Je peux te faire confiance ?
"«Segnior mio,   sì, di nulla non dottare,","Mon Seigneur, oui, ne me décevez jamais,","Mon Souverain, oui, ne m'abandonne jamais."
Ch’altro c’a lealtà ma’ non pens’io».,Parce que rien ne m'est plus cher que la loyauté.,Parce que rien n'est plus précieux que la fidélité.
«Dunqu’è cotesto contra tua natura».,Alors cela va à l'encontre de votre nature.,Alors ceci est en contraste avec votre essence.
"«Veracie mente ciò è veritate,","Honnêtement, c'est vrai.","En vérité, c'est un fait."
Ma tuttor vi mettete inn-aventura!,Mais tu te mets toujours en danger !,"Cependant, vous vous exposez toujours au risque!"
"Mai i•lupo di sua pelle non gittate,",Le loup ne lui enlève jamais la peau.,Le loup ne déshabille jamais sa fourrure.
"No•gli farete tanto di laidura,",Tu ne lui feras pas tant de mal.,Ils ne vont pas lui faire ressentir beaucoup de douleur.
Se voi in prima no•llo scorticate».,Si vous le grattez tout de suite.,Pelez-le immédiatement.
"Amor disse a’ baroni: «I’ v’ò mandato,","L'amour dit aux barons: ""Je t'envoie,","L'amour a dit aux barons: ""Je t'ai envoyé,"
"Perch’e’ convien ch’i’ agia il vostro aiuto,","Parce que j'ai besoin de ton aide,","Parce que j'ai besoin de ton soutien,"
"Tanto che quel castel si’ abattuto,",Pour abattre ce château,"Démolissez, détruisez, effondrez, détruisez."
Che Gielosia di nuovo à già fondato.,Cette Jalouse a déjà reconstruit.,Cette envie s'est déjà reconstituée.
"Onde ciaschun di voi è misurato,","C'est pourquoi chacun d'entre vous est appelé,","En conséquence, chacun d'entre vous est invité."
S’i’ vi richegio ch’e’ sia proveduto,Si je vous demande qu'il soit fourni,Je demande que ce soit fait.
"Per voi in tal maniera, che tenuto","Pour vous, de telle manière qu'il n'est plus contre moi, mais qu'il s'incline.","Pour vous de telle manière qu'il ne soit plus hostile à moi, mais se rend."
"Non sia più contra me, ma si’ aterrato.","peut ne plus être contre moi, mais peut être nivelé sur le terrain.","Il n'est peut-être pas plus hostile à moi, mais il peut être abattu sur le sol."
"Ch’e’ pur convien ch’i’ soccorra Durante,","En fait, il est nécessaire d'aider pendant,","En fait, il est essentiel que vous aidiez Durante."
"Chéd i’ gli vo’ tener sua promessione,","Parce que je veux tenir sa promesse,","Parce que je veux respecter votre parole,"
Ché tropo l’ò trovato   fin Amante.,Parce que je l'ai trouvé trop amoureux.,Parce que je l'ai trouvé trop passionné.
"Molto penò di torelmi Ragione,","Beaucoup a souffert pour me garder Raison,",Il a tant enduré pour maintenir la justice.
"Que’, come sagio, fu sì fermo e stante","Mais lui, en tant qu'homme sage, était si ferme et si constant.","Mais lui, en tant qu'homme sage, était si solide et si persistant."
Che no•lle valse nulla su’ sermone».,Que rien ne valait son discours contre lui.,Que rien n'a aidé son discours contre lui.
La Baronia sì fecie parlamento,Baronia a commencé à parler,Baronia a commencé à parler
"Per devisar in che maniera andranno,","Pour décider comment ils vont aller,",Déterminez comment procéder.
O la qual porta prima assaliranno;,Ou quelle porte ils attaqueront d'abord;,Quelle porte ils attaqueront d'abord;
Sì fur ben tutti d’un acordamento,Et ils étaient tous d'accord.,Tout le monde est d'accord.
"Fuor che Richeza,   che fe’ saramento","Excepté la richesse, qui a prêté serment","Exception, richesse, promesse solennelle"
"Ch’ella non prenderebe per me affanno,","Qu'il ne participerait pas à l'aventure,",Qu'il ne participerait pas à l'aventure.
"Néd al castel non darebe già danno,","Elle ne causerait pas non plus de dommages au château,",Ça ne causerait aucun dommage au manoir.
"Per pregheria né per comandamento,","Ni par la prière ni par l'ordre,","Ni par supplication, ni par incompréhension."
"Che nessuna persona far potesse,","Que personne ne pouvait faire,","Impossible, inaccessible, irréalisable."
Perciò ch’i’ non volli anche sua contezza:,Parce qu'il ne voulait même pas mon consentement.,Parce que je n'ai même pas souhaité mon consentement.
"S’iera dritto, ch’i’ me ne pentesse.",Si j'avais raison de le regretter.,Si c'était approprié pour moi de le regretter.
"Ben disse, ch’i’ le feci gran carezza",Et il a bien dit que je lui ai donné beaucoup de soin.,"Il a dit à juste titre, que je lui ai donné un grand dorlot"
