,Paradiso,Parafrasi
576," non vanno i lor pensieri a Nazarette, là dove Gabrïello aperse l’ali"," i loro pensieri non vanno certo a Nazareth, dove l'arcangelo Gabriele aprì le ali "
577," Ma Vaticano e l’altre parti elette di Roma che son state cimitero a la milizia che Pietro seguette, ","Tuttavia il Vaticano e gli altri luoghi sacri di Roma, che hanno visto il martirio dei primi cristiani che seguirono Pietro, "
578, tosto libere fien de l’avoltero»,saranno presto liberi da questa profanazione»
580," Guardando nel suo Figlio con l’Amore che l’uno e l’altro etternalmente spira, lo primo e ineffabile Valore quanto per mente e per loco si gira con tant’ ordine fé, ","La prima e indicibile Potenza , guardando il Figlio con lo Spirito Santo che spira eternamente da entrambi, creò l'armonioso movimento dei Cieli in modo così perfetto "
581, ch’esser non puote sanza gustar di lui chi ciò rimira,che non è possibile ammirarlo senza godere dell'immagine divina
582," Leva dunque, lettore, a l’alte rote meco la vista, dritto a quella parte dove l’un moto e l’altro si percuote","Dunque, o lettore, alza lo sguardo con me alle sfere celesti, proprio verso quel punto in cui i due movimenti opposti si intersecano "
583," e lì comincia a vagheggiar ne l’arte di quel maestro che dentro a sé l’ama, tanto che mai da lei l’occhio non parte","e comincia ad ammirare lì l'opera d'arte di quell'artefice  che la ama dentro di sé, al punto che non ne distoglie mai lo sguardo"
584," Vedi come da indi si dirama l’oblico cerchio che i pianeti porta, per sodisfare al mondo che li chiama","Vedi come da lì diverge lo Zodiaco che porta con sé i pianeti, per soddisfare le esigenze della Terra che li invoca "
585," Che se la strada lor non fosse torta, molta virtù nel ciel sarebbe in vano, e quasi ogne potenza qua giù morta","Infatti, se la sua traiettoria non fosse obliqua rispetto all'Equatore celeste, molti influssi astrali sarebbero inutili e qui, sulla Terra, ogni potenzialità della natura resterebbe inattiva"
586," e se dal dritto più o men lontano fosse ’l partire, assai sarebbe manco e giù e sù de l’ordine mondano","e se la divergenza fosse maggiore o minore, l'ordine del mondo sarebbe assai manchevole in entrambi gli emisferi"
587," Or ti riman, lettor, sovra ’l tuo banco, dietro pensando a ciò che si preliba, s’esser vuoi lieto assai prima che stanco","Adesso resta, lettore, sopra il tuo banco, pensando a ciò che ti dico e che si preannuncia, se vuoi rallegrarti prima di essere stanco"
588, Messo t’ho innanzi,Io ti ho posto le vivande di fronte
589, omai per te ti ciba," adesso devi mangiare da solo, "
590, ché a sé torce tutta la mia cura quella materia ond’ io son fatto scriba, poiché quella materia  che io sono chiamato a trascrivere attira a sé tutta la mia attenzione
591," Lo ministro maggior de la natura, che del valor del ciel lo mondo imprenta e col suo lume il tempo ne misura, ","Il maggiore ministro della natura , che diffonde il suo benefico influsso sulla Terra e con la sua luce misura il tempo, "
592," con quella parte che sù si rammenta congiunto, si girava per le spire in che più tosto ognora s’appresenta","unito con quel punto  che ho detto prima, ruotava in quella spirale in cui ogni giorno sorge un po' prima"
593, e io era con lui,E io ero con lui
594," ma del salire non m’accors’ io, se non com’ uom s’accorge, anzi ’l primo pensier, del suo venire"," ma non mi accorsi di esservi asceso, se non come colui che si accorge di un pensiero improvviso solo dopo che questo è comparso"
595," È Bëatrice quella che sì scorge di bene in meglio, sì subitamente che l’atto suo per tempo non si sporge","Beatrice guida da un Cielo a quello superiore così rapidamente, che il suo atto è praticamente istantaneo"
596," Quant’ esser convenia da sé lucente quel ch’era dentro al sol dov’ io entra’mi, non per color, ma per lume parvente","Le luci dei beati che erano dentro al Cielo del Sole dovevano essere davvero splendenti, perché io le distinguevo anche se non erano di colore diverso"
597," Perch’ io lo ’ngegno e l’arte e l’uso chiami, sì nol direi che mai s’imaginasse","Per quanto io invochi il mio ingegno, l'arte e l'esperienza, non potrei descrivere tutto ciò per renderne un'idea compiuta"
598, ma creder puossi e di veder si brami, tuttavia si può credere e dunque bisogna desiderare di vederlo
599," E se le fantasie nostre son basse a tanta altezza, non è maraviglia","E se il nostro linguaggio è così inadeguato a una materia così alta, non bisogna stupirsi"
600, ché sopra ’l sol non fu occhio ch’andasse, infatti nessun occhio umano ha mai visto una luce più intensa di quella del Sole
601," Tal era quivi la quarta famiglia de l’alto Padre, che sempre la sazia, mostrando come spira e come figlia","Qui si presentava in tal modo la quarta schiera dei beati , che il Padre sazia di continuo mostrandogli il mistero della Trinità"
602, E Bëatrice cominciò,E Beatrice iniziò
603," «Ringrazia, ringrazia il Sol de li angeli, ch’a questo sensibil t’ha levato per sua grazia»"," «Ringrazia, ringrazia il Sole degli angeli  che per sua grazia ti ha sollevato a questo Sole materiale»"
604," Cor di mortal non fu mai sì digesto a divozione e a rendersi a Dio con tutto ’l suo gradir cotanto presto, ","Il cuore di un uomo non fu mai così ben disposto alla devozione e così pronto a rendersi a Dio con tutta la sua gratitudine, "
605, come a quelle parole mi fec’ io,come lo fui io a quelle parole
606," e sì tutto ’l mio amore in lui si mise, che Bëatrice eclissò ne l’oblio", e il mio amore si rivolse a Lui a tal punto che si dimenticò totalmente di Beatrice
607, Non le dispiacque,"A lei non dispiacque, "
608," ma sì se ne rise, che lo splendor de li occhi suoi ridenti mia mente unita in più cose divise","anzi, ne sorrise, al punto che lo splendore dei suoi occhi gioiosi indusse la mia mente a dividersi tra più cose "
609," Io vidi più folgór vivi e vincenti far di noi centro e di sé far corona, più dolci in voce che in vista lucenti","Io vidi diverse luci vivide e sfolgoranti più del Sole circondarci come una corona, di cui noi eravamo il centro, che cantavano più dolcemente di quanto fossero luminose"
610," così cinger la figlia di Latona vedem talvolta, quando l’aere è pregno, sì che ritenga il fil che fa la zona","così, talvolta, vediamo la Luna circondata da un alone, quando l'aria è umida e trattiene il raggio lunare che forma una fascia"
611," Ne la corte del cielo, ond’ io rivegno, si trovan molte gioie care e belle tanto che non si posson trar del regno","Nella corte del Paradiso, da dove ritorno, si trovano molti gioielli belli e preziosi, tanto che non si possono portar via da quel regno"
612, e ’l canto di quei lumi era di quelle,e il canto di quelle luci era uno di questi gioielli
613," chi non s’impenna sì che là sù voli, dal muto aspetti quindi le novelle"," chi non è in grado di volare fin lassù  non si aspetti che io lo descriva, come un muto non può recare le notizie"
614," Poi, sì cantando, quelli ardenti soli si fuor girati intorno a noi tre volte, ","Dopo che quei soli ardenti , cantando così, ebbero compiuto tre giri, "
615," come stelle vicine a’ fermi poli, donne mi parver, non da ballo sciolte, ma che s’arrestin tacite, ","come stelle vicine ai poli celesti, mi sembrarono delle donne che ancora stanno danzando e che si fermano in silenzio, "
616, ascoltando fin che le nove note hanno ricolte,ascoltando finché non hanno sentito la musica che fa riprendere il ballo
617, E dentro a l’un senti’ cominciar,E dentro a una di quelle luci sentii dire
618," «Quando lo raggio de la grazia, onde s’accende verace amore e che poi cresce amando, multiplicato in te tanto resplende, ","«Poiché il raggio della grazia divina, dal quale si accende il vero amore che poi, amando, continua a crescere, risplende moltiplicato in te, "
619, che ti conduce su per quella scala u’ sanza risalir nessun discende,visto che ti conduce su per quella scala  dalla quale nessuno scende senza risalire
620," qual ti negasse il vin de la sua fiala per la tua sete, in libertà non fora se non com’ acqua ch’al mar non si cala","se qualcuno ti negasse il vino della sua ampolla per placare la tua sete , non agirebbe in libertà proprio come un'acqua che non scendesse dal monte fino al mare"
621, Tu vuo’ saper di quai piante s’infiora questa ghirlanda che ’ntorno vagheggia la bella donna ch’al ciel t’avvalora,Tu vuoi sapere di quali fiori è formata questa ghirlanda  che contempla tutt'intorno alla bella donna che ti guida al Cielo
622, Io fui de li agni de la santa greggia che Domenico mena per cammino u’ ben s’impingua se non si vaneggia,"Io fui uno degli agnelli del santo gregge che san Domenico conduce per il cammino, dove ci si arricchisce di beni spirituali se non si devia dalla regola"
623," Questi che m’è a destra più vicino, frate e maestro fummi, ","Questi, che è immediatamente alla mia destra, fu frate e fu mio maestro"
624," ed esso Alberto è di Cologna, e io Thomas d’Aquino","e lui è Alberto Magno di Colonia, e io sono Tommaso d'Aquino"
625," Se sì di tutti li altri esser vuo’ certo, di retro al mio parlar ten vien col viso girando su per lo beato serto","Se tu vuoi sapere i nomi di tutti gli altri, segui le mie parole facendo scorrere lo sguardo lungo le luci di questa beata corona"
626," Quell’ altro fiammeggiare esce del riso di Grazïan, che l’uno e l’altro foro aiutò sì che piace in paradiso","Quell'altra luce fiammeggiante è prodotta dal sorriso di Francesco Graziano, che aiutò l'una e l'altra legge in modo tale che piace al Paradiso"
627," L’altro ch’appresso addorna il nostro coro, quel Pietro fu che con la poverella offerse a Santa Chiesa suo tesoro","L'altro che dopo di lui abbellisce la nostra schiera, fu quel Pietro Lombardo che offrì alla Santa Chiesa ogni suo avere come la poverella del Vangelo"
628," La quinta luce, ch’è tra noi più bella, spira di tale amor, che tutto ’l mondo là giù ne gola di saper novella","La quinta luce, che è la più bella fra noi, spira di un tale amore che tutto il mondo desidera conoscere il suo destino"
629," entro v’è l’alta mente u’ sì profondo saver fu messo, che, se ’l vero è vero, a veder tanto non surse il secondo","dentro vi è l'alta mente dove fu infuso un sapere così profondo, che, se le Scritture dicono il vero, non ci fu un uomo più saggio di lui "
630, Appresso vedi il lume di quel cero che giù in carne più a dentro vide l’angelica natura e ’l ministero,Vicino vedi la luce di quel cero  che quando era vivo vide più addentro di ogni altro la natura e la funzione degli angeli
631, Ne l’altra piccioletta luce ride quello avvocato de’ tempi cristiani del cui latino Augustin si provide,Nell'altra luce più piccola ride quell'avvocato dei tempi cristiani  della cui opera in latino si avvalse sant'Agostino
632," Or se tu l’occhio de la mente trani di luce in luce dietro a le mie lode, già de l’ottava con sete rimani","Ora, se tu fai scorrere di luce in luce l'occhio della tua mente dietro le mie parole, ti resta da scoprire chi sia l'ottava luce"
633, Per vedere ogne ben dentro vi gode l’anima santa che ’l mondo fallace fa manifesto a chi di lei ben ode,"Dentro vi gode l'anima santa che dimostra la fallacia del mondo a chi legge bene le sue opere, giacché ora vede il sommo bene "
634, Lo corpo ond’ ella fu cacciata giace giuso in Cieldauro,Lo corpo da cui essa fu strappata giace sulla Terra nella basilica di San Pietro in Ciel d'Oro
635, ed essa da martiro e da essilio venne a questa pace, e la sua anima giunse a questa pace dal martirio e dall'esilio terreno
636," Vedi oltre fiammeggiar l’ardente spiro d’Isidoro, di Beda e di Riccardo, che a considerar fu più che viro","Oltre vedi fiammeggiare lo spirito ardente di Isidoro di Siviglia, del Venerabile Beda, di Riccardo di San Vittore che nella contemplazione di Dio fu più che un uomo"
637," Questi onde a me ritorna il tuo riguardo, è ’l lume d’uno spirto che ’n pensieri gravi a morir li parve venir tardo","E questi, dal quale il tuo sguardo torna su di me, è la luce di uno spirito che fu oppresso da gravi pensieri, tanto che la morte gli sembrò tarda"
638," essa è la luce etterna di Sigieri, che, leggendo nel Vico de li Strami, silogizzò invidïosi veri»","essa è la luce eterna di Sigieri di Brabante, che, esercitando l'insegnamento nella 'Via della paglia' a Parigi, dimostrò delle verità dottrinali che suscitarono invidie contro di lui»"
639," Indi, come orologio che ne chiami ne l’ora che la sposa di Dio surge a mattinar lo sposo perché l’ami, ","A quel punto, come un orologio che, nell'ora in cui la Chiesa si leva, la chiama a recitare il Mattutino a Cristo affinché egli la ami ancora, "
640," che l’una parte e l’altra tira e urge, tin tin sonando con sì dolce nota, che ’l ben disposto spirto d’amor turge","in cui una parte tira e l'altra spinge , tintinnando in modo così dolce che riempie d'amore lo spirito ben disposto"
641, così vid’ ïo la gloriosa rota muoversi e render voce a voce in tempra e in dolcezza ch’esser non pò nota se non colà dove gioir s’insempra,"così io vidi quella gloriosa corona di spiriti muoversi e cantare con un'armonia e una melodia così dolce che non la si può capire, se non in Paradiso dove la gioia diventa eterna"
643," O insensata cura de’ mortali, quanto son difettivi silogismi quei che ti fanno in basso batter l’ali","O desiderio folle degli uomini, quanto sono fallaci i ragionamenti che ti inducono a volgerti verso il basso "
644," Chi dietro a iura e chi ad amforismi sen giva, e chi seguendo sacerdozio, e chi regnar per forza o per sofismi, ","Chi seguiva gli studi giuridici, chi quelli medici, chi si dedicava al sacerdozio, chi cercava di regnare con la violenza o con l'inganno, "
645," e chi rubare e chi civil negozio, chi nel diletto de la carne involto s’affaticava e chi si dava a l’ozio, quando, ","chi rubava, chi si dedicava agli affari politici, chi si lasciava andare ai piaceri carnali, chi all'ozio, quando io, "
646," da tutte queste cose sciolto, con Bëatrice m’era suso in cielo cotanto glorïosamente accolto","libero da tutte queste lusinghe, venivo accolto con Beatrice in Cielo in maniera così gloriosa"
647," Poi che ciascuno fu tornato ne lo punto del cerchio in che avanti s’era, fermossi, come a candellier candelo","Dopo che ogni luce fu ritornata nel punto della corona in cui si trovava prima, si fermò, simile alla candela di un candelabro"
648," E io senti’ dentro a quella lumera che pria m’avea parlato, sorridendo incominciar, faccendosi più mera","E io sentii che dentro quella luce  che prima mi aveva parlato, il beato ricominciava a parlare, perché sorridendo diventava più luminosa"
649," «Così com’ io del suo raggio resplendo, sì, riguardando ne la luce etterna, li tuoi pensieri onde cagioni apprendo","«Poiché io risplendo del raggio della luce eterna , guardando in essa capisco da dove derivano le tue incertezze"
650," Tu dubbi, e hai voler che si ricerna in sì aperta e ’n sì distesa lingua lo dicer mio, ch’al tuo sentir si sterna, ove dinanzi dissi","Tu hai dei dubbi, e desideri che ti sia spiegato in un discorso aperto e chiaro quello che ho detto prima, in modo tale che sia comprensibile alla tua intelligenza, quando poco fa ho detto "
651," “U’ ben s’impingua”, e là u’ dissi","""Dove ci si arricchisce di beni spirituali"" e quando ho detto "
652, “Non nacque il secondo”,"""Non nacque un altro uguale"""
653, e qui è uopo che ben si distingua, e qui è necessario operare una distinzione
654," La provedenza, che governa il mondo con quel consiglio nel quale ogne aspetto creato è vinto pria che vada al fondo, ","La Provvidenza, che guida il mondo con quella saggezza  nella quale la vista di ogni creatura si perde prima di arrivare al fondo , "
655," però che andasse ver’ lo suo diletto la sposa di colui ch’ad alte grida disposò lei col sangue benedetto, ","affinché andasse verso il suo amato la sposa  di Colui  che la sposò fra le alte grida col suo sangue benedetto , "
656," in sé sicura e anche a lui più fida, due principi ordinò in suo favore, che quinci e quindi le fosser per guida","sicura si se stessa e ancora più fedele a Lui, dispose in suo favore due principi, che la guidassero da un lato e dall'altro"
657, L’un fu tutto serafico in ardore,Uno  fu pieno di ardore come i Serafini
658, l’altro per sapïenza in terra fue di cherubica luce uno splendore, l'altro  per la sua saggezza in Terra fu uno splendore di luce come i Cherubini
659," De l’un dirò, però che d’amendue si dice l’un pregiando, qual ch’om prende, perch’ ad un fine fur l’opere sue","Parlerò solo del primo, poiché elogiando uno dei due  è come se si parlasse di entrambi, in quanto le loro opere ebbero il medesimo fine"
660," Intra Tupino e l’acqua che discende del colle eletto dal beato Ubaldo, ","Fra il fiume Topino e il Chiascio, che scorre dal monte Ausciano dove il beato Ubaldo pose il suo eremo, "
661," fertile costa d’alto monte pende, onde Perugia sente freddo e caldo da Porta Sole","digrada la fertile costiera di un alto monte , dal quale Perugia sente il freddo e il caldo dal lato di Porta Sole"
662, e di rietro le piange per grave giogo Nocera con Gualdo," e dalla parte opposta piangono, perché in posizione più svantaggiosa, Nocera Umbra e Gualdo Tadino"
663," Di questa costa, là dov’ ella frange più sua rattezza, nacque al mondo un sole, come fa questo talvolta di Gange","Da questa costiera, nel punto in cui essa diventa meno ripida , nacque un Sole per il mondo  come questo  talvolta nasce dal Gange"
664," Però chi d’esso loco fa parole, non dica Ascesi, ché direbbe corto, ma Orïente, se proprio dir vuole","Dunque, chi parla di questo luogo, non lo chiami ""Assisi"", poiché direbbe poca cosa, ma lo chiami ""Oriente"", se proprio vuole parlarne"
665," Non era ancor molto lontan da l’orto, ch’el cominciò a far sentir la terra de la sua gran virtute alcun conforto","Non era ancora molto lontano dalla sua nascita, quando Francesco cominciò a riflettere in Terra la sua luminosa virtù"
666," ché per tal donna, giovinetto, in guerra del padre corse, a cui, come a la morte, la porta del piacer nessun diserra","infatti, ancora giovane, si scontrò col padre per una donna  alla quale nessuno vuole unirsi, come se fosse la morte"
667, e dinanzi a la sua spirital corte et coram patre le si fece unito,e di fronte al tribunale episcopale e in presenza del padre le si unì in nozze
668, poscia di dì in dì l’amò più forte," in seguito, l'amò sempre di più ogni giorno"
669," Questa, privata del primo marito, millecent’ anni e più dispetta e scura fino a costui si stette sanza invito","Essa, privata del primo marito , era rimasta per più di millecento anni da sola, disprezzata da tutti, fino a Francesco"
670," né valse udir che la trovò sicura con Amiclate, al suon de la sua voce, colui ch’a tutto ’l mondo fé paura","non le servì che gli uomini udissero che Cesare, che fece paura a tutto il mondo, trovasse la Povertà sicura al suono della propria voce, insieme al pastore Amiclàte"
671," né valse esser costante né feroce, sì che, dove Maria rimase giuso, ella con Cristo pianse in su la croce","e non le servì neppure essere fedele e fiera, al punto che, quando Maria rimase ai piedi della croce, lei invece pianse insieme allo sposo Cristo"
672," Ma perch’ io non proceda troppo chiuso, Francesco e Povertà per questi amanti prendi oramai nel mio parlar diffuso","Ma affinché io non parli in modo troppo oscuro, intendi in tutto il mio discorso che questi amanti furono Francesco e la Povertà"
673," La lor concordia e i lor lieti sembianti, amore e maraviglia e dolce sguardo facieno esser cagion di pensier santi","La loro concordia, il loro lieto aspetto, l'amore, la meraviglia e il loro dolce sguardo producevano negli altri dei santi pensieri"
674," tanto che ’l venerabile Bernardo si scalzò prima, e dietro a tanta pace corse e, correndo, li parve esser tardo","al punto che il venerabile Bernardo di Quintavalle fu il primo a togliersi le calzature e corse dietro a quella pace  e, pur correndo, gli sembrava di essere lento"
675, Oh ignota ricchezza,O ricchezza sconosciuta
676, oh ben ferace,o bene fecondo
677," Scalzasi Egidio, scalzasi Silvestro dietro a lo sposo, sì la sposa piace","Egidio e Silvestro si tolgono anch'essi i calzari e seguono lo sposo , tanto piace la sposa "
678, Indi sen va quel padre e quel maestro con la sua donna e con quella famiglia che già legava l’umile capestro,"In seguito quel padre e quel maestro se ne va  con la sua donna e con la sua famiglia, che già cingeva i fianchi con l'umile cinto"
679," Né li gravò viltà di cuor le ciglia per esser fi’ di Pietro Bernardone, né per parer dispetto a maraviglia","E la viltà d'animo non gli fece abbassare lo sguardo, essendo figlio di Pietro Bernardone, né per essere tanto umile da suscitare meraviglia"
680," ma regalmente sua dura intenzione ad Innocenzio aperse, e da lui ebbe primo sigillo a sua religïone","ma svelò a papa Innocenzo III la sua severa Regola con atteggiamento regale, e da lui ebbe il primo avallo al suo Ordine"
681," Poi che la gente poverella crebbe dietro a costui, la cui mirabil vita meglio in gloria del ciel si canterebbe, ","E dopo che i seguaci poveri aumentarono dietro a Francesco, la cui vita ammirevole si canterebbe meglio a gloria del Paradiso, "
682, di seconda corona redimita fu per Onorio da l’Etterno Spiro la santa voglia d’esto archimandrita,"la volontà santa di questo pastore venne coronata dallo Spirito Santo con una seconda corona, attraverso papa Onorio terzo"
683," E poi che, per la sete del martiro, ne la presenza del Soldan superba predicò Cristo e li altri che ’l seguiro, ","E dopo che, per desiderio del martirio, predicò Cristo e i suoi discepoli alla presenza superba del Sultano d'Egitto, "
684," e per trovare a conversione acerba troppo la gente e per non stare indarno, redissi al frutto de l’italica erba, ","e dopo che, avendo trovato quei popoli restii alla conversione e per non stare lì invano, era tornato in Italia, "
685," nel crudo sasso intra Tevero e Arno da Cristo prese l’ultimo sigillo, che le sue membra due anni portarno","sul monte della Verna tra Tevere e Arno ricevette da Cristo l'ultimo sigillo , che il suo corpo portò per due anni"
686," Quando a colui ch’a tanto ben sortillo piacque di trarlo suso a la mercede ch’el meritò nel suo farsi pusillo, ","Quando a Dio, che l'aveva destinato a un tale bene, piacque di chiamarlo in Paradiso alla ricompensa che egli aveva meritato nel farsi umile, "
687," a’ frati suoi, sì com’ a giuste rede, raccomandò la donna sua più cara, e comandò che l’amassero a fede","raccomandò ai suoi confratelli, come a legittimi eredi, la sua donna più cara  e comandò loro che l'amassero restandole fedeli"
688," e del suo grembo l’anima preclara mover si volle, tornando al suo regno, e al suo corpo non volle altra bara","e dal grembo della Povertà la sua anima illustre volle muoversi, tornando in Paradiso, mentre al suo corpo non volle altra bara che non fosse la nuda terra"
689, Pensa oramai qual fu colui che degno collega fu a mantener la barca di Pietro in alto mar per dritto segno,"A questo punto puoi capire chi fu colui  che fu degno collega di Francesco nel mantenere la nave della Chiesa nella giusta rotta, in alto mare"
690, e questo fu il nostro patrïarca,e questo fu il nostro patriarca
691," per che qual segue lui, com’ el comanda, discerner puoi che buone merce carca"," e chi lo segue attenendosi alla sua Regola, non può che imbarcare buona merce "
692," Ma ’l suo pecuglio di nova vivanda è fatto ghiotto, sì ch’esser non puote che per diversi salti non si spanda","Ma il suo gregge è diventato ghiotto di nuovi cibi , per cui è inevitabile che si disperda in diversi pascoli"
693," e quanto le sue pecore remote e vagabunde più da esso vanno, più tornano a l’ovil di latte vòte","e quanto più le pecore se ne allontanano vagabonde, tanto più povere di latte tornano all'ovile"
694, Ben son di quelle che temono ’l danno e stringonsi al pastor,"Certo, ce ne sono alcune che temono il danno e si tengono strette al pastore , "
695," ma son sì poche, che le cappe fornisce poco panno",ma sono così poche che serve poco panno a confezionare le loro cappe
696," Or, se le mie parole non son fioche, se la tua audïenza è stata attenta, ","Ora, se le mie parole non sono oscure, se mi hai ascoltato con attenzione, "
697," se ciò ch’è detto a la mente revoche, ","se richiami alla tua mente quanto ho detto prima, "
698," in parte fia la tua voglia contenta, perché vedrai la pianta onde si scheggia, ","in parte il tuo desiderio sarà soddisfatto, perché vedrai da dove ha origine la corruzione dell'Ordine domenicano, "
699," e vedra’ il corrègger che argomenta “U’ ben s’impingua, se non si vaneggia”»","e capirai la correzione che argomenta ""Dove ci si arricchisce spiritualmente, se non si devia dalla Regola""»"
701," Sì tosto come l’ultima parola la benedetta fiamma per dir tolse, a rotar cominciò la santa mola","Non appena la luce benedetta  pronunciò l'ultima parola, la prima corona cominciò a ruotare"
702," e nel suo giro tutta non si volse prima ch’un’altra di cerchio la chiuse, e moto a moto e canto a canto colse","e non compì un giro completo, prima che una seconda corona la circondasse, accordando il proprio movimento e il proprio canto a quello dell'altra"
703," canto che tanto vince nostre muse, nostre serene in quelle dolci tube, quanto primo splendor quel ch’e’ refuse","un canto che vince le nostre Muse e le nostre Sirene  in quei dolci strumenti musicali, tanto quanto il raggio diretto supera in splendore quello riflesso"
704," Come si volgon per tenera nube due archi paralelli e concolori, ","Come due arcobaleni concentrici e con gli stessi colori si inarcano in una nube sottile , "
705," quando Iunone a sua ancella iube, ",quando Giunone invia la sua ancella Iride sulla Terra 
706," nascendo di quel d’entro quel di fori, a guisa del parlar di quella vaga ch’amor consunse come sol vapori, ","poiché quello esterno è il riflesso di quello interno, proprio come il suono della ninfa Eco che fu consumata dall'amore come un vapore lo è dal sole"
707," e fanno qui la gente esser presaga, per lo patto che Dio con Noè puose, del mondo che già mai più non s’allaga","e come gli arcobaleni rassicurano gli uomini del fatto che non ci sarà un secondo Diluvio, per il patto stretto fra Dio e Noè"
708," così di quelle sempiterne rose volgiensi circa noi le due ghirlande, e sì l’estrema a l’intima rispuose","così le due corone di quelle luci eterne ruotavano intorno a noi, e quella esterna era in perfetta armonia con quella interna"
709," Poi che ’l tripudio e l’altra festa grande, sì del cantare e sì del fiammeggiarsi luce con luce gaudïose e blande, ","Dopo che la gioia e la gran festa del canto e dello sfolgorio luminoso, fatto reciprocamente da quelle luci piene di felicità e di carità, "
710," insieme a punto e a voler quetarsi, pur come li occhi ch’al piacer che i move conviene insieme chiudere e levarsi","si fermarono nello stesso istante e per una volontà concorde, proprio come gli occhi che, obbedendo al piacere, si aprono e si chiudono simultaneamente"
711," del cor de l’una de le luci nove si mosse voce, che l’ago a la stella parer mi fece in volgermi al suo dove","dall'interno di una delle nuove luci provenne una voce, che mi indusse a volgermi verso di essa come l'ago della bussola verso la Stella Polare"
712, e cominciò,e iniziò
713, «L’amor che mi fa bella mi tragge a ragionar de l’altro duca per cui del mio sì ben ci si favella," «La carità che mi abbellisce mi spinge a parlare dell'altro condottiero cristiano , per il quale qui si parla così bene del mio "
714," Degno è che, dov’ è l’un, l’altro s’induca","È giusto che si parli di uno, se si parla anche dell'altro"
715," sì che, com’ elli ad una militaro, così la gloria loro insieme luca"," cosicché, poiché combatterono insieme, anche la loro gloria risplenda all'unisono"
716," L’essercito di Cristo, che sì caro costò a rïarmar, dietro a la ’nsegna si movea tardo, sospeccioso e raro, ","L'esercito di Cristo , che fu riarmato a così caro prezzo , si muoveva dietro le insegne lento, con esitazione e scarso di numero, "
717," quando lo ’mperador che sempre regna provide a la milizia, ch’era in forse, per sola grazia, non per esser degna","quando l'imperatore che regna in eterno  provvide alla milizia che era in pericolo, non perché ne fosse degna ma per sua grazia"
718," e, come è detto, a sua sposa soccorse con due campioni, al cui fare, al cui dire lo popol disvïato si raccorse","e, come già detto da Tommaso, soccorse la sua sposa  con due campioni , le cui azioni e parole indussero il popolo sbandato a ravvedersi"
719," In quella parte ove surge ad aprire Zefiro dolce le novelle fronde di che si vede Europa rivestire, ","In quella parte d'Europa dove arriva il vento zefiro a far nascere le nuove fronde che poi rinverdiscono il continente , "
720," non molto lungi al percuoter de l’onde dietro a le quali, per la lunga foga, ","non molto lontano dalle coste bagnate dall'Oceano, dietro alle quali, dopo un lungo percorso"
721," lo sol talvolta ad ogne uom si nasconde, ","il sole talvolta tramonta, "
722, siede la fortunata Calaroga sotto la protezion del grande scudo in che soggiace il leone e soggioga,"sorge la fortunata città di Calaruega, sotto la protezione dello stemma di Castiglia in cui il leone sta sotto e sopra la torre"
723," dentro vi nacque l’amoroso drudo de la fede cristiana, il santo atleta benigno a’ suoi e a’ nemici crudo","lì nacque l'amoroso vassallo della Fede cristiana, il santo difensore della Chiesa, benevolo con i suoi e crudele con i nemici"
724," e come fu creata, fu repleta sì la sua mente di viva vertute che, ne la madre, lei fece profeta","e non appena la sua mente fu creata, fu subito ripiena di viva virtù, il che indusse la madre a fare un sogno profetico prima che lui nascesse"
725," Poi che le sponsalizie fuor compiute al sacro fonte intra lui e la Fede, u’ si dotar di mutüa salute, ","Dopo che furono celebrate le nozze al fonte battesimale tra lui e la Fede, là dove si donarono la reciproca salvezza, "
726," la donna che per lui l’assenso diede, vide nel sonno il mirabile frutto ch’uscir dovea di lui e de le rede",la donna che gli fece da madrina vide in sogno il frutto meraviglioso che doveva essere prodotto da lui e dai suoi eredi
727," e perché fosse qual era in costrutto, quinci si mosse spirito a nomarlo del possessivo di cui era tutto","e perché il suo nome corrispondesse alla sua indole, da qui  si mosse un'ispirazione a chiamarlo col possessivo  al quale apparteneva totalmente"
728, Domenico fu detto,Fu battezzato Domenico
729, e io ne parlo sì come de l’agricola che Cristo elesse a l’orto suo per aiutarlo, e io parlo di lui come del contadino che Cristo scelse come aiutante nel suo orto
730, Ben parve messo e famigliar di Cristo,Sembrò proprio un inviato e un servo di Cristo
731," che ’l primo amor che ’n lui fu manifesto, fu al primo consiglio che diè Cristo", infatti il primo amore che si vide in lui fu rivolto al primo consiglio dato da Cristo 
732," Spesse fïate fu tacito e desto trovato in terra da la sua nutrice, come dicesse","Molte volte la sua nutrice lo trovò sveglio e per terra, come se dicesse"
733, ‘Io son venuto a questo’, 'Io sono nato per questo'
734, Oh padre suo veramente Felice,"Oh, quanto era davvero Felice il padre"
735," oh madre sua veramente Giovanna, se, interpretata, val come si dice"," Oh, quanto davvero la madre era Giovanna, se l'interpretazione del suo nome è corretta"
736," Non per lo mondo, per cui mo s’affanna di retro ad Ostïense e a Taddeo, ","Non per i beni terreni, per cui ci si affanna dietro i manuali di diritto canonico dell'Ostiense e di Taddeo, "
737, ma per amor de la verace manna in picciol tempo gran dottor si feo,"ma per amore della sapienza divina, in breve tempo diventò un grande esperto di teologia"
738," tal che si mise a circüir la vigna che tosto imbianca, se ’l vignaio è reo"," a tal punto che iniziò subito a custodire la vigna di Cristo , che diventa presto secca se il vignaiolo trascura il suo dovere"
