,Paradiso,Parafrasi
907,"ogne livore, ardendo in sé, sfavilla","forma d’invidia,  bruciando per se stessa risplende "
908,sì che dispiega le bellezze etterne.,in modo tale da manifestare esteriormente  le sue bellezze eterne.
909,Ciò che da lei sanza mezzo distilla,Le cose che emanano direttamente da essa
910,"non ha poi fine, perché non si move", non hanno fine nel tempo
911,la sua imprenta quand’ ella sigilla.,", perché la sua impronta non muta più quando"
912,Ciò che da essa sanza mezzo piove,essa mette il sigillo. Le cose che discendono 
913,"libero è tutto, perché non soggiace","direttamente da essa sono assolutamente libere,"
914,a la virtute de le cose nove.,poiché non sono sottoposte all’influenza 
915,"Più l’è conforme, e però più le piace;",delle cause seconde .
916,"ché l’ardor santo ch’ogne cosa raggia,"," più sono simili a essa, e più sono da essa amate: "
917,ne la più somigliante è più vivace.,poiché la carità divina che irraggia tutte le creature 
918,Di tutte queste dote s’avvantaggia,risplende di più  in quelle che più le assomigliano. 
919,"l’umana creatura, e s’una manca,","La creatura umana ha il privilegio  di tutti questi doni,"
920,di sua nobilità convien che caggia.,"e se uno vien meno, è inevitabile che essa decada dalla sua dignità."
921,Solo il peccato è quel che la disfranca,Solo il peccato è ciò che le toglie la libertà  
922,"e falla dissimìle al sommo bene,","e la rende difforme dal sommo bene,"
923,per che del lume suo poco s’imbianca;,perché poco si illumina del suo splendore ; 
924,"e in sua dignità mai non rivene,","e non ritorna più nella sua dignità, "
925,"se non rïempie, dove colpa vòta,","se non compensa  quanto il peccato toglie , "
926,contra mal dilettar con giuste pene.,con espiazioni equivalenti  contrapposte alle passioni malvagie.
927,"Vostra natura, quando peccò tota","La natura umana, quando nel progenitore Adamo  compì "
928,"nel seme suo, da queste dignitadi,","tutta insieme il primo peccato, fu allontanata , "
929,"come di paradiso, fu remota;","come dal Paradiso, così anche da questi privilegi; "
930,"né ricovrar potiensi, se tu badi","e non si poteva rimediare , se tu rifletti molto acutamente, "
931,"ben sottilmente, per alcuna via,",in nessun modo  se non 
932,sanza passar per un di questi guadi:,attraverso uno di questi passaggi obbligati:
933,o che Dio solo per sua cortesia,"che Dio, per sua sola generosità e misericordia  "
934,"dimesso avesse, o che l’uom per sé isso","avesse rimesso il peccato , o che l’uomo "
935,avesse sodisfatto a sua follia.,da se stesso avesse riparato al suo folle gesto.
936,Ficca mo l’occhio per entro l’abisso,Adesso penetra a fondo con la tua mente
937,"de l’etterno consiglio, quanto puoi","nel mistero  del pensiero divino,"
938,al mio parlar distrettamente fisso.,il più strettamente avvinto  alle mie parole.
939,Non potea l’uomo ne’ termini suoi,L’uomo con le sue limitate virtù  
940,"mai sodisfar, per non potere ir giuso","non avrebbe mai potuto riparare , perché non poteva umiliarsi "
941,"con umiltate obedïendo poi,",verso il basso  tornando all’ubbidienza  
942,quanto disobediendo intese ir suso;,tanto quanto disobbedendo aveva cercato di innalzarsi; 
943,e questa è la cagion per che l’uom fue,questo è il motivo per cui la natura umana
944,da poter sodisfar per sé dischiuso.,fu impedita  dal riuscire a riparare da sola.
945,Dunque a Dio convenia con le vie sue,Era pertanto necessario che Dio operasse 
946,"riparar l’omo a sua intera vita,",con i suoi mezzi per riportare al sicuro 
947,"dico con l’una, o ver con amendue.","l’uomo nella sua vita integra e piena , "
948,Ma perché l’ovra tanto è più gradita,e cioè con l’una o con entrambe le sue vie. 
949,"da l’operante, quanto più appresenta","Ma poiché un’opera è tanto più accetta al suo autore, quanto"
950,"de la bontà del core ond’ ell’ è uscita,",più dimostra  la generosità del cuore di
951,"la divina bontà che ’l mondo imprenta,","colui da cui proviene, la bontà divina che dà la sua"
952,"di proceder per tutte le sue vie,","impronta  all’universo, si compiacque di"
953,"a rilevarvi suso, fu contenta.",agire per tutte le sue vie per risollevarvi.
954,Né tra l’ultima notte e ’l primo die,E tra il primo giorno e l’ultima notte  
955,"sì alto o sì magnifico processo,","non vi fu e non vi sarà  un atto  altrettanto grande e generoso,"
956,"o per l’una o per l’altra, fu o fie:",secondo l’una o l’altra : 
957,ché più largo fu Dio a dar sé stesso,poiché Dio nel donare se stesso per rendere l’uomo capace 
958,"per far l’uom sufficiente a rilevarsi,","di risollevarsi, fu più liberale  che se lo avesse "
959,che s’elli avesse sol da sé dimesso;,perdonato per sua gratuita decisione ; 
960,e tutti li altri modi erano scarsi,e qualunque altro modo sarebbe stato insufficiente  nei
961,"a la giustizia, se ’l Figliuol di Dio","confronti della giustizia, se il Figlio di Dio non si"
962,non fosse umilïato ad incarnarsi.,fosse abbassato a prendere la natura umana.
963,"Or per empierti bene ogne disio,","Adesso, per soddisfare completamente il"
964,"ritorno a dichiararti in alcun loco,","tuo desiderio di sapere, ritorno indietro per chiarirti"
965,perché tu veggi lì così com’ io.,"un passaggio del mio ragionamento ,"
966,"Tu dici: “Io veggio l’acqua, io veggio il foco,",affinché tu possa vederlo come io stessa lo vedo.
967,l’aere e la terra e tutte lor misture,"Tu dici: ‘Io vedo che l’acqua, il fuoco, l’aria, la terra"
968,"venire a corruzione, e durar poco;",e tutti i diversi loro composti  giungono alla
969,e queste cose pur furon creature;,"corruzione, e durano poco; e anche  queste"
970,"per che, se ciò ch’è detto è stato vero,","cose sono state creature; per cui, se è vero ciò che"
971,esser dovrien da corruzion sicure”.,"è stato detto prima, dovrebbero essere immuni da corruzione’."
972,"Li angeli, frate, e ’l paese sincero","Fratello, gli angeli e il luogo puro  nel quale tu sei, "
973,"nel qual tu se’, dir si posson creati,","si possono definire creati, così come sono, "
974,"sì come sono, in loro essere intero;",nella loro completa essenza ; 
975,ma li alimenti che tu hai nomati,ma gli elementi  che tu hai nominato 
976,e quelle cose che di lor si fanno,e le varie cose che da essi vengono composte 
977,da creata virtù sono informati.,derivano la loro essenza  da una virtù seconda. 
978,Creata fu la materia ch’elli hanno;,La materia prima che essi hanno fu creata; 
979,creata fu la virtù informante,la forza che ha dato loro l’essenza vitale  
980,in queste stelle che ’ntorno a lor vanno.,fu creata in questi cieli che girano attorno a essi.
981,L’anima d’ogne bruto e de le piante,La luce e il movimento delle stelle divine  
982,di complession potenzïata tira,traggono dall’insieme potenziale  della materia 
983,lo raggio e ’l moto de le luci sante;,l’anima di ogni animale  e delle piante; 
984,ma vostra vita sanza mezzo spira,ma è la divina bontà  che infonde
985,"la somma beninanza, e la innamora","la vostra anima umana  direttamente , "
986,di sé sì che poi sempre la disira.,e la rende così innamorata di sé che poi la desidera sempre.
987,E quinci puoi argomentare ancora,E da queste considerazioni  puoi
988,"vostra resurrezion, se tu ripensi",dedurre logicamente  anche la vostra
989,come l’umana carne fessi allora,"resurrezione, se rifletti al modo in cui il corpo umano"
990,che li primi parenti intrambo fensi».,venne creato nel tempo in cui entrambi i progenitori  furono creati».
991,Solea creder lo mondo in suo periclo,"Le genti  credevano, con loro pericolo,"
992,che la bella Ciprigna il folle amore,"che la bella Venere , girando  nel terzo cielo ,"
993,"raggiasse, volta nel terzo epiciclo;",irradiasse l’amore sensuale ;
994,per che non pur a lei faceano onore,e per questo i popoli antichi seguendo false religioni 
995,di sacrificio e di votivo grido,rendevano onori con sacrifici e preghiere votive 
996,le genti antiche ne l’antico errore;,"non solo  a lei, ma adoravano anche Dione e Cupido, "
997,"ma Dïone onoravano e Cupido,","considerando lei sua madre e lui figlio, "
998,"quella per madre sua, questo per figlio,",e affermavano che questi sedette sulle ginocchia di Didone; 
999,e dicean ch’el sedette in grembo a Dido;,"e da costei, dalla quale io prendo l’avvio , "
1000,e da costei ond’ io principio piglio,prendevano il nome per la stella 
1001,pigliavano il vocabol de la stella,che il sole vezzeggia a volte da dietro 
1002,che ’l sol vagheggia or da coppa or da ciglio.,a volte di fronte .
1003,Io non m’accorsi del salire in ella;,Io non mi accorsi di essere asceso al suo cielo; 
1004,ma d’esservi entro mi fé assai fede,"ma dell’esservi dentro mi diede sufficiente  certezza la mia donna, "
1005,la donna mia ch’i’ vidi far più bella.,che io vidi diventare più splendente. 
1006,"E come in fiamma favilla si vede,","E come nel fuoco distinguiamo una scintilla, "
1007,"e come in voce voce si discerne,","e come in un coro individuiamo la singola voce, "
1008,"quand’ una è ferma e altra va e riede,",quando una parte tiene la stessa nota  
1009,vid’ io in essa luce altre lucerne,"e l’altra si alza e si abbassa, io vidi in quel cielo splendente "
1010,"muoversi in giro più e men correnti,","altre luci girare in tondo con maggiore minore velocità , "
1011,"al modo, credo, di lor viste interne.","a seconda, penso, dei loro diversi gradi della visione di Dio ."
1012,"Di fredda nube non disceser venti,",Non scesero mai da una nuvola fredda
1013,"o visibili o no, tanto festini,","dei venti, visibili o meno, così veloci , "
1014,che non paressero impediti e lenti,da non sembrare ritardati e lenti per chi avesse visto
1015,a chi avesse quei lumi divini,"quelle luci beate avvicinarsi a noi, interrompendo"
1016,"veduti a noi venir, lasciando il giro",il moto circolare già iniziato con i sublimi Serafini;
1017,pria cominciato in li alti Serafini;,e dentro a quelle che ci apparivano più vicine si
1018,e dentro a quei che più innanzi appariro,sentiva cantare  ‘Osanna’ in modo tale che
1019,"sonava ‘Osanna’ sì, che unque poi",da quel momento in poi  provai sempre desiderio di risentirlo.
1020,di rïudir non fui sanza disiro.,Poi una di esse si accostò ancor più a noi
1021,Indi si fece l’un più presso a noi,e incominciò da sola a dire: «Noi tutti siamo pronti  
1022,e solo incominciò: «Tutti sem presti,"a soddisfare il tuo desiderio ,"
1023,"al tuo piacer, perché di noi ti gioi.",affinché tu possa trarre gioia da noi.
1024,Noi ci volgiam coi principi celesti,"Noi ruotiamo con i Principati celesti, di una stessa ampiezza "
1025,"d’un giro e d’un girare e d’una sete,",e di una stessa forma di giro e con uno stesso desiderio
1026,ai quali tu del mondo già dicesti:,"di Dio , e di loro  in terra tu hai detto:"
1027,‘Voi che ’ntendendo il terzo ciel movete’;,‘Voi che ’ntendendo il terzo ciel movete’; e siamo
1028,"e sem sì pien d’amor, che, per piacerti,","così pieni di carità che, per soddisfarti, non sarà per"
1029,non fia men dolce un poco di quïete».,noi motivo di minore felicità interrompere il nostro girare ».
1030,Poscia che li occhi miei si fuoro offerti,Dopo aver rivolto lo sguardo con rispetto  
1031,"a la mia donna reverenti, ed essa","verso Beatrice , e dopo che lei lo ebbe "
1032,"fatti li avea di sé contenti e certi,","rassicurato e confermato del suo assenso ,"
1033,rivolsersi a la luce che promessa,lo voltai verso l’anima splendente che si era offerta  
1034,"tanto s’avea, e «Deh, chi siete?» fue","tanto generosamente e «Dimmi, ti prego, chi siete?» "
1035,la voce mia di grande affetto impressa.,furono le mie parole segnate da ardente desiderio.
1036,E quanta e quale vid’ io lei far piùe,E quanto più grande e più splendente  
1037,"per allegrezza nova che s’accrebbe,","io vidi quell’anima diventare, per la nuova gioia "
1038,"quando parlai, a l’allegrezze sue!","che s’aggiunse, per le mie parole , alle sue letizie!"
1039,"Così fatta, mi disse: «Il mondo m’ebbe","Così diventata, mi rispose: «Vissi poco "
1040,"giù poco tempo; e se più fosse stato,","tempo sulla terra;  e se fossi vissuto più a lungo, "
1041,"molto sarà di mal, che non sarebbe.",non ci sarebbero molti mali che invece avverranno. 
1042,La mia letizia mi ti tien celato,"Mi tiene nascosta a te la mia beatitudine, "
1043,che mi raggia dintorno e mi nasconde,che emana luce tutto intorno a me  
1044,quasi animal di sua seta fasciato.,e mi vela come quell’animale che si fascia della sua seta. 
1045,"Assai m’amasti, e avesti ben onde;","Mi hai amato profondamente, e ne hai avuto buon motivo; "
1046,"che s’io fossi giù stato, io ti mostrava","poiché se io fossi rimasto sulla terra , "
1047,di mio amor più oltre che le fronde.,ti avrei dimostrato ben più che le foglie del mio affetto.
1048,Quella sinistra riva che si lava,La regione posta su quella sponda sinistra
1049,"di Rodano poi ch’è misto con Sorga,","che si bagna nel Rodano dopo che vi è affluito il Sorga, "
1050,"per suo segnore a tempo m’aspettava,","mi attendeva come suo re al tempo dovuto , "
1051,e quel corno d’Ausonia che s’imborga,e pure quella parte dell’Italia  
1052,"di Bari e di Gaeta e di Catona,","che ha per città  Bari, Gaeta e Catona, "
1053,da ove Tronto e Verde in mare sgorga.,da dove il Tronto e il Verde sfociano nel mare. 
1054,Fulgeami già in fronte la corona,"Mi risplendeva già sul capo la corona d’Ungheria, "
1055,di quella terra che ’l Danubio riga,il paese che il Danubio bagna dopo 
1056,poi che le ripe tedesche abbandona.,aver lasciato le rive della Germania.
1057,"E la bella Trinacria, che caliga","E la bella Sicilia, che si copre di caligine  "
1058,"tra Pachino e Peloro, sopra ’l golfo","tra capo Pachino e capo Peloro, su quel golfo "
1059,"che riceve da Euro maggior briga,","che subisce il colpo più forte dallo Scirocco , "
1060,"non per Tifeo ma per nascente solfo,","non a causa del gigante Tifeo, ma per le emanazioni "
1061,"attesi avrebbe li suoi regi ancora,","di zolfo ,  ancora oggi attenderebbe "
1062,"nati per me di Carlo e di Ridolfo,","come suoi re i discendenti, attraverso me, "
1063,"se mala segnoria, che sempre accora","di Carlo e di Rodolfo, se il malgoverno, che opprime  "
1064,"li popoli suggetti, non avesse","continuamente i popoli sottomessi, non avesse spinto"
1065,"mosso Palermo a gridar: “Mora, mora!”.","i Palermitani all’urlo di rivolta ‘Muoia, muoia!’."
1066,"E se mio frate questo antivedesse,","E se mio fratello sapesse prevedere ciò,"
1067,l’avara povertà di Catalogna,"rifuggirebbe fin d’ora  dalla gretta avarizia dei Catalani, "
1068,"già fuggeria, perché non li offendesse;",perché non gli arrecasse danno ; 
1069,ché veramente proveder bisogna,"poiché davvero lui, o qualcuno altro, "
1070,"per lui, o per altrui, sì ch’a sua barca","dovrebbe prendere provvedimenti affinché  sul suo regno ,"
1071,carcata più d’incarco non si pogna.,"già troppo carico , non si pongano altri pesi. "
1072,"La sua natura, che di larga parca","La sua indole, che discende avara  da una stirpe liberale ,"
1073,"discese, avria mestier di tal milizia",avrebbe bisogno  di collaboratori  
1074,che non curasse di mettere in arca».,che non mirassero ad accumulare tesori negli scrigni ».
1075,«Però ch’i’ credo che l’alta letizia,"«Poiché, o mio signore, io so per fede "
1076,"che ’l tuo parlar m’infonde, segnor mio,",che la profonda gioia che le tue parole mi infondono 
1077,"là ’ve ogne ben si termina e s’inizia,","tu la vedi  in Dio, dove ogni cosa buona ha inizio e fine, "
1078,"per te si veggia come la vegg’ io,","così come io la sento in me , essa mi è ancora più gradita; "
1079,grata m’è più; e anco quest’ ho caro,"e anche quest’altra cosa mi è di gran piacere, "
1080,perché ’l discerni rimirando in Dio.,il fatto che la vedi contemplando Dio. 
1081,"Fatto m’hai lieto, e così mi fa chiaro,","Mi hai già reso felice, e così chiariscimi, dato che "
1082,"poi che, parlando, a dubitar m’hai mosso","il tuo discorso  mi ha fatto nascere un dubbio,"
1083,"com’ esser può, di dolce seme, amaro».",come può essere che da un seme buono nasca una pianta cattiva».
1084,Questo io a lui; ed elli a me: «S’io posso,"Questo domandai; ed egli rispose: «Se io riuscirò a mostrarti una verità, "
1085,"mostrarti un vero, a quel che tu dimandi","tu avrai di fronte la risposta  al dubbio , "
1086,terrai lo viso come tien lo dosso.,così come adesso gli volti le spalle . 
1087,Lo ben che tutto il regno che tu scandi,"Dio, il sommo bene che muove e allieta  i cieli "
1088,"volge e contenta, fa esser virtute","che tu stai ascendendo , predispone che la sua Provvidenza "
1089,sua provedenza in questi corpi grandi.,si faccia virtù informante in queste vaste sfere celesti. 
1090,E non pur le nature provedute,"E nella mente di Dio, che è perfetta di per se stessa, "
1091,"sono in la mente ch’è da sé perfetta,","si provvede  non solo alla creazione delle nature , "
1092,ma esse insieme con la lor salute:,ma al loro essere e al loro benessere: per cui qualunque cosa  
1093,per che quantunque quest’ arco saetta,"quest’arco scocca, giunge predisposto per"
1094,"disposto cade a proveduto fine,","uno scopo determinato , come una"
1095,sì come cosa in suo segno diretta.,freccia  indirizzata al suo bersaglio.
1096,"Se ciò non fosse, il ciel che tu cammine","Se non avvenisse così, il cielo che stai percorrendo "
1097,"producerebbe sì li suoi effetti,",produrrebbe i suoi effetti in maniera tale 
1098,"che non sarebbero arti, ma ruine;",che non sarebbero benefici ma dannosi; 
1099,"e ciò esser non può, se li ’ntelletti","e questo non può avvenire, a meno che le intelligenze motrici"
1100,"che muovon queste stelle non son manchi,","delle sfere celesti non siano imperfette ,"
1101,"e manco il primo, che non li ha perfetti.","e imperfetto il primo motore, che non le ha ben compiute . "
1102,Vuo’ tu che questo ver più ti s’imbianchi?».,Vuoi che ti chiarisca  di più questa verità?».
1103,E io: «Non già; ché impossibil veggio,"Io risposi: «No davvero, poiché so che è impossibile  "
1104,"che la natura, in quel ch’è uopo, stanchi».",che la natura venga meno  in ciò che è necessario ».
1105,Ond’ elli ancora: «Or dì: sarebbe il peggio,"Quindi replicò: «Adesso dimmi: per l’uomo, sulla terra, "
1106,"per l’omo in terra, se non fosse cive?».",sarebbe peggio se non vivesse in società ?». 
1107,"«Sì», rispuos’ io; «e qui ragion non cheggio».",«Certo» io risposi «e di questo non chiedo  spiegazioni».
1108,"«E puot’ elli esser, se giù non si vive","«E ciò può avvenire, se sulla terra ognuno non vivesse "
1109,diversamente per diversi offici?,in modo diverso con differenziati compiti ? 
1110,"Non, se ’l maestro vostro ben vi scrive».","No, se scrive giusto il vostro maestro Aristotele»."
1111,Sì venne deducendo infino a quici;,Così giunse ragionando fino a questo punto ;
1112,poscia conchiuse: «Dunque esser diverse,quindi concluse: «Pertanto è necessario che le origini 
1113,convien di vostri effetti le radici:,delle vostre azioni  siano varie: 
1114,"per ch’un nasce Solone e altro Serse,","per questo uno nasce legislatore , un altro guerriero , "
1115,altro Melchisedèch e altro quello,"un altro sacerdote  e un altro inventore come Dedalo, "
1116,"che, volando per l’aere, il figlio perse.","colui che, volando, perse il figlio Icaro."
1117,"La circular natura, ch’è suggello",Le influenze celesti  che si imprimono 
1118,"a la cera mortal, fa ben sua arte,","nella materia terrena,  compiono bene la loro funzione ,"
1119,ma non distingue l’un da l’altro ostello.,ma non fanno distinzioni tra una casa e l’altra.
1120,Quinci addivien ch’Esaù si diparte,Così accade che Esaù sia diverso per virtù ingenita 
1121,per seme da Iacòb; e vien Quirino,"da Giacobbe, e Romolo  nasce da un genitore"
1122,"da sì vil padre, che si rende a Marte.",di così bassa condizione che viene attribuito  a Marte. 
1123,Natura generata il suo cammino,La natura dei discendenti  seguirebbe sempre 
1124,"simil farebbe sempre a’ generanti,","la stessa strada dei genitori , "
1125,se non vincesse il proveder divino.,se la Provvidenza divina non fosse più forte.
1126,Or quel che t’era dietro t’è davanti:,Ora quello che ti era oscuro  è davanti ai tuoi occhi; 
1127,"ma perché sappi che di te mi giova,","ma affinché tu sappia che ti ho molto a cuore , "
1128,un corollario voglio che t’ammanti.,desidero che un’ulteriore verità  ti ricopra. 
1129,"Sempre natura, se fortuna trova","L’inclinazione naturale  dà sempre cattiva prova di sé, "
1130,"discorde a sé, com’ ogne altra semente","se si scontra con un destino a lei contrario, proprio come "
1131,"fuor di sua regïon, fa mala prova.",qualsiasi seme che cada fuori dal terreno adatto .
1132,E se ’l mondo là giù ponesse mente,E se gli uomini sulla terra considerassero 
1133,"al fondamento che natura pone,","attentamente l’inclinazione  che la virtù dei cieli infonde,"
1134,"seguendo lui, avria buona la gente.","e l’assecondassero , ne otterrebbero persone migliori."
1135,Ma voi torcete a la religïone,Invece voi uomini costringete a diventare ecclesiastico  
1136,"tal che fia nato a cignersi la spada,","chi è nato con la vocazione del guerriero , "
1137,e fate re di tal ch’è da sermone;,e innalzate al trono  chi ha la natura del predicatore ;
1138,onde la traccia vostra è fuor di strada».,per cui il cammino umano è fuori dalla retta via».
1139,"Da poi che Carlo tuo, bella Clemenza,","O dolce Clemenza, il tuo amato marito Carlo,"
1140,"m’ebbe chiarito, mi narrò li ’nganni","dopo aver risposto al mio dubbio , mi raccontò gli inganni"
1141,che ricever dovea la sua semenza;,"che la sua discendenza  avrebbe subito,"
1142,ma disse: «Taci e lascia muover li anni»;,ma mi avvisò: «Non rivelare nulla e lascia che passi il tempo»;
1143,sì ch’io non posso dir se non che pianto,per cui io posso solo dire che una giusta punizione 
1144,giusto verrà di retro ai vostri danni.,seguirà le frodi da voi subite .
1145,E già la vita di quel lume santo,"E già l’anima di quella luce beata si era rivolta verso Dio,"
1146,rivolta s’era al Sol che la rïempie,il sole che la ricolma in quanto bene infinito
1147,come quel ben ch’a ogne cosa è tanto.,che è bastevole per tutte le creature.
1148,"Ahi anime ingannate e fatture empie,","Guai a voi, anime traviate e creature  malvagie,"
1149,"che da sì fatto ben torcete i cuori,","che allontanate i vostri spiriti da tale bontà divina,"
1150,drizzando in vanità le vostre tempie!,indirizzando i vostri sguardi  a cose vane!
1151,Ed ecco un altro di quelli splendori,"Ed ecco, un altro di quegli spiriti luminosi verso di me si avvicinò;"
1152,"ver’ me si fece, e ’l suo voler piacermi",e manifestava  con il risplendere all’esterno 
1153,significava nel chiarir di fori.,il suo desiderio di darmi nuove gioie .
1154,"Li occhi di Bëatrice, ch’eran fermi","Lo sguardo di Beatrice, che era fisso su di me come prima,"
1155,"sovra me, come pria, di caro assenso",mi rese sicuro  del suo
1156,al mio disio certificato fermi.,prezioso consenso al mio desiderio .
1157,"«Deh, metti al mio voler tosto compenso,","«Orsù, anima felice, dà soddisfazione subito "
1158,"beato spirto», dissi, «e fammi prova","al mio desiderio» dissi, «e dammi la dimostrazione"
1159,ch’i’ possa in te refletter quel ch’io penso!».,che io posso far rispecchiare in te i miei pensieri!».
1160,"Onde la luce che m’era ancor nova,","Allora lo spirito, che mi era ancora sconosciuto, dal suo intimo,"
1161,"del suo profondo, ond’ ella pria cantava,","dentro il quale prima cantava, prese a dire "
1162,seguette come a cui di ben far giova:,come colui al quale procura gioia esercitare la carità :
1163,«In quella parte de la terra prava,«In quel territorio della corrotta  nazione italiana
1164,italica che siede tra Rïalto,che si distende tra Venezia  e le sorgenti 
1165,"e le fontane di Brenta e di Piava,","dei fiumi Brenta e Piave ,"
1166,"si leva un colle, e non surge molt’ alto,","si alza un colle, non molto elevato,"
1167,là onde scese già una facella,da dove in passato  discese una fiamma devastatrice 
1168,che fece a la contrada un grande assalto.,che esercitò immane violenza su tutta la regione.
1169,D’una radice nacqui e io ed ella:,Io e questa persona nascemmo dagli stessi genitori :
1170,"Cunizza fui chiamata, e qui refulgo","mi fu messo nome Cunizza, e qui risplendo poiché fui sottomessa"
1171,perché mi vinse il lume d’esta stella;,all’influenza luminosa di questa stella ;
1172,ma lietamente a me medesma indulgo,"ma con gioia io perdono a me stessa la causa del mio destino,"
1173,"la cagion di mia sorte, e non mi noia;",né essa mi addolora : il che potrebbe sembrare
1174,che parria forse forte al vostro vulgo.,difficile da capire alla gente del volgo.
1175,Di questa luculenta e cara gioia,Di questo luminoso  e prezioso gioiello
1176,"del nostro cielo che più m’è propinqua,","del nostro cielo, che più mi è vicino ,"
1177,"grande fama rimase; e pria che moia,","si conservò universale fama; e prima che essa scompaia,"
1178,questo centesimo anno ancor s’incinqua:,si ripeterà ancora cinque volte questo anno finale di secolo :
1179,"vedi se far si dee l’omo eccellente,","giudica tu se non debba l’uomo cercare di eccellere,"
1180,sì ch’altra vita la prima relinqua.,affinché la vita terrena se ne lasci indietro  un’altra.
1181,E ciò non pensa la turba presente,"E di questo non tiene conto la gente d’oggi ,"
1182,"che Tagliamento e Adice richiude,","che vive compresa tra i confini del Tagliamento e dell’Adige,"
1183,né per esser battuta ancor si pente;,e benché sia stata punita  indugia ancora a pentirsi;
1184,ma tosto fia che Padova al palude,ma presto accadrà che Padova cambierà il colore
1185,"cangerà l’acqua che Vincenza bagna,","dell’acqua alla palude che circonda Vicenza ,"
1186,per essere al dover le genti crude;,per il fatto che gli abitanti sono restii  a compiere il loro dovere;
1187,"e dove Sile e Cagnan s’accompagna,","e dove si uniscono i fiumi Sile e Cagnano ,"
1188,"tal signoreggia e va con la testa alta,","tiranneggia e avanza orgoglioso un uomo ,"
1189,che già per lui carpir si fa la ragna.,per uccidere il quale già si trama la ragnatela.
1190,Piangerà Feltro ancora la difalta,Anche Feltre soffrirà per il tradimento 
1191,"de l’empio suo pastor, che sarà sconcia","del suo sacrilego vescovo , tanto vergognoso "
1192,"sì, che per simil non s’entrò in malta.",che nessuno fu cacciato in prigione  per colpa così grave.
1193,Troppo sarebbe larga la bigoncia,Troppo grosso dovrebbe essere il recipiente 
1194,"che ricevesse il sangue ferrarese,","in grado di contenere il sangue dei Ferraresi,"
1195,"e stanco chi ’l pesasse a oncia a oncia,",e si stancherebbe chi volesse pesare oncia per oncia 
1196,che donerà questo prete cortese,che questo generoso vescovo offrirà 
1197,per mostrarsi di parte; e cotai doni,per dimostrare di essere un fazioso; e tali regali 
1198,conformi fieno al viver del paese.,saranno simili alla condotta degli abitanti di tutta la regione.
1199,"Sù sono specchi, voi dicete Troni,","Su  vi sono degli angeli ,voi li chiamate Troni,"
1200,onde refulge a noi Dio giudicante;,nei quali si manifesta a noi il giudizio di Dio;
1201,sì che questi parlar ne paion buoni».,perciò queste parole ci sembrano giuste».
1202,Qui si tacette; e fecemi sembiante,A questo punto tacque; e mi fece capire
1203,"che fosse ad altro volta, per la rota","che si era rivolta ad altro, per il fatto che riprese"
1204,in che si mise com’ era davante.,la danza circolare che stava facendo prima .
1205,"L’altra letizia, che m’era già nota","L’altra anima beata, che già sapevo essere una preziosa creatura,"
1206,"per cara cosa, mi si fece in vista",divenne ai miei occhi come un raffinato rubino 
1207,qual fin balasso in che lo sol percuota.,che i raggi del sole colpiscano.
1208,"Per letiziar là sù fulgor s’acquista,","Nei cieli  cresce nel gioire il proprio splendore,"
1209,sì come riso qui; ma giù s’abbuia,"come sulla terra il sorriso; ma nel mondo,"
1210,"l’ombra di fuor, come la mente è trista.","quando il pensiero si fa triste, anche l’aspetto esteriore si offusca ."
1211,"«Dio vede tutto, e tuo veder s’inluia»,","Io dissi: «Dio vede ogni cosa, e la tua vista entra in lui ,"
1212,"diss’ io, «beato spirto, sì che nulla","o anima santa, così a fondo che nessun desiderio "
1213,voglia di sé a te puot’ esser fuia.,può essere a te celato .
1214,"Dunque la voce tua, che ’l ciel trastulla","Quindi perché la tua voce, che rallegra "
1215,sempre col canto di quei fuochi pii,il cielo di continuo insieme al canto di quelle sante fiamme
1216,"che di sei ali facen la coculla,","che si sono fatte vestito  delle loro sei ali ,"
1217,perché non satisface a’ miei disii?,non soddisfa i miei desideri? Io certo non aspetterei
1218,"Già non attendere’ io tua dimanda,","ancora la tua domanda, se potessi entrare in te"
1219,"s’io m’intuassi, come tu t’inmii».",come tu entri nei miei pensieri».
1220,"«La maggior valle in che l’acqua si spanda»,","«Il più grande avvallamento in cui l’acqua si riversa»,"
1221,"incominciaro allor le sue parole,","così iniziò allora la sua risposta, «a eccezione di quel mare"
1222,"«fuor di quel mar che la terra inghirlanda,","che circonda il mondo , si distende in senso contrario"
1223,tra ’ discordanti liti contra ’l sole,"al corso del sole , tra sponde opposte,"
1224,"tanto sen va, che fa meridïano",tanto a lungo da diventare punto meridiano in quel luogo
1225,là dove l’orizzonte pria far suole.,dove all’inizio è solito fare da orizzonte.
1226,Di quella valle fu’ io litorano,Io abitai la costa  di questo mare
1227,"tra Ebro e Macra, che per cammin corto","tra le foci dell’Ebro e quelle del Magra, che per un breve tratto"
1228,parte lo Genovese dal Toscano.,divide  il territorio di Genova dalla Toscana.
1229,Ad un occaso quasi e ad un orto,"La città in cui nacqui , che"
1230,"Buggea siede e la terra ond’ io fui,",con il sangue dei suoi abitanti un tempo 
1231,che fé del sangue suo già caldo il porto.,"scaldò l’acqua del porto, e Buggea "
1232,Folco mi disse quella gente a cui,sono in luoghi di identico tramonto  e identica alba .
1233,fu noto il nome mio; e questo cielo,Quelle persone che conobbero il mio nome
1234,"di me s’imprenta, com’ io fe’ di lui;",mi chiamarono Folco; e questo pianeta di Venere
