,Paradiso,gpt_parafrasi
411," o che Dio solo per sua cortesia dimesso avesse, o che l’uom per sé isso avesse sodisfatto a sua follia","Dio, nella Sua benevolenza, poteva concedere il perdono, oppure l'uomo poteva fare ammenda per la sua iniquità."
412," Ficca mo l’occhio per entro l’abisso de l’etterno consiglio, quanto puoi al mio parlar distrettamente fisso","Regge il tuo sguardo nell'eternità della giustizia divina, afferrando con forza la mia parola."
413," Non potea l’uomo ne’ termini suoi mai sodisfar, ","L'uomo, per la sua natura, non poteva mai salire da solo."
414," per non potere ir giuso con umiltate obedïendo poi, quanto disobediendo intese ir suso","Poiché non poteva docilmente accettare le conseguenze del peccato, divenne arrogante."
415," e questa è la cagion per che l’uom fue da poter sodisfar per sé dischiuso","A causa di ciò, all'uomo fu impedito di tentare una riparazione da solo."
416," Dunque a Dio convenia con le vie sue riparar l’omo a sua intera vita, dico con l’una, o ver con amendue","Perciò era indispensabile che Dio sostenesse l'uomo nella sua esistenza, in un modo o nell'altro, o entrambi."
417," Ma perché l’ovra tanto è più gradita da l’operante, quanto più appresenta de la bontà del core ond’ ell’ è uscita, ",L'opera piace molto a chi la compie quando essa è espressiove del bene che proviene dal suo cuore.
418," la divina bontà che ’l mondo imprenta, di proceder per tutte le sue vie, a rilevarvi suso, fu contenta","il Signore, plasmando il mondo a sua somiglianza, volle adoperare entrambe le vie per redimerci."
419," Né tra l’ultima notte e ’l primo die sì alto o sì magnifico processo, o per l’una o per l’altra, fu o fie",Mai nella storia dell'umanità un tale gesto di grandiosità è stato visto o mai lo sarà sia in un senso che nell'altro.
420," ché più largo fu Dio a dar sé stesso per far l’uom sufficiente a rilevarsi, che s’elli avesse sol da sé dimesso"," i vostri peccatiDio dimostrò maggiore bontà donando la propria vita per riscattarvi, anziché semplicemente perdonare i vostri peccati."
421," e tutti li altri modi erano scarsi a la giustizia, se ’l Figliuol di Dio non fosse umilïato ad incarnarsi","Se il Figlio di Dio non si fosse abbassato prendendo un corpo umano, tutti gli altri mezzi sarebbero stati insufficienti a soddisfare la giustizia divina."
422," Or per empierti bene ogne disio, ritorno a dichiararti in alcun loco, perché tu veggi lì così com’ io","Per assicurare che tu comprenda con la stessa chiarezza di me, voglio chiarire attentamente un particolare per esaudire ogni tuo desiderio."
423," Tu dici",Tu dici
424," “Io veggio l’acqua, io veggio il foco, l’aere e la terra e tutte lor misture venire a corruzione, e durar poco","""Io constato che l'acqua, il fuoco, l'aria e la terra - oltre ai loro composti - sono soggetti alla corruzione e non hanno una durata infinita."
425," e queste cose pur furon creature",e queste cose furono pure creature
426," per che, se ciò ch’è detto è stato vero, esser dovrien da corruzion sicure”","Se quanto mi è stato detto è corretto, allora queste persone dovrebbero essere immuni dalla corruzione."
427," Li angeli, frate, e ’l paese sincero nel qual tu se’, dir si posson creati, sì come sono, in loro essere intero","Gli angeli e il Cielo in cui tu, fratello, ti trovi esistono nella loro interezza."
428," ma li alimenti che tu hai nomati e quelle cose che di lor si fanno da creata virtù sono informati",l'aspetto esteriore di ciò che hai nominato e le componenti degli oggetti sono stati plasmati dall'influenza del Cielo.
429," Creata fu la materia ch’elli hanno",Fu creata l'essenza di cui sono formati
430," creata fu la virtù informante in queste stelle che ’ntorno a lor vanno",In questi astri orbitanti c'è una virtù informativa che è stata creata.
431," L’anima d’ogne bruto e de le piante di complession potenzïata tira lo raggio e ’l moto de le luci sante",Il motore celeste che fa muovere gli astri risveglia l'anima vegetativa e sensitiva nella materia capace di assumere forma.
432," ma vostra vita sanza mezzo spira la somma beninanza, e la innamora di sé sì che poi sempre la disira","Invece di essere creata dalla bontà divina, la vostra anima intellettiva è innamorata di sé al punto da desiderare ardentemente il ritorno a questo amore."
433," E quinci puoi argomentare ancora vostra resurrezion, se tu ripensi come l’umana carne fessi allora che li primi parenti intrambo fensi»","Potete comprendere meglio la vostra rinascita carnale, se considerate che Dio ha creato il corpo umano insieme ai primi progenitori."
434," Solea creder lo mondo in suo periclo che la bella Ciprigna il folle amore raggiasse, volta nel terzo epiciclo","Molte culture dell'antichità prendevano il rischio di considerare Venere, che muoveva nello spazio innevato del terzo Cielo, la responsabile della diffusione dei sentimenti amorosi."
435," per che non pur a lei faceano onore di sacrificio e di votivo grido le genti antiche ne l’antico errore","Di conseguenza i popoli antichi, nella credenza errante del paganesimo, non la onoravano esclusivamente con offerta di sacrifici e promesse."
436," ma Dïone onoravano e Cupido, quella per madre sua, questo per figlio, e dicean ch’el sedette in grembo a Dido","Ma onorarono anche la madre Dione e il figlio Cupido, affermando che quest'ultimo si era seduto nel regno di Didone."
437," e da costei ond’ io principio piglio pigliavano il vocabol de la stella che ’l sol vagheggia or da coppa or da ciglio","Da questa entità venerata, dal quale il nome era utilizzato per descrivere il pianeta che segue o precede la luce del sole all'orizzonte."
438," Io non m’accorsi del salire in ella",Io non realizzai di salire verso il cielo.
439," ma d’esservi entro mi fé assai fede la donna mia ch’i’ vidi far più bella",Capii che ero innamorato di lei quando vidi quanto era diventata stupenda.
440," E come in fiamma favilla si vede, e come in voce voce si discerne, quand’ una è ferma e altra va e riede, ","Come una scintilla che svetta tra le fiamme, o come la voce di un cantante alzata sopra quella di un altro,"
441," vid’ io in essa luce altre lucerne muoversi in giro più e men correnti, al modo, credo, di lor viste interne","Guardando in quel luminoso cielo, notai altre luci che giravano alla stessa velocità, come se stessero godendo di un piacevole momento interiore."
442," Di fredda nube non disceser venti, o visibili o no, tanto festini, ","Mai da una fredda nube erano scesi dei venti così veloci, visibili o invisibili."
443," che non paressero impediti e lenti a chi avesse quei lumi divini veduti a noi venir, lasciando il giro pria cominciato in li alti Serafini","che non sembrassero frenati e lenti, a chiunque avesse osservato quei divini raggi di luce dirigersi verso di noi, la danza che erano stati costretti ad iniziale nel Primo Mobile era ormai soltanto un ricordo."
444," e dentro a quei che più innanzi appariro sonava ‘Osanna’ sì, che unque poi di rïudir non fui sanza disiro","Quando arrivammo a quelle che sembravano le più prossime, risuonava un 'Osanna' così forte e intenso da farmi rimanere con il desiderio di sentirlo ancora."
445," Indi si fece l’un più presso a noi e solo incominciò",Uno spirito si avvicinò e iniziò a discorrere autonomamente.
446," «Tutti sem presti al tuo piacer, perché di noi ti gioi","»Siamo ben lieti di soddisfare i tuoi desideri, in modo tale che tu possa rallegrarti con la nostra compagnia."
447," Noi ci volgiam coi principi celesti d’un giro e d’un girare e d’una sete, ai quali tu del mondo già dicesti","Ci muoviamo insieme, condividendo la stessa danza e il medesimo movimento desiderato da Dio mentre balliamo con i Principati, come tu avevi detto al mondo una volta."
448," ‘Voi che ’ntendendo il terzo ciel movete’",Con la vostra intelligenza createvi un accesso al Terzo Cielo.
449," e sem sì pien d’amor, che, per piacerti, non fia men dolce un poco di quïete»","Siamo talmente pieni di amore che, per accontentarti, rinunciamo volentieri a stare fermi ancora per un po'."
450," Poscia che li occhi miei si fuoro offerti a la mia donna reverenti, ed essa fatti li avea di sé contenti e certi, ","Dopo aver rivolto un saluto rispettoso alla mia donna e dopo che lei mi aveva dato un segnale di incoraggiamento,"
451," rivolsersi a la luce che promessa tanto s’avea, e «Deh, chi siete?» fue la voce mia di grande affetto impressa",Leccai con lo sguardo la luce che mi aveva suscitato tante aspettative e chiesi con grande emozione «Chi sei?»
452," E quanta e quale vid’ io lei far piùe per allegrezza nova che s’accrebbe, quando parlai, a l’allegrezze sue","In che modo notai come la luce si ampliasse e diventasse più luminosa mentre parlavo, a causa dell'espansione della felicità aggiunta alla gioia preesistente"
453," Così fatta, mi disse","Dopo essere diventata tale, mi disse"
454," «Il mondo m’ebbe giù poco tempo",Non ho potuto godere a lungo della bellezza del mondo.
455," e se più fosse stato, molto sarà di mal, che non sarebbe","Se avessi vissuto più a lungo, molto del male che si verificherà non sarebbe successo."
456," La mia letizia mi ti tien celato che mi raggia dintorno e mi nasconde quasi animal di sua seta fasciato","La mia felicità che brilla intorno a me è nascosta ai tuoi occhi, come un animale avvolto dalla seta."
457," Assai m’amasti, e avesti ben onde",Mi hai amato profondamente ed è stata una grandissima scelta.
458," che s’io fossi giù stato, io ti mostrava di mio amor più oltre che le fronde","se fossi stato ancora vivo, avrei svelato a te non soltanto i segnali della mia devozione"
459," Quella sinistra riva che si lava di Rodano poi ch’è misto con Sorga, per suo segnore a tempo m’aspettava, ","Aspettavo da tempo di governare quella riva sinistra del Rodano, bagnata dalle acque del Sorga."
460," e quel corno d’Ausonia che s’imborga di Bari e di Gaeta e di Catona, da ove Tronto e Verde in mare sgorga","Il 'corno d'Italia', con le sue città Bari, Gaeta e Catona, è una penisola in cui i fiumi Tronto e Liri sfociano nel mare."
461," Fulgeami già in fronte la corona di quella terra che ’l Danubio riga poi che le ripe tedesche abbandona","Gia' portavo fieramente la corona di quella terra che il Danubio lambisce, dopo aver sconfinato nelle terre tedesche."
462," E la bella Trinacria, che caliga tra Pachino e Peloro, sopra ’l golfo che riceve da Euro maggior briga, ","L'incantevole Sicilia, con i suoi veli di nebbia che si estendono tra Pachino e Peloro, è baciata dalle profumate brezze dello Scirocco sul Golfo."
463," non per Tifeo ma per nascente solfo, ","Invece che a causa di Tifeo, il gigante, fu lo zolfo ad essere la causa."
464," attesi avrebbe li suoi regi ancora, nati per me di Carlo e di Ridolfo, ",Lei avrebbe continuato ad aspettare i suoi monarchi generati da me attraverso Carlo e Rodolfo.
465," se mala segnoria, che sempre accora li popoli suggetti, non avesse mosso Palermo a gridar","Se il cattivo governo, che spinge sempre i popoli a ribellarsi, non avesse costretto Palermo a gridare"
466," “Mora, mora”","""Muoia, muoia"""
467," E se mio frate questo antivedesse, l’avara povertà di Catalogna già fuggeria, perché non li offendesse","Se mio fratello avesse intuito ciò, avrebbe evitato l'avarizia tipica dei Catalani per non farsi danneggiare"
468," ché veramente proveder bisogna per lui, o per altrui, sì ch’a sua barca carcata più d’incarco non si pogna","È necessario che lui o qualcun altro prenda le redini, in modo tale da evitare ulteriori danni al suo regno."
469," La sua natura, che di larga parca discese, avria mestier di tal milizia che non curasse di mettere in arca»","Lo spirito nobile dei suoi antenati liberali è contraddetto da una natura avara, ma la sua necessità di avere soldati non interessati solo al guadagno richiede forze adeguate."
470," «Però ch’i’ credo che l’alta letizia che ’l tuo parlar m’infonde, segnor mio, là ’ve ogne ben si termina e s’inizia, ","Ritengo che la grande soddisfazione che mi trasmette il tuo discorso, mio signore, ha inizio e fine con ogni bene."
471," per te si veggia come la vegg’ io, grata m’è più","la condividiamo entrambi, e ha un significato speciale per me"
472," e anco quest’ ho caro perché ’l discerni rimirando in Dio",è una gioia per me vedere che tu guardi a Dio.
473," Fatto m’hai lieto, e così mi fa chiaro, poi che, parlando, a dubitar m’hai mosso com’ esser può, di dolce seme, amaro»","Mi hai reso felice, quindi per favore chiarisci le cose, considerando che le tue parole mi hanno fatto dubitare su come possa accadere che un figlio sia meno dotato del padre."
474," Questo io a lui",Io gli dissi questo
475," ed elli a me",E lui a me
476," «S’io posso mostrarti un vero, a quel che tu dimandi terrai lo viso come tien lo dosso","Se io ti mostrassi la verità, il tuo dubbio si sarebbe dissipato e tu guarderesti dove un tempo avevi voltato le spalle."
477," Lo ben che tutto il regno che tu scandi volge e contenta, fa esser virtute sua provedenza in questi corpi grandi","La Provvidenza, che crea benefici regnando su tutti i regni che attraversi, si fa forza operativa per illuminare queste stelle."
478," E non pur le nature provedute sono in la mente ch’è da sé perfetta, ma esse insieme con la lor salute","Nella Perfetta Mentalità di Dio, non sono solo le diverse essenze che vengono stabilite, ma anche il loro scopo."
479," per che quantunque quest’ arco saetta disposto cade a proveduto fine, sì come cosa in suo segno diretta","come la freccia di quest'arco cade per un motivo specifico, così arriva diretta al bersaglio"
480," Se ciò non fosse, il ciel che tu cammine producerebbe sì li suoi effetti, che non sarebbero arti, ma ruine","Se non fosse così, il percorso che tu compi nel Cielo si rivelerebbe dannoso invece di produrre effetti vantaggiosi."
481," e ciò esser non può, se li ’ntelletti che muovon queste stelle non son manchi, e manco il primo, che non li ha perfetti","Se le intelligenze angeliche che muovono queste stelle non fossero difettose e se neppure il primo intelletto lo fosse, nulla potrebbe impedire a questo di accadere."
482," Vuo’ tu che questo ver più ti s’imbianchi?»",Desideri maggiori informazioni riguardo a ciò?
483," E io",E io
484," «Non già ché impossibil veggio che la natura, in quel ch’è uopo, stanchi»",Riconosco che la natura non può fallire nell'adempiere a ciò che è indispensabile.
485," Ond’ elli ancora","Poi, andò avanti."
486," «Or dì",ora dimmi
487," sarebbe il peggio per l’omo in terra, se non fosse cive?»",Sarebbe peggio per l'uomo sulla terra se non avesse cittadinanza?
488," «Sì», rispuos’ io","Io dissi: ""Affermativo""."
489," «e qui ragion non cheggio»",non mi aspetto spiegazioni a riguardo.
490," «E puot’ elli esser, se giù non si vive diversamente per diversi offici? ","Cosa accadrebbe, se sulla Terra ognuno non avesse una funzione specifica da svolgere?"
491," Non, se ’l maestro vostro ben vi scrive»","No, se il vostro maestro dice la verità."
492," Sì venne deducendo infino a quici",Rifletteva su questo fino a qui.
493," poscia conchiuse",quindi concluse
494," «Dunque esser diverse convien di vostri effetti le radici",Ne consegue che l'origine dei vostri risultati sia diversa.
495," per ch’un nasce Solone e altro Serse, altro Melchisedèch e altro quello che, volando per l’aere, il figlio perse","ecco spiegato il motivo per cui alcuni nascono come legislatori, altri quali condottieri, sacerdoti o ingegneri; proprio come colui che ha perso un figlio mentre volava nel cielo."
496," La circular natura, ch’è suggello a la cera mortal, fa ben sua arte, ma non distingue l’un da l’altro ostello","L'intelligenza divina, che dà forma alla fragilità della vita umana, esercita la sua capacità ma non fa distinzioni tra un nucleo familiare e l'altro."
497," Quinci addivien ch’Esaù si diparte per seme da Iacòb","Esaù è diverso da Giacobbe, il suo fratello, per questo motivo."
498," e vien Quirino da sì vil padre, che si rende a Marte","È così che Romolo, ritenuto figlio di Marte, può essere discendente da un padre tanto modesto."
499," Natura generata il suo cammino simil farebbe sempre a’ generanti, se non vincesse il proveder divino","Se la divina Provvidenza non fosse più forte, la natura prodotta seguirebbe un percorso identico ai creatori."
500," Or quel che t’era dietro t’è davanti",Ciò che prima era alle tue spalle ora è davanti a te.
501," ma perché sappi che di te mi giova, un corollario voglio che t’ammanti","Per dimostrarti quanto io sia felice di stare con te, voglio farti ancora un altro omaggio."
502," Sempre natura, se fortuna trova discorde a sé, com’ ogne altra semente fuor di sua regïon, fa mala prova","Ogni volta che le circostanze esterne non sono favorevoli, la natura dà risultati negativi come un seme che cresce in condizioni sfavorevoli alla sua specie."
503," E se ’l mondo là giù ponesse mente al fondamento che natura pone, seguendo lui, avria buona la gente","Se il mondo terreno si attenesse maggiormente ai principi della natura, ci troveremmo di fronte a persone più eccellenti."
504," Ma voi torcete a la religïone tal che fia nato a cignersi la spada, e fate re di tal ch’è da sermone","Sezionate alla vita religiosa chi sarebbe predestinato a portare la spada, e incoronate colui che sarebbe venuto chiamato per dedicarsi alla religione."
505," onde la traccia vostra è fuor di strada»",Ecco perché la vostra strada si discosta dal sentiero giusto.
506," Da poi che Carlo tuo, bella Clemenza, m’ebbe chiarito, mi narrò li ’nganni che ricever dovea la sua semenza","Una volta che canale della tua Clemenza, Carlo ebbe dissipato i miei dubbi, mi narrò le sventureche dovevano inseguire i suoi discendenti."
507," ma disse",Ma affermò
508," «Taci e lascia muover li anni»",Tieni la tua bocca chiusa e lascia che il tempo passi.
509," sì ch’io non posso dir se non che pianto giusto verrà di retro ai vostri danni","Sfortunatamente, non posso affermare che Dio tratterà le vostre disgrazie con equilibrio."
510," E già la vita di quel lume santo rivolta s’era al Sol che la rïempie come quel ben ch’a ogne cosa è tanto",L'anima della luce sacra si era ormai rivolta a quel Sole che trabocca come la benedizione più grande di tutte.
511," Ahi anime ingannate e fatture empie, che da sì fatto ben torcete i cuori, drizzando in vanità le vostre tempie","Ahimè, anime distratte e creature degradate, che sviati i cuori dalla giusta via e dirigete le vostre menti su cose futili."
512," Ed ecco un altro di quelli splendori ver’ me si fece, e ’l suo voler piacermi significava nel chiarir di fori","Mi avvicinò un'altra di quelle straordinarie meraviglie, brillante come se avesse voluto rispondere alle mie richieste."
513," Li occhi di Bëatrice, ch’eran fermi sovra me, come pria, di caro assenso al mio disio certificato fermi","Beatrice, con gli occhi fissi su di me come prima, mi diede un cenno d'approvazione al mio desiderio di esprimermi."
514," «Deh, metti al mio voler tosto compenso, beato spirto», dissi, ","«Mettiamo un freno alla mia volontà al più presto», affermai"
515," «e fammi prova ch’i’ possa in te refletter quel ch’io penso»",Fammi vedere che i miei pensieri possono essere riconosciuti nella tua mente.
516," Onde la luce che m’era ancor nova, del suo profondo, ond’ ella pria cantava, seguette come a cui di ben far giova","Allora quella luce, sconosciuta a me fino ad allora, dalla sua tenebrosità dove prima cantava, iniziò a parlare come chi ama fare del bene."
517," «In quella parte de la terra prava italica che siede tra Rïalto e le fontane di Brenta e di Piava, "," le più dolci e perfette selve della terra»In mezzo all'Italia oscura, in quell'area tra Rialto e le foci del Brenta e del Piave, giacciono i più teneri boschi di tutta la Terra."
518," si leva un colle, e non surge molt’ alto, là onde scese già una facella che fece a la contrada un grande assalto",Da una collina non troppo alta sorse una torcia che sprigionò un autoritarismo sulla zona circostante.
519," D’una radice nacqui e io ed ella",io e lei abbiamo lo stesso ceppo genitoriale.
520," Cunizza fui chiamata, e qui refulgo perché mi vinse il lume d’esta stella","Chiamata Cunizza, mi trovo qui sopra ad abbagliare questo Cielo perché non riesco a resistere al fascino di questo mondo."
521," ma lietamente a me medesma indulgo la cagion di mia sorte, e non mi noia",Con gioia mi perdono la causa di questa mia sorte e non provo alcuna amarezza.
522," che parria forse forte al vostro vulgo",qualcosa che potrebbe apparire complicato da comprendere per il comune cittadino.
523," Di questa luculenta e cara gioia del nostro cielo che più m’è propinqua, grande fama rimase"," La grande fama di questa lucente e meravigliosa stella del nostro firmamento più vicina a me resterà sempre."
524," e pria che moia, questo centesimo anno ancor s’incinqua",Cinque secoli passeranno prima che essa svanisca.
525," vedi se far si dee l’omo eccellente, sì ch’altra vita la prima relinqua","l'uomo deve cercare di guadagnarsi la fama, in modo da lasciare un ricordo glorioso dopo il suo passaggio terreno."
526," E ciò non pensa la turba presente che Tagliamento e Adice richiude, né per esser battuta ancor si pente","Nonostante le punizioni, il popolo della Marca Trevigiana ,compresa tra il Tagliamento e l'Adige, non rimpiange i propri errori e continua a vivere senza riflettere sulle conseguenze."
527," ma tosto fia che Padova al palude cangerà l’acqua che Vincenza bagna, per essere al dover le genti crude","È imminente che i Padovani si sacrificheranno, versando il loro sangue nella palude che bagnava Vicenza, come espiazione del loro rifiuto di rispettare il dovere."
528," e dove Sile e Cagnan s’accompagna, tal signoreggia e va con la testa alta, che già per lui carpir si fa la ragna","Nel punto in cui il Sile e il Cagnano confluiscono un tiranno versa la sua superbia, tanto che le congiure per eliminarlo sono già state architettate."
529," Piangerà Feltro ancora la difalta de l’empio suo pastor, che sarà sconcia sì, che per simil non s’entrò in malta","Feltre sarebbe inorridita dalla condotta del suo vescovo malvagio, tanto riprovevole che nessuno era mai stato incarcerato per un reato di quella gravità."
530," Troppo sarebbe larga la bigoncia che ricevesse il sangue ferrarese, e stanco chi ’l pesasse a oncia a oncia, ",Il recipiente necessario per contenere l'intero sangue dei Ferraresi sarebbe talmente grande che chiunque ne tentasse una misurazione accurata si stancherebbe in fretta.
531," che donerà questo prete cortese per mostrarsi di parte",Questo prete cortese offrirà il proprio sangue in omaggio della sua devozione al suo partito.
532," e cotai doni conformi fieno al viver del paese",e questi doni saranno appropriati a quel paese.
533," Sù sono specchi, voi dicete Troni, onde refulge a noi Dio giudicante","Da degli specchi conosciuti come Troni, lì dall' alto risplende a noi la saggezza giudicante di Dio."
534," sì che questi parlar ne paion buoni»",Pertanto ci sembra che queste affermazioni siano corrette.
535," Qui si tacette",In quel momento non aggiunse altro.
536," e fecemi sembiante che fosse ad altro volta, per la rota in che si mise com’ era davante","e mi dimostrò che aveva dedicato la sua attenzione ad altro, dato che si mise di nuovo a ballare in cerchio come faceva prima."
537," L’altra letizia, che m’era già nota per cara cosa, mi si fece in vista qual fin balasso in che lo sol percuota","L'altro spirito luminoso, che mi era stato presentato come un tesoro inestimabile, si rivelò come un preziosissimo rubino illuminato dall'irradiazione del sole."
538," Per letiziar là sù fulgor s’acquista, sì come riso qui","Nell'aldilà quel che si coltiva è scintillio quando ci si esalta, proprio come sulla Terra se sorge un sorriso."
539," ma giù s’abbuia l’ombra di fuor, come la mente è trista",mentre all'esterno l'ombra si oscura tanto quanto la mente è addolorata dall'Inferno
540," «Dio vede tutto, e tuo veder s’inluia», diss’ io, ",Io dissi che Dio vede ogni cosa e che la nostra percezione si fonde nella Sua visione.
541," «beato spirto, sì che nulla voglia di sé a te puot’ esser fuia","O spirito divino, in modo che niente può resistere alla tua desiderabilità."
542," Dunque la voce tua, che ’l ciel trastulla sempre col canto di quei fuochi pii che di sei ali facen la coculla, ","Dunque, la tua voce, che col canto degli angeli in sei ali ricolma sempre di gioia il Cielo."
543," perché non satisface a’ miei disii? ",perché non accontenta i miei desideri?
544," Già non attendere’ io tua dimanda, s’io m’intuassi, come tu t’inmii»","Non aspetterei certo che tu parlassi, se avessi la possibilità di scorgere dentro di te come tu puoi farlo in me."
545," «La maggior valle in che l’acqua si spanda», incominciaro allor le sue parole, ",Cominciò a parlare mentre guardava l'ampia depressione che riempiva d'acqua.
546," «fuor di quel mar che la terra inghirlanda, tra ’ discordanti liti contra ’l sole tanto sen va, ","oltre i lidi opposti, all'orizzonte verso oriente giace un mare tanto vasto che abbraccia le terre circostanti."
547," che fa meridïano là dove l’orizzonte pria far suole",Prima era l'orizzonte che delimitava il meridiano.
548," Di quella valle fu’ io litorano tra Ebro e Macra, che per cammin corto parte lo Genovese dal Toscano",".Io venni alla luce sulle rive della conca tra il fiume Ebro e il Magra, che per un breve periodo divide la Liguria dalla regione Toscana."
549," Ad un occaso quasi e ad un orto Buggea siede e la terra ond’ io fui, che fé del sangue suo già caldo il porto","Buggea, la città in cui sono nato, è illuminata dalla stessa alba e ha lo stesso orizzonte della città che ha versato tanto sangue nel porto."
550," Folco mi disse quella gente a cui fu noto il nome mio",Coloro che mi incontrarono mi conobbero come Folco.
551," e questo cielo di me s’imprenta, com’ io fe’ di lui","Come il Cielo irradiava della mia luce, anch'io riflettevo della sua."
552," ché più non arse la figlia di Belo, noiando e a Sicheo e a Creusa, di me, infin che si convenne al pelo","infatti la figlia di Belo, che offese Sicheo e Creusa, non bruciò più per me, mentre ero giovane"
553," né quella Rodopëa che delusa fu da Demofoonte, né Alcide quando Iole nel core ebbe rinchiusa","Né Fillide, la Rodopea abbandonata da Demofoonte, bruciò di passione per lui, né Alcide lo fece quando s'innamorò di Iole."
554," Non però qui si pente, ma si ride, ","Invece di rammaricarsi per questo, qui si gode la situazione."
555," non de la colpa, ch’a mente non torna, ma del valor ch’ordinò e provide"," destinoNon ricordiamo più la colpa, ma dobbiamo riconoscere che è stata la virtù divina a stabilire e determinare questa sorte."
556," Qui si rimira ne l’arte ch’addorna cotanto affetto, e discernesi ’l bene per che ’l mondo di sù quel di giù torna","Qui in Paradiso siamo testimoni della gloria divina della creazione, arricchita dall'amore di Dio; e possiamo percepire la saggezza del proposito provvidenziale per cui le divine volontà hanno modellato il pianeta terrestre."
557," Ma perché tutte le tue voglie piene ten porti che son nate in questa spera, proceder ancor oltre mi convene","Tutte le tue aspirazioni di apprendimento nate qui, devono essere realizzate appieno, quindi ti dirò qualcos'altro."
558," Tu vuo’ saper chi è in questa lumera che qui appresso me così scintilla come raggio di sole in acqua mera","Vorresti conoscere chi sta riflesso in questa luce scintillante accanto a me, quasi come se fosse un raggio di sole dissipato tra le acque cristalline."
559," Or sappi che là entro si tranquilla Raab",Raab è un luogo dove regna la pace.
560," e a nostr’ ordine congiunta, di lei nel sommo grado si sigilla","e, assieme al nostro cielo, ne assume la luce più intensa a causa di lei."
561," Da questo cielo, in cui l’ombra s’appunta che ’l vostro mondo face, pria ch’altr’ alma del trïunfo di Cristo fu assunta","Prima che Cristo trionfasse, Essa fu chiamata a far parte di questo Cielo, il cui cono d'ombra è proiettato dalla Terra."
562," Ben si convenne lei lasciar per palma in alcun cielo de l’alta vittoria che s’acquistò con l’una e l’altra palma, ",Fu giusto elevare la Croce di Cristo al Cielo come simbolo della grande vittoria che fu conquistata con la sua crocifissione.
563," perch’ ella favorò la prima gloria di Iosüè in su la Terra Santa, che poco tocca al papa la memoria","Il papa ricorda troppo poco la prima vittoria militare ottenuta da Giosuè in Terrasanta, che tuttavia ha avuto un grande effetto positivo."
564," La tua città, che di colui è pianta che pria volse le spalle al suo fattore e di cui è la ’nvidia tanto pianta, ","La tua città, il frutto della ribellione di colui che per primo si oppose a Dio e che ha causato una grande quantità di dolore con la sua invidia."
565," produce e spande il maladetto fiore c’ha disvïate le pecore e li agni, però che fatto ha lupo del pastore","Lanciò e propagò l'infausto fiorino che aveva traviato tutta la società cristiana, dato che trasformò il pastore in un lupo."
566," Per questo l’Evangelio e i dottor magni son derelitti, e solo ai Decretali si studia, sì che pare a’ lor vivagni","Dalla loro apparizione sgualcita, si deduce che i Decretali vengono letti a discapito dei Vangeli e dei libri dei Padri della Chiesa."
567," A questo intende il papa e ’ cardinali",Gli alti dignitari della Chiesa Cattolica stanno prendendo in considerazione questa questione.
568," non vanno i lor pensieri a Nazarette, là dove Gabrïello aperse l’ali","Le loro menti non vagano finché a Nazareth, dove l'arcangelo Gabriele spiegò le sue ali."
569," Ma Vaticano e l’altre parti elette di Roma che son state cimitero a la milizia che Pietro seguette, ","Il Vaticano e gli altri luoghi santi di Roma, a cui assistette il martirio dei primi cristiani che seguirono San Pietro, tuttavia rimangono."
570," tosto libere fien de l’avoltero»",Saranno presto sciolti da questa profanazione.
571," Guardando nel suo Figlio con l’Amore che l’uno e l’altro etternalmente spira, lo primo e ineffabile Valore quanto per mente e per loco si gira con tant’ ordine fé, ","La prima e imperscrutabile Potenza, con lo Spirito Santo che infonde un'eterna vita in lei e il Figlio, di forza creativa ha armoniosamente mosso i Cieli con una perfezione estrema."
572," ch’esser non puote sanza gustar di lui chi ciò rimira",Qualsiasi visione di lui implica apprezzare la Sua magnificenza divina.
573," Leva dunque, lettore, a l’alte rote meco la vista, dritto a quella parte dove l’un moto e l’altro si percuote","Solleva gli occhi, lettore, insieme a me verso le profondità dello spazio infinito e guardiamo dove i due moti opposti si incontrano."
574," e lì comincia a vagheggiar ne l’arte di quel maestro che dentro a sé l’ama, tanto che mai da lei l’occhio non parte","Inizia a contemplare con ammirazione il capolavoro di quell'artista, così tanto da non riuscire mai ad allontanarne lo sguardo."
575," Vedi come da indi si dirama l’oblico cerchio che i pianeti porta, per sodisfare al mondo che li chiama","Vedere come l'orbita dello Zodiaco che trascina i pianeti, risponde alle necessità della Terra di essere chiamata."
576," Che se la strada lor non fosse torta, molta virtù nel ciel sarebbe in vano, e quasi ogne potenza qua giù morta","Se la sua traiettoria non fosse inclinata verso l'Equatore celeste, molte influenze astrali sarebbero inefficaci e qui, sulla Terra, ogni potenzialità della natura risulterebbe inutilizzato."
577," e se dal dritto più o men lontano fosse ’l partire, assai sarebbe manco e giù e sù de l’ordine mondano","Se la differenza fosse più grande o più piccola, l'equilibrio tra i due emisferi sarebbe gravemente compromesso."
578," Or ti riman, lettor, sovra ’l tuo banco, dietro pensando a ciò che si preliba, s’esser vuoi lieto assai prima che stanco","Rimani seduto al tuo posto, lettore, riflettendo su ciò che ti ho detto e su quello che è in arrivo; se vuoi sentirti meglio prima di essere stanco."
579," Messo t’ho innanzi",Te l'ho messo davanti
580," omai per te ti ciba",devi alimentarti da solo ora.
581," ché a sé torce tutta la mia cura quella materia ond’ io son fatto scriba","Poiché quella materia suscita tutta la mia concentrazione, mi è richiesto di trascriverla."
