,Inferno,Parafrasi
417,"  Dopo ciò poco vid’io quello strazio far di costui a le fangose genti, che Dio ancor ne lodo e ne ringrazio","Poco dopo vidi che i dannati immersi nel fango fecero di lui un grande strazio, cosa di cui ancora lodo e ringrazio Dio"
418,"  Tutti gridavano: ""A Filippo Argenti""",Tutti i dannati gridavano: «Addosso a Filippo Argenti»
419, e ’l fiorentino spirito bizzarro in sé medesmo si volvea co’ denti,e quel bizzarro spirito fiorentino si mordeva da sé coi denti
420,"  Quivi il lasciammo, che più non ne narro","Lo lasciammo qui, né dirò altro di lui"
421," ma ne l’orecchie mi percosse un duolo, per ch’io avante l’occhio intento sbarro"," ma ecco che le mie orecchie percepirono un coro lamentoso, per cui drizzai allarmato lo sguardo"
422,"  Lo buon maestro disse: ""Omai, figliuolo, s’appressa la città c’ ha nome Dite, coi gravi cittadin, col grande stuolo""","Il buon maestro disse: «Ormai, figliuolo, si avvicina la città chiamata Dite, coi suoi afflitti abitanti, col grande stuolo di diavoli»"
423,"  E io: ""Maestro, già le sue meschite là entro certe ne la valle cerno, vermiglie come se di foco uscite  fossero""","E io: «Maestro, scorgo già le sue moschee distinte in lontananza, rosse come se fossero uscite dal fuoco»"
424," Ed ei mi disse: ""Il foco etterno ch’entro l’affoca le dimostra rosse, come tu vedi in questo basso inferno"""," E lui mi disse: «Il fuoco eterno che le arroventa all'interno le fa diventare di quel colore, come tu vedi in questo basso Inferno»"
425,  Noi pur giungemmo dentro a l’alte fosse che vallan quella terra sconsolata: le mura mi parean che ferro fosse,Noi arrivammo nei profondi fossati che circondano quella terra dolorosa: le mura mi sembravano fatte di ferro
426,"  Non sanza prima far grande aggirata, venimmo in parte dove il nocchier forte ""Usciteci"", gridò: ""qui è l’intrata""","Non prima di aver percorso un largo giro, giungemmo in un punto dove l'orribile traghettatore gridò: «Scendete, l'ingresso è qui»"
427,"  Io vidi più di mille in su le porte da ciel piovuti, che stizzosamente dicean: ""Chi è costui che sanza morte  va per lo regno de la morta gente?""","Io vidi sulle porte più di mille diavoli piovuti dal cielo, che dicevano con stizza: «Chi è costui che, ancora vivo, osa andare nel regno dei morti?» "
428, E ’l savio mio maestro fece segno di voler lor parlar segretamente,E il mio saggio maestro fece segno di voler parlare con loro separatamente
429,"  Allor chiusero un poco il gran disdegno e disser: ""Vien tu solo, e quei sen vada che sì ardito intrò per questo regno","Allora placarono un poco il loro sdegno, e dissero: «Vieni tu solo, mentre quell'altro se ne vada, visto che ha avuto il coraggio di entrare in questo luogo"
430,  Sol si ritorni per la folle strada: ,"Ritorni da solo lungo la strada che ha percorso follemente, se ne è capace: "
431,"  pruovi, se sa ché tu qui rimarrai, che li ha’ iscorta sì buia contrada""","infatti tu resterai qui, visto che gli hai fatto da guida nel cammino oscuro»"
432,"  Pensa, lettor, se io mi sconfortai nel suon de le parole maladette, ché non credetti ritornarci mai","Pensa, lettore, se non mi sconfortai sentendo quelle parole maledette: credetti di non fare mai ritorno sulla Terra"
433,"  ""O caro duca mio, che più di sette volte m’ hai sicurtà renduta e tratto d’alto periglio che ’ncontra mi stette,  non mi lasciar"", diss’io, ""così disfatto","Io dissi: «O cara mia guida, che tante volte mi ha dato sicurezza e mi hai salvato da un grave pericolo che mi minacciava, non mi lasciare in questa situazione"
434," e se ’l passar più oltre ci è negato, ritroviam l’orme nostre insieme ratto"""," e se ci è negato di passare più oltre, affrettiamoci a tornare sui nostri passi»"
435,"  E quel segnor che lì m’avea menato, mi disse: ",E quel maestro che mi aveva condotto fin lì mi disse: 
436,"  ""Non temer ché ’l nostro passo non ci può tòrre alcun: da tal n’è dato","«Non aver paura, dal momento che nessuno può opporsi al nostro viaggio, voluto da Dio"
437,"  Ma qui m’attendi, e lo spirito lasso conforta e ciba di speranza buona, ch’i’ non ti lascerò nel mondo basso""","Ora aspettami qui, e conforta il tuo spirito prostrato con buona speranza, poiché non ti lascerò certo nell'Inferno»"
438,"  Così sen va, e quivi m’abbandona lo dolce padre, e io rimagno in forse, che sì e no nel capo mi tenciona","Così il dolce padre se ne andò e mi lasciò lì, pieno di dubbi, incerto su cosa sarebbe successo"
439,  Udir non potti quello ch’a lor porse,Non fui in grado di sentire quello che disse ai diavoli
440," ma ei non stette là con essi guari, che ciascun dentro a pruova si ricorse"," ma non rimase a lungo a parlare, poiché ciascuno di loro tornò di corsa dentro le mura"
441,"  Chiuser le porte que’ nostri avversari nel petto al mio segnor, che fuor rimase e rivolsesi a me con passi rari","Quei nostri nemici chiusero le porte in faccia al mio maestro, che rimase fuori e tornò verso di me a passo lento"
442,"  Li occhi a la terra e le ciglia avea rase d’ogne baldanza, e dicea ne’ sospiri: ""Chi m' ha negate le dolenti case""","Aveva lo sguardo a terra e gli occhi privi di ogni sicurezza, e sospirando diceva: «Chi mi ha negato l'accesso alla città dolente"
443,"  E a me disse: ""Tu, perch’io m’adiri, non sbigottir, ch’io vincerò la prova, qual ch’a la difension dentro s’aggiri","»E a me disse: «Tu non perderti d'animo, anche se io sono adirato, poiché io vincerò la prova, qualunque sia la difesa che approntano dentro la città"
444,  Questa lor tracotanza non è nova,Questa loro alterigia non è cosa nuova
445," ché già l’usaro a men segreta porta, la qual sanza serrame ancor si trova"," la usarono per difendere una porta meno nascosta, la quale è tuttora senza battenti"
446,Sovr’essa vedestù la scritta morta: ,Su di essa tu hai letto la scritta minacciosa: 
447,"e già di qua da lei discende l’erta, passando per li cerchi sanza scorta,  tal che per lui ne fia la terra aperta""","e già da essa sta scendendo lungo la china un messo celeste, che passa per i Cerchi senza scorta, che farà in modo di aprirci il passaggio»"
449," Quel color che viltà di fuor mi pinse veggendo il duca mio tornare in volta, più tosto dentro il suo novo ristrinse","Quel pallore che la mia viltà mi colorò sul viso, vedendo la mia guida tornare sui suoi passi, indusse Virgilio a trattenere dentro di sé i suoi dubbi"
450, Attento si fermò com’uom ch’ascolta," Si fermò, tendendo l'orecchio per ascoltare"
451, ché l’occhio nol potea menare a lunga per l’aere nero e per la nebbia folta," infatti non poteva spingere lontano lo sguardo, a causa dell'oscurità e della fitta nebbia"
452,"""Pur a noi converrà vincer la punga"", cominciò el, ""se non tal ne s’offerse","Cominciò a dire: «Eppure è inevitabile che noi vinceremo la battaglia, a meno che ci è stato promesso un valido aiuto"
453," Oh quanto tarda a me ch’altri qui giunga""","Oh, come vorrei che arrivasse qui subito»"
454,"  I’ vidi ben sì com’ei ricoperse lo cominciar con l’altro che poi venne, che fur parole a le prime diverse","Io mi accorsi del fatto che cambiò discorso rispetto a quello che aveva iniziato, che probabilmente sarebbe stato diverso"
455,"  ma nondimen paura il suo dir dienne, perch’io traeva la parola tronca forse a peggior sentenzia che non tenne","nondimeno le sue parole crearono in me paura, perché io interpretavo la frase interrotta con un senso forse peggiore di quanto non avesse in realtà"
456,"  ""In questo fondo de la trista conca discende mai alcun del primo grado, che sol per pena ha la speranza cionca?""","«È mai successo che un'anima del I Cerchio, la cui unica pena è non avere speranza di salvezza, sia scesa in fondo al basso Inferno?»"
457,  Questa question fec’io,"Io posi questa domanda a Virgilio, "
458," e quei ""Di rado incontra"", mi rispuose, ""che di noi faccia il cammino alcun per qual io vado",e lui rispose: «Accade raramente che qualcuno di noi compia questo stesso cammino
459,"  Ver è ch’altra fïata qua giù fui, congiurato da quella Eritón cruda che richiamava l’ombre a’ corpi sui","È pur vero che io scesi già qui un'altra volta, evocato da quella crudele maga Eritone che richiamava le anime nei loro corpo"
460,"  Di poco era di me la carne nuda, ch’ella mi fece intrar dentr’a quel muro, per trarne un spirto del cerchio di Giuda","Mi ero separato da poco dal mio corpo , quando lei mi fece entrare dentro quelle mura  per trarre uno spirito fuori dalla Giudecca"
461,"  Quell’è ’l più basso loco e ’l più oscuro, e ’l più lontan dal ciel che tutto gira: ben so ’l cammin però ti fa sicuro","Quello è il punto più basso e oscuro dell'inferno, nonché il più lontano dal Primo Mobile: io so bene la strada, perciò sta' tranquillo"
462,"  Questa palude che ’l gran puzzo spira cigne dintorno la città dolente, u’ non potemo intrare omai sanz’ira""","Questa palude che emana il gran puzzo cinge tutt'intorno la città di Dite, dove ormai non potremo entrare senza forzare la volontà dei demoni»"
463,"  E altro disse, ma non l’ ho a mente","Aggiunse altro, ma non lo ricordo, "
464," però che l’occhio m’avea tutto tratto ver’ l’alta torre a la cima rovente, ","poiché il mio sguardo fu attirato verso l'alta torre dalla cima arroventata, "
465," dove in un punto furon dritte ratto tre furïe infernal di sangue tinte, che membra feminine avieno e atto,  e con idre verdissime eran cinte","dove in un punto si erano affacciate le tre Furie infernali, sporche di sangue, che avevano membra e comportamento femminili, ed erano circondate da idre verdissime"
466," serpentelli e ceraste avien per crine, onde le fiere tempie erano avvinte"," avevano per capelli serpentelli e ceraste, di cui avevano avvolte le tempie"
467,"  E quei, che ben conobbe le meschine de la regina de l’etterno pianto, ""Guarda"", mi disse, ""le feroci Erine","E Virgilio, che riconobbe subito le ancelle della regina dell'Inferno , mi disse: «Guarda le feroci Erinni "
468,  Quest’è Megera dal sinistro canto,Questa a sinistra è Megera
469, quella che piange dal destro è Aletto, quella che piange a destra è Aletto
470," Tesifón è nel mezzo""", Tesifone è al centro»
471, e tacque a tanto, a quel punto tacque
472,  Con l’unghie si fendea ciascuna il petto,Ciascuna si squarciava il petto con le unghie
473," battiensi a palme e gridavan sì alto, ch’i’ mi strinsi al poeta per sospetto"," si battevano con le palme delle mani, e gridavano così forte che io, per paura, mi strinsi a Virgilio"
474,"  ""Vegna Medusa: sì ’l farem di smalto"", ","«Venga qui Medusa, così lo trasformeremo in pietra», "
475,  dicevan tutte riguardando in giuso,dicevano tutte guardando in basso
476," ""mal non vengiammo in Tesëo l’assalto""", «facemmo male a non vendicare l'assalto di Teseo»
477,"  ""Volgiti ’n dietro e tien lo viso chiuso",«Voltati indietro e tieni gli occhi chiusi: 
478," ché se ’l Gorgón si mostra e tu ’l vedessi, nulla sarebbe di tornar mai suso""","infatti, se la Gorgone si mostrasse e tu la vedessi, non avresti alcuna speranza di tornare sulla Terra»"
479,  Così disse ’l maestro,Così disse il maestro
480," ed elli stessi mi volse, e non si tenne a le mie mani, che con le sue ancor non mi chiudessi"," ed egli stesso mi fece voltare, e non si accontentò che io mi mettessi le mani sugli occhi, ma aggiunse anche le sue"
481,"  O voi ch'avete li 'ntelletti sani, mirate la dottrina che s'asconde sotto 'l velame de li versi strani","O voi che avete gli intelletti integri, osservate bene l'insegnamento che si cela sotto il velo dei miei versi misteriosi"
482,"  E già venìa su per le torbide onde un fracasso d’un suon, pien di spavento, per cui tremavano amendue le sponde,  non altrimenti fatto che d’un vento impetüoso per li avversi ardori, che fier la selva e sanz’alcun rattento  li rami schianta, abbatte e porta fori","Già arrivava lungo le acque fangose dello Stige un gran frastuono, che faceva paura, per cui entrambe le sponde tremavano, proprio come un vento impetuoso che per le temperature contrarie colpisce la selva e senza alcun riguardo schianta, abbatte e trascina via i rami"
483," dinanzi polveroso va superbo, e fa fuggir le fiere e li pastori"," procede superbo tra la polvere, facendo scappare belve e pastori"
484,"  Li occhi mi sciolse e disse: ""Or drizza il nerbo del viso su per quella schiuma antica per indi ove quel fummo è più acerbo""","Virgilio mi fece aprire gli occhi e disse: «Ora punta lo sguardo verso quell'antico pantano, dove il vapore è più fitto»"
485,"  Come le rane innanzi a la nimica biscia per l’acqua si dileguan tutte, ","Come le rane fuggono tutte davanti alla biscia loro avversaria, "
486,"  fin ch’a la terra ciascuna s’abbica,  ","finché ciascuna si ammucchia sulla terraferma, "
487,  vid’io più di mille anime distrutte fuggir così dinanzi ad un ch’al passo passava Stige con le piante asciutte,"così io vidi più di mille anime di iracondi fuggire davanti ad uno che attraversava lo Stige camminando, coi piedi asciutti"
488,"  Dal volto rimovea quell’aere grasso, menando la sinistra innanzi spesso",Con la mano sinistra scacciava spesso il fumo dal volto 
489, e sol di quell’angoscia parea lasso,e ciò sembrava il suo unico fastidio
490,"  Ben m’accorsi ch’elli era da ciel messo, e volsimi al maestro",Capii subito che quello era il messo celeste e mi rivolsi al maestro
491, e quei fé segno ch’i’ stessi queto ed inchinassi ad esso, e lui mi fece cenno che stessi calmo e mi inchinassi al nuovo venuto
492,  Ahi quanto mi parea pien di disdegno,"Oh, quanto mi sembrava pieno di disprezzo "
493," Venne a la porta e con una verghetta l’aperse, che non v’ebbe alcun ritegno"," Giunse alla porta di Dite e con l'aprì con un bastoncino, senza incontrare opposizione"
494,"  ""O cacciati del ciel, gente dispetta"", cominciò elli in su l’orribil soglia, ""ond’esta oltracotanza in voi s’alletta?  ","«O voi che il Cielo ha scacciato, gente disprezzata,» cominciò a dire sulla orribile soglia, «da dove trae origine in voi questa alterigia?"
495,"  Perché recalcitrate a quella voglia a cui non puote il fin mai esser mozzo, e che più volte v’ ha cresciuta doglia?  ","Perché vi opponete a quel volere che non può mai non andare a buon fine, e che più volte ha accresciuto le vostre pene?"
496,"  Che giova ne le fata dar di cozzo? Cerbero vostro, se ben vi ricorda, ne porta ancor pelato il mento e ’l gozzo""","A cosa serve opporsi al destino? Il vostro Cerbero, se ricordate bene, porta ancora il mento e la gola spellati per questo»"
497,"  Poi si rivolse per la strada lorda, e non fé motto a noi, ma fé sembiante d’omo cui altra cura stringa e morda  che quella di colui che li è davante","Poi tornò per il cammino fangoso, senza rivolgerci la parola, ma diede l'impressione di qualcuno che abbia ben altre preoccupazioni rispetto a ciò che ha di fronte"
498," e noi movemmo i piedi inver’ la terra, sicuri appresso le parole sante"," e noi ci muovemmo verso la terra, sicuri dopo quelle sante parole"
499,  Dentro li ’ntrammo sanz’alcuna guerra,Entrammo nella città senza ulteriori ostacoli
500," e io, ch’avea di riguardar disio la condizion che tal fortezza serra,  com’io fui dentro, l’occhio intorno invio: e veggio ad ogne man grande campagna, piena di duolo e di tormento rio"," e io, che avevo desiderio di guardare la condizione delle anime chiuse in quella fortezza, come fui dentro volsi qua e là lo sguardo"
501,"  Sì come ad Arli, ove Rodano stagna, sì com’a Pola, presso del Carnaro ch’Italia chiude e suoi termini bagna,  fanno i sepulcri tutt’il loco varo, così facevan quivi d’ogne parte, salvo che ’l modo v’era più amaro"," e vidi tutt'intorno una grande spianata, piena di orribili dolori e tormenti"
502,"  ché tra li avelli fiamme erano sparte, per le quali eran sì del tutto accesi, che ferro più non chiede verun’arte","Proprio come ad Arles, dove il Rodano s'impaluda, e come a Pola, presso il golfo del Quarnaro che è ai confini d'Italia e li bagna,  i sepolcri rendono il luogo tutto accidentato, così avveniva qui , salvo che le tombe producevano più dolore"
503,"  Tutti li lor coperchi eran sospesi, e fuor n’uscivan sì duri lamenti, che ben parean di miseri e d’offesi","Infatti tra le tombe erano sparse delle fiamme, che li arroventavano in modo tale che nessun lavoro artigianale richiede ferro più caldo"
504,"  E io: ""Maestro, quai son quelle genti che, seppellite dentro da quell’arche, si fan sentir coi sospiri dolenti?""","Tutti i coperchi erano aperti e puntellati, e ne uscivano lamenti così miseri che parevano proprio di anime dannate"
505,"  E quelli a me: ""Qui son li eresïarche con lor seguaci, d’ogne setta, e molto più che non credi son le tombe carche","E io: «Maestro, chi sono quelle anime che, sepolte dentro quelle tombe, si fanno sentire coi dolenti sospiri?»E lui a me: «Qui ci sono gli eresiarchi coi loro seguaci d'ogni setta, e le tombe sono ricolme assai più di quanto non credi"
506,"  Simile qui con simile è sepolto, e i monimenti son più e men caldi""",Qui ogni eretico è sepolto col suo simile e le tombe sono più o meno calde»
507," E poi ch’a la man destra si fu vòlto,  passammo tra i martìri e li alti spaldi"," E dopo che si fu rivolto verso destra, ci incamminammo tra le tombe e gli alti spalti"
509," Ora sen va per un secreto calle, tra ’l muro de la terra e li martìri, lo mio maestro, e io dopo le spalle","A quel punto il mio maestro procedette per un sentiero nascosto, tra le mura e le tombe, e io lo seguii"
510," ""O virtù somma, che per li empi giri mi volvi"", cominciai, ""com’a te piace, parlami, e sodisfammi a’ miei disiri","Gli chiesi: «O sommo sapiente, che mi conduci per i Cerchi infernali, ti prego di rispondermi e soddisfare il mio desiderio"
511,"  La gente che per li sepolcri giace potrebbesi veder? già son levati tutt’i coperchi, e nessun guardia face""",SI potrebbero vedere i dannati che giacciono nelle tombe? Tutti i coperchi sono sollevati e nessun demone fa loro la guardia»
512,"  E quelli a me: ""Tutti saran serrati quando di Iosafàt qui torneranno coi corpi che là sù hanno lasciati",E lui a me: «Saranno tutti richiusi quando le anime torneranno qui dalla valle di Giosafat coi corpi che hanno lasciato sulla Terra
513,"  Suo cimitero da questa parte hanno con Epicuro tutti suoi seguaci, che l’anima col corpo morta fanno","In questo punto del cimitero sono puniti Epicuro e tutti i suoi seguaci, che proclamano la mortalità dell'anima"
514,"  Però a la dimanda che mi faci quinc’entro satisfatto sarà tosto, e al disio ancor che tu mi taci""","Perciò ben presto sarà soddisfatto il desiderio che mi hai svelato, e anche quell'altro  che tu non vuoi dirmi»"
515,"  E io: ""Buon duca, non tegno riposto a te mio cuor se non per dicer poco, e tu m’ hai non pur mo a ciò disposto""","E io: «Mia buona guida, io non ti nascondo i miei pensieri se non per parlare poco, e sei stato proprio tu a insegnarmelo in varie occasioni»"
516,"  ""O Tosco che per la città del foco vivo ten vai così parlando onesto, piacciati di restare in questo loco","«O toscano, che te ne vai per la città del fuoco parlando in modo così dignitoso, abbi la compiacenza di trattenerti"
517,"  La tua loquela ti fa manifesto di quella nobil patrïa natio, a la qual forse fui troppo molesto""","Il tuo accento indica che sei nato in quella nobile patria alla quale, forse, fui troppo fastidioso»"
518,  Subitamente questo suono uscìo d’una de l’arche,"Questa voce uscì improvvisamente da una delle tombe, "
519," però m’accostai, temendo, un poco più al duca mio",per cui ebbi paura e mi strinsi un poco al mio maestro
520,"  Ed el mi disse: ""Volgiti","Ed egli mi disse: «Voltati, "
521," Che fai? Vedi là Farinata che s’è dritto: da la cintola in sù tutto ’l vedrai""",che fai? Non vedi laggiù Farinata che si è sollevato? Lo puoi vedere dalla cintola in su»
522,  Io avea già il mio viso nel suo fitto,Io avevo già fitto il mio sguardo nel suo
523, ed el s’ergea col petto e con la fronte com’avesse l’inferno a gran dispitto," e lui si ergeva con la fronte e il petto alti, come se disprezzasse tutto l'Inferno"
524,"  E l’animose man del duca e pronte mi pinser tra le sepulture a lui, dicendo: ""Le parole tue sien conte""","E le mani di Virgilio, pronte e animose, mi spinsero fra le tombe verso di lui, mentre il maestro diceva: «Fa' che le tue parole siano misurate»"
525,"  Com’io al piè de la sua tomba fui, guardommi un poco, e poi, quasi sdegnoso, mi dimandò: ""Chi fuor li maggior tui?""","Non appena fui ai piedi della sua tomba, mi guardò un poco e poi, quasi con disdegno, mi domandò: «Chi furono i tuoi avi?»"
526,"  Io ch’era d’ubidir disideroso, non gliel celai, ma tutto gliel’apersi","Io, che ero smanioso di obbedire, non glieli nascosi ma, anzi, risposi pienamente"
527, ond’ei levò le ciglia un poco in suso," allora lui sollevò un poco le ciglia, "
528,"  poi disse: ""Fieramente furo avversi a me e a miei primi e a mia parte, sì che per due fïate li dispersi"""," poi disse: «Essi furono aspri nemici miei, dei miei avi e della mia parte politica , al punto che per due volte li cacciai da Firenze»"
529,"  ""S’ei fur cacciati, ei tornar d’ogne parte"", rispuos’io lui, ""l’una e l’altra fïata","Io gli risposi: «Se essi furono cacciati, tornarono poi da ogni parte, in entrambe le occasioni"
530," ma i vostri non appreser ben quell’arte"""," ma i vostri avi, invece, non furono altrettanto bravi»"
531,"  Allor surse a la vista scoperchiata un’ombra, lungo questa, infino al mento: credo che s’era in ginocchie levata","In quel momento apparve alla nostra vista un'anima, che si sporgeva accanto a quella di Farinata fino al mento: credo che fosse inginocchiata"
532,"  Dintorno mi guardò, come talento avesse di veder s’altri era meco","Mi guardò intorno, come se avesse desiderio di vedere se c'era qualcun altro con me"
533," e poi che ’l sospecciar fu tutto spento,  piangendo disse: ""Se per questo cieco carcere vai per altezza d’ingegno, mio figlio ov’è? e perché non è teco?"""," e poi che smise di osservare, mi disse piangendo: «Se tu vai per questo cieco carcere per i tuoi meriti di intellettuale, dov'è mio figlio? E perché non è qui con te?»"
534,"  E io a lui: ""Da me stesso non vegno: colui ch’attende là, per qui mi mena forse cui Guido vostro ebbe a disdegno""","E io a lui: «Non sono qui per mio solo merito: colui che attende là  mi conduce attraverso l'Inferno verso colei  che vostro figlio Guido, forse, ebbe a disdegno »"
535,  Le sue parole e ’l modo de la pena m’avean di costui già letto il nome,Le sue parole e il fatto che fosse tra gli Epicurei mi avevano fatto capire il nome di costui 
536, però fu la risposta così piena, perciò risposi così prontamente
537,"  Di sùbito drizzato gridò: ""Come? dicesti ""elli ebbe""? non viv’elli ancora? non fiere li occhi suoi lo dolce lume?""","E lui, improvvisamente sollevatosi, gridò: «Come? Hai detto ""egli ebbe""? Guido non vive ancora? la dolce luce del sole non colpisce più i suoi occhi?»"
538,"  Quando s’accorse d’alcuna dimora ch’io facëa dinanzi a la risposta, supin ricadde e più non parve fora","Quando si accorse che esitavo a rispondere, ricadde supino e non ricomparve più fuori dalla tomba"
539,"  Ma quell’altro magnanimo, a cui posta restato m’era, non mutò aspetto, né mosse collo, né piegò sua costa","Ma quell'altro nobile dannato, alla cui domanda mi ero fermato, non mutò aspetto, né parve minimamente colpito dall'accaduto:"
540,"  e sé continüando al primo detto, ""S’elli han quell’arte"", disse, ""male appresa, ciò mi tormenta più che questo letto","e proseguendo il discorso iniziato, disse: «Se i miei avi hanno appreso male l'arte di rientrare in Firenze, ciò mi procura più sofferenza di questa tomba"
541,"  Ma non cinquanta volte fia raccesa la faccia de la donna che qui regge, che tu saprai quanto quell’arte pesa",Ma non passeranno cinquanta fasi lunari  che anche tu saprai quant'è dolorosa quell'arte
542,"  E se tu mai nel dolce mondo regge, dimmi: perché quel popolo è sì empio incontr’a’ miei in ciascuna sua legge?""",E ora dimmi : perché i fiorentini sono così duri in ogni loro provvedimento contro la mia famiglia?»
543,"  Ond’io a lui: ""Lo strazio e ’l grande scempio che fece l’Arbia colorata in rosso, tal orazion fa far nel nostro tempio""","E io a lui: «Lo strazio e l'orrenda strage di Montaperti, che colorarono di rosso il fiume Arbia, ci induce a emanare queste leggi»"
544,"  Poi ch’ebbe sospirando il capo mosso, ""A ciò non fu’ io sol"", disse, ""né certo sanza cagion con li altri sarei mosso","Dopo che ebbe scosso il capo sospirando, disse: «Non fui certo il solo a combattere quella battaglia, né certo ci sarei andato senza una valida ragione"
545,"  Ma fu’ io solo, là dove sofferto fu per ciascun di tòrre via Fiorenza, colui che la difesi a viso aperto""","In compenso fui l'unico a difendere Firenze a viso aperto, quando ciascun capo ghibellino era pronto a raderla al suolo»"
546,"  ""Deh, se riposi mai vostra semenza"", prega’ io lui, ""solvetemi quel nodo che qui ha ’nviluppata mia sentenza","Allora lo pregai: «Orsù, possa la vostra discendenza trovare pace: risolvetemi quel dubbio che aggroviglia i miei ragionamenti"
547,"  El par che voi veggiate, se ben odo, dinanzi quel che ’l tempo seco adduce, e nel presente tenete altro modo""","Mi sembra che voi dannati vediate, se ho capito bene, gli eventi futuri, mentre abbiate altra conoscenza del presente»"
548,"  ""Noi veggiam, come quei c’ ha mala luce, le cose"", disse, ""che ne son lontano","Disse: «Noi, come chi ha un difetto di vista , vediamo le cose che sono lontane nel tempo"
549, cotanto ancor ne splende il sommo duce, soltanto questo ci permette Dio
550,"  Quando s’appressano o son, tutto è vano nostro intelletto e s’altri non ci apporta, ","Quando le cose si avvicinano o accadono, il nostro intelletto è vano e se altri non ci porta notizie, "
551,  nulla sapem di vostro stato umano,non sappiamo nulla della vostra condizione umana
552,"  Però comprender puoi che tutta morta fia nostra conoscenza da quel punto che del futuro fia chiusa la porta""","Perciò puoi capire che la nostra conoscenza  sarà totalmente annullata dal momento in cui sarà chiusa la porta del futuro, ovvero il giorno del Giudizio»"
553,"  Allor, come di mia colpa compunto, dissi: ""Or direte dunque a quel caduto che ’l suo nato è co’ vivi ancor congiunto","Allora, come pentito della mia colpa, dissi: «Poi direte a quel dannato che suo figlio è ancora in vita"
554,"  e s’i’ fui, dianzi, a la risposta muto, fate i saper che ’l fei perché pensava già ne l’error che m’avete soluto""","e se poc'anzi non gli diedi subito risposta, ditegli che lo feci perché ero nell'errore che voi mi avete spiegato»"
555,  E già ’l maestro mio mi richiamava,E ormai Virgilio mi richiamava
556, per ch’i’ pregai lo spirto più avaccio che mi dicesse chi con lu’ istava, perciò pregai in fretta lo spirito che mi dicesse  chi erano i suoi compagni di pena
557,"  Dissemi: ""Qui con più di mille giaccio: qua dentro è ’l secondo Federico e ’l Cardinale","Mi rispose: «Qui giaccio con più di mille dannati: qua dentro è Federico II di Svevia, nonché il cardinale Ottaviano degli Ubaldini"
558," e de li altri mi taccio""", non ti dico nulla degli altri»
559,  Indi s’ascose,Quindi tornò nella tomba
560," e io inver’ l’antico poeta volsi i passi, ripensando a quel parlar che mi parea nemico"," e io mi incamminai verso l'antico poeta, ripensando a quelle parole che mi sembravano ostili"
561,  Elli si mosse,Virgilio si mosse
562," e poi, così andando, mi disse: ""Perché se’ tu sì smarrito?"""," e poi, mentre camminava, mi disse: «Perché sei così turbato?» "
563, E io li sodisfeci al suo dimando, E io glielo spiegai
564,"  ""La mente tua conservi quel ch’udito hai contra te"", mi comandò quel saggio",Quel saggio mi comandò: «La tua mente ricordi bene ciò che hai sentito contro di te
565," ""e ora attendi qui"", e drizzò ’l dito:  ""quando sarai dinanzi al dolce raggio di quella il cui bell’occhio tutto vede, da lei saprai di tua vita il vïaggio"""," E ora ascolta,» e drizzò il dito: «quando sarai davanti al dolce raggio di colei che coi suoi begli occhi vede ogni cosa , saprai da lei il tuo destino futuro»"
566,"  Appresso mosse a man sinistra il piede: lasciammo il muro e gimmo inver’ lo mezzo per un sentier ch’a una valle fiede,  che ’nfin là sù facea spiacer suo lezzo","Quindi si volse a sinistra: ci allontanammo dal muro e ci dirigemmo verso l'orlo esterno del Cerchio, per un sentiero che conduce a una valle da cui fin lassù arrivava un gran puzzo"
568," In su l’estremità d’un’alta ripa che facevan gran pietre rotte in cerchio, venimmo sopra più crudele stipa","Sull'orlo di un'alta riva dove c'erano molte rocce ammucchiate in cerchio, giungemmo in prossimità del Cerchio successivo"
569," e quivi, per l’orribile soperchio del puzzo che ’l profondo abisso gitta, ci raccostammo, in dietro, ad un coperchio  d’un grand’avello, ","e qui, per l'orribile eccesso del puzzo che l'abisso infernale emana, ci riparammo dietro al coperchio di una grande tomba, "
570," ov’io vidi una scritta che dicea: ’Anastasio papa guardo, lo qual trasse Fotin de la via dritta’","dove lessi una scritta che diceva: ""Custodisco papa Anastasio, che fu sviato dalla retta strada da Fotino"""
571,"""Lo nostro scender conviene esser tardo, sì che s’ausi un poco in prima il senso al tristo fiato","«È preferibile attendere un poco prima di scendere, così che il nostro olfatto si abitui al cattivo odore, "
572," e poi no i fia riguardo""",poi non servirà più alcun riguardo»
573,  Così ’l maestro,Così disse Virgilio
574," e io ""Alcun compenso"", dissi lui, ""trova che ’l tempo non passi perduto""", e io dissi a lui: «Trova il modo di non far passare il tempo inutilmente»
575," Ed elli: ""Vedi ch’a ciò penso""", E lui: «Penso proprio a questo»
576,"  ""Figliuol mio, dentro da cotesti sassi"", cominciò poi a dir, ""son tre cerchietti di grado in grado, come que’ che lassi","Poi iniziò a dire: «Figlio mio, al di sotto di questi sassi ci sono tre Cerchi, uno di sotto all'altro come gli altri che hai visto"
577,  Tutti son pien di spirti maladetti,Sono tutti pieni di spiriti dannati
578," ma perché poi ti basti pur la vista, intendi come e perché son costretti"," ma affinché in seguito ti basti vederli, ascolta in che modo e per quale ragione stanno insieme"
