Original,Translate,Translate_GPT_1
Guardisi ben chi à corta veduta!,¡Ten cuidado con quién ha visto el cortocircuito!,¡Estad alerta a los que han visto limitados!
"Se quella, chu’ richiedi, ti rifiuta","Si el que quieres te rechaza,","Si el que quieres te rechaza,"
"Tu sì non perdi nulla in su’ scondetto,","No pierdes nada por tu negativa,",No hay pérdida por su negación.
"Se non se solo il motto, che•ll’ài detto.",si no sólo las palabras que le dijiste:,"En lugar de las palabras que dijiste, usa otras expresiones."
Dello scondir sarà tosto pentuta.,Pronto se arrepentirá de su negativa.,Pronto lamentarás tu negación.
"Una nel ciento non fu mai veduta,",Una de cada cien mujeres nunca ha sido vista.,Una de cada 100 mujeres nunca ha sido observada.
"Ed ancor più che ’l miglia’ ci ti metto,","o mejor, apuesto uno entre mil","Maldita sea, apuesto una entre mil."
"Femina, chu’ piaciesse tal disdetto.",Mujer que te gustó tanto el rechazo,Mujer que apreció tal negativa
"Come ch’ella t’asalgha di venuta,",Aunque podría atacarte al principio.,Aunque podría atacarte al principio.
"Richié’, c’almen n’avrà’ su’ ben volere,","Richie, al menos tendrá su benevolente consentimiento.","Recibirá, al menos tendrá su benevolente asentimiento."
"Con tutto ti vad’ella follegiando,","Incluso si pudiera decir cosas locas sobre ti,","Incluso si pudiera decir cosas infieles sobre ti,"
Ché•ttu no•le puo’ far magior piaciere.,Porque no puedes hacerle un favor más grande.,Porque no puedes darle un mayor beneficio.
"Ma di ciò non dé gir nessun parlando,","Pero nadie tiene que decir nada al respecto,",Nadie debería hablar de ello.
"S’e’ ’n averla non mette su’ podere,","Si falla en su búsqueda para tenerlo,",Si no lo consigues en tu búsqueda.
Chéd ella se ne va dapoi vantando.,Porque entonces se va a jactar de ello.,Porque entonces va a ir por ahí actuando.
"E quando tu•ssarai co•llei soletto,","Y cuando estás sola con ella,","Cuando estás a solas con ella,"
"Prendila tra•lle braccia, e fa ’l sicuro,","Tómala en tus brazos y hazlo con valentía,",Abrázalo con ardor y hazlo con audacia.
"Mostrando allor se•ttu•ssè forte e duro,","Demostrando entonces que eres fuerte y duro,",Demostrando tu fuerza y tenacidad.
E mantenente le metti il ganbetto.,e inmediatamente darle el gancho,e inmediatamente ofrecer su ancla
Né no•lla respittar già per su’ detto:,No le des un respiro por lo que dice:,No le des piedad por lo que dice.
"S’ella chiede   merzé, chegala al muro.","Si pide misericordia, pídala en vano.","Si pide clemencia, suplícanos en vano."
"Tu•lle dirai: “Madonna, i’ m’assicuro","Vas a decir, ""Madonna, me aseguraré"".","Vas a decir: ""Santo cielo, te lo garantizo""."
"A questo far, c’Amor m’à•ssì distretto","para hacer esto, que el amor me ha tomado tan","Para hacer esto, ese afecto me ha llevado tanto"
"Di vo’, ched i’ non posso aver sogiorno.","con vosotros, para que no tenga paz;","con vosotros, para que no tenga paz;"
Per ch’e’ convien che vo’ agiate merzede,para que os sea necesario ser misericordiosos.,Porque es apropiado que muestres misericordia.
"Di me, che tanto vi son ito intorno.",de mí que ha estado tanto a tu alrededor,de mí que he estado tan cerca de ti
"Ché•ssiate cierta ched i’ v’amo a fede,",que estás seguro de que te amo fielmente,que estás absolutamente seguro de que te amo devotamente
"Né d’amar voi giamai non mi ritorno,","y que nunca dejaré de amarte,",y que nunca dejaré de amarte.
Ché per voi il me’ cor salvar si crede”.,que mi corazón será salvado para ti,que mi corazón conservará para ti
"E se•ttu ami donna ferma e sagia,","Y si amas a una mujer constante y sabia,","Si amas a una mujer fiel y sabia,"
"Ben sagia   mente e fermo ti contieni,",Compórtate con sabiduría y constancia;,Actúa con cautela y perseverancia.
"C’avanti ch’ella dica: “Amico, tieni","antes de que diga: ""Amigo, espera"".","Camarada, mantenga"
"Delle mie gioie”, più volte t’asagia.","de mis alegrías, muchas veces te pongo","Desde mis alegrías, os he amonestado varias veces."
"E se•ttu ami femina volaggia,","Y si amas a una mujer voluble,","Si te gusta una mujer cambiante, inestable y caprichosa."
"Volagia   mente davanti le vieni,","venir delante de ella de una manera voluble,",reenvíalo con flexibilidad.
"E tutt’a la sua guisa ti mantieni,",y mantén tu camino a tu manera,y mantenerte en tu propio modo
"Od ella ti terrà bestia salvaggia,",o te considera una bestia salvaje,o te considera un animal salvaje
"E crederà che•ttu sie un papalardo,",y creer que no eres un hipócrita,y supongamos que no eres un falso
Che sie venuto a•llei per inganarla.,que viniste a ella para engañarla,que viniste a ella para engañarla
"Chéd ella il vol pur giovane e galliardo,",Porque quiere a alguien joven y robusto.,porque quiere a alguien joven y vigoroso.
"La buona e•ssagia,   ma di ciò non parla",Una mujer buena y sabia nunca habla de esto;,Una mujer benevolente y sabia nunca menciona esto.
"Anz’ama più l’uon fermo che codardo,","De hecho, ama a cierto hombre más que a un cobarde,",prefiere a un individuo determinado más que a uno vil.
Ché non dotta che que’ faccia blasmarla.,porque él no sabe lo que va a hacer culpa de ella,Porque ella no sabe lo que va a conseguir su crítica.
"Ancor convien che•ttu saccia ’lcun’arte,",Aún mejor sabes algunas reglas.,Aún mejor sabes algunas reglas.
Per ghovernar e te e la tu’ amica:,para gobernarte a ti y a tu amigo:,"Dirigir, regular a usted y a su pareja."
"Di buon’ morselli tuttor la mi notrica,","la nutren todavía con tiernas mordeduras,",nutrelo de nuevo con cachorros blandos.
E dàlle tuttavia la miglior parte.,y siempre darle la mejor parte.,y siempre darle lo mejor.
"E s’ella vuol andar i•nulla parte,","Y si quieres ir a alguna parte,","Si quieres ir a alguna parte,"
"Sì•lle dì: “Va, che Dio ti benedica!”.","Dile: Ve, y que Dios te bendiga.","Exhorto: Ve, y que Dios te conceda Su bendición."
In gastigarla non durar fatica,"No pierdas tu tiempo regañándola,","No pierdas tu tiempo regañándola,"
Se dal su’ amor non vuo’ tagliar le carte.,A menos que quieras terminar la relación.,A menos que quieras interrumpir la relación.
"E se•lla truovi l’opera facciendo,",Y si descubres que hace el amor...,Si descubres que está dedicado al amor...
Non far senbiante d’averla veduta:,No dejes que la veas.,No dejes que la escoltes.
In altra parte   te ne va fugiendo;,Y en otro lugar estás huyendo.,Y en otro lugar estás huyendo.
"E se•lle fosse lettera venuta,",y si la carta hubiera llegado,y si el mensaje hubiera llegado
Non t’intrametter d’andar inchegiendo,No se molesta en ir a preguntarle.,No se molesta en preguntar.
"Chi•ll’à recata, né chi la saluta.","que se ha ido, ni del que saluda","que se ha ido, ni de quién saludar"
"S’a scachi, o vero a•ttavole, giocassi",si estabas jugando al ajedrez o real en la mesa,Ya sea que estuvieras jugando al ajedrez o al ajedrez.
"Co•lla tua donna, fa c’agie il pigiore","con su señora, asegúrese de que",Asegúrese de que con su esposa
"Del gioco, e dille ch’ell’è la migliore",Y dile que es la mejor del juego.,y decirle que es la más hábil del juego
"Dadi-gittante, che•ttu mai trovassi.",datos gigantes que nunca vi,datos enormes que nunca había visto
"S’a coderon giocaste, pignia anbassi,","Y si está jugando al codron, lanza occh,","Si vas a jugar al codron, echa un vistazo,"
E fa ched ella sia là vincitore.,y hacer de ella la ganadora,y hacer de ella la ganadora
"Della tua perdita non far sentore,",No me hagas sentir tu pérdida.,No dejes que pruebe que te has ido.
Ma che cortesemente la ti passi.,"Pero, ¿qué clase de cortesía te pasa?","Pero, ¿qué bondad te pasa?"
"Falla seder ad alti, e•ttu sie basso,","Siéntate en un lugar alto, y tú abajo,","Siéntala en un lugar alto, y tú abajo."
"E sì•ll’aporta carello, o cuscino:",y llevar un carro y una almohada;,y llevar un carro y una almohada.
Di le’ servir non ti veghi mai lasso.,Nunca dejó que te viera cansado de servirla.,Nunca le permitió verte exhausta de servirla.
"S’adosso le vedessi un buscolino,",Si tuviera que ver un punto en ella...,Si veo un lugar en ella...
"Fa che glie•levi, e se vedessi sasso,","Asegúrese de cepillarlo, y si usted debe ver una piedra","Asegúrese de cepillarse, y si debe observar una roca."
"Là ’v’ella dé passar, netta ’l camino.","donde tiene que caminar, apartarse del camino.","donde proceder, despeje la ruta."
A sua maniera ti mantien tuttora:,"A su manera, todavía te mantiene.",De una manera peculiar todavía te conserva
"Che s’ella ride, ridi, o balla,   balla,","Si ella se ríe, tú te ríes, o si ella baila, tú bailas;","Si ella sonríe, tú te ríes, o si ella baila, tú bailas."
"O s’ella piangie, pensa   a consolalla,","Y si llora, piensa y consuela,","Si llora, piensa y consuela."
Ma fa che pianghe tu sanza dimora.,pero asegúrese de llorar sin demora.,Pero asegúrate de rasgarte sin demora.
"E se con altre done fosse ancora,",y si con otras mujeres todavía,¿Y si sigue con otras mujeres?
"Che giocasero al gioco della palla,",que jugó la pelota juego,que se deleitaron con el juego de la pelota
"S’andasse lungi, corri ad aportalla.","Deberías ir muy lejos, deberías traerlo de vuelta con ella.","Debería progresar, devolvérsela."
A•lle’ servir tuttor pensa   e lavora.,Siempre piensa que la está sirviendo y trabajando.,Siempre piensa en ayudarte y trabajar
"E se vien alcun’ or   ch’ella ti tenza,",Y si llega el momento en que esté peleando contigo...,Si llega el momento en que está peleando contigo...
"Ch’ella ti crucci sì, che•ttu le dài,","o cuando estás tan enojado que la golpeas,","Cuando estás tan enojado, la golpeas,"
"Imantenente torna ad ubidenza,","regresar inmediatamente para obedecerles,",Regresen inmediatamente para obedecerlos.
"E giurale che ma’ più no ’l farai,",y jurarle que no volverás a hacerlo;,Prométele que no volverás a hacerlo.
Di quel ch’ài   fatto farai   penitenza:,Harás penitencia por lo que hiciste.,Explica tu culpa por lo que has hecho.
"Prendila e falle il fatto, che•tti sai.",¡Tómala y haz lo que mejor haces!,¡Agárrala y haz lo que mejor haces!
"Sovr’ognie cosa pensa di lusinghe,","Piensa en toda la adulación,",Piensa en todos los cumplidos.
"Lodando sua maniera, e sua fazone,","alabando sus modales y apariencia,",Alabando su cortesía y apariencia.
"E che di senno passa Salamone,","Y como Salomón pasa en sabiduría,",y cómo Salomón procede sabiamente.
Con questi motti vo’ che•lla dipinghe.,"Con estas palabras, quiero que lo describas.","Con estas palabras, quiero que la delinees."
Ma guarda non s’avega che•tti’nfinghe,No sabía que estabas fingiendo.,Pero no sabía que fingías.
Ché non v’andresti mai a prociessione:,"porque nunca irías en procesión,",¿Por qué no ibas al desfile?
Non ti varebe lo star ginochione.,Y no tendrías que estar de rodillas.,No sería útil arrodillarse.
"Però quel lusinghar fa che tu ’l tinghe,","Pero esa adulación te hace teñirlo,","Pero ese halagador te hace considerarlo,"
"Chéd e’ n’è ben alcuna sì viziata,",porque no hay tal malcriado,Porque no hay nadie tan corrupto
Che non crede giamai ta’ favolelle,"que nunca cree en tales historias,",que nunca confía en tales historias.
Per c’altra volta n’è stata   beffata;,porque una vez había sido burlada,porque una vez se burló de ella
"Ma queste giovanette damigielle,",Pero estas jóvenes damas de honor,Estas chicas jóvenes
"Chu’ la lor terra non n’è stata   arata,",que su tierra no fue arada,que su tierra no ha sido cultivada
Ti crederanno ben cota’ novelle!,Te harán sentir bien con estas novelas.,Te reconocerán bien con estas nuevas palabras.
"Se•ttu ài altra amica procacciata,",Si tienes otra novia.,Si tienes otro amigo.
"O ver che•ttu la guardi a procaciare,","O que la mires para que te la consigas,","Que lo veas para conseguirlo por ti mismo,"
E sì non vuo’ per ciò abandonare,y no quieres abandonar,No quieres abdicar por ello.
"La prima, chu’ à’ lungho tenpo amata,",el primero que durante mucho tiempo amó,El amado a la larga.
"Se•ttu a la novella à’ gioia donata,","Si has dado alegría a la noticia,",Si le dieras alegría al joven.
Sì dì ch’ella la guardi di recare,Dile que la mire y la traiga de vuelta.,Dile que la mire para restaurarla.
"In luogo, ove la prima ravisare",en un lugar donde el primero en reconocer,En un lugar donde el primer aviso
"No•lla potesse, ché seria ’smenbrata.","No podía hacer eso, porque sería destruida.","No podía hacer eso, porque sería aniquilada."
"O s’ella ancor ne fosse in sospezone,",o si aún sospechaba,si sigue dudando.
"Fa saramenta ch’ella t’aggia torto,",Serenely hacer que esté mal,tranquilamente haciendo que se equivoque
C’unque ver’ lei non fosti in mesprigione;,Cualquiera que no la despreciara.,Cualquiera que no estuviera en contra de ella.
"E s’ella il pruova, convien che sie acorto","Y si los pruebas, más vale que tengas cuidado.","Si los experimentas, es importante que estés alerta."
"A dir, che forza fu, e tradigione:","para decir, qué fuerza era, y traición","para declarar, qué fuerza era, y la infidelidad"
Allor la prendi e sì•lle innaffia l’orto.,Luego lo tomas y regas el jardín.,Entonces lo adquieres e irrigas el jardín.
"E se•ttua donna cade in malatia,",y si su mujer cae en la enfermedad,Y si tu pareja se enferma
"Sì pensa che•lla faccie ben servire,","Asegúrese de que ha servido bien,",Asegúrese de que se ha satisfecho adecuadamente.
Né•ttu da•llei giamai non ti partire.,Y nunca te alejarás de ella.,Y nunca te separarás de ella.
"Dàlle vivanda, c’a piacier le sia,","Dale comida, que le guste.","Ofrézcale su alimento, para que pueda estar contenta"
"E po’ sì•lle dirai: “Anima mia,","Y entonces le dirás, ""Mi alma,","Y luego vas a decir, ""Mi corazón,"""
Istanotte ti tenni in mio dormire,Anoche en mi sueño te guardé,Anoche en mi sueño te abracé
"Intra.lle braccia sana, al me’ disire:","en mis brazos sanos, a mi deseo:","en mis brazos sanos, a mi anhelo."
"Molto mi fecie Idio gran cortesia,","Dios me hizo una gran cortesía,",Dios me concedió gran bondad.
Che mi mostrò sì dolze avisione”.,que me mostró una visión tan dulce.,que tenía una visión tan tierna.
"Po’ dica, ch’ella l’oda, come sagio,","Di, pues, que le escuchas, como hombre sabio,","Entonces dices que lo escuchas, como un hombre sabio."
"Che per lei fara’ far gran prociessione,",que hará una gran procesión para ella,que para ella hará un gran desfile
"O•ttu n’andra’ in lontan pellegrinagio,","o que vayas a una larga peregrinación,","que haces un largo viaje,"
Se Giesocristo le dà guerigione.,si Jesucristo la sana.,si Jesucristo lo cura.
"Così avrai il su’ amor, e ’l su’ coragio».","Por lo tanto, usted tendrá su amor y coraje","De esta manera, usted ganará su afecto y audacia."
"Quand’ebi inteso Amico, che leale","Cuando comprendí a Amigo, qué fiel","Cuando oí a Amigo, que leal"
"Consiglio mi dava, a su’ podere,","Él me dio consejo, en su poder","Me dio consejos, en su mejor momento."
"I’ sì•lli dissi: «Amico, il mi’ volere","Le dije: ""Amigo, mi voluntad"".","Le dije: ""Camarada, mi deseo"""
"Non fu unquanche d’esser disleale,",Nunca se suponía que fuera desleal.,Nunca tuvo que ser engañoso.
"Né piaccia a Dio, ch’i’ sia condotto a tale,",A Dios no le gusta que me lleven a tal,Que no se conceda a Dios que yo sea llevado a tales
"Ch’i’ a le gienti mostri benvolere,",que muestro bondad a la gente,que muestro bondad a la gente
"E servali del corpo, e dell’avere,",y siervos del cuerpo y de tener,y dependiente del cuerpo y la riqueza
Ched i’ pensase poi di far lor male.,Y luego pensé que les haría daño.,Y entonces consideraría hacerle daño.
Ma sòffera ch’i’ avante disfidi,Pero primero déjame desafiar,"En primer lugar, déjame desafiar."
"E Mala-Bocca, e tutta sua masnada,","Mishaps y toda su banda,",La maldad y su grupo.
"Sì che neuno in me giamai si fidi,",que nadie en mí confía nunca,que nadie confía nunca en mí
Po’ penserò di metterli a la spada».,Entonces pensaré en ponerlos a la espada.,Entonces consideraré armarlos con la espada
"Que’ mi rispuose: «Amico, mal ti guidi:","Me dijo: ""Amigo, te equivocas.","Me dijo: ""Camarada, pero te equivocas."
Cotesta sì nonn-è la dritta strada.,Esta no es la manera correcta.,Este no es el camino apropiado.
"A te sì non convien far disfidaglia,","No quieres aceptar este desafío,",No es aconsejable que usted asuma este desafío.
Se•ttu vuo’ ben civir di questa guerra.,Si quieres poner fin a esta guerra.,Si quieres terminar esta guerra felizmente.
"Lasciala far a’ gran’ signior’ di terra,",Que lo hagan los grandes amos de la tierra.,Permitan a los gobernantes de la tierra.
Che posson soferir oste e battaglia.,¡Quién puede permitirse el ejército y las batallas!,¡Que puedan financiar el ejército y las escaramuzas!
"Mala-Bocca, che così ti travaglia,","Malabocia, que te atormenta,","La maldad, que te aflige,"
È traditor: chi ’l tradiscie non erra.,Él es un traidor. El que le traiciona no se equivoca.,Él es infiel: los que no le gustan no se equivocan.
"Chi con falsi senbianti no•ll’aferra,","que no lo captura con apariencias falsas,",El que no le engaña con falsas pretensiones.
Il su’ buon giocho mette a ripentaglia.,Está poniendo en riesgo su buen juego.,amenaza su buena reputación.
"Se•ttu lo sfidi, o batti, e’ griderà,","Si lo desafías o lo golpeas, gritará,","Si lo desafías o lo atacas, gritará."
Chéd egli è di natura di mastino:,porque él es de una naturaleza mastineous,Porque es tenaz en la naturaleza
"Chi più ’l minaccia, più gli abaierà.","Cuanto más lo amenaza, más le ladra.","Cuanto más lo amenaza, más le grita."
"Chi Mala-Bocca vuol metter al chino,",Quien quiera conquistar Malabocia,Cualquier persona que quiera subyugar Malabocia
"Sed egli è sagio, egli•lusingherà:","Él le halagará, si es sabio,",Lo halagará si es sabio.
Ché cierto sie quell’è ’l dritto camino».,Estoy seguro de que es el camino correcto.,que es indiscutible que es la forma apropiada.
"«Po’ mi convien ovrar di tradigione,","""Entonces será mejor que opere por la tradición,","""Entonces es mejor para mí actuar según la costumbre,"
"E a•tte pare, Amico, ch’i’ la faccia,","Y te parece, Dude, que voy a hacerlo,","A usted le parece, camarada, que yo lo comprometo."
"I’ la farò,   come ch’ella mi spiaccia,","Lo haré, como si no me gustara.","Lo haré, a pesar de mi desacuerdo."
Per venir al di su di quel cagnione.,Por encima de ese perro.,Para superar a ese perro.
"Ma sì•tti priego, gientil conpagnione,","Pero por favor, amable compañero,","Por favor, encantadora compañera,"
"Se•ssai alcuna via, che•ssia più avaccia,","Si hay alguna manera, que sea más rápido.","Si hay algún camino, que sea más rápido."
"Per Malabocca e suo’ metter in caccia,",para cazar a Malabocia y a la suya,Exorcizando a Malabocia y a ella
"E trar Bellacoglienza di pregione,",Y recepción gratuita de Bell en prisión,Y recepción gratuita de Bell desde la cárcel
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,",Tú me enseñas y yo me voy.,Que me enseñes y yo seguiré adelante.
"E menerò   comeco tal aiuto,",y voy a traer tal ayuda inicial,y proporcionaré ese apoyo inicial
Ched i’ quella forteza abatterò».,Porque esa fortaleza que voy a enterrar,Porque esa fortaleza se derrumbó.
"«E’ nonn-à guari ch’i’ ne son venuto»,","""No es mucho lo que vine de allí,""",No he sido así en mucho tiempo.
"Rispuose Amico, «ma ’l ver ti dirò,","respondió el Amigo, pero le diré la verdad,","El amigo respondió, pero te revelaré la verdad."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","que si me fui, me arrepentí","que si me fui, me arrepiento"
"S’uom apella il camin Troppo-Donare,",Si un hombre llama a la chimenea,Si un hombre llama a la Chimenea Abundancia-Regalo.
"E’ fu fondato per Folle-Largheza,",fue construido para Folle-Largheza,Fue construido para Extreme-Ampiezza
"L’entrata guarda madonna Richeza,",la cueva mira a Madonna Riqueza,La entrada mira a la Sra. Abundance.
"Che non i lascia nessun huon passare,",Eso no deja pasar a ningún hombre.,Eso no permite que ningún hombre pase.
"S’e’ nonn-è su’ parente, o su’ conpare,","Si no es su pariente, o su compañero","Si no es un consanguineo, o su amigo"
"Già tanto nonn-avrebe in sé belleza,","No importa lo hermosa que pueda ser,","No importa lo atractiva que pueda ser,"
"Cortesia, né saver, né gientileza,","Cortesía, ni conocimiento ni bondad","Cortesía, ni conocimiento ni bondad"
Ched ella gli degniasse pur parlare.,que ella sólo merecería hablar con él,que ella sólo le concedería hablar
"Se puo’ per quel camin trovar   passagio,",si ese camino puede encontrar un pasaje,Si ese camino puede encontrar una manera de entrar.
"Tu•ssì abattera’ tosto il castello,",Pronto derribarás el castillo.,Pronto demolerás la mansión.
"Bellacoglienza trarà’ di servagio,",La hermosa recepción sacará de la servidumbre,"Liberación, extracción, hospitalidad."
"Non vi varrà gittar   di manganello,",No serás capaz de lanzar bastones.,No tendrás que tirar palos.
"Néd a le guardie lor folle musagio,",Ni a sus locos guardias diversión,Ni a sus guardias loca alegría
"Porte, né mura, né trar   di quadrello.","Puertas, sin paredes, sin tracción cuadrada","Puertas, sin paredes, sin enrejado arrastrando"
"Or sì•tt’ò detto tutta la sentenza,",Ahora se dice toda la frase,Ahora se ha pronunciado toda la frase.
Di ciò che•ssagio Amante far   dovria.,de lo que un amante sabio debe hacer:,de lo que un amante sabio debe hacer
"Così l’amor di lor guadagnieria,",para que el amor los gane,para que el afecto les traiga
"Sanz’aver mai tra•llor malivoglienza,",Sin tener amistad entre ellos,Sin tener una alianza entre ellos
"Se mai trai di pregion Bellacoglienza,","Si liberas a Bell de la cárcel,","Si liberas a Bellaccoglienca de la prisión,"
"Sì fa che•ttu ne tenghi questa via,",Deja que sigas así.,Asegúrate de seguir este camino.
"Od altri menti mai non t’ameria,","De lo contrario, nunca te amaría.","De lo contrario, nunca lo amará."
Che ch’ella ti mostrasse in aparenza.,Que te mostró en apariencia,Que él te mostraría exteriormente
"E dàlle spazio di poter andare,",Y dale la libertad de ir.,Concédele libertad para moverse.
"Colà, dove le piacie, per la villa;",dondequiera que le guste en la ciudad;,Donde quiera que le guste en la ciudad.
Pena perduta seria   in le’ guardare:,la pena a vigilar sería perder,La consecuencia de observar sería dispersarse.
Ché•ttu teresti più tosto un’anguilla,¿Por qué tienes una anguila más cerca?,porque apretarías una anguila con más firmeza
"Ben viva per la coda, e fossi in mare,","viva por la cola, a pesar de que estabas en el mar,","Bienvenido a la cola, incluso si estuvieras en el océano."
"Che non faresti femina, che ghilla».","Lo que una mujer no haría, tonto","Lo que una mujer no haría, tonto."
"Così mi confortò il buon Amico,",Así que el buen amigo me consoló.,De esta manera mi benevolente Amigo me consoló.
"Po’•ssi partì da me, sanza più dire.",Luego se fue sin otra palabra.,Luego se fue sin otra sentencia.
"Allor mi comincià’ fort’ a giechire,",En ese momento empecé a ser muy humilde.,En ese momento empecé a ser muy humillado.
"Ver’ Mala-Bocca, il mi’ crudel nemico;","hacia Malabocia, mi cruel enemigo.","Por el mal, mi despiadado enemigo."
"Lo Schifo i’ sì pregiava   men ch’un fico,",No me importó nada la Resistencia.,No me importaba nada la Resistencia.
Ch’egli avea gran talento di dormire;,que tenía un gran deseo de dormir;,que tenía un gran deseo de descansar.
Vergognia si volea ben sofferire,La modestia realmente quería abstenerse.,Humildad sinceramente deseaba abstenerse
"Di gueregiarmi, per cierto vi dico,","Por pelear conmigo, estoy seguro de que te lo estoy diciendo.","Por luchar contra mí, puedo asegurarte."
"Ma’ e’ v’era Paura, la dottosa,","Pero había miedo, el miedo,","Había ansiedad, el temblor."
"C’udendomi parlar tutta tremava,","que, escuchándome hablar, temblaba por todas partes:","que, mientras me escuchaba hablar, se estremecía en cada fibra."
"Quella nonn-era punto dormigliosa,",que uno no estaba en absoluto somnoliento;,que uno no estaba en absoluto somnoliento.
"In ben guardar il Fior molto pensava,","ha cuidado mucho la protección de la flor,",Se ha prestado mucha atención a la conservación de la flor.
"Vie più che•ll’altre guardi’ era curiosa,","y era más curioso que los otros guardias,",y más interesados que los demás centinelas.
Perciò che ben in lor non si fidava.,Ya que no confiaba en ellos.,desde que confiaba en ellos.
"Intorno dal castello andai ciercando,",Por todo el castillo fui a buscar,Alrededor de la mansión fui a investigar.
"Sed i’ potesse trovar quel’entrata,",Si pudiera encontrar esa entrada,Si pudiera localizar esa puerta...
"La qual Folle-Largheza avea fondata,",que Forte-Largheza había fundado,La fuerza de la que él había establecido
"Per avacciar ciò, che giva pensando.",para acelerar lo que estaba pensando.,"Acelere, en lo que estaba meditando."
"Allor guardai, e sì vidi onbreando","Luego miré, y miré en las sombras.",Luego miré hacia la oscuridad.
"Di sotto un pin una donna pregiata,","debajo de un pino, una mujer digna,","Bajo un abeto, una mujer digna de respeto."
"Sì nobil mente vestita e parata,",tan noblemente vestido y adornado,bellamente atraído y adornado
Che tutto ’l mondo gìa di lei parlando.,que todo el mundo estaba hablando de ella.,que todo el mundo estaba hablando de ella.
"E sì avea in sé tanta beleza,",y tenía tanta belleza en él,Ella estaba dotada de un gran encanto.
Che tutto intorno lei aluminava,quien iluminó todo a su alrededor,que la iluminaba a su alrededor
"Chol su’ visagio, tanto avea chiareza.","con su cara, tenía tanta claridad;","Con su cara, tenía mucha transparencia."
Ed un suo amico co•llei si posava.,y un amigo tuyo que estaba con ella,y una de sus compañeras que estaba con ella
"La donna si avea nome Richeza,",El nombre de la mujer era Richeza.,El nombre de la mujer era Abundance.
Ma•llui non so com’altri l’apellava.,Pero no sé cuál más era su nombre.,"Sin embargo, no sabía su nombre."
"Col capo inchino la donna salutai,","Saludé a la mujer con la cabeza baja,","Saludé a la mujer con una reverencia,"
E sì•lla cominciai   a domandare,Y empecé a preguntarle.,Empecé a preguntarle.
"Del camin, c’uomo apella Tropo-Dare.",del camino llamado Tropo-Dare.,del camino llamado Tropo-Try.
Quella rispose: «Già per me no ’l sai,Y ella dijo: No lo conocerás de mí.,"Ella respondió: ""No lo aprenderás de mí."
"E, se ’l sapessi, già non vi ’nterrai,","Y si lo supieras, nunca entrarías,","Y si lo conocieras, nunca entrarías."
Chéd i’ difendo a ciaschedun l’entrare,"porque prohíbo la entrada a todos,",Porque prohíbo el acceso a todos.
Sed e’ nonn-à che spender e che dare.,Pero es necesario gastar y dar.,Pero es necesario invertir y distribuir.
"Sì farai   gran saver, se•tte ne vai:","Así que, si eres inteligente, te vas,","Así que, si eres inteligente, te vas."
"C’unquanche non volesti mi’ acontanza,",Si no quieres mi compañía,Si nunca deseas mi presencia
Né mi pregiasti mai  a la tua vita.,ni nunca me has elogiado en tu vida.,Nunca me elogiaste en tu vida.
"Ma or ne prenderò buona vengianza,",Pero ahora voy a tomar mi dulce venganza:,Ahora voy a tomar mi dulce venganza.
"Ché, sie ciertano, se•ttu m’ài   schernita,","para que estés seguro de que me has despreciado,","Porque estás absolutamente convencido si me desprecias,"
"I’ ti darò tormento e malenanza,","Te daré tormento e infelicidad,",Te daré aflicción y tristeza.
Sì ch’e’ me’ ti varia avermi servita».,que sería mejor que me hubieras servido,que sería mejor que me hubieras dado la bienvenida
"«Per Dio, gientil madonna, e per merzede»,","Por Dios, señora amable, y por misericordia,","Por la Divina, amable dama, y por el amor de Dios."
"Le dissi allor, «s’i’ ò ver’ voi fallato,","Se lo dije entonces, si te lastimé,","Se lo dije entonces, si te causé dolor,"
Ched e’ vi piaccia ched e’ sia amendato,"Lo que te gusta, es correcto.","Lo que te gusta, es apropiado."
"Per me, chéd i’ ’l farò a buona fede:","para mí, porque lo haré de buena fe.","Por mí, porque lo haré con sinceridad."
"Ch’i’ son ciertan, che ’l vostro cuor non crede",Porque estoy seguro de que tu corazón no cree,Porque estoy seguro de que tu corazón no cree
"Com’io dentro dal mio ne son crucciato,",Como en la mía estoy afligido con ella;,Como en el mío estoy angustiado;
"Ma quando vo’ m’avrete ben provato,",Pero cuando me pongas a prueba,¿Cuándo vas a ponerme a prueba?
"E’ sarà cierto di ciò, c’or non vede.","Y será seguro de eso, que ahora no ve",Será indiscutible de lo que no es visible ahora.
"Per ch’i’ vi priego, che mi diate il passo,",Por eso te ruego que me dejes pasar.,Te ruego que me des permiso para pasar.
Ched i’ potesse abatter il castello,Así puedo derribar el castillo.,Así puedo demoler la mansión.
"Di Gielosia, che m’à sì messo al basso».","de celos, que me depuso.","de envidia, que me ha colocado."
Quella mi disse: «Tu•ssè mio ribello:,"Él me dijo: ""Tú eres mi enemigo;","Él me dijo: ""Tú eres mi adversario;"
"Per altra via andrai, ché sarà’ lasso","por otro camino irás, porque estarás exhausto","Por otro camino irás, porque te agotarás."
Inanzi che n’abatti un sol crinello».,antes de romper un solo mirlo de la torre,Antes de derribar un solo mirlo de la torre
"Già no•mi valse nessuna preghera,",No hice ninguna oración.,No hice ninguna súplica.
"Ched i’ verso Richeza far potesse,","que podría hacer hacia Richeza,","Que podría ofrecerle a Richesa,"
