Original,Translate,Translate_GPT_1
"Va per lo mar, ciercando terra istrana,",går till havet och letar efter ett främmande land,går till havet och letar efter ett exotiskt land
"Con tutto si guid’e’ per tramontana,",Med allt du kör och med tramontana,Kör och med tramontana med allt du behöver.
Sì va e’ ben le sue vele canbiando,Det är okej att byta segel.,Det är okej att byta segel.
"E per fugire   da terra c’apressando,",och fly från jorden med hast,och att fly från jorden genom att accelerera
"In quella guisa, c’allor gli è più sana.",göra det som är bäst:,utföra vad som är bäst
Così governa mese e settimana,"så regerar i månader och veckor,","Föreståndare för långa perioder, håll i månader och veckor."
Insin che ’l mar si va rabonacciando.,tills havet är lugnt.,tills havet är lugnt.
"Così dé far chi d’Amor vuol gioire,",Det gör också de av Kärlek som vill glädja sig,Så gör de som vill jubla av kärlek
Quand’e’ truova la sua donna diversa:,när han finner sin kvinna annorlunda,När han finner sitt annorlunda sällskap
"Un’or la dé cacciar, altra fugire.",Nu måste du sparka ut henne och fly.,"Nu måste du relegera henne, spring nu iväg."
"Allor sì•lla vedrà palida, e persa,",Då kommer du att se blekt och förlorat,Då kommer den att verka desorienterad och desorienterad.
Ché sie ciertan che le parrà morire,Jag är säker på att hon känner att hon kommer att dö.,att det är outtröttligt att det kommer att tyckas förgås
Insin che no•lli cade sotto inversa.,tills hon faller under honom,tills hon faller under honom
"Quando fai ad alcuna tua richesta,",när du gör någon av dina önskemål,När du ställer din fråga
"O vechia ch’ella sia, o giovanzella,",vare sig hon är gammal eller ung,vare sig hon är gammal eller ung
"O maritata,   o vedova, o pulzella,","antingen gifta eller änkor eller jungfrur,","gift, änka, singel."
Sì convien che•lla lingua tua sia presta,Det är bättre om tungan är redo.,Det rekommenderas att tungan är redo.
"A•lle’ lodar suo’ ochi, e bocca, e testa,","för att prisa hans ögon, hans mun hans huvud,","För att upphöja hans ögon, mun och huvud."
E dir che sotto ’l ciel non l’à più bella:,och säg att under himlen kommer det inte att vara den vackraste,och säg att under himlavalvet kommer det inte att bli den mest lysande
“Piaciesse a Dio ch’i’ v’avesse in gonella,Hade det varit bra för Gud att jag hade dig i halsen,Hade det varit skönt för Gud att jag hade dig i halsen.
Là ov’io diviserei in mia podesta!”.,Där jag skulle ha makt över dig!,Där jag har auktoritet över dig!
"Così le déi del tutto andar lodando,",Så gudarna måste prisa dem alla.,"Prisa gudarna helt och hållet, precis som du måste."
Chéd e’ nonn-è nesuna sì atenpata,För ingen av dem är så gammal.,För ingen av dem är så gammal.
"Ch’ella   non si diletti in ascoltando,",att hon inte gillar att lyssna,att hon inte tycker om att lyssna
"E credes’esser più bella   che fata,",och tyckte hon var vackrare än en älva,Och tyckte att han var mer förtrollande än en älva.
E ’nmantenente pensa a gir pelando,och ständigt tänker på flå,och ständigt mediterar på flåning
"Colui, che prima tanto l’à lodata.",Den som först prisade henne,Den som berömde henne tidigare.
"Le giovane, e le vechie, e le mezane","De unga, de gamla och medelålders -","Ung, gammal och medelålders."
"Son tutte quante a prender sì ’ncarnate,",är alla villiga att ta,De är redo att plocka upp.
Che nessun puote aver di lor derate,att ingen kan få sina egna ägodelar,att ingen kan äga sina egna saker
"Per cortesia, tanto son villane,","Snälla, jag är en skurk.","Snälla, de är oförskämda."
"Ché quelle, che si mostran più humane,",att de som visar sig vara mer mänskliga,att de som visar sig vara mer medlidsamma
"E non prendenti, dànno le ghigniate.",och gör inte narr av dig själv,Gör inte narr av dig själv.
"Natur’è quella che•lle v’à fatate,",Naturen är den som lärde dig,Naturen är den som lärde dig
Sì com’ell’à ’fetato a chaccia il cane.,Precis som han lärde hunden att jaga.,Exakt hur han tränade hundjakten.
"Ver è c’alcuna si mette a donare,","Det är sant att somliga är villiga att ge,",Det är sant att somliga är redo att erbjuda.
"Ma ella s’è ben prima proveduta,",Men bara om de har sett till det förut.,Men bara om du tidigare är garanterad.
Ch’ella ’l darà in luogo d’adoppiare.,för att det som de ger skall komma tillbaka två gånger.,att det som de ger kommer att fördubblas.
"I•llor gioelli non son di gran valuta,","Deras juveler är inte av stort värde,","Deras juveler är inte av stort värde,"
Ma e’ son esca per uccie’ pigliare.,Men det här är betet för att fånga fåglarna.,Men det här är pinnen för att fånga fåglarna.
Guardisi ben chi à corta veduta!,Var försiktig med vem som har sett kort!,Var på er vakt mot dem som har sett det som är begränsat!
"Se quella, chu’ richiedi, ti rifiuta","Om den du vill ha vägrar dig,","Om den du vill avvisa dig,"
"Tu sì non perdi nulla in su’ scondetto,","Du förlorar ingenting på grund av din vägran,",Det finns ingen förlust på grund av hans förnekande.
"Se non se solo il motto, che•ll’ài detto.",Om inte bara orden du sa till henne:,"Istället för orden du sa, använd andra uttryck."
Dello scondir sarà tosto pentuta.,Du kommer snart att ångra din vägran.,Du kommer snart att ångra din förnekelse.
"Una nel ciento non fu mai veduta,",En av hundra kvinnor har aldrig setts.,En av 100 kvinnor har aldrig observerats.
"Ed ancor più che ’l miglia’ ci ti metto,","Eller bättre, jag satsar en på tusen.",Jag slår vad om en på tusen.
"Femina, chu’ piaciesse tal disdetto.",Kvinna att du gillade en sådan avvisande,Kvinnor som uppskattade en sådan vägran
"Come ch’ella t’asalgha di venuta,",Även om det kan attackera dig i början.,Även om han kanske anfaller dig från början.
"Richié’, c’almen n’avrà’ su’ ben volere,","Richie, han får åtminstone sitt välvilliga samtycke.","Han kommer att få, åtminstone kommer han att få sitt välvilliga samtycke."
"Con tutto ti vad’ella follegiando,","Även om han kunde säga galna saker om dig,","Även om han kunde säga otrogna saker om dig,"
Ché•ttu no•le puo’ far magior piaciere.,För att du inte kan göra henne en större tjänst.,För att du inte kan ge henne en större fördel.
"Ma di ciò non dé gir nessun parlando,","Men ingen behöver säga något om det,",Ingen ska prata om det.
"S’e’ ’n averla non mette su’ podere,","Om han misslyckas i sitt sökande efter det,",Om du inte kan få det i din sökning.
Chéd ella se ne va dapoi vantando.,För då kommer han skryta om det.,För då ska han gå runt och uppträda.
"E quando tu•ssarai co•llei soletto,","Och när du är helt ensam med henne,","När du är ensam med henne,"
"Prendila tra•lle braccia, e fa ’l sicuro,","Ta henne i dina armar och gör det modigt,",Omfamna den med vrede och gör det med djärvhet.
"Mostrando allor se•ttu•ssè forte e duro,","Visa då att du är stark och hård,",Bevisa din styrka och uthållighet.
E mantenente le metti il ganbetto.,och genast ge henne kroken,och omedelbart erbjuda sitt ankare
Né no•lla respittar già per su’ detto:,Bry dig inte om vad hon säger:,Ge henne ingen nåd för vad hon säger.
"S’ella chiede   merzé, chegala al muro.","Om han ber om barmhärtighet, be om det förgäves.","Om han ber om nåd, be oss förgäves."
"Tu•lle dirai: “Madonna, i’ m’assicuro","Du ska säga: ""Madonna, jag ska vara säker.""","Du kommer att säga, ""Heligt, jag garanterar mig själv."""
"A questo far, c’Amor m’à•ssì distretto","För att göra detta, har den kärleken tagit mig så","För att göra detta, har den kärleken tagit mig så mycket"
"Di vo’, ched i’ non posso aver sogiorno.","med dig, för att jag icke må hava frid,","med dig, för att jag icke må hava frid,"
Per ch’e’ convien che vo’ agiate merzede,för att det må vara nödvändigt för dig att vara barmhärtig.,För det är passande för dig att visa barmhärtighet.
"Di me, che tanto vi son ito intorno.",av mig som har varit så mycket runt omkring dig,av mig som har varit så nära dig
"Ché•ssiate cierta ched i’ v’amo a fede,",att du är säker på att jag älskar dig troget,att du är helt säker på att jag älskar dig hängivet
"Né d’amar voi giamai non mi ritorno,","och att jag aldrig kommer att sluta älska dig,",och att jag aldrig kommer att upphöra att älska dig.
Ché per voi il me’ cor salvar si crede”.,att mitt hjärta skall räddas åt dig,som mitt hjärta skall bevara åt dig
"E se•ttu ami donna ferma e sagia,","Och om du älskar en konstant och vis kvinna,","Om du älskar en trogen och vis kvinna,"
"Ben sagia   mente e fermo ti contieni,","Uppför er med vishet och uthållighet,",Agera med försiktighet och ihärdighet.
"C’avanti ch’ella dica: “Amico, tieni","För innan hon säger, ""Dude, vänta.""","Kamrat, behåll"
"Delle mie gioie”, più volte t’asagia.","från mina glädjeämnen, många gånger sätter jag dig",Från mina glädjeämnen har jag förmanat dig flera gånger.
"E se•ttu ami femina volaggia,","Och om du älskar en ombytlig kvinna,","Om du älskar en föränderlig, instabil, nyckfull kvinna."
"Volagia   mente davanti le vieni,","komma inför henne på ett ombytligt sätt,",föra den framåt med flexibilitet.
"E tutt’a la sua guisa ti mantieni,",och hålla din väg i din egen väg,och håller dig i ditt eget läge
"Od ella ti terrà bestia salvaggia,",Eller så ser hon dig som ett vilddjur.,eller hon ser dig som ett vilt djur
"E crederà che•ttu sie un papalardo,",och att tro att du inte är en hycklare,Och anta att du inte är en bluff
Che sie venuto a•llei per inganarla.,att du kom till henne för att lura henne,att du kom till henne för att lura henne
"Chéd ella il vol pur giovane e galliardo,",För att hon vill ha någon som är ung och robust.,för att hon vill ha någon som är ung och kraftfull.
"La buona e•ssagia,   ma di ciò non parla",En god och vis kvinna talar aldrig om detta;,En välvillig och vis kvinna nämner aldrig detta.
"Anz’ama più l’uon fermo che codardo,",Han älskar en viss man mer än en ynkrygg.,Föredrar en bestämd individ mer än en usel.
Ché non dotta che que’ faccia blasmarla.,För han vet inte vad han kommer att få henne att skylla.,Hon vet inte vad som kommer att få kritiken.
"Ancor convien che•ttu saccia ’lcun’arte,",Ännu bättre att du kan vissa regler,Ännu bättre att du kan vissa regler
Per ghovernar e te e la tu’ amica:,för att styra dig och din vän:,"Direkt, reglera dig och din partner."
"Di buon’ morselli tuttor la mi notrica,","när henne fortfarande med ömma bett,",Nära den igen med mjuka ungar.
E dàlle tuttavia la miglior parte.,Och alltid ge henne det bästa.,Och alltid ge henne det bästa.
"E s’ella vuol andar i•nulla parte,","Och om du vill gå någonstans,","Om du vill gå någonstans,"
"Sì•lle dì: “Va, che Dio ti benedica!”.","Säg till henne: Gå, och må Gud välsigna dig.","Uppståndelsens dag: Gå, och må Gud ge er Sin välsignelse."
In gastigarla non durar fatica,Slösa inte tid på att skälla ut henne.,Slösa inte tid på att skälla ut henne.
Se dal su’ amor non vuo’ tagliar le carte.,Om du inte vill avsluta förhållandet.,Om du inte vill avbryta förhållandet.
"E se•lla truovi l’opera facciendo,",Och om du får reda på att han älskar...,Om du får reda på att han är tillägnad kärlek...
Non far senbiante d’averla veduta:,Låt dig inte se henne.,Låt dig inte eskortera henne.
In altra parte   te ne va fugiendo;,Och någon annanstans springer du iväg.,Och på ett annat ställe springer du iväg
"E se•lle fosse lettera venuta,",och om brevet hade kommit,och om meddelandet hade kommit
Non t’intrametter d’andar inchegiendo,Han bryr sig inte om att fråga henne.,Han bryr sig inte om att fråga.
"Chi•ll’à recata, né chi la saluta.","som har gått, eller av den som hälsar","som har gått, eller av vem att hälsa"
"S’a scachi, o vero a•ttavole, giocassi",om du spelade schack eller riktigt vid bordet,Vare sig du spelade schack eller schackbräde.
"Co•lla tua donna, fa c’agie il pigiore","med din dam, se till att",Se till att din fru
"Del gioco, e dille ch’ell’è la migliore",Och säg att hon är bäst i spelet.,och berätta för henne att hon är den mest skickliga av spelet
"Dadi-gittante, che•ttu mai trovassi.",jättedata jag aldrig såg,enorma data jag aldrig hade sett
"S’a coderon giocaste, pignia anbassi,","Och om han spelar coderon, kasta otch,","Om du ska spela coderon, kasta en titt,"
E fa ched ella sia là vincitore.,och gör henne till vinnare,och gör henne till vinnare
"Della tua perdita non far sentore,",Få mig inte att känna din förlust.,Låt honom inte bevisa att du är borta.
Ma che cortesemente la ti passi.,Men vad är det för artighet som passerar dig?,Men vilken vänlighet passerar dig
"Falla seder ad alti, e•ttu sie basso,","Sätt henne på en hög plats, och du där nere,","Sätt henne på en hög plats, och du där nere."
"E sì•ll’aporta carello, o cuscino:","och bär en kärra och en kudde,",och bär en vagn och en kudde.
Di le’ servir non ti veghi mai lasso.,Hon lät henne aldrig se dig trött på att tjäna henne.,Hon lät henne aldrig se dig utmattad efter att ha tjänat henne.
"S’adosso le vedessi un buscolino,",Om jag var tvungen att se en prick på henne...,Om jag ser en fläck på henne...
"Fa che glie•levi, e se vedessi sasso,","Se till att borsta bort den, och om du ska se en sten","Se till att borsta bort, och om du ska observera en sten."
"Là ’v’ella dé passar, netta ’l camino.","Där han måste gå, borsta av stigen.",Var ska jag gå? Rensa rutten.
A sua maniera ti mantien tuttora:,På sitt sätt behåller han dig fortfarande.,På ett märkligt sätt bevarar det dig fortfarande
"Che s’ella ride, ridi, o balla,   balla,","Om hon skrattar, du skrattar, eller om hon dansar, du dansar;","Om hon ler, skrattar du, eller om hon dansar, så dansar du."
"O s’ella piangie, pensa   a consolalla,","Och om han gråter, tänker och tröstar henne,","Om hon gråter, tänk och trösta henne."
Ma fa che pianghe tu sanza dimora.,Men se till att gråta utan dröjsmål.,Men se till att du river utan dröjsmål.
"E se con altre done fosse ancora,",och om med andra kvinnor fortfarande var,Tänk om han fortfarande är med andra kvinnor?
"Che giocasero al gioco della palla,",som spelade bollspelet,att de gladde sig över spelet i bollen
"S’andasse lungi, corri ad aportalla.",Du borde föra honom tillbaka till henne.,"Det borde gå framåt, lämna tillbaka det till henne."
A•lle’ servir tuttor pensa   e lavora.,Han tror alltid att han tjänar henne och arbetar.,Tänk alltid på att hjälpa dig och arbeta
"E se vien alcun’ or   ch’ella ti tenza,",Och om det är dags när han bråkar med dig...,Om det är dags när han slåss mot dig...
"Ch’ella ti crucci sì, che•ttu le dài,","eller när du är så arg att du slog henne,","När du är så arg, slår du henne."
"Imantenente torna ad ubidenza,","omedelbart återvända för att lyda dem,",Återvänd omedelbart för att lyda dem.
"E giurale che ma’ più no ’l farai,",och svär till henne att du aldrig mer skall göra det;,Lova honom att aldrig göra om det.
Di quel ch’ài   fatto farai   penitenza:,Du kommer att göra bot för det du gjorde.,Förklara din skuld för vad du har gjort.
"Prendila e falle il fatto, che•tti sai.",Ta henne och gör det du gör bäst!,Ta henne och gör det du gör bäst!
"Sovr’ognie cosa pensa di lusinghe,","Tänk på allt smicker,",Tänk på alla komplimanger.
"Lodando sua maniera, e sua fazone,","och prisade hans uppförande och hans yttre,",Prisa hans artighet och utseende.
"E che di senno passa Salamone,","Och när Salomo går förbi i vishet,",och hur Salomo går till väga på ett förståndigt sätt.
Con questi motti vo’ che•lla dipinghe.,Med dessa ord vill jag att du beskriver det.,"Med dessa ord, vill jag att du avgränsar henne."
Ma guarda non s’avega che•tti’nfinghe,Han visste inte att du fejkade det.,Men han visste inte att du fejkade det.
Ché non v’andresti mai a prociessione:,"eftersom du aldrig skulle gå i procession,",Varför gick du inte på paraden?
Non ti varebe lo star ginochione.,Och du skulle inte behöva vara på knä.,Det hjälper inte att knäböja.
"Però quel lusinghar fa che tu ’l tinghe,",Men smicker får dig att färga det.,"Men det smickrande får dig att tänka på det,"
"Chéd e’ n’è ben alcuna sì viziata,",eftersom det inte finns någon sådan bortskämd,För det finns ingen så korrumperad
Che non crede giamai ta’ favolelle,"som aldrig tror på sådana historier,",som aldrig litar på sådana historier.
Per c’altra volta n’è stata   beffata;,för att hon en gång hade blivit hånad,för att hon en gång blev retad
"Ma queste giovanette damigielle,",Men dessa unga tärnor,Dessa unga flickor
"Chu’ la lor terra non n’è stata   arata,",att deras mark inte blev plöjd,att deras mark inte har odlats
Ti crederanno ben cota’ novelle!,De kommer att få dig att må bra för de här romanerna.,De kommer att hedra dig väl med dessa nya ord.
"Se•ttu ài altra amica procacciata,",Om du har en annan flickvän.,Om du har en annan vän.
"O ver che•ttu la guardi a procaciare,","Eller att du tittar på henne för att få det till dig,","Att du tittar på det för att få det själv,"
E sì non vuo’ per ciò abandonare,och du vill inte överge,Du vill inte abdikera för det.
"La prima, chu’ à’ lungho tenpo amata,",den första som länge älskat,De älskade i det långa loppet.
"Se•ttu a la novella à’ gioia donata,","Om du har skänkt budskapet glädje,",Om du skänkte glädje till den unge mannen.
Sì dì ch’ella la guardi di recare,Säg åt henne att titta på henne för att få tillbaka,Säg åt henne att titta på henne för att återställa henne.
"In luogo, ove la prima ravisare",på en plats där den första att känna igen,På en plats där det första meddelandet
"No•lla potesse, ché seria ’smenbrata.","Hon kunde inte göra det, för hon skulle bli förstörd.","Hon kunde inte göra det, för hon skulle förintas."
"O s’ella ancor ne fosse in sospezone,",eller om han fortfarande var misstänksam,Om hon fortfarande är tveksam.
"Fa saramenta ch’ella t’aggia torto,",Se till att det är fel,fredligt göra henne fel
C’unque ver’ lei non fosti in mesprigione;,Alla som inte var föraktfulla mot henne.,Alla som inte var emot henne.
"E s’ella il pruova, convien che sie acorto","Och om du provar dem, så är det bäst att du är försiktig.","Om du upplever dem, är det viktigt att du är vaksam."
"A dir, che forza fu, e tradigione:","att säga, vilken styrka det var, och svek","att förkunna, vilken kraft det var, och otrohet"
Allor la prendi e sì•lle innaffia l’orto.,Sen tar du den och vattnar trädgården.,Sedan får du det och bevattnar trädgården.
"E se•ttua donna cade in malatia,",och om din kvinna blir sjuk,Och om din partner blir sjuk
"Sì pensa che•lla faccie ben servire,",Se till att du har tjänat bra.,se till att du har tillfredsställt dig på ett tillfredsställande sätt.
Né•ttu da•llei giamai non ti partire.,Och du kommer aldrig undan från henne.,Och du kommer aldrig att skilja dig från henne.
"Dàlle vivanda, c’a piacier le sia,","ge henne mat, att hon gillar det","Erbjud henne näring, så att hon kan vara nöjd"
"E po’ sì•lle dirai: “Anima mia,","Och sen säger du till henne: ""Min själ,","Sen säger du: ""Mitt hjärta."""
Istanotte ti tenni in mio dormire,Igår kväll i min dröm höll jag dig,Igår kväll i min dröm kramade jag dig.
"Intra.lle braccia sana, al me’ disire:","i mina friska armar, till min önskan:","i mina friska armar, till min längtan."
"Molto mi fecie Idio gran cortesia,",Gud gjorde mig en stor artighet.,Gud visade mig stor godhet.
Che mi mostrò sì dolze avisione”.,som visade mig en så söt vision.,Att jag hade en så öm syn.
"Po’ dica, ch’ella l’oda, come sagio,","Säg då, att du hör honom, såsom en vis man,","Då säger du, att du lyssnar till honom, som en vis man."
"Che per lei fara’ far gran prociessione,",som kommer att göra en stor procession för henne,att för henne kommer att göra en stor parad
"O•ttu n’andra’ in lontan pellegrinagio,","eller att ni gör en lång pilgrimsfärd,","att du [Muhammad] gör en lång resa,"
Se Giesocristo le dà guerigione.,om Jesus Kristus botar henne.,om Jesus Kristus botar det.
"Così avrai il su’ amor, e ’l su’ coragio».",Så du kommer att ha hans kärlek och mod,På så sätt kommer du att vinna hans tillgivenhet och frimodighet.
"Quand’ebi inteso Amico, che leale","När jag förstod vän, vad trogen","När jag hörde Vän, hur lojal"
"Consiglio mi dava, a su’ podere,","Han gav mig råd, i sin makt","Han gav mig råd, när han var som bäst."
"I’ sì•lli dissi: «Amico, il mi’ volere","Jag sa till honom: ""Herregud, min vilja.""","Jag sa till honom: Kamrat, min önskan"
"Non fu unquanche d’esser disleale,",Det skulle aldrig vara illojalt.,Han behövde aldrig vara bedräglig.
"Né piaccia a Dio, ch’i’ sia condotto a tale,",Gud gillar inte att jag leds till sådana,Låt det inte vara givet till Gud att jag ska ledas till sådana
"Ch’i’ a le gienti mostri benvolere,",att jag visar vänlighet mot människor,att jag visar vänlighet mot människor
"E servali del corpo, e dell’avere,",och tjänare i kroppen och att ha,och beroende av kropp och rikedom
Ched i’ pensase poi di far lor male.,Sen trodde jag att jag skulle skada dem.,Och då skulle jag överväga att skada honom.
Ma sòffera ch’i’ avante disfidi,Men låt mig först utmana,"För det första, låt mig utmana."
"E Mala-Bocca, e tutta sua masnada,",Mishaps och hela hans gäng.,Ondskan och hans grupp.
"Sì che neuno in me giamai si fidi,",att ingen i mig någonsin litar på,att ingen någonsin litar på mig
Po’ penserò di metterli a la spada».,Då ska jag tänka på att sätta dem på svärdet.,Då tänker jag beväpna dem med svärdet.
"Que’ mi rispuose: «Amico, mal ti guidi:","Han sa till mig: ""Du har fel.","Han sade till mig: ""Kärda, men du har fel."
Cotesta sì nonn-è la dritta strada.,Det här är inte rätt väg.,Detta är inte den rätta vägen.
"A te sì non convien far disfidaglia,","Du vill inte ta den här utmaningen,",Det är inte tillrådligt för dig att anta denna utmaning.
Se•ttu vuo’ ben civir di questa guerra.,Om du vill få ett slut på kriget.,Om du vill få ett lyckligt slut på kriget.
"Lasciala far a’ gran’ signior’ di terra,",Låt jordens stora herrar göra det.,Låt jordens härskare göra det.
Che posson soferir oste e battaglia.,som har råd med armén och strider!,Att de kan finansiera armén och skärmytslingarna!
"Mala-Bocca, che così ti travaglia,","Malabocia, som plågar dig,","Ondskan, som bedrövar dig,"
È traditor: chi ’l tradiscie non erra.,"Han är en förrädare; den som förråder honom, han felar icke.",Han är otrogen; de som ogillar honom begår inga misstag.
"Chi con falsi senbianti no•ll’aferra,","som inte fångar honom med falskt utseende,",Den som inte bedrar honom med falska anspråk.
Il su’ buon giocho mette a ripentaglia.,Han sätter sitt goda spel på spel.,hotar hans goda rykte.
"Se•ttu lo sfidi, o batti, e’ griderà,","Om du utmanar honom eller slår honom, så skriker han.","Om du utmanar honom eller attackerar honom, skriker han."
Chéd egli è di natura di mastino:,eftersom han är av en mastinus natur,Därför att han är ihärdig i naturen
"Chi più ’l minaccia, più gli abaierà.","Ju mer han hotar honom, desto mer skäller han på honom.","Ju mer han hotar honom, desto mer skriker han åt honom."
"Chi Mala-Bocca vuol metter al chino,",Den som vill erövra Malabocia,Alla som vill underkuva Malabocia
"Sed egli è sagio, egli•lusingherà:","Han kommer att smickra honom, om han är vis,",Han smickrar honom om han är vis.
Ché cierto sie quell’è ’l dritto camino».,Jag är säker på att det är rätt väg.,att det är obestridligt att det är det rätta sättet.
"«Po’ mi convien ovrar di tradigione,","""Då är det bäst att jag jobbar på traditionen,","""Då är det bättre för mig att handla enligt sedvänja,"
"E a•tte pare, Amico, ch’i’ la faccia,","Och det verkar som om jag ska göra det, Dude.","Det förefaller dig, kamrat, som om jag gör det."
"I’ la farò,   come ch’ella mi spiaccia,","Jag gör det, som om jag inte gillar det.","Det ska jag göra, trots mina meningsskiljaktigheter."
Per venir al di su di quel cagnione.,Att komma över den där hunden.,För att komma förbi hunden.
"Ma sì•tti priego, gientil conpagnione,","Men snälla, snälla kamrat,","Snälla, underbara följeslagare."
"Se•ssai alcuna via, che•ssia più avaccia,","Om det finns något sätt, låt det vara snabbare.","Om det finns någon väg, låt det vara snabbare"
"Per Malabocca e suo’ metter in caccia,",för att jaga Malabocia och hennes,Utövande av Malabocia och hennes
"E trar Bellacoglienza di pregione,",Och gratis Bell mottagning i fängelset,Och gratis Bell mottagning från fängelset
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,",Du lär mig och jag går.,Att du lär mig och jag går vidare
"E menerò   comeco tal aiuto,",och jag kommer att ta med sådan första hjälp,och jag kommer att ge ett sådant första stöd
Ched i’ quella forteza abatterò».,För fästningen ska jag begrava.,För fästningen kollapsade.
"«E’ nonn-à guari ch’i’ ne son venuto»,","""Det är inte mycket jag kom därifrån,""",Jag har inte varit sån på länge.
"Rispuose Amico, «ma ’l ver ti dirò,","svarade vännen, men jag skall säga er sanningen,","Vännen svarade, men jag skall uppenbara sanningen för dig."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","att om jag gick, Jag ångrade","att om jag gick, ångrar jag"
"S’uom apella il camin Troppo-Donare,",Om en man kallar den öppna spisen för Donate,Om en man kallar Eldstadens överflödsgåva.
"E’ fu fondato per Folle-Largheza,",byggdes för Folle-Largheza,Den byggdes för Extreme-Ampiezza
"L’entrata guarda madonna Richeza,",Grottan stirrar på Madonna Wealth,Entrén tittar på Mrs. Överflöd.
"Che non i lascia nessun huon passare,",Det låter ingen man passera.,Det tillåter inte en man att passera.
"S’e’ nonn-è su’ parente, o su’ conpare,","Om han inte är hans släkting, eller hans partner","Om han inte är en consanguineum, eller hans vän"
"Già tanto nonn-avrebe in sé belleza,","Oavsett hur vacker hon kan vara,","Oavsett hur attraktiv hon kan vara,"
"Cortesia, né saver, né gientileza,","Genom tillmötesgående, varken kunskap eller vänlighet","Genom tillmötesgående, varken kunskap eller vänlighet"
Ched ella gli degniasse pur parlare.,att hon bara skulle förtjäna att tala med honom,att hon bara skulle tillåta honom att tala
"Se puo’ per quel camin trovar   passagio,",om den vägen kan hitta en passage,Om den vägen kan hitta en väg in.
"Tu•ssì abattera’ tosto il castello,",Du kommer snart att ta ner slottet.,Du kommer snart att riva herrgården.
"Bellacoglienza trarà’ di servagio,",Vacker mottagning kommer att dra ut av träldom,"Frigörelse, utvinning, gästfrihet."
"Non vi varrà gittar   di manganello,",Du kommer inte att kunna kasta batonger,Du behöver inte kasta pinnar.
"Néd a le guardie lor folle musagio,",Inte heller till deras galna vakter kul,Inte heller till deras vakter galen glädje
"Porte, né mura, né trar   di quadrello.","Dörrar, inga väggar, inget fyrkantigt drag","Dörrar, inga väggar, inga spaljéer släpande"
"Or sì•tt’ò detto tutta la sentenza,",Nu hela meningen är sagt,Nu har hela meningen uttalats.
Di ciò che•ssagio Amante far   dovria.,om vad en vis älskare bör göra:,om vad en vis älskare bör göra
"Così l’amor di lor guadagnieria,",så kommer kärleken att vinna dem,så att tillgivenheten kommer att ge dem
"Sanz’aver mai tra•llor malivoglienza,",Utan att ha vänskap mellan dem,Utan att ha en allians mellan dem
"Se mai trai di pregion Bellacoglienza,","Om du befriar Bell mottagning från fängelset,","Om du befriar Bellaccoglienca från fängelset,"
"Sì fa che•ttu ne tenghi questa via,",Låt dig fortsätta så här.,Se till att du följer den här vägen.
"Od altri menti mai non t’ameria,",Annars skulle han aldrig älska dig.,Annars kommer han aldrig att älska honom.
Che ch’ella ti mostrasse in aparenza.,Att han visade dig utseendet.,Att han skulle visa dig utåt
"E dàlle spazio di poter andare,",Och ge henne friheten att gå.,Ge henne frihet att röra sig.
"Colà, dove le piacie, per la villa;","varhelst hon vill i staden,",Var hon än gillar stan.
Pena perduta seria   in le’ guardare:,straff att titta på skulle vara att förlora,Följden av att observera skulle bli att skingras.
Ché•ttu teresti più tosto un’anguilla,Varför håller du en ål närmare?,för att du skulle dra åt en ål hårdare
"Ben viva per la coda, e fossi in mare,","väl vid liv vid svansen, även om du var till sjöss,","Välkommen till svansen, även om du var i havet."
"Che non faresti femina, che ghilla».","Vad en kvinna inte skulle göra, fånigt","Vad en kvinna inte skulle göra, dåre."
"Così mi confortò il buon Amico,",Så den goda vännen tröstade mig,På så sätt tröstade min välvillige vän mig.
"Po’•ssi partì da me, sanza più dire.",Sen gick han utan ett ord till.,Sen gick han utan en mening till.
"Allor mi comincià’ fort’ a giechire,",Då började jag vara mycket ödmjuk.,Då började jag bli mycket förödmjukad.
"Ver’ Mala-Bocca, il mi’ crudel nemico;","Mot Malabocia, min grymma fiende.","Till Ondskan, min skoningslösa fiende."
"Lo Schifo i’ sì pregiava   men ch’un fico,",Jag brydde mig inte ett skit om motståndsrörelsen.,Jag brydde mig inte alls om motståndsrörelsen.
Ch’egli avea gran talento di dormire;,"som hade en stark önskan att sova,",som hade en stor längtan att vila.
Vergognia si volea ben sofferire,Blygsamheten ville verkligen lägga ner sin röst,Ödmjukhet ville uppriktigt lägga ner sin röst
"Di gueregiarmi, per cierto vi dico,","För att jag kämpade mot mig, är jag säker på att jag säger det.","För att du kämpade mot mig, kan jag försäkra dig."
"Ma’ e’ v’era Paura, la dottosa,","Men det fanns rädsla, de rädda,","Det var ångest, det frodiga."
"C’udendomi parlar tutta tremava,","som, när de hörde mig tala, bävade överallt.","som, när han hörde mig tala, ryste i varje fiber."
"Quella nonn-era punto dormigliosa,",att man inte alls var sömnig;,Den där var inte alls dåsig.
"In ben guardar il Fior molto pensava,","har varit mycket försiktig med att vakta blomman,",Man har ägnat mycket uppmärksamhet åt att bevara blomman.
"Vie più che•ll’altre guardi’ era curiosa,","Och var mer nyfiken än de andra vakterna,",Och mer intresserad än de andra vakterna.
