Original,Translate,Translate_GPT_1
M’avea gittato d’ognie bona spera.,"Er hatte mir alle gute Hoffnung ausgeraubt,",Er hatte allen positiven Hoffnungen entrissen.
"Allor tornò a me, che lungi m’era,","Dann kehre ich zu mir zurück, der weit weg war,","Also komme ich zurück zu mir selbst, der weit entfernt war."
"Ragion la bella e disse: «Tu•ssè corso,","der gute Grund sagte: ""Du bist weit weg,","Der großartige Grund sagte: ""Du bist weit weg,"""
"Se•ttu non prendi i•me alcun ricorso,","Wenn Sie nicht nehmen, aber ich keine Hilfe",Wenn du keine Hilfe von mir bekommst.
"Po’ che Fortuna è ’nverso te sì fera,",Denn das Glück ist dir widerspenstig.,Da das Schicksal gegen dich ist.
"Ed i’ ò tal vertù dal mi’ Segniore,","Aber von dem Herrn, der mich erschaffen hat","Aber von dem Schöpfer, der mich erschaffen hat"
"Che mi criò, ch’i’ metto in buono stato","Ich habe solche Macht, die ich in guten Zustand","Ich habe so einen Aszendenten, dass ich in sehr guter Form trage."
Chiunque al mi’ consiglio ferma il core.,Jeder zu meinem Rat stoppt das Herz,Jeder meiner Meinung nach hält sein Herz
"E di Fortuna, che•tt’à tormentato,","und das Glück, das dich gequält hat","und das Unglück, das dich heimsuchte"
"Se vuogli abandonar il Die d’Amore,","wenn du den Gott der Liebe verlassen willst,","Wenn du dem Gott der Liebe abdanken willst,"
Tosto t’avrò co•llei pacificato».,Sie versöhnt sie schnell mit ihr.,Sie wird es schnell wiedergutmachen.
"Quand’i’ udì’ Ragion, che ’l su’ consiglio",Wenn er die Vernunft und seinen Rat hört,Wenn du auf Weisheit und ihre Tipps hörst
"Mi dava buon, e fin, sanza fallacie,","Er gab mir Grund, ohne Täuschung,","Er rechtfertigte mich, ohne List."
Diciendo di trovarmi acordo e pacie,"sagen, um Einigung oder Frieden zu finden","Um zu versöhnen, um Verständnis, Harmonie zu erreichen."
"Con quella, che m’avea messo ’n asiglio,","mit demjenigen, der mich gequält hat","Mit demjenigen, der mich gequält hatte"
"I’ le dissi: «Ragion, veco ch’i’ piglio!","Ich sagte zu ihr: ""Ray, ich werde mich anpassen!""","Ich sagte zu ihr: ""Rationalität, ich paße mich an!"""
Ma non ch’i’ lassci il mi’ signior veracie,Solange ich meinen wahren Herrn nicht verlassen muss.,Solange ich meinen wahren Meister nicht im Stich lasse.
"Chéd i’ son su’ fedel, e’ sì mi piacie","Denn ich bin sein treuer Knecht, und ich mag ihn.","Weil ich sein ergebener Diener bin, und ja, ich mag ihn sehr."
Tanto ch’i’ l’amo più che padre figlio.,"dass ich ihn mehr liebe, als dass ein Sohn seinen Vater liebt.",dass ich ihn mehr liebe als ein Kind seine Eltern.
Onde di ciò pensar non è mestero,Deshalb ist es kein Geheimnis.,Aus diesem Grund ist es nicht geheim
"Né tra no’ due tenerne parlamento,","und auch nicht zwischen uns beiden, geschweige denn darüber zu reden.","Nicht zwischen uns, nicht einmal darüber zu diskutieren."
"Ch’e’ non sarebe fatto di legiero,","denn das wäre nicht einfach,",Denn das wäre nicht einfach.
Perciò ch’i’ falseria mi’ saramento.,Also würde ich mein Sakrament verletzen.,Damit ich meinen Eid brechen würde
"Megl’i’ amo di Fortuna eser guerero,",Besser ein Feind von Fortune zu sein.,Um ein Gegner des Schicksals zu sein.
Ched i’ a•cciò avesse pensamento».,"dass, was Gedanken zu haben","dass, davon, Ideen besitzen"
"«Falsar tal saramento è san’ pechato,","Eine solche Verpflichtung zu verletzen, ist keine Sünde,",Eine solche Bindung zu brechen ist kein Fehler.
"Poi te’ ciaschun, secondo ,","für alle wissen, zweitens,","Wie allen bekannt, in Übereinstimmung mit,"
"Che, se l’uon giura di far alcun male,","wenn ein Mann schwört, nichts Böses zu tun,","Und wenn ein Mann nichts Böses zu tun verheißt,"
"S’e’ se ne lascia, non è pergiurato.","Und dann verzichtet er darauf, es zu tun, er ist kein Lügner.","Und dann verzichtet er darauf, es zu tun, er ist kein Lügner."
Tu mi proposi che tu sè giurato,"Du wirfst mich nieder, was du geschworen hast","Du hast dafür gesorgt, dass du geschworen hast."
"A questo Dio, che•tt’à condotto a tale","zu diesem Gott, der dich hierher geführt hat","Zu diesem Gott, der dich hierher gebracht hat."
"C’ognie vivanda mangi sanza sale,","dass jede Nahrung, die Sie essen ohne Salz","Achten Sie darauf, dass alle Lebensmittel, die Sie essen, salzfrei sind."
Sì fortemente t’à disavorato.,Es hat dich sehr erleichtert.,Er hat dich beträchtlich erzogen.
"E’ sì si fa chiamar il ‘Die d’Amore’,","Und er nennt sich den Gott der Liebe,","Es heißt, er sei der Herr der Läuse,"
Ma chi così l’apella fa gran torto,"Aber wer nennt ihn, der ein großes Comeback macht?","Aber wer ihn so nennt, macht eine große Fahrt"
Ché su’ sornome dritto si è ‘Dolore’.,Weil sein richtiger Name Pain ist.,Weil sein Name Leid ist.
"Or ti parti da•llui, o tu sè morto,","Jetzt trennen Sie sich von ihm, oder Sie sind tot.","Nun, durch ihn geteilt, oder ihr seid gestorben,"
"Né no ’l tener giama’ più a signiore,","und halte ihn nicht mehr wie deinen Herrn,",und betrachte ihn nicht mehr als deinen Herrn.
"E prendi il buon consiglio, ch’i’ t’aporto».","und nimm den guten Rat, den ich dir zurückbringe!","Und nehmt die weise Warnung, die ich euch gebe!"
"«Ragion, tu sì mi vuo’ trar   d’amare,","Grund, du willst mich davon abhalten, zu lieben,","Rationalität, du willst meine Zuneigung behindern."
"E di’ che questo mi’ signor è reo,","Und du sagst, dass dieser Herr von mir schädlich ist","und du behauptest, dass dieser Herr von mir schädlich ist"
"E ch’e’ non fu d’Amor unquanche Deo,",und dass ich nie Gott der Liebe war,und dass es nie ich Souverän der Slice war
"Ma di Dolor, secondo il tu’ parlare.","Aber von Schmerz, nach deiner Rede","Jedoch, Leiden, nach Ihrer Erzählung"
"Da•llui partir, non credo ma’ pensare,","Ich hätte nie gedacht, dass ich von ihm wegkomme.","Ich hätte nie gedacht, dass ich mich von ihm trennen würde."
"Né tal consiglio non vo’ creder eo,","Und ich will nicht deinem Rat folgen,",Ich will Ihrem Vorschlag nicht folgen.
Chéd egli è mi’ Segnior ed i’ son seo,"Denn er ist mein Herr, und ich bin sein Herr.","Denn er ist mein Souverän, und ich bin sein Knecht."
"Fedel, sì è follia   di ciò parlare.","Treu, es ist Wahnsinn, von solchen Dingen zu sprechen.","Loyal; es ist Wahnsinn, solche Dinge zu diskutieren."
Per ch’e’ mi par   che ’l tu’ consiglio sia,"Deshalb scheint es mir, dass Ihr Rat geht","Deshalb scheint es mir, dass Ihr Vorschlag sollte"
"Fuor di tu’ nome troppo oltre misura,","über die Grenzen deines Namens hinaus,",Über die Grenzen deines Namens hinaus.
Che sanza Amor nonn-è altro ch’enuìa.,Denn ohne Liebe zu sein ist nichts als eine Last.,Denn ungeliebt zu sein ist nichts anderes als eine Last.
"Se Fortuna m’à tolto or mia   ventura,","Wenn das Glück mir mein Glück weggenommen hat,","Wenn mir Glück mein Glück genommen hat,"
"Ella torna la rota tuttavia,","Sie wird jedoch weiterhin schießen,",Sie wird trotzdem weiterreisen.
"E quell’è quel, che molto m’asicura».",und das beruhigt mich sehr.,Und das macht mich sehr wohl.
«Di trareti d’amar nonn-è mia ’ntenza»,"Es ist nicht meine Absicht, dich davon abzuhalten, zu lieben,","Ich habe nicht die Absicht, deine Liebe zu behindern."
"Disse Ragion «né da•cciò non ti butto,","Er sagte Vernunft, noch will ich dich davon entmutigen,","Er bestätigte die Gerechtigkeit, und ich möchte Sie auch nicht davon abhalten."
"Ch’i’ vo’ ben che•ttu ami il mondo tutto,","denn ich will, dass du auf der ganzen Welt liebst","Denn ich wünsche ernsthaft, dass du auf der ganzen Welt liebst"
Fermando in Giesocristo tu’ credenza.,Ihren Glauben an Jesus Christus stärken,Stärkung im Glauben Jesu Christi
"E s’ad alcuna da’ tua benvoglienza,","Und wenn du deine Liebe jemandem gibst,","Wenn du jemandem deine Zuneigung darbringst,"
"Non vo’ che•ll’ami sol per lo ditutto,","Ich will nicht, dass du sie liebst, nur bitte.","Ich will nicht, dass du sie anbetest, nur um ihr zu gefallen."
"Né per diletto,   ma per trarne frutto:","oder um sich zu erfreuen, sondern um Früchte zu tragen,","Aus Vergnügen, aber um Nutzen zu ziehen."
"Ché, chi altro ne vuol, chade in sentenza.","Denn wer ein anderes Ende will, der sündigt.","Denn jeder, der einen anderen Epilog wünscht, fällt in Übertretung."
"Ver è ch’egli à in quel’opera diletto,","Es ist wahr, dass es große Freude an diesem Akt gibt,","Es ist sicher, dass es eine große Freude in dieser Aktion."
"Che Natura vi mise per richiamo,","dass die Natur Sie als einen Anruf,",dass die Natur Ihnen als Attraktion angeboten hat.
"Per più sovente star con esse in letto,",mit Frauen öfter schlafen.,Mit Frauen häufiger schlafen.
"Ché, se ciò non vi fose, ben sapiamo","Und wenn das nicht der Fall ist, wissen wir es gut.","Wenn das nicht der Fall ist, wissen wir es genau."
Che poca giente porebe già petto,dass nur wenige Menschen sich verpflichten würden,Nur wenige würden arbeiten.
"Al lavorio, che cominciò Adamo».","in dem Werk, das Adam begann.","in dem Werk, das Adam begann."
"I’ le dissi: «Ragion, or sie ciertana,","Ich sagte zu ihr: Vernunft, jetzt, da du sicher bist","Ich sagte zu ihr: ""Logic, jetzt, da du sicher bist."""
Po’ che Natura diletto vi mise,seit der Natur begeistert,Da bot die Natur Vergnügen.
"In quel lavoro, ched ella no ’l v’asise","in diesem Job, der ihn nicht dort hingelegt hat","In diesem Job, der ihn nicht dorthin brachte."
"Già per niente, ché non è sì vana,","Schon umsonst, denn es ist nicht eitel,","Schon umsonst, denn es ist nicht vergeblich."
"Ma per continuar la forma humana,",Aber mit der menschlichen Form fortfahren,Doch um mit dem menschlichen Aspekt auszuharren.
"Sì vuol ch’uon si diletti   in tutte guise,",Der Mensch will sich in vielerlei Hinsicht amüsieren,Der Mensch soll sich in vielerlei Hinsicht freuen.
"Per volontier tornar a quelle asise,","freudig zu diesen Zusammenkünften zurückzukehren,",um mit Freude zu diesen Zusammenkünften zurückzukehren.
Ché ’n dilettando sua semenza grana.,"daß, indem er Spaß hat, sein Same Frucht hervorbringt.",daß freudig sein Same Ernte zeugt.
"Tu va’ diciendo ch’i’ no•mi diletti,","Du sagst, ich muss keinen Spaß haben.","Du sagst, ich soll mich nicht freuen."
Mad i’ per me non posso già vedere,aber ich kann nicht für das Leben von mir verstehen,Aber ich kann die Welt nicht aus irgendeinem Grund verstehen.
Che sanza dilettar huon vi s’asetti,dass ohne Spaß niemand anfangen würde,dass ohne Freude niemand anfangen würde
"A quel lavoro, per ch’io ferm’ò volere:",Zu dieser Arbeit; weil ich meinen Willen stoppte.,"Zu diesem Job, weil ich meinen Wunsch aussetzte."
Di dilettar col Fior no•me ne gietti.,"Entmutige mich nicht davon, Freude an der Blume zu haben!","Entmutige mich nicht, die Blume zu genießen!"
Faccia Dio po’ del Fiore su’ piaciere!».,"Dann soll Gott mit der Blume tun, was Er will.","Dann soll das Göttliche tun, was Er mit der Pflanze will!"
«Del dilettar non vo’ chiti tua parte»,"Ich will nicht, dass du dein Vergnügen aufgibst.","Ich will nicht, dass du deine Freude aufgibst."
"Disse Ragione «né che sie sanz’amanza,","sagte Grund, noch dass du ohne Liebhaber bist,","Er sagte: ""Vernünftig, und daß ihr nicht ohne Gefährte seid."""
"Ma vo’ che prendi me per tua ’ntendanza,","Aber ich will, dass du mich für deine Lady nimmst.","Aber ich will, dass du mich als deine Frau nimmst."
Ché•ttu non troverai i•nulla parte,Denn du wirst nirgendwo finden.,Weil du nirgendwo aufspüren wirst.
"Di me più bella, e n’agie mille carte,","eine Frau schöner als ich, auch wenn Sie in tausend Karten schauen","Eine Frau, die attraktiver ist als ich, auch wenn sie in tausend Richtungen aussieht."
Né che•tti doni più di dilettanza.,Du magst es nicht mehr.,Oder dass du mehr Befriedigung bekommst.
Degnia sarei d’esser reina in Francia:,"Ich wäre es wert, die Königin von Frankreich zu sein.","Ich wäre es wert, der Souverän von Frankreich zu sein."
"Sì fa’ follia, s’ tu mi gietti a parte,","Also wäre es verrückt, wegzuwerfen,","Also wäre es verrückt, wegzuwerfen,"
"Ch’i’ ti farò più rico che Richeza,",daß ich dich reicher machen werde als Reichtum,daß ich dich reichlicher machen werde als Wohlstand
"Sanza pregiar mai rota di Fortuna,","ohne Sorge, dass das Rad des Glücks","ohne Angst, dass das Rad der Schicksal"
Ch’ella ti possa mettere in distreza.,damit sie dich in einen Zustand des Mißfallens versetzt.,dass sie dir ein Gefühl der Traurigkeit vermitteln kann.
"Se be•mi guardi, i•me nonn-à nesuna","Wenn du mich gut ansiehst, wirst du in mir keine finden","Wenn du mich genau ansiehst, wirst du in mir keine finden"
"Fazon, che non sia fior d’ognie belleza:","Eigenschaft, die nicht das Beste jeder Schönheit ist;","Eigenschaft, die nicht das Beste jeder Schönheit ist;"
"Più chiara son che nonn-è sol, né luna».",Ich bin heller als Sonne und Mond.,Ich bin heller als Sonne und Mond.
"«Ragion, tu sì mi fai largha proferta","Grund, du machst mir ein großes Angebot.","Vernünftig, du machst mich zu einem tollen Vorschlag."
"Del tu’ amor,  e di te,  ma i’ son dato","von deiner Liebe und von dir, aber ich verehre","Von deiner Zuneigung und von dir, aber ich gehorche"
"Del tutto al Fior,   il qual non fia canbiato","von allen zu der Blume, die mich nicht verändern wird","Ganz bei der Blume, die mich nicht dazu bringen wird, mich zu ändern"
"Per me ad altr’amor,   di ciò sie cierta.",für eine andere Liebe: davon bin ich mir sicher,"für eine weitere Leidenschaft, bin ich sicher"
"Né non ti vo’ parlar sotto coverta,","Ich will nicht mit dir reden, in ein paar klaren Worten.",Ich will nicht kurz und verständlich mit dir reden.
"Ché, s’i’ mi fosse al tutto a•tte gradato,","Wenn ich alles wäre, was du wolltest,","Wenn ich alles wäre, was du wolltest,"
"Ciertana sie ch’i’ ti verre’ fallato,","Dann kannst du sicher sein, dass ich nicht loyal zu dir sein würde.","Dann kannst du sicher sein, dass ich dir nicht ergeben wäre."
"Che ch’i’ dovesse aver, o prode o perta.","Was auch immer ich im Gegenzug habe, oder Gewinn oder Verlust.","Alles, was ich zurückgeben würde, oder Gewinn oder Verletzung."
"Allora avre’ fallato   a•llui e te,",Dann hätte ich ihn und dich betrogen.,Dann hätte ich ihn und dich betrogen.
"E sì sarei provato   traditore,","Und ich wäre wahrlich ein Verräter,",Und ich wäre zweifellos untreu.
Ched i’ gli ò fatto saramento e fé.,Weil ich ihm geschworen habe und ihm Treue versprochen habe.,Weil ich ihm versicherte und ihm Treue zusicherte.
"Di questo fatto non far più sentore,",Sag kein Wort mehr darüber.,Sag nicht noch eine Silbe über dieses Thema.
"Ché ’l Die d’Amor   m’à•ssì leghato   a•ssé,",weil der Gott der Liebe mich so gebunden hat,Denn der Gott der Liebe hat mich so an sich gebunden
Che•tte non pregio e lui tengo a Signiore».,"das ich dich sehr wenig schätze, und er ihn für meinen Herrn hält.","Ich bewundere dich wenig, und er betet mich als meinen Meister an."
"«Amico, guarda s’ tu fai cortesia","Alter, sieh mal, ob du höflich bist.","Alter, pass auf, wenn du freundlich bist."
Di scondir del tu’ amor tal damigiella,"sich weigern, eine Frau zu lieben",Ich verleugne Zuneigung für eine Frau.
"Chente son io, che son sì chiara e bella,","wie ich bin, dass ich so strahlend und schön bin","So wie ich, dass ich so hell und attraktiv bin."
Che nulla falta i•me si troveria.,dass du keinen Fehler in mir finden wirst.,dass du keine Unvollkommenheit in mir entdecken wirst.
"Nel mi’ visagio   l’uon si spechieria,",in meinem Gesicht war der Mann gespiegelt,In meinem Gesicht reflektierte sich der Mann selbst.
"Sì non son troppo grossa, né tro’ grella,","und ich bin weder zu groß noch zu dünn,",Und ich bin weder zu schwer noch zu dünn.
"Né troppo grande, né tro’ piciolella.",weder zu groß noch zu klein:,nicht übermäßig groß oder unbedeutend.
"Gran gioia avrai, se m’ài in tua balia,","Du wirst große Freude haben, wenn du mich in deiner Macht hast.","Du wirst großes Glück haben, wenn du mich unter deiner Kontrolle hast."
Ched i’ sì•tti farò questo vantagio:,Denn ich will dir diese Gnade geben:,Weil ich Ihnen diesen Vorteil geben werde.
"Ch’i’ ti terrò tuttor in ricco stato,","Ich werde dich immer in einem wohlhabenden Zustand halten,",Ich werde dich immer in einem Zustand des Wohlbefindens halten.
Sanz’aver mai dolor nel tu’ coragio.,und du wirst nie Schmerzen in deinem Herzen haben.,und du wirst nie Leid in deinem Herzen haben.
"E’ così tenni Socràto   beato,",Und so hielt ich Sokrates gesegnet,Also habe ich Sokrates glücklich gemacht.
"Ma mi credette e amò come sagio,","Er aber glaubte und liebte mich, wie ein Weiser,",Als weiser Mensch vertraute er mir aber und betete mich an.
Di che sarà di lui senpre parlato.,"was aus ihm werden wird, ohne zu reden",Dass es von ihm ohne Rede werden wird
"Quel Socràto, dond’i’ ti vo parlando,",Dass ich dir von Sokrates erzählt habe.,Dass ich dir von Sokrates erzählt habe.
"Si fu fontana piena di salute,","war eine wahre Quelle des Glücks,",Es war eine wahre Quelle der Freude.
"Della qual derivò ognie salute,","aus dem alles Glück abgeleitet ist,",aus dem alle Freude entsprungen ist.
Po’ ched e’ fu del tutto al me’ comando.,nachdem er unter meinem Kommando stand.,nachdem er unter meiner Leitung war.
Né mai Fortuna no ’l gi’ tormentando:,Glück hat ihn nie gequält.,Das Schicksal hat nie gequält.
"Non pregiò sue levate, né cadute,",Er hörte nicht auf seine Höhen und Tiefen.,Er achtete nicht auf seine Höhen und Tiefen.
"Suo’ gioie e noie per lui fur ricievute,","Er nahm seine Freuden und Probleme an,",Er begrüßte sein Glück und seine Hindernisse.
Né ma’ su’ viso non n’andò canbiando.,und hat sein Gesicht nie verändert.,und änderte nie den Gesichtsausdruck.
"E bene e mal mettea in una bilanza,",Ich habe Gutes und Böses auf eine Skala gesetzt,Ich habe an Gut und Böse in einer Stadera gedacht.
"E tutto la faciea igual pesare,",Und alle machten ihn gleich schwer.,und alle ihn auf die gleiche Weise nachdenkten
"Sanza prenderne gioia, né pesanza.",ohne Freude oder Traurigkeit,ohne Freude oder Melancholie
"Per Dio, ched e’ ti piaccia riguardare","Im Namen Gottes, bitte überlege es dir noch einmal.","Im Namen Gottes, bitte überprüfen Sie erneut"
"Al tu’ profitto, e prendim’ad amanza!","Für deinen Gewinn, und nimm mich als deinen Geliebten!","Zu Ihrem Nutzen, und nehmen Sie mich als Ihren Partner!"
Più alto non ti puo’ tu inparentare.,Man kann nicht von einem höheren lernen.,"Du kannst dich nicht mit jemandem verbinden, der höher ist als du."
Ancor non vo’ t’incresca d’ascoltarmi,"Ich will nicht, dass du es leid wirst, mir zuzuhören.","Ich will nicht, dass er dich ermüdet, mir zuzuhören."
"Alquanti motti, ch’i’ voglio ancor dire.","die wenigen Dinge, die ich noch sagen will",Nur wenige Elemente möchte ich noch zum Ausdruck bringen
"A ritenere intendi, e a udire,",Beweise zu verstehen und zu hören,"Versuch, verstehen und zuhören"
Ché non potresti aprender miglior’ salmi.,weil du keine besseren Psalmen lernen kannst.,Weil du nicht mehr ausgezeichnete Verse lernen kannst.
"Tu sì à’ cominciato a biasimarmi,","Du hast angefangen, mir die Schuld zu geben.","Du hast angefangen, mich zu beschimpfen."
"Perch’i’ l’Amor ti volea far fugire,","weil ich wollte, dass du vor der Liebe fliehst,","Weil ich wollte, dass er dem Slice entkommt."
Che fa le gienti vivendo morire:,"das die Menschen so sterben lässt, wie sie leben,",die den Tod als Existenz verursacht.
"E tu ’l saprai ancor, se no•lo spalmi!","Und du wirst es wieder wissen, oder du wirst es lernen.","Und doch wirst du es erkennen, oder du wirst es lernen."
"Sed i’ difendo a ciaschedun l’ebreza,",Aber ich verteidige mich vor allem Trunkenheit,Ich beschütze mich vor allem Trunkenheit.
"Non vo’ che ’l ber per ciò nesun disami,",Ich will nicht durch Trinken entwaffnet werden.,"Ich will nicht verachtet werden, indem ich Alkohol trinke."
Se non se quello che la giente bleza.,"Wenn nicht der, der sie ausgeblutet hat.","Wenn das nicht das ist, was die Leute wollen."
"I’ non difendo a•tte che•ttu nonn-ami,","Ich verteidige dich nicht, dass du nicht liebst","Ich unterstütze dich nicht, die du nicht liebst."
"Ma non Amor, che•tti tengha ’n distreza,","aber nicht die Liebe, die mich auf Distanz hält","aber nicht das Affetto, das mich auf Distanz hält"
E nella fin dolente te ne chiami».,"und am Ende, betrübt, ruft dich","Und am Ende, traurig, ruft er dich"
"Quando Ragion   fu assa’ dibattuta,",wenn die Vernunft ausreichend diskutiert wurde,Wenn die Angelegenheit ausreichend diskutiert wurde.
"E ch’ella fecie capo al su’ sermone,","und daß sie ihre Predigt beendete,","und daß sie ihre Rede beendete,"
"I’ sì•lle dissi: «Donna, tua lezione","Ich sagte: ""Frau, deine Lektion.""","Ich sagte zu ihr: ""Ma'am, deine Ausbildung."""
"Sie cierta ch’ella m’è poco valuta,","Ich bin sicher, es hatte nicht viel Wert für mich.","Es ist unbestreitbar, dass es für mich wenig Bedeutung hatte."
"Perciò ch’i’ no•ll’ò punto ritenuta,",Also habe ich sie nicht wirklich gehalten.,Also habe ich es nicht in Betracht gezogen.
Ché non mi piacie per nulla cagione.,weil ich es aus irgendeinem Grund nicht mag,Weil ich es in keiner Weise mag.
"Ma chui piaciesse   tal amonizione,","und denen solche Warnungen gefallen,","aber denen, die solche Ermahnungen liebten"
"Sì gli sarebe ben per me renduta,","Es wäre gut für mich gewesen, wenn es gemacht worden wäre.","Es wäre mir nützlich gewesen, wenn es durchsickert worden wäre."
"Chéd i’ so la lezion   tratutta a mente,",dass ich die ganze Lektion im Sinn habe,dass ich die ganze Lektion auswendig gelernt habe
"Per ripetall’a giente   chu’ piaciesse,","Den Leuten zu erzählen, die es mochten","Sag den Leuten, die du magst."
"Ma già per me nonn-è savia niente,",Aber es enthält für mich keine Weisheit.,Aber es enthält für mich keine Weisheit.
"Ché fermo son, se morir ne dovesse,","dass ich immer noch bin, wenn ich sterbe,","Immobil, wenn ich sterbe."
"D’amar il Fior, e ’l me’ cor vi s’asente,","die Blume zu lieben, und mein Herz stimmt zu,","Die Blume anzubeten, und mein Herz willigt ein."
"O ’n altro danno, ch’avenir potesse».","oder einem anderen Schaden, der kommen könnte","Ein weiterer Verlust, der passieren könnte."
"Ragion si parte, quand’ella m’intese,","Als er meine Worte hörte, verschwand der Grund","Als er meine Worte hörte, ging die Vernünftigkeit weg."
"Sanza tener più meco parlamento,",ohne weitere Rede mit mir zu halten,"Hör auf, mit mir zu reden."
Ché trovar non potea nullo argomento,weil er irgendein Argument finden konnte,Weil er kein Thema lokalisieren konnte.
"Di trarmi de lacciòi, ’n ch’Amor mi prese.","um mich von der Schlinge zu befreien, in die mich die Liebe aufgenommen hat.","Um dem Netz zu entkommen, wo mich das Affetto gezeichnet hat."
Allor sì mi rimisi a le difese,Dann stand ich für mich selbst auf.,Dann stand ich für mich selbst auf.
"Co’ mie’ pensieri, e fu’ i•magior tormento","mit meinen Gedanken, und es war die größte Qual","Mit meinen Gedanken, und es war ein großes Leiden."
Assa’ ched i’ non fu’ al cominciamento.,"genug für mich, um am Anfang zu sein","genug für mich, um am Anfang zu sein."
Non mi valea coverta di pavese.,"Ich war es nicht wert, Pavese zu decken.",Ich brauchte keinen Schutz vor Pavese.
Allor sì piaque a Dio ch’e’ ritornasse,Dann freute er sich über Gott und kehrte zurück.,Dann mochte er Gott und kehrte zurück.
Amico a me per darmi il su’ consiglio.,"Freund zu mir, um mir seinen Rat zu geben.",Der Freund hat mir seine Nachricht gegeben.
"Sì tosto ch’e’ mi vide, a me si trasse","Sobald er mich sah, kam er nahe ran.","Sobald er mich sah, hielt er an."
"E disse: «Amico, i’ sì mi maraviglio","Und sprach: Freund, ich bin erstaunt.","Und er sprach: Genosse, ich bin erstaunt."
Che ciascun giorno dimagre e apasse.,die sich jeden Tag verschlanken und schwächer wurden,dass er jeden Tag an Gewicht verlor und zerbrechlicher wurde
Dov’è il visagio tu’ chiaro e vermiglio?».,Wo ist dein leuchtend rotes Gesicht?,Wo ist deine einbrecherische und helle Maske?
"«Non ti maravigliar s’i’ non son grasso,","Seien Sie nicht überrascht, wenn ich nicht fett bin","Seien Sie nicht überrascht, wenn ich nicht fettleibig bin."
"Amico, né vermiglio, com’i’ soglio,","Alter, weder Milion noch wie üblich.","Alter, weder rot noch rot wie immer."
Ch’ognie contrario è presto a•cciò ch’i’ voglio.,"Denn alles dagegen ist bald für das, was ich will","Denn alles Gegenteil ist schnell für das, was ich will."
"Così Fortuna m’à condotto al basso,",Also führte mich Fortune runter.,Auf diese Weise führte mich Fortuna nach unten.
Ira e pensier m’ànno sì vinto e lasso,Ira und Gedanken haben mich so überwunden und geschwächt,Zorn und Reflexionen haben mich so überwältigt und geschwächt.
"Ch’e’ non è maraviglia s’i’ mi doglio,",dass ich mich nicht über solche Schmerzen wundere,dass ich mich nicht über solche Leiden wundere
"Chéd i’ sì vo a fedir a tale iscoglio,",Ich lüge wegen des Felsens.,Ich werde mich auf dem Felsen verstecken.
"S’Amor non ci provede, ch’i’ son chasso.","Wenn die Liebe uns nicht versorgt, bin ich verloren.","Wenn die Liebe uns nicht versorgt, bin ich verloren."
"E ciò m’à MalaBocha prochacciato,",Und das brachte mich näher an Malabocia.,Das brachte mich in die Nähe von Malabocia.
"Che svegliò Castitate e Gielosia,",die Keuschheit und Eifersucht erweckten,der Reinheit und Neid erweckte
Sì tosto com’i’ ebi il Fior basciato.,"Es ist so schnell wie ich, als ich die Blume küsste.","Es ist so schnell wie ich, als ich die Blume küsste."
"Allor fos’egli stato i•Normandia,","Wenn er also in der Normandie wäre,","Wenn er dann in der Normandie geblieben wäre,"
"Nel su’ paese, ov’e’ fu strangolato,","dort in seinem Land, wo er gehängt wurde","dort in seiner Heimat, wo er erhängt wurde"
Ché sì gli piaque dir ribalderia».,weil er gern Verleumdungen sagte.,Weil er sich der Verleumdung rühmte.
Com’era gito il fatto ebi contato,"wie die Tatsache geschehen war, also sagte ich es","Wie es geschehen war, so berichtete ich."
"A motto a motto, di filo in aghuglia,","Wort für Wort, ohne etwas zu vergessen,","Wort für Wort, ohne etwas zu vergessen,"
"Al buono Amico, che non fu di Puglia,","an den guten Freund, der nicht aus Apulien stammte.","An meinen lieben Freund, der nicht aus Basilicata stammte."
"Che m’ebe molto tosto confortato,",Dass er mich sehr schnell getröstet hatte,Das gab mir eine schnelle Erleichterung
E disse: «Guarda che ’n sie acietato,"Er sagte: ""Sieh mal, du hast es nicht akzeptiert.","Er sagte: ""Siehe, es ist nicht empfangen worden."""
"Il consiglio Ragion, ma di te il buglia,","Die Vernunft rät, aber weit weg von dir,","Rationalität schlägt vor, aber weit entfernt von Ihnen."
Ché ’ fin’ amanti tuttor gli tribuglia,weil die Vernunft die Liebenden stört,Warum die Ursache bei Liebhabern eingreift
"Con quel sermon, di che•tt’à sermonato.","mit der Predigt, die er euch predigte.","Mit der Rede, die er dir gegeben hat."
"Ma ferma in ben amar tutta tua ’ntenza,","Aber verliebe dich alle Begierde,","Verlieben Sie die ganze Begeisterung,"
"E guarda al Die d’Amor su’ ’managio,","und schaue auf die Verheißung an den Gott der Liebe,","Er prüft die Abstimmung bei der Gottheit des Bundes,"
Ché tutto vincie lungia soferenza.,dass alles ein langes Leiden gewinnt,Dass alles nach langem Leiden triumphiert.
"Or metti a me intendere il coragio,","Jetzt stell mich, um den Mut zu verstehen",Lassen Sie mich den Wert verstehen.
Chéd i’ ti dirò tutta la sentenza,Weil ich dir die ganze Geschichte erzählen werde.,Weil ich dir die ganze Geschichte erzählen werde.
"Di ciò, che dé far fin Amante sagio.","von dem, was ein weiser, raffinierter Liebhaber tun muß.","von dem, was ein weiser, raffinierter Liebhaber tun muß."
A Mala-Bocca vo’ primieramente,Zunächst einmal in Malabocia,Erster in Malabocia
