Originale,Traduzione EN
"Sì•lle manda per lettera tu' stato,","then let her know your state by letter, "
Dicendo com'Amor t'à•ssì legato,saying how Love has so bound you 
"Ver' lei, che ma' d'amarla non ti sfami.",to her that you will never get enough of loving her.
"E le' dirai: 'Per Gesocristo, tra'mi","And you will say to her: ‘In the name of Jesus Christ, free me "
"D'esti pensier', che m'ànno sì gravato!';",from these thoughts that have oppressed me!’ 
Ma guarda che•llo scritto sia mandato,But make sure that the letter is delivered 
Per tal messag[g]io che non vi difami.,by a messenger who will not harm your reputation.
Ma nella lettera non metter nome;,But don’t use any names in the letter; 
"Di lei dirai 'colui', di te 'colei':",for ‘her’ you will say ‘him’ and for ‘you’ ‘her’: 
Così convien cambiar le pere a pome.,Thus are pears changed into apples.
"Messag[g]io di garzon' ma' non farei,","I would never use a boy as a messenger, "
"Chéd e' v'à gran periglio, ed odi come:","for there is great danger, and here’s why: "
Nonn-à fermez[z]a in lor; perciò son rei.,"there’s no constancy in them; thus, they are no good.”"
"“E se•lla donna prende tu' presente,","“And if the Lady takes your gift, "
Buon incomincio avrà' di far mercato;,you’ll have a good beginning for your dealings; 
"Ma•sse d'un bascio l'avessi inarrato,","but if you had obtained the promise of a kiss from her, "
Saresti poi certan del rimanente.,you would then be sure of having the rest.
"E s'ella a prender non è conoscente,","And if she does not have the courtesy to accept, "
"Anzi t'avrà del tutto rifusato,","but indeed has totally refused you, "
"Sembianti fa che sie forte crucciato,","pretend that you are very upset, "
E pàrtiti da•llei san' dir nïente.,and leave her without saying anything.
"E poi dimora un tempo san' parlarne,","And then don’t speak to her for a while, "
"E non andar in luogo ov'ella sia,","and don’t go to those places where she might be, "
E fa sembiante che nonn-ài che farne.,and pretend you don’t know how you’ll manage.
Ell'enterrà in sì gran malinconia,She will then become so sad 
Che no•lle dimorrà sopr'osso carne;,that she will no longer have any meat on her bones; 
Sì•ssi ripentirà di sua follia.,and thus she will repent of her folly.”
“Il marinaio che tuttor navicando,“The sailor who continues to sail 
"Va per lo mar, cercando terra istrana,","over the sea, looking for an unknown land, "
"Con tutto si guid'e' per tramontana,","even though he sets his course by the North star, "
Sì va e' ben le sue vele cambiando,still he adjusts his sails
E per fug[g]ire da terra ,"to move away from the coast or to approach it, "
" apressando,",thus doing what is best for him at that moment: 
In quella guisa c[h]'allor gli è più sana:,"in this way he sails for months and weeks, "
Così governa mese e settimana,until the sea becomes calm.
Insin che 'l mar si va rabonacciando.,"Whoever desires Love’s joy must act in this way, "
Così dé far chi d'Amor vuol gioire,if he discovers his lady to be cruel: 
Quand' e' truova la sua donna diversa:,"now he must hunt her, and now flee from her."
"Un'or la dé cacciar, altra fug[g]ire.","When he’ll see her pale and pallid, "
"Allor sì•lla vedrà palida e persa,",he’ll know she’ll think it forever 
Ché sie certan che le parrà morire,until she’s flat on her back beneath him.”
Insin che no•lli cade sotto inversa.,
"“Quando fai ad alcuna tua richesta,","“When you make your amorous request to a woman, "
"O vec[c]hia ch'ella sia o giovanzella,","whether she be old or young, "
"O maritata o vedova o pulzella,","married or widowed or virgin, "
Sì convien che•lla lingua tua sia presta,your tongue must be ready
A•lle' lodar suo' oc[c]hi e bocca e testa,"to praise her eyes and mouth and head, "
E dir che sotto 'l ciel non à più bella:,and to say that there’s no more beautiful woman on earth:
'Piacesse a Dio ch'i' v'avesse in gonella,‘Would to God that I could have you in your 
"Là ov'io diviserei, in mia podesta!'.",", "
"Così le' déi del tutto andar lodando,","wherever I would like, and in my power!’"
Chéd e' nonn-è nes[s]una sì atempata,"You must praise them all this way, "
"Ch'ella non si diletti in ascoltando,",for no woman is so old that she 
E credes'esser più bella che fata;,"does not delight to hear these things,"
E 'mmantenente pensa a gir pelando,and think herself to be more beautiful than a fairy. 
Colui che prima tanto l'à lodata.,And immediately she begins to think of ways to skin 
“Le giovane e le vec[c]hie e le mez[z]ane,"“All women - young, old, middle-aged - "
Son tutte quante a prender sì 'ncarnate,are so naturally disposed to taking 
Che nessun puote aver di lor derate,that no one can have their wares 
"Per cortesïa, tanto son villane:","for free, so uncourtly are they:"
Ché quelle che si mostran più umane,for those who show themselves to be more charitable 
"E non prendenti, dànno le ghignate.",and not greedy make fun of you. 
Natur' è quella che•lle v'à 'f,Nature is the one who has taught them 
"tate,",just as she has taught the dog to hunt.
Sì com'ell' à 'fetato a caccia il cane.,"It’s true that some are disposed to give, "
Ver è c[h]'alcuna si mette a donare;,but only if they’ve first made sure 
Ma ella s'è ben prima proveduta,that what they give will come back twofold.
Ch'ella 'l darà in luogo d'adoppiare.,"Their jewels are not of great value, "
"I•llor gioei non son di gran valuta,",but they’re the bait to snare the pigeons. 
Ma e' son esca per uccè' pigliare.,May the short-sighted ones beware!”
Guardisi ben chi à corta veduta!,
"“Se quella cu' richiedi ti rifiuta,","“If the one you desire rejects you, "
"Tu sì non perdi nulla in su' scondetto,","you don’t lose anything because of her rejection, "
Se non se solo il motto che•ll'ài detto:,except for the words you’ve said to her: 
Dello scondir sarà tosto pentuta.,she’ll soon regret her rejection.
Una nel cento non fu mai veduta,One woman in a hundred has never been seen 
"(Ed ancor più, che 'l miglià' ci ti metto)","(or even better, I’ll bet one in a thousand) "
"Femina cu' piacesse tal disdetto,","who liked to make such a refusal, "
Come ch'ella t'asalga di venuta.,even though she may attack you at the beginning.
"Richiè', c[h]'almen n'avrà' su' ben volere,","Make your amorous request, for at least you’ll have her favor, "
"Con tutto ti vad'ella folleg[g]iando,","even though she may say crazy things about you, "
Ché•ttu no•le puo' far mag[g]ior piacere.,for you can’t do her any bigger favor.
Ma di ciò non dé gir nessun parlando,"But no one must say anything about this, "
"Se 'n averla non mette su' podere,","if he fails in his quest to have her,"
Chéd ella se ne va dapoi vantando.,for afterwards she will go around raving about it.”
"“E quando tu•ssarai co•llei soletto,","“And when you are all alone with her, "
"Prendila tra•lle braccia e fa 'l sicuro,","take her in your arms and do it boldly, "
"Mostrando allor se•ttu•sse' forte e duro,","revealing then that you are strong and hard, "
E 'mantenente le metti il gambetto.,and immediately trip her up.
Né no•lla respittar già per su' detto:,Don’t give her respite no matter what she says: 
"S'ella chiede merzé, cheg[g]ala al muro.","if she asks for mercy, let her ask in vain. "
"Tu•lle dirai: 'Madonna, i' m'assicuro","You’ll tell her: ‘Lady, I dare "
"A questo far, c[h]'Amor m'à•ssì distretto","to do this, for Love has so taken me"
"Di vo', ched i' non posso aver sog[g]iorno;","with you, that I can have no peace; "
Per ch'e' convien che vo' ag[g]iate merzede,"therefore, you must have mercy "
"Di me, che tanto vi son ito intorno;","on me, who have courted you so much."
"Ché•ssiate certa ched i' v'amo a fede,","For you may be sure that I love you loyally, "
"Né d'amar voi giamai no•mmi ritorno,","and that I will never stop loving you, "
Ché per voi il me' cor salvar si crede'.,for my heart believes it can have salvation only from you’.”
"“E se•ttu ami donna ferma e sag[g]ia,","“And if you love a constant and wise woman, "
"Ben sag[g]iamente e fermo ti contieni,",behave wisely and constantly; 
"C[h]'avanti ch'ella dica: 'Amico, tieni","for before she’ll say: ‘Friend, take "
"Delle mie gioie', più volte t'asag[g]ia.","my jewels,’ she’ll put you to the test many times."
"E se•ttu ami femina volaggia,","And if you love a fickle woman, "
Volag[g]iamente davanti le vieni,"come before her in a fickle fashion, "
E tutt'a la sua guisa ti mantieni;,and behave just as she does; 
"Od ella ti terrà bestia salvaggia,","if you don’t, she’ll consider you to be a wild beast,"
"E crederà che•ttu sie un papalardo,","and believe you to be a hypocrite,"
Che sie venuto a•llei per inganarla:,who’s come to deceive her;
Chéd ella il vol pur giovane e gagliardo.,for she wants someone who’s young and hardy.
"La buona e•ssaggia ma' di ciò non parla,",A good and wise woman never speaks of this; 
"Anz'ama più l'uon fermo che codardo,","indeed, she loves a determined man more than a coward, "
Ché non dotta che que' faccia blasmarla.,because she does not fear that he would bring her shame.”
“Ancor convien che•ttu sacci' alcun'arte,“Still it’s better that you know some rules 
Per governar e te e la tu' amica:,in order to govern both yourself and your friend: 
"Di buon' morsei tuttor la mi notrica,","nourish her with tender morsels, "
E dàlle tuttavia la miglior parte.,and always give her the best part.
"E s'ella vuol andar i•nulla parte,","And if she wants to go somewhere, "
"Sì•lle dì: 'Va, che Dio ti benedica';","tell her: ‘Go, and may God bless you.’"
"In gastigarla non durar fatica,","Don’t waste your time in reprimanding her, "
Sed al su' amor non vuo' tagliar le carte.,unless you want to end the relationship.
"E se•lla truovi l'opera faccendo,","And if you discover her making love, "
Non far sembiante d'averla veduta:,"don’t let on that you saw her, "
In altra parte te ne va fug[g]endo.,and go off somewhere else.
"E se•lle fosse lettera venuta,","And if she were to receive a love letter, "
Non t'intrametter d'andar incheg[g]endo,don’t bother to go ask her 
Chi•ll'à recata né chi la saluta.,who brought it or who is sending her greetings.”
“S'a scac[c]hi o vero a•ttavole giocassi,“If you should play chess or backgammon 
"Colla tua donna, fa ch'ag[g]ie il pig[g]iore","with your lady, make sure that "
"Del gioco, e dille ch'ell'è la migliore",you lose and tell her that she’s the best 
Dadi-gittante che•ttu mai trovassi.,thrower of dice you’ve ever seen.
"S'a coderon giocaste, pigna ambassi,","And if you should play coderon, throw snake eyes, "
E fa ched ella sia là vincitore:,and make sure she’s the winner: 
"Della tua perdita non far sentore,","don’t make a fuss over your loss, "
Ma che cortesemente la ti passi.,but handle it in a courtly manner.
"Falla seder ad alti, e•ttu sie basso,","Have her sit in a high place, and you down low, "
E sì•ll'aporta carello o cuscino:,and bring her a cushion and a pillow; 
Di le' servir non ti veg[g]hi mai lasso.,don’t ever let her see you weary of serving her.
"S'adosso le vedessi un buscolino,","If you should see a little speck on her, "
"Fa che glie•levi, e se vedessi sasso","make sure that you brush it off, and if you should see a stone "
"Là 'v'ella dé passar, netta 'l camino","where she must walk, brush off the path.”"
“A sua maniera ti mantien tuttora:,“Always behave the way she does: 
"Che s'ella ride, ridi, o balla, balla;","if she laughs, you laugh, or if she dances, you dance; "
"O s'ella piange, pensa a consolalla,","and if she cries, attempt to console her, "
Ma fa che pianghe tu sanza dimora.,but make sure that you cry without delay.
E se con altre don[n]e fosse ancora,And if she should be playing a game of ball 
"Che giocas[s]ero al gioco della palla,","with other women, and the ball "
"S'andasse lungi, corri ad aportalla:","should go far away, run and bring it back to her: "
A•lle' servir tuttor pensa e lavora.,always think and work to serve her.
"E se vien alcun'or ch'ella ti tenza,","And if the time comes when she argues with you, "
"Ch'ella ti crucci sì che•ttu le dài,","or when she angers you so much that you strike her, "
Imantenente torna ad ubidenza;,"immediately return to obey her,"
E giurale che ma' più no'l farai;,and swear to her that you’ll never do it again; 
Di quel ch'ài fatto farai penitenza;,you will do penance for what you did. 
Prendila e falle il fatto che•tti sai.,Grab her and do to her what you do best!”
"“Sovr'ogne cosa pensa di lusinghe,","“Above all, think about flattery, "
"Lodando sua maniera e sua faz[z]one,","praising her manners and her appearance, "
E che di senno passa Salamone:,and how she passes Solomon in wisdom: 
Con questi motti vo' che•lla dipinghe.,with these words I want you to describe her.
"Ma guarda non s'aveg[g]a che•tt'infinghe,","But be careful she doesn’t notice you’re pretending, "
Ché non v'andresti mai a processione;,"because you would never go there in procession, "
Non ti var[r]eb[b]e lo star ginoc[c]hione:,nor would it serve you to kneel in front of her: 
Però quel lusingar fa che tu 'l tinghe.,"therefore, be sure to disguise your flattery well."
Chéd e' n'è ben alcuna sì viziata,There’s always a woman so clever 
"Che non crede già mai ta' favolelle,","she never believes such tales, "
Perc[h]'altra volta n'è stata beffata;,because she was once deceived by them.
"Ma queste giovanette damigelle,","But these young ladies, "
"Cu' la lor terra nonn-è stata arata,","whose field has never been plowed, "
Ti crederanno ben cotà' novelle.,will certainly believe such stories from you.”
"“Se•ttu ài altra amica procacciata,","“If you have found another female friend, "
"O ver che•ttu la guardi a procac[c]iare,","or if you are trying to get one, "
E sì non vuo' per ciò abandonare,and you don’t want for this reason to abandon 
"La prima cu' à' lungo tempo amata,","the first woman whom you’ve loved for some time,"
"Se•ttu a la novella à' gioia donata,","and if you’ve given a jewel to the new woman, "
Sì dì ch'ella la guardi di recare,tell her to be careful not to wear it 
In luogo ove la prima ravisare,in a place where the first woman might see 
"No•lla potesse, ché seria smembrata.","and recognize it, for she would be cut into pieces."
"O s'ella ancor ne fosse in sospez[z]one,","Now, if the first woman were still suspicious, "
"Fa saramenta ch'ella t'ag[g]ia torto,","swear that she’s wrong about you, "
C[h]'unque ver' lei non fosti i•mesprigione;,that you would never misbehave in her regard.
"E s'ella il pruova, convien che sie acorto","And if she can prove it, you must be quick "
A dir che forza fu e tradigione:,to say it happened by force and treachery: 
Allor la prendi e sì•lle 'nnaffia l'orto.,then grab her and water her garden.”
"“E se•ttua donna cade i•mmalatia,","“And if your lady becomes ill, "
"Sì pensa che•lla faccie ben servire,","make sure that she’s served well, "
Né•ttu da•llei giamai non ti partire;,and never leave her side: 
Dàlle vivanda c[h]'a piacer le sia;,give her food that she likes;
"E po' sì•lle dirai: 'Anima mia,","and then you’ll say to her: ‘My soul, "
Istanotte ti tenni i•mmio dormire,last night in my dream I held you 
"Intra•lle braccia, sana, al me' disire:","in my arms, completely cured, as I hoped and prayed: "
"Molto mi fece Idio gran cortesia,","certainly God granted me a great favor,"
Che mi mostrò sì dolze avisïone'.,when he showed me such a sweet vision.’
"Po' dica, ch'ella l'oda, come sag[g]io,","Then say, as a wise man would, so that she may hear, "
"Che per lei farà' far gran processione,","that for her you’ll have a great ceremony performed,"
"O•ttu n'andrà' in lontan pellegrinag[g]io,","or that you’ll go on a long pilgrimage, "
Se Gesocristo le dà guerigione.,if Jesus Christ heals her. 
Così avrai il su' amor e 'l su' corag[g]io”.,"Thus, you’ll have her love and her heart.”"
Quand'eb[b]i inteso Amico che leale,When I had listened to the faithful counsel 
"Consiglio mi d[on]ava a su' podere,","that Friend gave me, to the best of his ability, "
"I' sì•lli dissi: “Amico, il mi' volere","I said to him: “Friend, my wish "
Non fu unquanche d'esser disleale;,was never to be disloyal.
Né piaccia a Dio ch'i' sia condotto a tale,Nor may it please God that I be led to such a point 
Ch'i' a le genti mostri benvolere,that I show kindness to people 
"E servali del corpo e dell'avere,","and offer them myself and my possessions, "
Ch[ed] i' pensas[s]e poi di far lor male.,and then that I would think of doing harm to them.
Ma sòffera ch'i' avante disfidi,But first of all let me challenge 
"E Mala-Bocca e tutta sua masnada,","Bad Mouth and all his gang,"
Sì che neuno i•mme giamai si fidi;,so that they will know where I stand.
Po' penserò di metterli a la spada”.,Then I’ll find a way to put them to the sword.”
"Que' mi rispuose: “Amico, mal ti guidi.","Friend answered me: “Friend, you are mistaken: "
Cotesta sì nonn-è la dritta strada.,this is not the right road.”
"“A te sì non convien far disfidaglia,","“You must not make this challenge, "
Se•ttu vuo' ben civir di questa guerra:,if you want to end this war well. 
"Lasciala far a' gran' signor' di terra,","Let the great lords of the land do it, "
Che posson sof[f]erir oste e battaglia.,those who can afford the army and battles!
"Mala-Bocca, che così ti travaglia,","Bad Mouth, who so torments you, "
È traditor: chi 'l tradisce non erra;,is a traitor: whoever betrays him makes no mistake; 
"Chi con falsi sembianti no•ll'aferra,","whoever does not capture him with false appearances, "
Il su' buon gioco mette a ripentaglia.,puts at risk his own good game.
"Se•ttu lo sfidi o batti, e' griderà,","If you challenge or strike him, he will howl, "
Chéd egli è di natura di mastino:,for his nature is of that of a watch-dog: 
"Chi più 'l minaccia, più gli abaierà.","the more he’s threatened, the more he’ll bark."
"Chi Mala-Bocca vuol metter al chino,","Whoever wants to conquer Bad Mouth, "
"Sed egli è sag[g]io, egli•lusingherà:","will flatter him, if he’s wise, "
"Ché certo sie, quell'è 'l dritto camino”.",for certainly that is the proper road.”
“Po' mi convien ovrar di tradigione,"“Since it suits my purpose to act treacherously, "
"E a•tte pare, Amico, ch'i' la faccia,","and you think, Friend, that I should, "
"I' la farò, come ch'ella mi spiaccia,","I will do so, even though I find it unpleasant, "
Per venir al di su di quel cagnone.,in order to overcome that ugly watch-dog.
"Ma sì•tti priego, gentil compagnone,","But I beg you, noble companion, "
Se•ssai alcuna via che•ssia più avaccia,if you know a quicker route 
Per Mala-Bocca e' suo' metter in caccia,to chase away Bad Mouth and all his associates
"E trar Bellacoglienza di pregione,","and to release Fair Welcome from prison,"
"Che•ttu sì•lla mi insegni, ed i' v'andrò","show it to me, and I will go that way "
E menerò comeco tal aiuto,and take with me such powerful help 
Ched i' quella fortez[z]a abatterò”.,that I’ll bring that fortress down.”
"“E' nonn-à guari ch'i' ne son venuto”,","“I have just returned from there,”"
"Rispuose Amico, “ma 'l ver ti dirò,","answered Friend, “but I’ll tell you the truth, "
"Che•ss'i' v'andai, i' me ne son pentuto.","that as sure as I went that way, I have regretted it.”"
“L'uom' apella il camin Troppo-Donare;,"“That road is called Extravagance, "
E' fu fondato per Folle-Larghez[z]a;,and it was built by Foolish Generosity; 
"L'entrata guarda madonna Ric[c]hez[z]a,",Lady Wealth guards the entrance 
"Che non i lascia nessun uon passare,","and lets no one pass,"
S'e' nonn-è su' parente o su' compare:,if that person is not her relative or friend. 
"Già tanto nonn-avreb[b]e in sé bellez[z]a,","No matter how much beauty he might have, "
"Cortesia né saver né gentilez[z]a,","or how much courtesy or wisdom or nobility, "
Ched ella gli degnasse pur parlare.,she would not even deign to speak with him.
"Se puo' per quel camin trovar passag[g]io,","If you can find a way to go along that road, "
"Tu•ssì abatterà' tosto il castello,",you will quickly demolish the castle 
Bellacoglienza trarà' di servag[g]io.,and free Fair Welcome from prison.
"Non vi varrà gittar di manganello,","A catapult will be of no help there, "
"Néd a le guardie lor folle musag[g]io,","nor will their foolish surveillance serve the guards, "
"Porte né mura, né trar di quadrello.",not doors or walls or the shooting of darts.”
“Or sì•tt'ò detto tutta la sentenza,“Now I’ve summarized for you the main points 
Di ciò che•ssag[g]io amante far dovria:,of what a wise lover should do: 
"Così l'amor di lor guadagneria,","in this way he will earn their love, "
Sanz'aver mai tra•llor malivoglienza.,without there ever being enmity among them.
"Se mai trai di pregion Bellacoglienza,","If you succeed in freeing Fair Welcome from prison, "
"Sì fa che•ttu ne tenghi questa via,","make sure that you keep to this path, "
"Od altrimenti mai non t'ameria,","or else she would never love you, "
Che ch'ella ti mostrasse in aparenza.,no matter how much she might appear to do so.
E dàlle spazio di poter andare,And give her freedom to be able to go 
Colà dove le piace per la villa;,wherever she likes in the city; 
Pena perduta seria in le' guardare:,it would be wasted effort to try to keep tabs on her.
Ché•ttu ter[r]esti più tosto un'anguilla,For you could more easily hold 
"Ben viva per la coda, e fossi i•mmare,","a live eel by the tail, even if you were in the sea, "
Che non faresti femina che ghilla”.,than you would be able to handle a wily woman.”
"Così mi confortò il buon Amico,",In this way my good Friend comforted me; 
Po' si partì da me sanza più dire;,then he left without another word. 
Allor mi comincià' fort' a gechire,At that point I began to be very humble 
"Ver' Mala-Bocca, il mi' crudel nemico.","towards Bad Mouth, my cruel enemy."
"Lo Schifo i' sì pregiava men ch'un fico,","I didn’t give a hoot about Resistance, "
Ch'egli avea gran talento di dormire;,who had a great desire to sleep; 
Vergogna si volea ben sofferire,Modesty truly wanted to abstain 
"Di guer[r]eg[g]iarmi, per certo vi dico.","from battling me, I tell you this for sure."
"Ma e' v'era Paura, la dottosa,","But there was Fear, the fearful one, "
C[h]'udendomi parlar tutta tremava:,"who, hearing me speak, trembled all over: "
Quella nonn-era punto dormigliosa;,that one was not sleepy at all;
In ben guardar il fior molto pensava;,"she took great care in guarding the Flower, "
"Vie più che•ll'altre guardi' era curiosa,","and she was more zealous than the other guards, "
Perciò che ben in lor non si fidava.,since she placed no trust in them at all.
Intorno dal castello andai cercando,All around the castle I went looking 
Sed i' potesse trovar quel[l]'entrata,to see if I could find the entrance 
"La qual Folle-Larghez[z]a avea fondata,","that Foolish Generosity had built, "
Per avacciar ciò che giva pensando.,in order to speed up what I was plotting.
"Allor guardai, e sì vidi ombreando","Then I looked, and in the shadows "
"Di sotto un pin una donna pregiata,","under a pine tree, I saw a worthy lady, "
Sì nobilmente vestita e parata,so nobly dressed and adorned 
Che tutto 'l mondo gia di lei parlando.,that everyone was speaking about her.
E sì avea in sé tanta bel[l]ez[z]a,And she was so beautiful 
Che tutto intorno lei aluminava,that she illuminated everything around her 
"Col su' visag[g]io, tanto avea chiarez[z]a;","with her face, so resplendent it was;"
Ed un suo amico co•llei si posava.,and a friend was resting there with her. 
"La donna sì avea nome Ric[c]hez[z]a,","The lady’s name was Wealth, "
Ma•llui non so com'altri l'apellava.,but I do not know what the man’s name was.
"Col capo inchin la donna salutai,","With bowed head I greeted the lady, "
E sì•lla cominciai a domandare,and then began to ask her 
Del camin c[h]'uomo apella Troppo-Dare.,about the path that’s called Extravagance. 
Quella rispose: “Già per me no'l sai;,She answered: “You’ll never know it from me;
"E se 'l sapessi, già non vi 'nterrai,","and even if you were to know it, you will never enter there, "
Chéd i' difendo a ciaschedun l'entrare,"because I forbid entrance to everyone, "
"Sed e' nonn-à che spender e che dare,",except to those who have the means to spend and spend some more. 
Sì farai gran saver se•tte ne vai:,"So if you’re smart, you’ll leave,"
"C[h]'unquanche non volesti mi' acontanza,","for you never desired my friendship, "
Né mi pregiasti mai a la tua vita.,nor have you ever praised me in your life. 
Ma or ne prenderò buona vengianza:,But now I’ll take my sweet revenge:
"Ché sie certano, se•ttu m'ài schernita,","for rest assured that just as you scorned me, "
"I' ti darò tormento e malenanza,","so I’ll give you such torment and unhappiness, "
Sì ch'e' me' ti var[r]ia avermi servita”.,that it would be better for you to have served me.”
"“Per Dio, gentil madonna, e per merzede”,","“For God’s sake, gentle lady, and in mercy’s name,”"
"Le' dissi allor, “s'i' ò ver' voi fallato,","I said to her then, “if I have wronged you, "
Ched e' vi piaccia ched e' sia amendato,"please grant that I may make amends, "
"Per me, chéd i' 'l farò a buona fede:",for this I’ll do in good faith.
Ch'i' son certan che 'l vostro cuor non crede,For I am sure your heart does not know 
Com'io dentro dal mio ne son crucciato;,how my own heart is afflicted; 
"Ma quando vo' m'avrete ben provato,","but when you’ve put me to the test, "
E' sarà certo di ciò c[h]'or non vede.,your heart will be sure of that which now it does not see.
"Per ch'i' vi priego che mi diate il passo,","For this reason I beg you to let me pass, "
Ched i' potesse abatter il castello,so that I can bring down the castle 
"Di Gelosia, che m'à sì messo al basso”.","of Jealousy, who has laid me low.”"
Quella mi disse: “Tu se' mio ribello;,She said to me: “You are my enemy; 
"Per altra via andrai, ché sarà' lasso","along another path you will go, for you will be exhausted "
Innanzi che n'abatti un sol crinello”.,before you knock down a single crenellation on the tower.”
Già no•mi valse nessuna preghera,No prayer I made to Wealth 
"Ched i' verso Ric[c]hez[z]a far potesse,","did me any good, "
"Ché poco parve che le ne calesse,","for it seemed she cared very little, "
Sì la trovai ver' me crudel e fera.,so cruel and heartless I found her towards me.
"Lo Dio d'Amor, che guar' lungi no•mm'era,","The God of Love, who was not far from me,"
"Mi riguardò com'io mi contenesse,","looked to see how I was faring, "
E parvemi ched e' gli ne increscesse;,and it seemed to me my manner annoyed him. 
"Sì venne a me e disse: “In che manera,","He came to me and said: “In what way,"
"Amico, m'ài guardato l'omanag[g]io","friend, have you kept the oath of fealty "
"Che mi facesti, passat'à un anno?”.",you made to me a year ago?” 
"I' gli dissi: “Messer, vo' avete il gag[g]io","I said to him: “Sire, you have my pledge,"
"Or, ch'è il core”. “E' non ti fia già danno,","which is my heart.” – “It will be all right, "
"Ché tu•tti se' portato come sag[g]io,","since you have behaved with wisdom and skill, "
Sì avrai guiderdon del grande afanno”.,you will have reward for your great distress.”
Lo Dio d'Amor per tutto 'l regno manda,Throughout the kingdom the God of Love sends 
Messag[g]i e lettere a la baronia:,messengers and letters to all the barons; 
"Che davanti da lui ciaschedun sia,",some he entreats and others he commands 
Ad alcun priega e ad alcun comanda;,that they come to him.
E ch'e' vorrà far lor una domanda,"He will wish to make a request of them, "
La qual fornita converrà che•ssia:,a request that must be fulfilled: 
"D'abatter il castel di Gelosia,","to bring down Jealousy’s castle, "
Sì ch'e' non vi dimori inn-uscio banda.,so that not one iron band remains on the door.
"Al giorno ciaschedun si presentò,","On the great day, everyone presented himself, "
Presto di far il su' comandamento:,ready to do the God of Love’s command: 
"Dell'armadure ciaschedun pensò,",each one gave thought to the arms
Per dar a Gelosia pene e tormento.,to give Jealousy pain and torment. 
La baronia i' sì vi nomerò,I will name the Barons for you 
Secondo ched i' ò rimembramento.,insofar as I remember them.
Madonna Oziosa venne la primiera,Lady Leisure was in the first line 
Con Nobiltà-di-Cuor e con Ric[c]hezza:,with Noble Heart and with Wealth; 
"Franchigia, Cortesia, Pietà, Larghez[z]a,","Sincerity, Courtesy, Mercy, Generosity, "
"Ardimento e Onor, ciaschedun v'era.","Boldness and Honor, all of them were there."
Diletto e Compagnia seguian la schiera;,Delight and Social Grace followed in the company; 
"Angelicanza, Sicurtà e Letezza","Angel-Like, Safety, and Happiness "
E Solaz[z]o e Bieltate e Giovanez[z]a,and Joy and Beauty and Youth 
Andavan tutte impresso la bandera.,were all following the banner.
Ancor v'era Umiltate e Pacïenza;,Then came Humility and Patience; 
Giolività vi fue e Ben-Celare,Joyfulness was there and Well-Hidden 
E Falsembiante e Costretta-Astinenza.,and False Seeming and Forced Abstinence.
Amor si cominciò a maravigliare,Love was astonished 
"Po' vide Falsembiante in sua presenza,","to see False Seeming in his presence, "
E disse: “Chi•ll'à tolto a sicurare?”.,and said: “Who’s vouched for him?”
"Astinenza-Costretta venne avanti,",Forced Abstinence came forward
"E disse: “E' vien comeco in compagnia,","and said: “He comes as my companion, "
"Ché sanza lui civir no•mmi poria,","because without him, I could not provide for myself, "
Tanto non pregherei né Die né ' santi;,no matter how much I might pray to God and the Saints.
E me e sé governa co' sembianti,He governs himself and me according to the ways 
Che gli 'nsegnò sua madre Ipocresia.,his mother Hypocrisy taught him. 
I' porto il manto di papalardia,I wear the mantle of hypocrisy 
Per più tosto venir a tempo a' guanti.,in order to gain my rewards more quickly.
E così tra noi due ci governiamo,And thus we look after each other 
"E nostra vita dimeniàn gioiosa,","and lead a happy life, "
Sanza dir cosa mai che noi pensiamo.,without ever saying what we really think.
"La ciera nostra par molto pietosa,","Our appearance seems very pious, "
"Ma nonn-è mal nes[s]un che non pensiamo,","but there’s no evil act that we don’t conceive, "
Ben paià•noi gente relegïosa”.,although we appear to be religious folk.”
"Lo Dio d'Amor sor[r]ise, quando udìo",The God of Love smiled when he heard 
"Astinenza-Costretta sì parlare,","Forced Abstinence speak in this way, "
E disse: “Qui à gente d'alt'affare!,and said: “We’ve got some big shots here! 
"Dì, Falsembiante, se•tt'aiuti Idio,","Tell me, False Seeming, may God help you,"
"S'i' ti ritegno del consiglio mio,","if I keep you on my council, "
Mi potrò io in te punto fidare?”.,will I be able to trust you at all?”
"“Segnor mio sì, di nulla non dottare,","“Yes, my Lord, don’t worry about a thing, "
Ch'altro c[h]'a lealtà ma' non pens'io”.,for I don’t think of anything but loyalty.”
“Dunqu'è cotesto contra tua natura”.,"“Therefore, this is against your nature.”"
"“Veracemente ciò è veritate,","“To be truthful, this is the truth, "
Ma tuttor vi met[t]ete in aventura!,but nonetheless you are putting yourself at risk!
"Mai i•lupo di sua pelle non gittate,","No matter how many bad things you do to it,"
"No•gli farete tanto di laidura,","you’ll never remove a wolf from its hide, "
Se voi imprima no•llo scorticate”.,unless you skin it first.”
Amor disse a' baroni: “I' v'ò mandato,Love said to the Barons: “I’ve sent for you 
"Perch'e' convien ch'i' ag[g]ia il vostro aiuto,",because I need your help 
Tanto che quel castel si' abattuto,"until that castle is brought down, "
Che Gelosia di nuovo à già fondato.,the one that Jealousy recently built.
Onde ciascun di voi è mi' ,"Since each one of you is my sworn ally,"
urato:,I ask you to act 
Sì vi richeg[g]io che sia proveduto,in such a way that the castle 
Per voi in tal maniera che tenuto,"may no longer stand against me, but that it be leveled to the ground."
