,Inferno,Inferno_ita
1318,"nostro intelletto; e s’altri non ci apporta,","e se altri non ci fornisce notizie, "
1319,nulla sapem di vostro stato umano. ,non sappiamo  nulla della vostra condizione umana. 
1320,Però comprender puoi che tutta morta,Perciò  puoi comprendere che la nostra conoscenza 
1321,fia nostra conoscenza da quel punto,sarà  ridotta a nulla  da quel momento in cui 
1322,"che del futuro fia chiusa la porta"". ",sarà  chiusa la porta del futuro».
1323,"Allor, come di mia colpa compunto,","Allora, come preso da rimorso per il mio errore,"
1324,"dissi: ""Or direte dunque a quel caduto",dissi: «Ora dunque direte  a quell'anima 
1325,che ’l suo nato è co’ vivi ancor congiunto; ,che si è lasciata cadere nella tomba  che suo figlio  
1326,"e s’i’ fui, dianzi, a la risposta muto,",è ancora  insieme ai vivi; e se io prima  non risposi 
1327,fate i saper che ’l fei perché pensava,fategli sapere che lo  feci perché ero quell'idea sbagliata  
1328,"già ne l’error che m’avete soluto"". ",da cui voi mi avete liberato ».
1329,E già ’l maestro mio mi richiamava;,E già il mio maestro mi richiamava;
1330,per ch’i’ pregai lo spirto più avaccio,per cui io pregai lo spirito che mi dicesse più rapidamente 
1331,che mi dicesse chi con lu’ istava. ,quali dannati si trovavano con lui nella tomba.
1332,"Dissemi: ""Qui con più di mille giaccio:","Mi disse: «Qui, io giaccio con più di mille dannati: "
1333,qua dentro è ’l secondo Federico,qua dentro c'è Federico II e il cardinale 
1334,"e ’l Cardinale; e de li altri mi taccio"". ",Ottaviano degli Ubaldini; e degli altri taccio». 
1335,Indi s’ascose; e io inver’ l’antico,Quindi si nascose dentro il sepolcro; e io mi diressi verso 
1336,"poeta volsi i passi, ripensando","l'antico poeta , ripensando "
1337,a quel parlar che mi parea nemico. ,a quelle parole di Farinata che mi sembravano ostili .
1338,"Elli si mosse; e poi, così andando,","Egli si mosse; e poi, continuando a camminare, "
1339,"mi disse: ""Perché se’ tu sì smarrito?"".",mi chiese: «Perché sei così profondamente turbato ?».
1340,E io li sodisfeci al suo dimando. ,E io risposi esaurientemente  alla sua domanda.
1341,"""La mente tua conservi quel ch’udito",«La memoria  tua conservi ciò che hai udito
1342,"hai contra te"", mi comandò quel saggio;","contro di te», mi ordinò Virgilio ; "
1343,"""e ora attendi qui"", e drizzò ’l dito: ","«ed ora stai attento», e drizzò il dito:"
1344,"""quando sarai dinanzi al dolce raggio",«quando giungerai di fronte alla dolce luce
1345,"di quella il cui bell’occhio tutto vede,",di colei  i cui begli occhi vedono la profondità di Dio 
1346,"da lei saprai di tua vita il vïaggio"". ",verrai a sapere da lei il percorso della tua vita».
1347,Appresso mosse a man sinistra il piede:,Poi diresse verso sinistra i suoi passi:
1348,lasciammo il muro e gimmo inver’ lo mezzo,abbandonammo il muro e andammo  verso il mezzo del cerchio 
1349,"per un sentier ch’a una valle fiede, ","attraverso un sentiero che termina  in una valle, "
1350,che ’nfin là sù facea spiacer suo lezzo.,la quale mandava fino a dove noi eravamo  il suo puzzo  sgradevole e nauseante.
1351,In su l’estremità d’un’alta ripa,"Al margine di un alto pendio, formato di grossi"
1352,"che facevan gran pietre rotte in cerchio,","pietroni, spaccati e disposti tutti intorno, giungemmo"
1353,venimmo sopra più crudele stipa;,sopra un cerchio stipato di anime più crudelmente
1354,"e quivi, per l’orribile soperchio","punite ; e qui, a causa dell’orribile"
1355,"del puzzo che ’l profondo abisso gitta,","eccesso  di fetore che manda il profondo abisso, "
1356,"ci raccostammo, in dietro, ad un coperchio ",ci riparammo dietro al coperchio di una
1357,"d’un grand’avello, ov’io vidi una scritta","grande tomba , sulla quale vidi una scritta che"
1358,"che dicea: ’Anastasio papa guardo,","diceva: «custodisco il papa Anastasio, che Fotino"
1359,lo qual trasse Fotin de la via dritta’. ,distolse  dall’ortodossia ».
1360,"""Lo nostro scender conviene esser tardo,","«Conviene rallentare la discesa, cosicché il"
1361,sì che s’ausi un poco in prima il senso,senso dell’olfatto si abitui  un poco prima
1362,"al tristo fiato; e poi no i fia riguardo"". ",all’insopportabile puzzo; e poi non ci sarà più bisogno di precauzioni». 
1363,"Così ’l maestro; e io ""Alcun compenso"",",Così il maestro; e io gli dissi: «Trova qualche compenso 
1364,"dissi lui, ""trova che ’l tempo non passi",perché il tempo non passi inutilmente».
1365,"perduto"". Ed elli: ""Vedi ch’a ciò penso"". ",Ed egli: «Vedi che ci sto pensando».
1366,"""Figliuol mio, dentro da cotesti sassi"",","«Figliolo mio, dentro queste rocce », "
1367,"cominciò poi a dir, ""son tre cerchietti","cominciò a dire, «ci sono tre cerchi, più piccoli"
1368,"di grado in grado, come que’ che lassi. ","a mano a mano che si digrada, come quelli che ti lasci alle spalle. "
1369,Tutti son pien di spirti maladetti;,Sono tutti colmi di spiriti maledetti;
1370,"ma perché poi ti basti pur la vista,","ma perché poi ti sia sufficiente vederli , "
1371,intendi come e perché son costretti. ,cerca di intendere in che modo e in base a quale criterio sono ammassati .
1372,"D'ogne malizia, ch'odio in cielo acquista,","Il fine di ogni peccato, che merita odio in cielo, "
1373,"ingiuria è 'l fine, ed ogne fin cotale","è l’infrazione della legge divina , e ogni azione finalizzata "
1374,o con forza o con frode altrui contrista. ,a questa reca danno  agli altri o con la violenza o con la fraudolenza. 
1375,"Ma perché frode è de l’uom proprio male,","Ma poiché la frode è peccato tipico dell’uomo, "
1376,più spiace a Dio; e però stan di sotto,causa maggior dispiacere a Dio; per questo i fraudolenti
1377,"li frodolenti, e più dolor li assale. ","sono puniti più in basso, e li tormenta un maggior dolore."
1378,Di vïolenti il primo cerchio è tutto;,Il primo cerchio è completamente riservato ai violenti; 
1379,"ma perché si fa forza a tre persone,","ma poiché si può far violenza contro tre diverse categorie di persone, "
1380,in tre gironi è distinto e costrutto. ,questo è diviso e strutturato in tre zone. 
1381,"A Dio, a sé, al prossimo si pòne","Si può  fare violenza contro Dio, contro se stessi e contro il prossimo,"
1382,"far forza, dico in loro e in lor cose,","sia a danno delle loro persone che delle loro cose,"
1383,come udirai con aperta ragione. ,come udirai grazie alla chiara spiegazione.
1384,Morte per forza e ferute dogliose,Contro la persona del prossimo si può fare violenza causandogli morte violenta  
1385,"nel prossimo si danno, e nel suo avere","o ferite gravi; contro le sue sostanze ,"
1386,"ruine, incendi e tollette dannose; ","tramite rovine, incendi e dannose estorsioni ;"
1387,"onde omicide e ciascun che mal fiere,","per cui il primo girone punisce, in diversi gruppi, "
1388,"guastatori e predon, tutti tormenta","tutti gli omicidi, quelli che feriscono ingiustamente  "
1389,lo giron primo per diverse schiere. ,e coloro che danneggiano e depredano.
1390,Puote omo avere in sé man vïolenta,L’uomo può fare violenza contro la propria persona  
1391,e ne’ suoi beni; e però nel secondo,"e le proprie sostanze; per questo è necessario che si penta,"
1392,giron convien che sanza pro si penta ,"ma senza alcuna utilità , nel secondo girone,"
1393,"qualunque priva sé del vostro mondo,","chiunque si priva della vita sulla vostra terra, "
1394,"biscazza e fonde la sua facultade,","e chiunque con il gioco disperde  le proprie ricchezze, "
1395,e piange là dov’esser de’ giocondo. ,e piange là  dove dovrebbe essere felice.
1396,"Puossi far forza ne la deïtade,","Si può commettere violenza contro la divinità,"
1397,"col cor negando e bestemmiando quella,","negandola nel proprio intimo  o bestemmiandola, "
1398,e spregiando natura e sua bontade; ,e disprezzando la natura e la sua bontà;
1399,e però lo minor giron suggella,per questo il cerchio più piccolo imprime il suo marchio 
1400,del segno suo e Soddoma e Caorsa,"sia sui sodomiti e sugli usurai , sia su"
1401,"e chi, spregiando Dio col cor, favella. ","quanti bestemmiano, disprezzando Dio col cuore."
1402,"La frode, ond'ogne coscïenza è morsa,","La frode, per cui ogni coscienza prova rimorso, "
1403,può l'omo usare in colui che 'n lui fida,l’uomo può usarla contro colui che si fida e
1404,e in quel che fidanza non imborsa. ,contro chi invece non possiede  fiducia.
1405,Questo modo di retro par ch’incida,Quest’ultimo modo sembra infranga 
1406,pur lo vinco d’amor che fa natura;,soltanto quel vincolo d’amore che stabilisce la natura; 
1407,onde nel cerchio secondo s’annida ,"per cui nel secondo cerchio viene racchiusa  l’ipocrisia, "
1408,"ipocresia, lusinghe e chi affattura,","la lusinga e chi ricorre ad arti magiche , "
1409,"falsità, ladroneccio e simonia,","i falsari, i ladri e i simoniaci,"
1410,"ruffian, baratti e simile lordura. ","i ruffiani, i barattieri e simili peccati."
1411,Per l’altro modo quell’amor s’oblia,"Con l’altro modo  si dimentica il vincolo d’amore naturale, "
1412,"che fa natura, e quel ch’è poi aggiunto,","ma insieme anche quell’altro vincolo che si aggiunge, "
1413,di che la fede spezïal si cria; ,per mezzo del quale  si crea uno speciale rapporto di fiducia; 
1414,"onde nel cerchio minore, ov’è ’l punto","per cui, chiunque tradisce è punito  in eterno "
1415,"de l’universo in su che Dite siede,","nel girone più piccolo, dove c’è il centro"
1416,"qualunque trade in etterno è consunto"". ",dell’universo in cui ha sede Lucifero ».
1417,"E io: ""Maestro, assai chiara procede","E io: «Maestro, il tuo ragionamento "
1418,"la tua ragione, e assai ben distingue","procede con molta chiarezza, e suddivide molto"
1419,questo baràtro e ’l popol ch’e’ possiede. ,bene questo baratro infernale e le anime sue prigioniere. 
1420,"Ma dimmi: quei de la palude pingue,","Ma dimmi: quelli nella sordida  palude ,"
1421,"che mena il vento, e che batte la pioggia,","quelli trascinati dal vento , e quelli che la pioggia colpisce , "
1422,"e che s’incontran con sì aspre lingue, ","e che si incontrano rivolgendosi così aspri rimproveri , "
1423,perché non dentro da la città roggia,"perché non sono puniti dentro la rossa  città di Dite, "
1424,"sono ei puniti, se Dio li ha in ira?",se sono in odio a Dio? 
1425,"e se non li ha, perché sono a tal foggia?"". ","e se non lo sono, perché sono puniti in tal modo?»."
1426,"Ed elli a me ""Perché tanto delira"",",Ed egli mi disse: «Perché la tua mente si svia  
1427,"disse, ""lo ’ngegno tuo da quel che sòle?",tanto da quella dottrina  che è solita frequentare? 
1428,o ver la mente dove altrove mira? ,o la tua mente è volta altrove?
1429,Non ti rimembra di quelle parole,Non ti ricordi quelle parole con le quali l’Etica  
1430,con le quai la tua Etica pertratta,che tu ben conosci  tratta ampiamente  
1431,"le tre disposizion che ’l ciel non vole, ","delle tre disposizioni che il cielo condanna , "
1432,"incontenenza, malizia e la matta","cioè l’incontinenza, la malizia e "
1433,bestialitade? e come incontenenza,la matta bestialità? e come l’incontinenza
1434,men Dio offende e men biasimo accatta? ,offende meno Dio e dunque merita  minor disapprovazione?
1435,"Se tu riguardi ben questa sentenza,","Se tu esamini bene questa sentenza, "
1436,e rechiti a la mente chi son quelli,e ti ricordi  chi sono quei peccatori
1437,"che sù di fuor sostegnon penitenza, ","che sono puniti  fuori della città di Dite, "
1438,tu vedrai ben perché da questi felli,capirai bene perché siano separati 
1439,"sien dipartiti, e perché men crucciata","da questi malvagi , e perché la giustizia divina"
1440,"la divina vendetta li martelli"". ",meno offesa  li colpisca».
1441,"""O sol che sani ogne vista turbata,","«O sole che rischiari  ogni mente  offuscata, "
1442,"tu mi contenti sì quando tu solvi,","tu mi appaghi tanto quando mi chiarisci i dubbi , "
1443,"che, non men che saver, dubbiar m'aggrata. ",che mi rendi grato anche il dubbio stesso non meno del sapere. 
1444,"Ancora in dietro un poco ti rivolvi"",","Riandiamo ancora un poco»,"
1445,"diss’io, ""là dove di’ ch’usura offende",dissi io «a quel punto dove tu dici che l’usura
1446,"la divina bontade, e ’l groppo solvi"". ","offende la bontà divina, e sciogli il nodo»."
1447,"""Filosofia"", mi disse, ""a chi la ’ntende,","Mi disse: «La filosofia , per chi la sa intendere, "
1448,"nota, non pure in una sola parte,","spiega , e non soltanto in un punto , "
1449,come natura lo suo corso prende ,come la natura proceda  
1450,dal divino ’ntelletto e da sua arte;,dall'intelletto divino e dal suo operare ; 
1451,"e se tu ben la tua Fisica note,","e se tu consideri bene la Fisica del tuo filosofo , "
1452,"tu troverai, non dopo molte carte, ","troverai, dopo poche pagine dal suo inizio,"
1453,"che l’arte vostra quella, quanto pote,","che la vostra operosità, quando può, segue quella , "
1454,"segue, come ’l maestro fa ’l discente;",come il discepolo segue il maestro; 
1455,sì che vostr’arte a Dio quasi è nepote. ,così che il vostro operare risulta quasi nipote di Dio.
1456,"Da queste due, se tu ti rechi a mente","Da questi due , se ti ricordi "
1457,"lo Genesì dal principio, convene","il principio della Genesi,  è necessario "
1458,prender sua vita e avanzar la gente; ,che la gente si guadagni da vivere e progredisca;
1459,"e perché l’usuriere altra via tene,","e dal momento che l’usuraio segue una via ben diversa, "
1460,per sé natura e per la sua seguace,"disprezza la natura per se stessa e per il suo seguace , "
1461,"dispregia, poi ch’in altro pon la spene. ",poiché in altro pone la sua speranza .
1462,Ma seguimi oramai che ’l gir mi piace;,"Ma seguimi ormai, perché ho deciso di procedere; "
1463,"ché i Pesci guizzan su per l’orizzonta,","la costellazione dei Pesci sta infatti sorgendo  all’orizzonte, "
1464,"e ’l Carro tutto sovra ’l Coro giace, ","e l’Orsa maggiore  è ormai nella regione del Coro , "
1465,"e ’l balzo via là oltra si dismonta"". ",e più oltre si discende  la ripa».
1466,Era lo loco ov’a scender la riva,Il luogo ove giungemmo per discendere la riva
1467,"venimmo, alpestro e, per quel che v’er’anco,","era montagnoso e tale, per quello che vi era inoltre , "
1468,"tal, ch’ogne vista ne sarebbe schiva.",che ogni sguardo  proverebbe ribrezzo .
1469,Qual è quella ruina che nel fianco,Come è quella frana  che dal lato della riva 
1470,"di qua da Trento l’Adice percosse,","a valle  di Trento colpì  la sponda dell’Adige, "
1471,"o per tremoto o per sostegno manco, ","a causa di un terremoto  oppure per l’erosione del terreno , "
1472,"che da cima del monte, onde si mosse,",tanto che dalla cima da cui la frana si staccò  
1473,"al piano è sì la roccia discoscesa,",fino al piano il monte  è molto scosceso 
1474,ch’alcuna via darebbe a chi sù fosse: ,ma permetterebbe  una qualche possibilità di passaggio  a chi si trovasse lassù: 
1475,cotal di quel burrato era la scesa;,tale era la discesa da quel burrone;
1476,e ’n su la punta de la rotta lacca,e sull’estremità della costa  franata  
1477,l’infamïa di Creti era distesa ,era distesa l’infamia di Creta  
1478,che fu concetta ne la falsa vacca;,che fu concepita  in una vacca finta; 
1479,"e quando vide noi, sé stesso morse,","e quando costui ci vide, morse se stesso, "
1480,sì come quei cui l’ira dentro fiacca. ,come quando l’ira consuma  dal profondo  qualcuno.
1481,"Lo savio mio inver’ lui gridò: ""Forse",Il mio maestro  gridò verso di lui: «Forse 
1482,"tu credi che qui sia ’l duca d’Atene,","tu credi che sia giunto il duca d’Atene ,"
1483,che sù nel mondo la morte ti porse? ,che lassù nel mondo ti causò la morte? 
1484,"Pàrtiti, bestia, ché questi non vene","Allontanati , bestia, poiché Dante  non viene"
1485,"ammaestrato da la tua sorella,","ammaestrato dalla tua sorella, "
1486,"ma vassi per veder le vostre pene"". ",ma se ne va  per conoscere le vostre pene».
1487,Qual è quel toro che si slaccia in quella,Come fa il toro che si libera dai lacci 
1488,"c’ ha ricevuto già ’l colpo mortale,","nel momento in cui  ha già ricevuto il colpo mortale, "
1489,"che gir non sa, ma qua e là saltella, ","incapace ormai di camminare , ma saltella qua e là,"
1490,vid’io lo Minotauro far cotale;,la stessa cosa vidi io fare dal Minotauro;
1491,"e quello accorto gridò: ""Corri al varco;",e Virgilio  attento gridò: «Corri verso il varco;
1492,"mentre ch’e’ ’nfuria, è buon che tu ti cale"". ","mentre egli è infuriato, è opportuno  che tu scenda »."
1493,Così prendemmo via giù per lo scarco,Così ci dirigemmo in basso verso l’ammasso  
1494,"di quelle pietre, che spesso moviensi","di quelle pietre, che sovente si muovevano "
1495,sotto i miei piedi per lo novo carco. ,sotto i miei piedi a causa dell’insolito  peso .
1496,"Io gia pensando; e quei disse: ""Tu pensi",Io camminavo  pensieroso; e quegli mi disse: «Tu pensi
1497,"forse a questa ruina, ch’è guardata","forse a questa frana , sorvegliata "
1498,da quell’ira bestial ch’i’ ora spensi. ,da quella bestia irata che io ho domato . 
1499,Or vo’ che sappi che l’altra fïata,Ora io voglio che tu sappia che l’altra volta  
1500,"ch’i’ discesi qua giù nel basso inferno,","quando io sono disceso quaggiù nel basso Inferno, "
1501,questa roccia non era ancor cascata. ,questa parete di roccia  non era ancora franata.
1502,"Ma certo poco pria, se ben discerno,","Ma certamente poco prima, se ben ricordo,"
1503,che venisse colui che la gran preda,che giungesse Cristo  che sottrasse a Dite dal cerchio più alto   
1504,"levò a Dite del cerchio superno, ","le illustri anime che vi dimoravano , "
1505,da tutte parti l’alta valle feda,"da ogni parte la profonda  valle infernale fetida  tremò così,"
1506,"tremò sì, ch’i’ pensai che l’universo",che io pensai che l’universo fosse pervaso 
1507,"sentisse amor, per lo qual è chi creda ",da quell’amore per cui qualcuno crede che esso 
1508,più volte il mondo in caòsso converso;,più volte sia tornato  nel caos ; 
1509,"e in quel punto questa vecchia roccia,",e in quel momento  questa antica parete rocciosa
1510,"qui e altrove, tal fece riverso. ","franò in tal modo , qui e in altri punti."
1511,"Ma ficca li occhi a valle, ché s’approccia","Ma guarda con attenzione  a valle, "
1512,la riviera del sangue in la qual bolle,poiché si avvicina  il fiume  di sangue in cui bolle 
1513,"qual che per vïolenza in altrui noccia"". ",chiunque con la violenza provochi danno  al prossimo».
1514,"Oh cieca cupidigia e ira folle,","Oh cieca cupidigia e insensata  ira, "
1515,"che sì ci sproni ne la vita corta,","che nella breve vita tanto ci sproni,"
1516,e ne l’etterna poi sì mal c’immolle! ,e poi nell’eternità con tanto dolore  ci sprofondi  !
1517,"Io vidi un’ampia fossa in arco torta,","Io vidi un ampio fiume  a forma di arco ,"
1518,"come quella che tutto ’l piano abbraccia,","dal momento che circonda tutto il cerchio,"
1519,secondo ch’avea detto la mia scorta; ,secondo quanto aveva già spiegato la mia guida ; 
1520,"e tra ’l piè de la ripa ed essa, in traccia","e tra i piedi del monte e il fiume,"
1521,"corrien centauri, armati di saette,","correvano i Centauri in schiera , armati di saette,"
1522,come solien nel mondo andare a caccia. ,come facevano nel mondo quando erano soliti andare a caccia.
1523,"Veggendoci calar, ciascun ristette,","Vedendoci scendere, si fermarono  tutti, "
1524,e de la schiera tre si dipartiro,ma tre si staccarono  dalla schiera
1525,con archi e asticciuole prima elette; ,con archi e frecce  scelte in precedenza ; 
1526,"e l’un gridò da lungi: ""A qual martiro",e uno di loro gridò da lontano: «A quale pena 
1527,venite voi che scendete la costa?,venite voi che scendete il pendio ? 
1528,"Ditel costinci; se non, l’arco tiro"". ","Ditelo da dove siete ; altrimenti, tendo l’arco»."
1529,"Lo mio maestro disse: ""La risposta",Il mio maestro disse: «Risponderemo 
1530,farem noi a Chirón costà di presso:,a Chirone quando saremo vicino a voi :
1531,"mal fu la voglia tua sempre sì tosta"". ",per tuo danno il tuo desiderio  fu sempre troppo impulsivo ».
1532,"Poi mi tentò, e disse: ""Quelli è Nesso,","Poi mi toccò leggermente  e disse:«Quello è Nesso, "
1533,"che morì per la bella Deianira,","che morì per la bella Deianira, "
1534,e fé di sé la vendetta elli stesso. ,e fece da solo  vendetta per se stesso . 
1535,"E quel di mezzo, ch’al petto si mira,","E quello di mezzo, con lo sguardo abbassato al petto , "
1536,"è il gran Chirón, il qual nodrì Achille;","è il gran Chirone, che educò  Achille; "
1537,"quell’altro è Folo, che fu sì pien d’ira. ","quell’altro è Folo, che fu così pieno d’ira. "
1538,"Dintorno al fosso vanno a mille a mille,","Vanno attorno al fiume in schiere numerose , "
1539,saettando qual anima si svelle,saettando qualsiasi anima emerga  
1540,"del sangue più che sua colpa sortille"". ",dal sangue più di quanto la sua colpa ha stabilito ».
1541,Noi ci appressammo a quelle fiere isnelle:,Noi ci avvicinammo a quelle fiere veloci : 
1542,"Chirón prese uno strale, e con la cocca","Chirone prese uno strale, e con la cocca"
1543,fece la barba in dietro a le mascelle. ,spinse la barba dietro le mascelle.
1544,"Quando s’ebbe scoperta la gran bocca,","Quando scoprì la grande bocca, disse ai"
1545,"disse a’ compagni: ""Siete voi accorti",compagni: «Vi siete accorti che quello che viene
1546,che quel di retro move ciò ch’el tocca? ,dietro  fa muovere ciò che tocca? 
1547,"Così non soglion far li piè d’i morti"".",Non sono soliti  fare così i piedi dei morti». 
1548,"E ’l mio buon duca, che già li er’al petto,","E la mia buona guida, che si era avvicinata al suo  petto,"
1549,"dove le due nature son consorti, ","in cui si congiungono  le due nature , "
1550,"rispuose: ""Ben è vivo, e sì soletto","rispose: «È proprio  vivo, e completamente solo, "
1551,mostrar li mi convien la valle buia;,e io debbo mostrargli la valle infernale ; 
1552,"necessità ’l ci ’nduce, e non diletto. ",lo conduce qui  la necessità e non il piacere .
1553,Tal si partì da cantare alleluia,Un’anima   interruppe il canto dell’alleluia 
1554,che mi commise quest’officio novo:,e mi affidò  questo insolito  compito: 
1555,"non è ladron, né io anima fuia. ",egli non è un ladro e neppure io sono un’anima ladra .
1556,Ma per quella virtù per cu’ io movo,Ma per quella potenza  grazie alla quale
1557,"li passi miei per sì selvaggia strada,","io percorro  questa strada così impervia , "
1558,"danne un de’ tuoi, a cui noi siamo a provo, ","dacci uno dei tuoi Centauri , a cui noi possiamo stare vicini ,"
1559,"e che ne mostri là dove si guada,","che ci mostri il punto ove si può guadare il fiume, "
1560,"e che porti costui in su la groppa,","e che trasporti costui sulla groppa, "
1561,"ché non è spirto che per l’aere vada"". ",poiché egli non è un’anima che possa volare ».
1562,"Chirón si volse in su la destra poppa,","Chirone si volse verso destra ,"
1563,"e disse a Nesso: ""Torna, e sì li guida,","e disse a Nesso: «Torna indietro e fai loro da guida come desiderano, "
1564,"e fa cansar s’altra schiera v’intoppa"". ",e provvedi che quelli che v’incontrano  si scansino ».
1565,Or ci movemmo con la scorta fida,Ci mettemmo allora in moto con la scorta
1566,"lungo la proda del bollor vermiglio,","fidata lungo le sponde del fiume bollente e vermiglio,"
1567,dove i bolliti facieno alte strida. ,in cui i dannati cotti  elevavano alte grida.
1568,Io vidi gente sotto infino al ciglio;,Io vidi anime immerse  fino agli occhi; 
1569,"e ’l gran centauro disse: ""E’ son tiranni",e il grande Centauro disse: «Essi sono i tiranni
1570,che dier nel sangue e ne l’aver di piglio. ,che sparsero sangue  e depredarono .
1571,Quivi si piangon li spietati danni;,Qui si piangono le spietate offese ;
1572,"quivi è Alessandro, e Dïonisio fero","qui è Alessandro, e il feroce  Dioniso"
1573,che fé Cicilia aver dolorosi anni. ,che costrinse  la Sicilia  a passare  lunghi anni di dolore. 
1574,"E quella fronte c’ ha ’l pel così nero,","E quella fronte con la capigliatura tanto nera , "
1575,"è Azzolino; e quell’altro ch’è biondo,",è Azzolino; e quell’altro che è biondo 
1576,"è Opizzo da Esti, il qual per vero ","è Obizzo d’Este, il quale davvero "
1577,"fu spento dal figliastro sù nel mondo"".",fu ucciso  su nel mondo dal figliastro».
1578,"Allor mi volsi al poeta, e quei disse:","Allora mi volsi al poeta , e quegli disse: "
1579,"""Questi ti sia or primo, e io secondo"". ","«Il Centauro  adesso ti stia davanti  come guida, mentre io vengo dietro »."
1580,Poco più oltre il centauro s’affisse,Poco più avanti il Centauro si fermò  
1581,sovr’una gente che ’nfino a la gola,vicino  a un gruppo di dannati che
1582,parea che di quel bulicame uscisse. ,sembravano emergere da quel liquido bollente  fino alla gola.
1583,"Mostrocci un’ombra da l’un canto sola,","Ci mostrò  un’ombra sola in disparte , "
1584,"dicendo: ""Colui fesse in grembo a Dio",dicendo: «Colui  trapassò  nella chiesa di Dio  
1585,"lo cor che ’n su Tamisi ancor si cola"". ",il cuore  che sul Tamigi ancora si onora ». 
1586,Poi vidi gente che di fuor del rio,Poi vidi gente che teneva fuori dal fiume 
1587,tenean la testa e ancor tutto ’l casso;,"la testa e anche tutto il busto , "
1588,e di costoro assai riconobb’io. ,e in mezzo a costoro riconobbi parecchi. 
1589,Così a più a più si facea basso,"Così man mano  il fiume diventava meno profondo, "
1590,"quel sangue, sì che cocea pur li piedi;",e in tal modo bruciava  i piedi soltanto ; 
1591,e quindi fu del fosso il nostro passo. ,e quivi guadammo il fiume.
1592,"""Sì come tu da questa parte vedi",«Come da questa parte tu vedi che il fiume 
1593,"lo bulicame che sempre si scema"",","bollente  diminuisce di profondità », "
1594,"disse ’l centauro, ""voglio che tu credi ","disse il Centauro, «voglio che tu sappia"
1595,che da quest’altra a più a più giù prema,che invece da quest’altra parte il letto del fiume  si fa sempre più 
1596,"lo fondo suo, infin ch’el si raggiunge","profondo , finché si ricongiunge  "
1597,ove la tirannia convien che gema. ,dove è necessario che i tiranni soffrano.
1598,La divina giustizia di qua punge,La divina giustizia punisce  in questa parte  
1599,"quell’Attila che fu flagello in terra,","quell’Attila che fu flagello  in terra, "
1600,e Pirro e Sesto; e in etterno munge ,e Pirro e Sesto; e in eterno spreme 
1601,"le lagrime, che col bollor diserra,","le lacrime, che fa nascere  a causa del bollore , "
1602,"a Rinier da Corneto, a Rinier Pazzo,","a Rinieri da Corneto, a Rinieri de’ Pazzi, "
1603,"che fecero a le strade tanta guerra"". ",che seminarono lungo le strade tanta violenza ». 
1604,Poi si rivolse e ripassossi ’l guazzo.,Poi si voltò e riattraversò  l’acquitrino .
1605,"Non era ancor di là Nesso arrivato,","Nesso non era ancora giunto dall’altra sponda , "
1606,quando noi ci mettemmo per un bosco,quando noi ci inoltrammo  in un bosco 
1607,che da neun sentiero era segnato.,non segnato da nessun  sentiero.
1608,"Non fronda verde, ma di color fosco;","Le fronde non erano verdi, ma di colore cupo ; "
1609,"non rami schietti, ma nodosi e ’nvolti;","non rami diritti , ma nodosi e contorti ; "
1610,"non pomi v’eran, ma stecchi con tòsco. ","non c’erano frutti , ma spine  con veleno . "
1611,Non han sì aspri sterpi né sì folti,Non hanno dimora tra sterpi così intricati e folti 
1612,quelle fiere selvagge che ’n odio hanno,neppure quelle selvagge fiere che tra
1613,tra Cecina e Corneto i luoghi cólti. ,Cecina e Corneto fuggono  i luoghi coltivati.
1614,"Quivi le brutte Arpie lor nidi fanno,","Qui nidificano le repellenti  Arpie, "
1615,che cacciar de le Strofade i Troiani,che cacciarono i Troiani dalle isole Strofadi 
1616,con tristo annunzio di futuro danno. ,con un funesto annuncio di una sventura  prossima.
1617,"Ali hanno late, e colli e visi umani,","Hanno ampie  ali e collo e aspetto umani,"
1618,"piè con artigli, e pennuto ’l gran ventre;","zampe  con artigli, e il grande ventre coperto di penne ; "
1619,fanno lamenti in su li alberi strani. ,emettono suoni lamentosi e orribili  sugli alberi.
1620,"E ’l buon maestro ""Prima che più entre,","E il buon maestro cominciò a dirmi: «Prima che ti addentri , "
1621,"sappi che se’ nel secondo girone"",","sappi che ti trovi nel secondo girone, "
1622,"mi cominciò a dire, ""e sarai mentre ",e vi rimarrai finché 
1623,che tu verrai ne l’orribil sabbione.,non sarai giunto nell’orribile spiaggia .
1624,Però riguarda ben; sì vederai,Guarda dunque  attentamente; così vedrai
1625,"cose che torrien fede al mio sermone"". ",cose che toglierebbero  credibilità  alle mie parole ».
1626,Io sentia d’ogne parte trarre guai,Io sentivo lamenti  levarsi  da ogni parte 
1627,e non vedea persona che ’l facesse;,e non vedevo nessuno che li emettesse ; 
1628,per ch’io tutto smarrito m’arrestai. ,per cui tutto smarrito mi arrestai. 
1629,Cred’ïo ch’ei credette ch’io credesse,Io credo che egli  pensasse 
1630,"che tante voci uscisser, tra quei bronchi,","che io avessi dedotto che le numerose  voci, in mezzo a quei cespugli , "
1631,da gente che per noi si nascondesse. ,provenissero da gente che a  noi si nascondeva.
1632,"Però disse ’l maestro: ""Se tu tronchi",Perciò  il maestro disse: «Se tu tronchi
1633,"qualche fraschetta d’una d’este piante,","qualche ramoscello  di una di queste  piante, "
1634,"li pensier c’ hai si faran tutti monchi"". ",anche i tuoi pensieri si riveleranno tutti vani  ».
1635,Allor porsi la mano un poco avante,Allora protesi  la mano un poco 
