Originale,Traduzione EN,Traduzione IT
e quello di cui si toglie i vestiti e le scarpe,and the one whose clothes and shoes she removes ,e quello di cui si toglie i vestiti e le scarpe
"può ben dire: ""Ho sfortuna"";",can well say: “I have misfortune”; ,"può ben dire: ""Ho sfortuna"";"
poiché lei prende da lui ogni cosa buona,for she takes from him every good thing ,poiché lei prende da lui ogni cosa buona
e lo riduce in tale stato,and reduces him to such a state ,e lo riduce in tale stato
che è doloroso vederlo.,that it’s painful to see him. ,che è doloroso vederlo.
E i suoi amici e parenti,And his friends and relatives ,E i suoi amici e parenti
non avvicinarti a lui:,do not come around him: ,non avvicinarti a lui:
tutti gli voltano le spalle,they all turn their backs on him ,tutti gli voltano le spalle
e vai via. . . .”,and go away . . . .”,e vai via. . . .”
. . .per il fatto che l'Amore mi ha reso schiavo,. . .for the fact that Love has enslaved me ,. . .per il fatto che l'Amore mi ha reso schiavo
"o quella Ragione, che poco amo,","or that Reason, whom I love little, ","o quella Ragione, che poco amo,"
mi considera uno sciocco,considers me to be foolish ,mi considera uno sciocco
"Non sgranocchierò mai, a Dio piacendo","I will never, God willing, nibble ","Non sgranocchierò mai, a Dio piacendo"
a qualunque gancio possa presentare.,at whatever hook he may present. ,a qualunque gancio possa presentare.
L'amore mi ha armato di uno spiedo,Love has armed me with a skewer,L'amore mi ha armato di uno spiedo
che mi chiede di maneggiare,which he requires me to wield ,che mi chiede di maneggiare
se voglio andare in sua compagnia.,if I wish to go in his company. ,se voglio andare in sua compagnia.
E dice che se uso una balestra,And he says that if I use any crossbow ,E dice che se uso una balestra
"altro che suo,","other than his, ","altro che suo,"
o se do retta a qualcuno,or if I give heed to any ,o se do retta a qualcuno
dei discorsi di Reason,of Reason’s speeches ,dei discorsi di Reason
"con cui fornisce spiegazioni o esortazioni,","with which she provides explanations or exhortations, ","con cui fornisce spiegazioni o esortazioni,"
o se metto ricchezze,or if I put riches ,o se metto ricchezze
"nella mia borsa per tenerli al sicuro,","in my purse to keep them safe, ","nella mia borsa per tenerli al sicuro,"
o se ho intenzione di salvaguardare,or if I plan to safeguard ,o se ho intenzione di salvaguardare
quello che ho guadagnato - e non da lui -,what I have gained - and not from him - ,quello che ho guadagnato - e non da lui -
allora non dovrei contare su di lui.,then I should not count on him. ,allora non dovrei contare su di lui.
Ma lui mi interrompe,But he cuts me off ,Ma lui mi interrompe
e lo dice in sua compagnia,and says that in his company ,e lo dice in sua compagnia
"Non reciterò mai una parte,","I’ll never play a part, ","Non reciterò mai una parte,"
non per alcuna lira o alcun soldo,not for any lira or any soldo,non per alcuna lira o alcun soldo
che io possa mai dargli.,that I may ever give him. ,che io possa mai dargli.
L'amore desidera questi doni:,Love desires these gifts: ,L'amore desidera questi doni:
corpo e ricchezza e anima;,body and wealth and soul; ,corpo e ricchezza e anima;
e forma un'anima sola con l'uno,and he forms a single soul with the one ,e forma un'anima sola con l'uno
che gli dà queste cose con fiducia,who gives him these things confidently ,che gli dà queste cose con fiducia
"(e chi dice il contrario mente),","(and whoever says otherwise lies), ","(e chi dice il contrario mente),"
"e Amore vuole che lui solo, come oggetto prezioso,","and Love desires that he alone, as a precious object, ","e Amore vuole che lui solo, come oggetto prezioso,"
essere messo da costui nel suo tesoro.,be put by this one in his treasury. ,essere messo da costui nel suo tesoro.
"E chi è catturato dall'Amore,","And whoever is captured by Love, ","E chi è catturato dall'Amore,"
L'amore vuole che gli venga insegnato,Love wants him to be taught ,L'amore vuole che gli venga insegnato
ogni bella usanza,every beautiful custom ,ogni bella usanza
che esalta la sua bellezza.,that enhances his beauty. ,che esalta la sua bellezza.
"Se uno lo paga adeguatamente,","If one pays him appropriately, ","Se uno lo paga adeguatamente,"
così è adeguatamente pagato in cambio.,so is he properly paid in return. ,così è adeguatamente pagato in cambio.
"Vuole che uno sia senza orgoglio,","He wants one to be without pride, ","Vuole che uno sia senza orgoglio,"
perché ha promesso,because he has pledged ,perché ha promesso
"per non amarti molto a lungo,","not to love you very long, ","per non amarti molto a lungo,"
se non ti allontani dall'orgoglio:,if you don’t keep away from pride: ,se non ti allontani dall'orgoglio:
perché pecca molto,for he sins greatly ,perché pecca molto
chi commette il peccato di superbia.,who commits the sin of pride.,chi commette il peccato di superbia.
Devi essere cortese,You must be courteous ,Devi essere cortese
"e leale e valoroso,","and loyal and valiant, ","e leale e valoroso,"
e devi dare e ricambiare il suo saluto con grazia.,and you must give and return his greeting graciously.,e devi dare e ricambiare il suo saluto con grazia.
"Se fai tutte queste cose,","If you do all of these things, ","Se fai tutte queste cose,"
"sarai in favore dell'Amore,","you’ll be in Love’s favor, ","sarai in favore dell'Amore,"
e ti ricompenserà bene.,and he will compensate you well. ,e ti ricompenserà bene.
E se sei forte e abile,And if you’re strong and skillful ,E se sei forte e abile
essere avvisati quando si è a cavallo,be advised when on horseback ,essere avvisati quando si è a cavallo
"per usare elegantemente i tuoi speroni,","to use your spurs elegantly, ","per usare elegantemente i tuoi speroni,"
in modo che le persone,so that the people ,in modo che le persone
può guardarti con gioia.,may look at you with delight. ,può guardarti con gioia.
Al mattino non devi ritrovarti,In the morning you must not find yourself ,Al mattino non devi ritrovarti
addormentato in qualche angolo di strada.,asleep on some street corner. ,addormentato in qualche angolo di strada.
"Se conosci alcune canzoni,","If you know some songs, ","Se conosci alcune canzoni,"
il loro canto non ti pesi,let the singing of them not weigh on you ,il loro canto non ti pesi
"quanto un cantare,","as much as a cantare,","quanto un cantare,"
in modo che la persona amata,so that your loved one ,in modo che la persona amata
può sentire la sua melodia.,may hear its melody. ,può sentire la sua melodia.
"Se sai maneggiare una lancia,","If you know how to handle a lance, ","Se sai maneggiare una lancia,"
"prendilo e buttalo,","take it and throw it, ","prendilo e buttalo,"
poi corri e salta e balla:,then run and jump and dance: ,poi corri e salta e balla:
tutte queste cose rallegrano le persone:,all these things make people glad: ,tutte queste cose rallegrano le persone:
"facendo quello che gli piace vedere,","by doing what they like to see, ","facendo quello che gli piace vedere,"
li fai sentire speciali.,you make them feel special. ,li fai sentire speciali.
Indossa i vestiti più belli che puoi,Wear the most lovely clothing you can ,Indossa i vestiti più belli che puoi
"nei tuoi mezzi,","within your means, ","nei tuoi mezzi,"
"capi freschi e nuovi,","fresh and new garments, ","capi freschi e nuovi,"
"affinché il tuo caro ne venga a conoscenza,","so that your loved one may hear about it, ","affinché il tuo caro ne venga a conoscenza,"
quello che tieni più prezioso,the one you hold more precious ,quello che tieni più prezioso
di quanto il Sultano detenga Il Cairo.,than the Sultan holds Cairo. ,di quanto il Sultano detenga Il Cairo.
"E se sono di lana,","And if they’re made of wool, ","E se sono di lana,"
non dovrebbe essere difficile,it should not be difficult ,non dovrebbe essere difficile
"disegnare le decorazioni,","to design the decorations, ","disegnare le decorazioni,"
se hai qualcuno che li tagli.,if you have someone to cut them out. ,se hai qualcuno che li tagli.
Devi sempre indossare,You must always wear ,Devi sempre indossare
scarpe e pantaloni nuovi di zecca.,brand new shoes and pants.,scarpe e pantaloni nuovi di zecca.
"Mantieni il tuo aspetto elegante,","Keep your appearance elegant, ","Mantieni il tuo aspetto elegante,"
e non lasciare cose cattive,and let no evil things ,e non lasciare cose cattive
"essere ascoltato dalla tua bocca,","be heard from your mouth, ","essere ascoltato dalla tua bocca,"
ma stima e loda tutti.,but esteem and give praise to everyone. ,ma stima e loda tutti.
"Servire e onorare le donne,","Serve and honor women, ","Servire e onorare le donne,"
per chi si mette in testa di farlo,for whoever sets his mind to do it ,per chi si mette in testa di farlo
riceverà molto onore.,will receive much honor. ,riceverà molto onore.
E se il diavolo tenta qualcuno,And if the devil tempts someone ,E se il diavolo tenta qualcuno
"parlare male delle donne,","to speak badly about women, ","parlare male delle donne,"
digli di stare zitto.,tell him to be quiet. ,digli di stare zitto.
"Sii generoso, ma, d'altra parte,","Be generous, but, on the other hand, ","Sii generoso, ma, d'altra parte,"
non dividere il tuo cuore;,don’t divide your heart; ,non dividere il tuo cuore;
"metti tutto in quel posto,","put it all in that place, ","metti tutto in quel posto,"
dove l'hai messo:,where you have placed it: ,dove l'hai messo:
per chi ha diviso il suo cuore,for whoever has divided his heart ,per chi ha diviso il suo cuore
"è separato dall'Amore,","is separated from Love, ","è separato dall'Amore,"
poiché non lo considera completamente leale,for he does not consider that one to be completely loyal ,poiché non lo considera completamente leale
"che si muove come un alfiere negli scacchi,","who moves like a bishop in chess,","che si muove come un alfiere negli scacchi,"
ma va d'accordo solo con quello,but he gets along only with the one ,ma va d'accordo solo con quello
chi va dritto per la sua strada.,who goes straight along his path. ,chi va dritto per la sua strada.
"Non ho ancora finito con il mio detto,","I am not yet finished with my detto, ","Non ho ancora finito con il mio detto,"
perché devi ricordare,for you must remember ,perché devi ricordare
per cercare un amico perfetto,to look for a perfect friend ,per cercare un amico perfetto
chi metterà cuore e corpo,who will put heart and body ,chi metterà cuore e corpo
"al tuo servizio, se ne hai bisogno,","to your service, if you need it, ","al tuo servizio, se ne hai bisogno,"
e chi sarà fedele e giusto verso di te,and who will be faithful and just toward you ,e chi sarà fedele e giusto verso di te
in ogni tua esigenza,in your every need. ,in ogni tua esigenza
"Ma, per la fede che devo a San Giusto,","But, by the faith I owe to San Giusto, ","Ma, per la fede che devo a San Giusto,"
i veri amici lo sono,true friends are ,i veri amici lo sono
veramente difficile da trovare.,truly hard to find. ,veramente difficile da trovare.
"Tuttavia, se trovi un amico perfetto,","However, if you find a perfect friend, ","Tuttavia, se trovi un amico perfetto,"
con la sua amicizia sarai,with his friendship you will be ,con la sua amicizia sarai
meglio del Prefetto.,better off than the Prefect.,meglio del Prefetto.
"E se ha una bella compagna,","And if he has a beautiful female companion, ","E se ha una bella compagna,"
"possa il tuo essere più degno di fiducia,","may yours be more trustworthy,","possa il tuo essere più degno di fiducia,"
perché Venere non dà garanzie,because Venus gives no guarantees ,perché Venere non dà garanzie
"che non avrà scoccata un'altra freccia,","that she will not have another arrow released, ","che non avrà scoccata un'altra freccia,"
con cui nasce l'amore.,with which love is engendered.,con cui nasce l'amore.
"Con loro suscita la passione carnale,","With them she arouses carnal passion,","Con loro suscita la passione carnale,"
più che attraverso i rintocchi dell'alba,more than through the chimes of dawn ,più che attraverso i rintocchi dell'alba
o attraverso il servizio che potrebbe dare.,or through the service that he might give. ,o attraverso il servizio che potrebbe dare.
Lei non lo guarda direttamente in faccia...,She does not look him directly in the face....,Lei non lo guarda direttamente in faccia...
