Original,Translate,Translate_GPT_1
Fecie murare a’ mastri più sovrani,made majestic walls and towers,He built majestic walls and towers.
Di marmo lavorato ad ischarpello;,Finely chiseled marble,Carefully carved marble
"E sì vi fecie far quatro portali,",Then he had four portals done.,Later he ordered the construction of four arches.
"Con gran tori di sopra inberteschate,",with large towers above crenellated,with high crenellated towers
Ch’unque nel mondo non fur fatte tali;,Everyone in the world had never seen.,Everyone in the world had never contemplated.
"E porte caditoie v’avea ordinate,",He ordered mobile gates.,He's commissioned mobile doors.
Che venian per condotto di canali.,which were to be conducted by channels,who came through the canals
L’altr’eran tutte di ferro spranghate.,The other doors were all wired.,The other doors were all locked in an iron key.
"Quando Gielosia vide il chastel fatto,","When jealousy saw the castle made,","When jealousy saw the castle built,"
"Sì si pensò d’avervi guernimento,","you think you're supplying it with weapons,",Consider supplying them with weapons.
Ch[ed] e’ non era suo intendimento,that it was not his intention,that was not his will
Di renderlo per forza néd a patto.,to leave it by force or by a covenant,abandoning forcefully or an agreement
"Per dare   a’ suo’ nemici mal atracto,",to give his enemies a bad reception,To offer his opponents a hostile reception.
"Vi mise dentro gran saettamento,","He put in a lot of weapons,",has stored numerous weapons.
"E pecie, e olio, e ogni’ altro argomento","And tar, and oil, and all that.","and bitumen, lubricant and everything else"
Per arder chastel di legniame o ghatto,to light the wooden castle,Illuminate the wooden castle
S’alcun lo vi volesse aprossimare:,If anyone wants to get closer,"Approaching, pulling over, moving forward."
Ché perduti ne son molti chastelli,For many castles have been lost,For many castles they have been lost
Per non prendersi guardia del cavare.,so as not to take the guards of the quarry,"Avoid, guard, guard."
"Ancor fe’ far   trabochi, e manghanelli",He still made snares and catapults,"Again, he ambushed and balisted."
"Per li nemici lungi far   istare,",to keep enemies away,Keep enemies at a distance.
E servirli di pietre e di quadrelli.,and serve them with stones and darts.,and serve them with darts and fireflies.
Quand’el’ebe il castel di guernigione,As soon as he had the war castle,As soon as he got the military castle
"Fornito, sì com’e’ gli era mestiere,","provided as was by profession,",provided as it was by profession.
"Ad ognie porta mise su’ portiere,",He put sentries on every door:,He's placed guards at every entrance.
De’ più fidati c’avea in sua magione.,These were his family's most trusted.,These were the most reliable of his family.
"E perch’ella dottava tradigione,","And because he feared treachery,","For he feared unfaithfulness,"
"Mise lo Schifo in sul portal primiere,","He put the Resistance at the front door,",He put the Opposition Force at the front door.
Perch’ella il sentia aspro cavaliere;,because he knew he was a determined knight.,because he knew he was a determined knight.
"Al secondo la figlia di Ragione,",On the second the daughter of reason,The second seed of wisdom
"Ciò fu Vergognia, che fe’ gran difensa;",This was shame - which provided great defense;,This was an embarrassment - which offered great protection.
"La terza porta si guardò Paura,","the third door was guarded by fear,",The third door was guarded by anxiety.
Ch’iera una donna di gran provedenza;,a woman famous for her cunning;,A woman celebrated for her sagacity.
"Al quarto portal, dietro da le mura,","And at the fourth gate behind the walls,","And at the fourth door, beyond the walls,"
"Fu messo Mala-Bocha, la chu’ intenza",Malabocia was placed whose purpose,Discontent was imposed whose objective
Ferm’iera a dir mal d’ognie criatura.,was to say evil things to every creature,was uttering evil words to every being.
Bellacoglienza fu nella forteza,Beautiful reception was in the fortress,Warm welcome was in the fortress.
Per man di Gielosia mess’ e fermata.,By the hand of Jealousy she was imprisoned,By the hand of Envy she was imprisoned
"Ad una Vechia l’ebe acomandata,",assignment an old woman,I'm gonna get an old lady.
"Che•lla tenesse tuttor in distreza,",to keep it under lock and key.,to keep her still in custody.
"Ch’ella dottava molto su’ belleza,","who feared her beauty very much,","that she feared exceedingly her fortune,"
"Che Chastità à tuttor gueregiata,","that chastity has always defended,",that purity has always protected.
"E Cortesia, di chu’ era nata,","and Courtesy, from which she was born,","Civilization, from which he was born."
No•lle faciesse far del Fior largheza.,He wouldn't let her get the Flower.,He didn't give him the Flower.
Ver è ched ella sì ’l fecie piantare,And so it's true that he planted it.,So it's true that he had him uprooted.
"Là ’ve Bellacoglienza era ’n pregione,","where Beautiful welcome was imprisoned,","Where Bell was incarcerated,"
Ch’altrove no ’l sapea dove fidare.,that elsewhere didn't know where to trust,who elsewhere didn't know who to rely on
"Lassù non dottav’ella tradigione,","Up there he feared no treachery,",He didn't fear any infidelity up there.
"Ché quella Vechia, a chu’ ’l diede a guardare,","For the old woman, to whom he looked,","For the elderly woman, to whom he delivered her to be guarded."
S’iera del ligniagio Salvagnione.,He was a descendant of Salvagnone.,He was a Savior's offspring.
"Gelosia andava a proveder le porte,",Jealousy has gone to check the doors,Jealousy went to inspect the doors.
Sì trovava le guardie ben intese,and found the guards ready,And he discovered the sentries prepared.
"Contra ciascuno star a le difese,","to avoid all attacks,",prevent all assaults.
"E per donar, e per riciever morte.","and to give, and to receive death","and to give, and to receive death"
E Malabocca si sforzava forte,Mouth bad was trying very hard,Evil mouth was striving intensely.
In ognie mi’ sacreto far palese:,to make me reveal all my secrets:,to make me unveil all my mysteries
"Que’ fu ’l nemico, che più mi v’afese,","This was the enemy, the more annoying I was.","This was the adversary, who most annoyed me."
Ma sopra lui ricador poi le sorte,But the lot fell upon him.,But fate hung upon him.
"Que’ non finava, né notte né giorno,","All day and night, he went on.","All the time and darkness, it persisted"
"A suon di corno   gridar: «Guarda, guarda!».","He cried out, ""Look, look!","He was screaming loudly: Look, look!"
E giva per le mura tutto ’ntorno,"And circled around the walls,",He went through the contours of the fortifications.
"Diciendo: «Tal è putta, e tal si farda,","Saying, ""That's a whore, and she's filthy,",She's a hooker and she's filthy.
E la cotal à troppo chaldo il forno.,"that the other one has a very hot oven,",that the other one has a very fiery oven.
E l’altra follemente altrui riguarda».,And the other one looks madly at the others,and the other frantically looks at the others
"Quand’i’ vidi i marosi sì ’nforzare,",When the Seas Reinforce,When the Seas Intensify
"Per lo vento a Provenza, che ventava,","because of the wind that was blowing from Provence,",Because of the wind blowing from Provence.
"C’alberi, e vele, e ancole fiachava,","breaking trees, sails, and anchors,","breaking trees, veils and anchors."
"E nulla mi valea il ben governare,",and to no avail was my good ruler,and to no advantage was my good government
Fra me medesimo comincia’ a pensare,I began to think among myself,I began to reflect on myself.
"Ch’era follia se più navicava,","that it was madness to follow my course,",that it was foolishness to follow my path.
"Se quel maltenpo prima non passava,",if the weather didn't pass before,If the bad weather didn't fade
"Che dal buon porto   mi faciea lungiare,",who kept me away from the good harbor.,that kept me away from the safe landing place.
"Sì ch’i’ allor m’ancolai a una piagia,","So, I anchored on a beach,","So, I took care of myself on a beach."
Vegiendo ch’i’ non potea entrar   in porto.,seeing that I could not enter the port;,because I was unable to access the port.
La terra mi parea molto salvaggia.,the earth seemed very wild to me,The earth seemed very untouched to me.
I’ vi vernai co•molto di sconforto.,There I spent the winter in great despair,There I spent the winter in great downfall.
Non sa che mal si sia chi non asaggia,You don't know what bad it is until you taste it.,You don't know what damage it is until you try it.
"Di quel d’Amor, ond’i’ fu’ quasi morto.",of that Love where I was almost dead,of that Love where I was almost extinct
"Pianto, sospiri, pensieri e afrizione","Crying, Sighs, Thoughts, and Griefs","Tears, groans, reflections and tribulations"
"Eb’i’ vernando in quel salvagio loco,",I spent the winter in that wild place,I spent the winter in that pristine place.
"Ché pena de Ninferno è riso e gioco,",because the pain of Hell is rice and play,For the torment of Hell is fun and joy.
"Ver’ quella, ch’i’ soffersi a la stagione,",compared to what I suffered that season,Compared to what I suffered that season
C’Amor mi mise a tal distruzione,when Love put me to such destruction,When Love brought me to ruin
Ch’e’ no•mi die’ sogiorno asa’ né poco:,"And gave me no respite, neither small nor great;","and gave me no rest, neither minimum nor maximum."
"Un’or mi tenne in ghiaccio, un’altra ’n foco.","a moment like ice, another one on fire:","A cold moment, another in hell."
"Molto m’attene ben sua promessione,",very attentive to his promise,great care for his promise
"Ma non di gioia, né di nodrimento.","but not of joy, nor of nourishment","but not of happiness, nor of power"
Ch’e’ di speranza mi dovea nodrire,that of hope should feed me,that of hope he had to feed me
Insin ched e’ mi desse giugiamento.,At least until he gave a verdict.,At least until he delivers judgment.
"Digiunar me ne fecie, a ver vo dire,","I made myself fast, I wanted to tell you","He forced me to fast, I wanted to communicate it to you."
"Ma davami gran peze di tormento,","He gave me large portions of torment,",He was inflicting great doses of suffering on me.
Con salsa stenperata di languire.,with a sauce filled with anguish.,With a lightened sauce of sadness.
Languendo lungiamente in tal manera,long languishing in such a way,"Suffering, prolonged in this way."
"E’ non sapea ove trovar socorso,",and he didn't know where to find help,and he didn't know where to find help
"Ché ’l tenpo fortunal, che m’era corso,",for the stormy times that I have suffered,For the stormy times I've experienced.
M’avea gittato d’ognie bona spera.,"He had robbed me of all good hope,",He had taken away all positive hope.
"Allor tornò a me, che lungi m’era,","Then I return to myself, who was far away,","So I come back to myself, who was distant."
"Ragion la bella e disse: «Tu•ssè corso,","the good reason said, ""You are far away,","The splendid reason stated, ""You're far away,"""
"Se•ttu non prendi i•me alcun ricorso,",If you don't take but me no help,If you don't get any assistance from me.
"Po’ che Fortuna è ’nverso te sì fera,",For fortune is inverse upon thee.,Since fate is against you.
"Ed i’ ò tal vertù dal mi’ Segniore,",But from the Lord who created me,But from the Creator who created me
"Che mi criò, ch’i’ metto in buono stato",I have such power that I put in good condition,I have such an ascendant that I wear in very good shape.
Chiunque al mi’ consiglio ferma il core.,anyone to my advice stops the heart,Anyone in my opinion holds his heart
"E di Fortuna, che•tt’à tormentato,",and the luck that tormented you,and the misfortune that plagued you
"Se vuogli abandonar il Die d’Amore,","if you want to abandon the God of Love,","If you want to abdicate to the God of Love,"
Tosto t’avrò co•llei pacificato».,She quickly reconciles her with her.,She'll make it up to you quickly.
"Quand’i’ udì’ Ragion, che ’l su’ consiglio",When He Hears Reason and His Counsel,When You Listen to Wisdom and its Tips
"Mi dava buon, e fin, sanza fallacie,","He gave me reason, without deception,","He justified me, without cunning."
Diciendo di trovarmi acordo e pacie,saying to find agreement or peace,"To reconcile, to reach understanding, harmony."
"Con quella, che m’avea messo ’n asiglio,",with the one who tormented me,With the one who had afflicted me
"I’ le dissi: «Ragion, veco ch’i’ piglio!","I said to her, ""Ray, I'll adjust!""","I said to her, ""Rationality, I conform!"""
Ma non ch’i’ lassci il mi’ signior veracie,As long as I don't have to leave my true lord.,As long as I don't abandon my true master.
"Chéd i’ son su’ fedel, e’ sì mi piacie","For I am his faithful servant, and I like him.","Because I am his devoted servant, and yes I like him very much."
Tanto ch’i’ l’amo più che padre figlio.,that I love him more than a son loves his father.,that I love him more than one child loves his parent.
Onde di ciò pensar non è mestero,That's why it's not mystery.,For this reason it is not secret
"Né tra no’ due tenerne parlamento,","nor between the two of us, let alone talk about it.","Not between us, not even discussing it."
"Ch’e’ non sarebe fatto di legiero,","because this would not be easy,",Because that wouldn't be easy.
Perciò ch’i’ falseria mi’ saramento.,So I would violate my sacrament.,So I would break my oath
"Megl’i’ amo di Fortuna eser guerero,",Better to be an enemy of Fortune.,To be an adversary of Destiny.
Ched i’ a•cciò avesse pensamento».,that of what to have thoughts,"that, of this, possess ideas"
"«Falsar tal saramento è san’ pechato,","To violate such a commitment does not constitute sin,",Breaking such a bond is not a fault.
"Poi te’ ciaschun, secondo ,","for all know, second,","As known to all, in accordance with,"
"Che, se l’uon giura di far alcun male,","that if a man swears to do no harm,","That if a man promises not to do any harm,"
"S’e’ se ne lascia, non è pergiurato.","And then he refrains from doing it, he's not a liar.","And then he refrains from doing it, he's not a liar."
Tu mi proposi che tu sè giurato,You prostrate me that you swore,You made sure you swore.
"A questo Dio, che•tt’à condotto a tale","to this god, who led you here",To this god who brought you here.
"C’ognie vivanda mangi sanza sale,",that every food that you eat without salt,Make sure that every food you eat is salt-free.
Sì fortemente t’à disavorato.,It has greatly lightened you.,He's raised you considerably.
"E’ sì si fa chiamar il ‘Die d’Amore’,","And he calls himself the God of Love,","It is said to be the Lord of the Slice,"
Ma chi così l’apella fa gran torto,But who calls him that makes a big comeback,But who calls him like that makes a big ride
Ché su’ sornome dritto si è ‘Dolore’.,Because his real name is Pain.,Because his name is Suffering.
"Or ti parti da•llui, o tu sè morto,","Now separate from him, or you're dead,","Now divided by him, or you are deceased,"
"Né no ’l tener giama’ più a signiore,","and don't keep him like your lord anymore,",and no longer regard him as your master.
"E prendi il buon consiglio, ch’i’ t’aporto».",and take the good advice that I bring you back!,and take the wise warning that I give you!
"«Ragion, tu sì mi vuo’ trar   d’amare,","Reason, you want to stop me from loving,","Rationality, you wish to hinder my affection."
"E di’ che questo mi’ signor è reo,",And you say that this lord of mine is harmful,and you claim that this master of mine is harmful
"E ch’e’ non fu d’Amor unquanche Deo,",and that I was never God of Love,and that it was never I Sovereign of the Slice
"Ma di Dolor, secondo il tu’ parlare.","But of pain, according to your speech","However, suffering, according to your narration"
"Da•llui partir, non credo ma’ pensare,",I never thought I'd get away from him.,I never imagined I'd separate from him.
"Né tal consiglio non vo’ creder eo,","nor do I want to follow your advice,",I don't want to go along with your suggestion.
Chéd egli è mi’ Segnior ed i’ son seo,"For he is my Lord, and I am his.","For he is my Sovereign, and I am his servant."
"Fedel, sì è follia   di ciò parlare.",Faithful; it is madness to speak of such things.,Loyal; it is madness to discuss such matters.
Per ch’e’ mi par   che ’l tu’ consiglio sia,That's why it seems to me that your advice goes,That's why it seems to me that your suggestion should
"Fuor di tu’ nome troppo oltre misura,","beyond the limits of your name,",Beyond the boundaries of your name.
Che sanza Amor nonn-è altro ch’enuìa.,because being without love is nothing but a burden.,Because being unloved is nothing more than a burden.
"Se Fortuna m’à tolto or mia   ventura,","If luck took my luck away,","If luck robbed me of my luck,"
"Ella torna la rota tuttavia,","She will continue to shoot, however,",She will continue to travel nonetheless.
"E quell’è quel, che molto m’asicura».",and that is what reassures me very much.,And that's what makes me very comfortable.
«Di trareti d’amar nonn-è mia ’ntenza»,"It is not my intention to stop you from loving,",I have no intention of hindering your love.
"Disse Ragion «né da•cciò non ti butto,","He said Reason, nor do I want to discourage you from this,","He affirmed Justice, nor do I want to discourage you from it."
"Ch’i’ vo’ ben che•ttu ami il mondo tutto,",because I want you to love all over the world,For I earnestly desire that you love all over the globe
Fermando in Giesocristo tu’ credenza.,Strengthening your belief in Jesus Christ,Strengthening in the Faith of Jesus Christ
"E s’ad alcuna da’ tua benvoglienza,","And if you give your love to someone,","If you offer your affection to anyone,"
"Non vo’ che•ll’ami sol per lo ditutto,",I don't want you to love her just please.,I don't want you to worship her just to please her.
"Né per diletto,   ma per trarne frutto:","or to delight, but to bear fruit,","For pleasure, but to gain benefit."
"Ché, chi altro ne vuol, chade in sentenza.",For whoever wants another end falls into sin.,Because anyone who desires a different epilogue falls into transgression.
"Ver è ch’egli à in quel’opera diletto,","It is true that there is great joy in that act,",It is certain that there is a great exultation in that action.
"Che Natura vi mise per richiamo,","that nature set you as a call,",that nature offered you as an attraction.
"Per più sovente star con esse in letto,",to sleep with women more often.,To sleep more frequently with women.
"Ché, se ciò non vi fose, ben sapiamo","And if that's not the case, we know well.","If that's not the case, we know clearly"
Che poca giente porebe già petto,that few people would commit themselves,Few would work
"Al lavorio, che cominciò Adamo».",in the work that Adam began.,in the work that Adam began.
"I’ le dissi: «Ragion, or sie ciertana,","I said to her: Reason, now that you are certain","I said to her, ""Logic, now that you're sure."""
Po’ che Natura diletto vi mise,since nature delighted,Since nature offered pleasure.
"In quel lavoro, ched ella no ’l v’asise","in that job, which didn't put it there","In that job, which didn't put him there."
"Già per niente, ché non è sì vana,","Already for nothing, for it is not vain,","Already for nothing, for it is not futile."
"Ma per continuar la forma humana,",But to continue with the human form,"However, to persevere with the human aspect."
"Sì vuol ch’uon si diletti   in tutte guise,",Man is wanted to enjoy himself in many ways,Man is desired to rejoice in many ways.
"Per volontier tornar a quelle asise,","to gladly return to these meetings,",to return with pleasure to these gatherings.
Ché ’n dilettando sua semenza grana.,that by having fun his seed produces fruit.,that joyfully his seed begets harvest.
"Tu va’ diciendo ch’i’ no•mi diletti,","You're saying I don't have to have fun,","You say I shouldn't rejoice,"
Mad i’ per me non posso già vedere,but I can't for the life of me understand,"However, I cannot understand the world for any reason."
Che sanza dilettar huon vi s’asetti,that without fun no one would start,that without joy no one would begin
"A quel lavoro, per ch’io ferm’ò volere:",To that work; because I stopped my will.,To that job; because I suspend my wish.
Di dilettar col Fior no•me ne gietti.,Don't dissuade me from taking pleasure in the Flower!,Don't discourage me from enjoying the Flower!
Faccia Dio po’ del Fiore su’ piaciere!».,Then let God do what He desires with the Flower!,Then let the Divine do what He desires with the Plant!
«Del dilettar non vo’ chiti tua parte»,"I don't want you to give up your pleasure,",I don't want you to abandon your joy.
"Disse Ragione «né che sie sanz’amanza,","said Reason, nor that thou art without a lover,","said Reasoning, nor that you are without a companion."
"Ma vo’ che prendi me per tua ’ntendanza,",But I want you to take me for your lady;,But I want you to take me as your wife.
Ché•ttu non troverai i•nulla parte,'Cause you're not gonna find anywhere.,Because you're not gonna track down anywhere.
"Di me più bella, e n’agie mille carte,","a woman more beautiful than me, even if you look in a thousand cards","A woman more attractive than me, even if she looks in a thousand directions."
Né che•tti doni più di dilettanza.,You don't like it anymore.,Or that you get more satisfaction.
Degnia sarei d’esser reina in Francia:,I'd be worthy of being the Queen of France.,I'd be worthy of being the Sovereign of France.
"Sì fa’ follia, s’ tu mi gietti a parte,","So, it would be crazy to throw away,","So, it would be crazy to discard,"
"Ch’i’ ti farò più rico che Richeza,",that I will make you rich more than Wealth,that I will make you more abundant than Prosperity
"Sanza pregiar mai rota di Fortuna,",without worry that the wheel of Fortune,without anxiety that the wheel of Destiny
Ch’ella ti possa mettere in distreza.,that she might put you in a state of displeasure.,that she can cause you a sense of sadness.
"Se be•mi guardi, i•me nonn-à nesuna","If you look at me well, you won't find in me any","If you look at me carefully, you will not find in me any"
"Fazon, che non sia fior d’ognie belleza:",characteristic that is not the best of every beauty;,characteristic that is not the best of every beauty;
"Più chiara son che nonn-è sol, né luna».",I'm brighter than the sun and moon.,I'm brighter than the sun and moon.
"«Ragion, tu sì mi fai largha proferta","Reason, you make me a big offer.","Reasoning, you make me a great proposition."
"Del tu’ amor,  e di te,  ma i’ son dato","of your love and of you, but I devout","Of your affection and of you, but I obey"
"Del tutto al Fior,   il qual non fia canbiato","of all to the Flower, which will not make me change","Completely at the Flower, which will not cause me to modify"
"Per me ad altr’amor,   di ciò sie cierta.",for another love: of this I am certain,"for another passion, I'm sure"
"Né non ti vo’ parlar sotto coverta,",I don't want to talk to you in a few clear terms.,I don't want to talk to you in a succinct and understandable way.
"Ché, s’i’ mi fosse al tutto a•tte gradato,","If I were all you wanted,","If I were all you wanted,"
"Ciertana sie ch’i’ ti verre’ fallato,",Then you can be sure I wouldn't be loyal to you.,Then you can be sure I wouldn't be devoted to you.
"Che ch’i’ dovesse aver, o prode o perta.","Whatever I have in return, or gain or loss.","Anything I would return, or profit or injury."
"Allora avre’ fallato   a•llui e te,","Then I would have deceived him and you,",Then I would have cheated him and you.
"E sì sarei provato   traditore,","and I would surely be a traitor,",And I would no doubt be unfaithful.
Ched i’ gli ò fatto saramento e fé.,Because I swore to him and promised him loyalty.,Because I assured him and assured him of allegiance.
"Di questo fatto non far più sentore,","Don't say another word about this,",Don't say another syllable about this subject.
"Ché ’l Die d’Amor   m’à•ssì leghato   a•ssé,",because the God of Love has so bound me to,Because the God of Love has so bound me to himself
Che•tte non pregio e lui tengo a Signiore».,"which I esteem thee very little, and he consider him my lord.","I admire you little, and he worships me as my master."
"«Amico, guarda s’ tu fai cortesia","Dude, see if you're being polite.","Dude, watch if you show kindness."
Di scondir del tu’ amor tal damigiella,refusing to love a woman,Denying affection for a woman.
"Chente son io, che son sì chiara e bella,","as I am, that I am so shining and beautiful","As am I, that I am so bright and attractive."
Che nulla falta i•me si troveria.,that no defect in me you will find.,that no imperfection in me you will discover.
"Nel mi’ visagio   l’uon si spechieria,",in my face the man was mirrored,In my face the man reflected himself.
"Sì non son troppo grossa, né tro’ grella,","and I am neither too big nor too thin,",And I'm neither too heavy nor too thin.
"Né troppo grande, né tro’ piciolella.",neither too big nor too small:,not excessively large or insignificant.
"Gran gioia avrai, se m’ài in tua balia,",You will have great joy if you have me in your power.,You'll have great happiness if you have me under your control.
Ched i’ sì•tti farò questo vantagio:,For I will give you this favor:,Because I will give you this benefit.
"Ch’i’ ti terrò tuttor in ricco stato,","I will always keep you in a prosperous state,",I'll always keep you in a state of well-being.
Sanz’aver mai dolor nel tu’ coragio.,and you will never have any pain in your heart.,and you will never have any suffering in your heart.
"E’ così tenni Socràto   beato,",And so I held Socrates blessed,So I kept Socrates happy.
"Ma mi credette e amò come sagio,","But he, as a wise man, believed and loved me,","But he, as a wise person, trusted and worshiped me."
Di che sarà di lui senpre parlato.,what will become of him without talking,That it will become of him without speech
"Quel Socràto, dond’i’ ti vo parlando,",That Socrates I told you about,That Socrates I told you about
"Si fu fontana piena di salute,","was a true fountain of happiness,",It was a true source of joy.
"Della qual derivò ognie salute,","from which all happiness is derived,",from which all joy has sprung.
Po’ ched e’ fu del tutto al me’ comando.,after he was under my command.,after he was under my direction.
Né mai Fortuna no ’l gi’ tormentando:,Luck never tormented him;,The fate never tormented.
"Non pregiò sue levate, né cadute,",He didn't listen to his ups and downs.,He did not pay attention to his ups and downs.
"Suo’ gioie e noie per lui fur ricievute,","He accepted his joys and problems,",He welcomed his happiness and obstacles.
Né ma’ su’ viso non n’andò canbiando.,and never changed his face.,and never changed the expression of the face.
"E bene e mal mettea in una bilanza,",I put good and evil on a scale,I've thought about good and evil in a stadera.
"E tutto la faciea igual pesare,",And all made him equally heavy.,and all had him pondered in the same way
"Sanza prenderne gioia, né pesanza.","without joy, nor sadness","without joy, nor melancholy"
"Per Dio, ched e’ ti piaccia riguardare","In God's name, please reconsider.","In the name of God, please re-examine"
"Al tu’ profitto, e prendim’ad amanza!","For your profit, and take me as your lover!","For your benefit, and take me as your partner!"
Più alto non ti puo’ tu inparentare.,You can't learn from a higher one.,You can't connect with someone higher than you.
Ancor non vo’ t’incresca d’ascoltarmi,I don't want you to get tired of listening to me.,I don't want him to exhaust you to listen to me.
"Alquanti motti, ch’i’ voglio ancor dire.",the few things I still want to say,Few elements I still wish to express
"A ritenere intendi, e a udire,",evidence to understand and hear,"attempt, understand and listen"
Ché non potresti aprender miglior’ salmi.,because you cannot learn better psalms.,Because you cannot learn more excellent verses.
"Tu sì à’ cominciato a biasimarmi,",You started to blame me.,You started scolding me.
"Perch’i’ l’Amor ti volea far fugire,","because I wanted you to flee from Love,",Because I wanted him to escape the Slice.
Che fa le gienti vivendo morire:,"that makes people die the way they live,",which causes death as to exist.
"E tu ’l saprai ancor, se no•lo spalmi!","And you'll know it again, or you'll learn.","And yet thou shalt know it, or else thou shalt learn."
"Sed i’ difendo a ciaschedun l’ebreza,",But I defend myself from all drunkenness,I protect myself from all drunkenness.
"Non vo’ che ’l ber per ciò nesun disami,",I don't want to be disarmed by drinking.,I don't want to be despised by drinking alcohol.
Se non se quello che la giente bleza.,If not the one who bled her out.,If that's not what people want.
"I’ non difendo a•tte che•ttu nonn-ami,",I don't defend you that you don't love,I don't support you that you don't love.
"Ma non Amor, che•tti tengha ’n distreza,",but not the Love that keeps me at a distance,but not the Affetto that keeps me at a distance
E nella fin dolente te ne chiami».,"and in the end, sorrowful, calls you","And in the end, sad, he calls you"
"Quando Ragion   fu assa’ dibattuta,",when reason was sufficiently debated,When the matter was sufficiently discussed.
"E ch’ella fecie capo al su’ sermone,","and that she brought to an end her sermon,","and that she concluded her speech,"
"I’ sì•lle dissi: «Donna, tua lezione","I said, ""Woman, your lesson.""","I said to her, ""Ma'am, your education."""
"Sie cierta ch’ella m’è poco valuta,",I'm sure it didn't have much value for me.,It is indisputable that it has had little meaning for me.
"Perciò ch’i’ no•ll’ò punto ritenuta,",So I didn't really hold her.,So I didn't consider it.
Ché non mi piacie per nulla cagione.,because I don't like it for any reason,Because I don't like it in any way.
"Ma chui piaciesse   tal amonizione,","but who liked such warnings,",but who liked such admonitions
"Sì gli sarebe ben per me renduta,",It would have been good for me if it had been made,It would have been beneficial to me if it had been leaked.
"Chéd i’ so la lezion   tratutta a mente,",that I know all the lesson held in mind,that I have memorized the whole lesson
"Per ripetall’a giente   chu’ piaciesse,",To tell those people who liked it,Tell those people you liked.
"Ma già per me nonn-è savia niente,",but for me it contains no wisdom.,but for me it contains no wisdom.
"Ché fermo son, se morir ne dovesse,","that I am still, if I die,","immobile, if I die."
"D’amar il Fior, e ’l me’ cor vi s’asente,","to love the Flower, and my heart agrees,","To worship the Flower, and my heart is consenting."
"O ’n altro danno, ch’avenir potesse».",or another damage that could come,Another loss that could happen.
"Ragion si parte, quand’ella m’intese,","When he heard my words, the reason went away","When he heard my words, reasonableness went away."
"Sanza tener più meco parlamento,",without giving any more speech with me,Stop talking to me
Ché trovar non potea nullo argomento,because he could find any argument,Because he couldn't pinpoint a theme.
"Di trarmi de lacciòi, ’n ch’Amor mi prese.",to free me from the snare in which Love took me.,To escape the net where the Affetto drew me.
Allor sì mi rimisi a le difese,Then I stood up for myself.,Then I stood up for myself.
"Co’ mie’ pensieri, e fu’ i•magior tormento","with my thoughts, and it was the greatest torment","With my thoughts, and it was a great suffering."
Assa’ ched i’ non fu’ al cominciamento.,enough for me to be at first,enough for me to be at the beginning.
Non mi valea coverta di pavese.,I wasn't worth covering for Pavese.,I didn't need any shelter from Pavese.
Allor sì piaque a Dio ch’e’ ritornasse,"Then he pleased God, and returned.",Then he liked God and returned.
Amico a me per darmi il su’ consiglio.,Friend to me to give me his advice.,Friend gave me his notice.
"Sì tosto ch’e’ mi vide, a me si trasse","As soon as he saw me, he got close.","As soon as he saw me, he pulled over."
"E disse: «Amico, i’ sì mi maraviglio","And said, Friend, I am astonished.","And he said, Comrade, I am astonished."
Che ciascun giorno dimagre e apasse.,who slimmed down every day and became weaker,that every day he lost weight and became more fragile
Dov’è il visagio tu’ chiaro e vermiglio?».,Where's your bright red face?,Where's your burglar and bright mask?
"«Non ti maravigliar s’i’ non son grasso,",Don't be surprised if I'm not fat,Don't be surprised if I'm not obese.
"Amico, né vermiglio, com’i’ soglio,","Dude, neither vermilion as usual","Dude, neither red as usual."
Ch’ognie contrario è presto a•cciò ch’i’ voglio.,Because everything against is soon for what I want,Because everything opposite is quickly for what I want.
"Così Fortuna m’à condotto al basso,",So Fortune led me down.,"In this way, Fortuna led me downstairs."
Ira e pensier m’ànno sì vinto e lasso,Ira and thoughts have so overcome and weakened me,Anger and reflections have so overwhelmed and weakened me.
"Ch’e’ non è maraviglia s’i’ mi doglio,",that I am not surprised by such pain,that I am not surprised by such suffering
"Chéd i’ sì vo a fedir a tale iscoglio,",I'm going to lie about that rock.,I'm going to hide on that rock.
"S’Amor non ci provede, ch’i’ son chasso.","If Love doesn't provide us, I'm lost.","If Love doesn't provide us, I'm lost."
"E ciò m’à MalaBocha prochacciato,",And that brought me closer to Malabocia.,This took me close to Malabocia.
"Che svegliò Castitate e Gielosia,",who awakened chastity and jealousy,who raised purity and envy
Sì tosto com’i’ ebi il Fior basciato.,It's as fast as I was when I kissed the Flower.,It's as fast as I was when I kissed the Flower.
"Allor fos’egli stato i•Normandia,","So if he was in Normandy,","Then if he had stayed in Normandy,"
"Nel su’ paese, ov’e’ fu strangolato,",there in his country where he was hanged,there in his native land where he was hanged
Ché sì gli piaque dir ribalderia».,because he was pleased to say slanders.,Because he boasted of slander.
Com’era gito il fatto ebi contato,how the fact had happened so I told it,"As it had happened, so I reported."
"A motto a motto, di filo in aghuglia,","word for word, not forgetting anything,","word for word, not forgetting anything,"
"Al buono Amico, che non fu di Puglia,","to the good friend, who was not from Puglia.","To my dear friend, who was not from Basilicata."
"Che m’ebe molto tosto confortato,",That he had comforted me very quickly,That gave me a quick relief
E disse: «Guarda che ’n sie acietato,"He said, ""Look, you haven't accepted it.","He said, ""Look has not been received."""
