Original,Translate_IT
 or son venuto là dove molto pianto mi percuote, Nessuna speranza può mai confortarli né di tregua né di minor pena
" Io venni in loco d'ogne luce muto, che mugghia come fa mar per tempesta, se da contrari venti è combattuto"," E, come le gru van cantan-do i loro lamenti, facendo nell’aria una lunga fila, così io vidi venire, lamentandosi, ombre trascinate dal soffio impetuoso del vento"
" La bufera infernal, che mai non resta, mena li spirti con la sua rapina"," Perciò dissi: «O maestro, chi sono quelle genti che l’aria nera co-sì castiga?» Virgilio indica alcuni dannati «La prima di quelle anime, di cui vuoi aver notizia» mi disse allora, «è Semiramide"
 voltando e percotendo li molesta," Fu imperatrice di molte nazioni e al vizio di lussuria fu così rotta, che per legge nel suo regno fece lecito ciò che piacesse, per liberarsi del biasimo in cui era caduta"
" Quando giungon davanti a la ruina, quivi le strida, il compianto, il lamento"," Di lei si legge che succedette a Nino e fu sua sposa, e gover-nò le terre, che ora son dominate dal sultano"
 bestemmian quivi la virtù divina," L’altra è Didone, che si uccise per amore e che ruppe il giu-ramento di fedeltà alle ceneri di Sichèo"
" Intesi ch'a così fatto tormento enno dannati i peccator carnali, che la ragion sommettono al talento"," La terza è Cleopatra, che visse nella lussuria"
" E come li stornei ne portan l'ali nel freddo tempo, a schiera larga e piena, così quel fiato li spiriti mali di qua, di là, di giù, di sù li mena"," Vedi Elena, che fu causa di una lunga e sanguinosa guerra"
" nulla speranza li conforta mai, non che di posa, ma di minor pena"," E vedi il grande Achille, che alla fine combatté con l’amore, che lo vinse"
" E come i gru van cantando lor lai, faccendo in aere di sé lunga riga, così vid'io venir, traendo guai, ombre portate da la detta briga"," Vedi Paride, Tristano» e più di mille ombre mi mostrò e mi nominò con il dito, che amore fece uscire dalla nostra vita"
" per ch'i' dissi: “Maestro, chi son quelle genti che l'aura nera sì gastiga?”"," Dopo che ebbi udito il mio maestro nominare le donne antiche e i cavalieri, provai compassione e per poco non venni meno"
" “La prima di color di cui novelle tu vuo' saper”, mi disse quelli allotta, “fu imperadrice di molte favelle"," Dante parla con Francesca da Polenta Io cominciai: «O poeta, volentieri parlerei a quei due (=Francesca da Polenta e Paolo Malatesta) che vanno insieme e che non sembrano opporre resistenza al vento"
" A vizio di lussuria fu sì rotta, che libito fé licito in sua legge, per tòrre il biasmo in che era condotta",» Ed egli a me: «Li vedrai quando saranno più vicini a noi
" Ell' è Semiramìs, di cui si legge che succedette a Nino e fu sua sposa: tenne la terra che 'l Soldan corregge"," Allora prègali per quell’amore che li conduce, ed essi ver-ranno"
" L'altra è colei che s'ancise amorosa, e ruppe fede al cener di Sicheo","» Non appena il vento li spinse verso di noi, gridai: «O anime tormentate, venite a parlare con noi, se altri (=Dio) non lo nega"
 poi è Cleopatràs lussurïosa,"» Quali colombe, spinte dal desiderio [di accoppiarsi], con le ali aperte e ferme volano per l’aria al dolce nido, portate dalla loro volontà; tali uscirono dalla schiera dov’è Didone, venendo fino a noi per l’aria maligna, così forte fu l’affettuoso richiamo"
" Elena vedi, per cui tanto reo tempo si volse, e vedi 'l grande Achille, che con amore al fine combatteo"," «O anima ancora in vita, cortese e benigna, che per l’aria tenebrosa vai visitando noi, che tingemmo il mondo con il nostro sangue, se ci fosse amico il re dell’universo (=Dio), noi pregheremmo lui per la tua pace, perché hai compassione del nostro male per-verso"
" Vedi Parìs, Tristano”"," Di quel che vi piace udire e parlare, noi u-dremo e parleremo a voi, mentre il vento, come ora fa, qui tace"
" e più di mille ombre mostrommi e nominommi a dito, ch'amor di nostra vita dipartille"," La terra, dove nacqui, si stende sulla marina dove il Po discende nell’Adriatico, per aver pace con i suoi affluenti (=Ravenna)"
" Poscia ch'io ebbi 'l mio dottore udito nomar le donne antiche e' cavalieri, pietà mi giunse, e fui quasi smarrito"," L’amore nasce nel cuore gentile L’amore, che nel cuor gentile si accende rapidamen-te, prese costui per la mia bella persona, che mi fu tolta, e fu così intenso, che ancora mi sconvolge"
" I' cominciai: “Poeta, volontieri parlerei a quei due che 'nsieme vanno, e paion sì al vento esser leggeri”"," L’amore, che costringe chi è amato a ricambiare, mi prese così fortemente per la bellezza di costui, che, come tu vedi, ancora non mi abbandona"
 Ed elli a me: “Vedrai quando saranno più presso a noi, L’amore condusse noi alla stessa morte
" e tu allor li priega per quello amor che i mena, ed ei verranno”", Caìna attende chi spense la nostra vita (=il marito Gianciotto)
" Sì tosto come il vento a noi li piega, mossi la voce: “O anime affannate, venite a noi parlar, s'altri nol niega",» Essi ci dissero queste parole
”," Quando io intesi quelle anime travagliate, chinai il viso e lo tenni basso, fin-ché il poeta mi disse: «Che cosa pensi?» Quando risposi, cominciai: «Ohimè, quali dolci pensieri, quale desiderio con-dusse costoro a quella morte dolorosa"
" Quali colombe dal disio chiamate con l'ali alzate e ferme al dolce nido vegnon per l'aere, dal voler portate","» La scoperta dell’amore Poi mi rivolsi a loro per parlare, e cominciai: «O Francesca, le tue sofferenze mi addolorano e m’impietosiscono fino alle lacrime"
" cotali uscir de la schiera ov'è Dido, a noi venendo per l'aere maligno, sì forte fu l'affettüoso grido"," Ma dimmi: al tempo dei dolci sospiri, quando e come l’amore vi fece conoscere i desideri ancora inespressi?» E quella a me: «Non c’è dolore più grande che ricordarsi del tempo felice nei momenti infelici, come sa bene il tuo mae-stro"
" “O animal grazïoso e benigno che visitando vai per l'aere perso noi che tignemmo il mondo di sanguigno, se fosse amico il re de l'universo, noi pregheremmo lui de la tua pace, poi c'hai pietà del nostro mal perverso"," Ma, se vuoi proprio conoscere il primo inizio del nostro amore, parlerò come colui che piange e dice"
" Di quel che udire e che parlar vi piace, noi udiremo e parleremo a voi, mentre che 'l vento, come fa, ci tace", Noi leggevamo un giorno per diletto come l’amore per Ginevra strinse Lancillotto: eravamo soli e senz’alcun sospetto
 Siede la terra dove nata fui su la marina dove 'l Po discende per aver pace co' seguaci sui," Per più volte quella lettura ci spinse a guardarci negli occhi e ci fece impallidire, ma fu soltanto un punto quello che ci vinse"
" Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta"," Quando leggemmo che la bocca sorridente fu baciata da tale amante, questi, che non sarà mai da me diviso, mi baciò la bocca tutto tremante"
 e 'l modo ancor m'offende, Galeotto fu il libro e chi lo scrisse
" Amor, ch'a nullo amato amar perdona, mi prese del costui piacer sì forte, che, come vedi, ancor non m'abbandona", Quel giorno non proseguimmo più la lettura
 Amor condusse noi ad una morte,"» Mentre uno spirito parlava, l’altro piangeva"
 Caina attende chi a vita ci spense”," E per il turbamento io venni meno, come se morissi"
 Queste parole da lor ci fuor porte, E caddi come un corpo morto cade
" Quand'io intesi quell'anime offense, china' il viso, e tanto il tenni basso, fin che 'l poeta mi disse: “Che pense?”",
"Al tornar de la mente, che si chiuse dinanzi a la pietà d'i due cognati, che di trestizia tutto mi confuse, novi tormenti e novi tormentati mi veggio intorno, come ch'io mi mova e ch'io mi volga, e come che io guati","Quando ripresi i sensi, che avevo perduto davanti al pianto dei due cognati, che mi aveva tutto riempito di tristezza, nuovi tormenti e nuovi tormentati mi vedo intorno, dovunque mi muova, mi volga e fissi gli occhi"
" Io sono al terzo cerchio, de la piova etterna, maladetta, fredda e greve"," Sono disceso nel terzo cerchio, quello della pioggia eterna, maledetta, fredda e fitta, che non cambia mai ritmo né qualità"
 regola e qualità mai non l'è nova," Grandine grossa, acqua sporca e neve si riversano per l’aria tenebrosa"
" Grandine grossa, acqua tinta e neve per l'aere tenebroso si riversa"," Puzza la ter-ra, che riceve tutto questo"
 pute la terra che questo riceve," Cèrbero, fiera mostruosa e crudele, con tre gole latra come un cane sopra la gente, che qui è immersa nel fango"
" Cerbero, fiera crudele e diversa, con tre gole caninamente latra sovra la gente che quivi è sommersa"," Ha gli occhi ros-si di sangue, la barba unta e nera, il ventre largo, le mani unghiate"
" Li occhi ha vermigli, la barba unta e atra, e 'l ventre largo, e unghiate le mani"," Graffia, scortica e squarta gli spiriti, che la pioggia fa urlare come cani"
 graffia li spirti ed iscoia ed isquatra, Con un lato del corpo quegli infelici scellerati cercano di fare schermo all’altro lato e si voltano spesso per ridurre i tormenti
 Urlar li fa la pioggia come cani," Quando ci vide, Cèrbero, il grande verme ripugnante, aprì le bocche e ci mostrò le zanne: non aveva parte del corpo che tenesse ferma"
 de l'un de' lati fanno a l'altro schermo," La mia guida stese le mani, prese due pugni di terra e li get-tò dentro a quelle gole fameliche"
 volgonsi spesso i miseri profani," Come quel cane che, abbaiando, agogna il pasto e si quieta dopo che lo morde, perché brama e si affatica soltanto a divo-rarlo, così si fecero quelle facce sudice del demonio Cèrbero, che stordisce a tal punto quelle anime, che esse vorrebbero essere sorde"
" Quando ci scorse Cerbero, il gran vermo, le bocche aperse e mostrocci le sanne"," Ciacco e la compassione di Dante Noi passavamo, calpestando le ombre, che erano fiaccate dalla pioggia insistente, e ponevamo i piedi sopra i loro corpi vani, che sembravano corpi veri"
 non avea membro che tenesse fermo," Giacevano tutte per terra, tranne una, che si levò a sedere, non appena ci vide passare davanti: «O tu che sei condotto per questo inferno» mi disse, «riconόscimi, se puoi"
" E 'l duca mio distese le sue spanne, prese la terra, e con piene le pugna la gittò dentro a le bramose canne", Tu nascesti prima che io fossi morto
" Qual è quel cane ch'abbaiando agogna, e si racqueta poi che 'l pasto morde, ché solo a divorarlo intende e pugna, cotai si fecer quelle facce lorde de lo demonio Cerbero, che 'ntrona l'anime sì, ch'esser vorrebber sorde","» Ed io a lei: «L’angoscia, che ti àltera i lineamenti, forse ti leva dalla mia memoria, perché mi pare di non averti mai visto"
" Noi passavam su per l'ombre che adona la greve pioggia, e ponavam le piante sovra lor vanità che par persona"," Ma dimmi chi sei tu, che sei disteso in un luo-go così doloroso e sottoposto a una tale pena, che è superata da altre, ma che è spiacevole come nessu-na…» Ed egli a me: «La tua città, che è così piena d’invidia da far tra-boccare il sacco, mi ebbe con sé nella vita serena"
" Elle giacean per terra tutte quante, fuor d'una ch'a seder si levò, ratto ch'ella ci vide passarsi davante"," Voi cittadini mi chiamaste Ciacco e, come tu vedi, ora per la dannosa colpa della gola mi fiacco sotto la pioggia"
" “O tu che se' per questo 'nferno tratto”, mi disse, “riconoscimi, se sai: tu fosti, prima ch'io disfatto, fatto”"," Io non sono però l’unica anima trista, per-ché tutte queste anime subiscono la stessa pena per la stessa colpa»"
" E io a lui: “L'angoscia che tu hai forse ti tira fuor de la mia mente, sì che non par ch'i' ti vedessi mai", E tacque
" Ma dimmi chi tu se' che 'n sì dolente loco se' messo, e hai sì fatta pena, che, s'altra è maggio, nulla è sì spiacente”"," Tre domande sul futuro di Firenze Io gli risposi: «O Ciacco, il tuo affanno mi pesa a tal punto, che mi fa piangere"
" Ed elli a me: “La tua città, ch'è piena d'invidia sì che già trabocca il sacco, seco mi tenne in la vita serena"," Ma dimmi, se lo sai, a quale conclu-sione verranno i cittadini della città divisa dalle fa-zioni; dimmi se vi è qualcuno di giusto; e dimmi per quale motivo è dilaniata da tante discordie"
" Voi cittadini mi chiamaste Ciacco: per la dannosa colpa de la gola, come tu vedi, a la pioggia mi fiacco","» Ed egli a me: «Dopo un lungo contrasto le due fazioni verranno a scontri sanguinosi e la parte proveniente dal contado (=i guelfi bianchi, capeggiati dai Cerchi) caccerà l’altra (=i guelfi neri capeggiati dai Donati), che su-birà molte violenze"
" E io anima trista non son sola, ché tutte queste a simil pena stanno per simil colpa”"," Nel giro di tre anni però la par-te bianca cadrà e la parte nera prenderà il soprav-vento con l’aiuto di un tale (=papa Bonifacio VIII), che ora si barcamena"
 E più non fé parola," Per molto tempo quest’ultima avrà il predominio e terrà l’altra sotto gravi pesi, per quanto questa pianga o si sdegni"
" Io li rispuosi: “Ciacco, il tuo affanno mi pesa sì, ch'a lagrimar mi 'nvita"," Giusti son due e non sono ascoltati: la superbia, l’invidia e l’avarizia sono le tre scintille che hanno acceso i cuori»"
" ma dimmi, se tu sai, a che verranno li cittadin de la città partita", Qui pose fine alle parole che invitavano al pianto
 s'alcun v'è giusto," Ed io a lui: «Voglio che tu mi dica ancora qualcos’altro, voglio che tu mi dia altre notizie"
 e dimmi la cagione per che l'ha tanta discordia assalita”," Farinata e il Tegghiaio, che furono così onorati, Jacopo Rusticucci, Arrigo Fifanti e il Mosca e gli altri, che operarono per il bene della città, dimmi dove sono e fa’ che lo cono-sca, perché provo un gran desiderio di sapere se il cielo li consola o l’inferno li amareggia…» Ed egli: «Essi sono fra le anime più nere: colpe diverse li trascinano giù nel fondo"
" E quelli a me: “Dopo lunga tencione verranno al sangue, e la parte selvaggia caccerà l'altra con molta offensione"," Se scendi ancora, li potrai vedere"
" Poi appresso convien che questa caggia infra tre soli, e che l'altra sormonti con la forza di tal che testé piaggia"," Ma, quando sarai nel dolce mondo, ti prego di richiamarmi alla memoria dei vivi"
" Alte terrà lungo tempo le fronti, tenendo l'altra sotto gravi pesi, come che di ciò pianga o che n'aonti", Non ti dico niente di più e non ti rispondo altro
" Giusti son due, e non vi sono intesi","» Allora piegò di sbieco gli occhi rivolti verso di me, mi guardò un poco, poi chinò la testa e, con essa, cadde nel fango come gli altri dannati"
" superbia, invidia e avarizia sono le tre faville c'hanno i cuori accesi”"," La condizione dei dannati dopo il giudizio finale La guida mi disse: «Non si alzerà più dal sonno, prima del suono della tromba dell’angelo che annunzia il giudizio univer-sale, quando verrà Cristo, il nemico dei malvagi"
 Qui puose fine al lagrimabil suono," Al-lora ciascuno troverà la sua tomba trista, riprenderà la sua carne e il suo aspetto, e udrà la sentenza fina-le di Dio, la quale echeggerà in eterno"
 E io a lui: “Ancor vo' che mi 'nsegni e che di più parlar mi facci dono,"» A passi lenti attraversammo quella sozza mescolan-za fatta di ombre e di pioggia, ragionando un po’ della vita futura"
" Farinata e 'l Tegghiaio, che fuor sì degni, Iacopo Rusticucci, Arrigo e 'l Mosca e li altri ch'a ben far puoser li 'ngegni, dimmi ove sono e fa ch'io li conosca"," Io dissi: «O maestro, dopo il giudizio universale questi tor-menti cresceranno, diventeranno minori o resteranno così cocenti?» Ed egli a me: «Ritorna con il pensiero alla scienza di Aristotele, che hai fatto tua"
 ché gran disio mi stringe di savere se 'l ciel li addolcia o lo 'nferno li attosca”," Essa insegna che, quanto più una cosa è perfetta, tanto più sente il bene e, ugualmen-te, il dolore"
 E quelli: “Ei son tra l'anime più nere," Sebbene non possa raggiungere mai la vera perfezione, che sta nella comunione con Dio, questa gente maledetta si avvicina maggiormente alla perfezione dopo il giudizio universale, quando il corpo è riunito all’anima, piuttosto che prima»"
" diverse colpe giù li grava al fondo: se tanto scendi, là i potrai vedere", Noi percorremmo quella strada circolare parlando molto di più di quanto riferisco
" Ma quando tu sarai nel dolce mondo, priegoti ch'a la mente altrui mi rechi: più non ti dico e più non ti rispondo”", Venimmo al punto in cui si scende nel cerchio sottostante
 Li diritti occhi torse allora in biechi," Qui trovam-mo Pluto, il grande nemico degli uomini"
 guardommi un poco e poi chinò la testa: cadde con essa a par de li altri ciechi,
"“ ”, cominciò Pluto con la voce chioccia","«O papa Satana, o papa Satana alfa"
" e quel savio gentil, che tutto seppe, disse per confortarmi: “Non ti noccia la tua paura",» cominciò Plu-to con voce gracchiante
" ché, poder ch'elli abbia, non ci torrà lo scender questa roccia”"," Quel saggio gentile, che seppe ogni cosa, per confortarmi disse: «Non ti nuoccia la tua paura, poiché, per potere che egli abbia, non ci impedirà di scendere giù nell’in-ferno»"
" Poi si rivolse a quella 'nfiata labbia, e disse: “Taci, maladetto lupo"," Poi si rivolse a quel volto gonfio d’ira e disse: «Taci, o maledetto lupo"
 consuma dentro te con la tua rabbia, E consuma dentro di te la tua rabbia
" Non è sanza cagion l'andare al cupo: vuolsi ne l'alto, là dove Michele fé la vendetta del superbo strupo”"," Non è senza causa il nostro viaggio verso il fondo dell’inferno: si vuole così in cielo, dove l’arcangelo Michele vendicò il più grave peccato di Lucifero, la sua sconfinata superbia"
" Quali dal vento le gonfiate vele caggiono avvolte, poi che l'alber fiacca, tal cadde a terra la fiera crudele","» Come le vele gonfiate dal vento cadono ravvolte, poiché l’albero della nave si spezza, così cadde a terra la belva crudele"
" Così scendemmo ne la quarta lacca, pigliando più de la dolente ripa che 'l mal de l'universo tutto insacca"," Scendemmo nel quarto cerchio, procedendo più in basso in quella dolorosa voragine che raccoglieva tutto il male dell’universo"
 Ahi giustizia di Dio," Ahi, o giustizia di Dio, chi mai ammassa tante nuove pene e tanti tormenti quanti ne vidi io qui? E perché, se siamo nati per il cielo, le nostre colpe ci straziano in tal modo? Gli avari e i prodighi Come fa l’onda del mar Ionio sopra il paese sicilia-no di Cariddi, che s’infrange contro quella che pro-viene dal mar Tirreno, così qui la gente è costretta a ballare in tondo"
" tante chi stipa nove travaglie e pene quant'io viddi? e perché nostra colpa sì ne scipa? Come fa l'onda là sovra Cariddi, che si frange con quella in cui s'intoppa, così convien che qui la gente riddi"," Qui io vidi gente più numerosa che altrove, che da una parte e dall’altra, con grandi ur-la, faceva rotolare massi che spingeva con il petto"
" Qui vid'i' gente più ch'altrove troppa, e d'una parte e d'altra, con grand' urli, voltando pesi per forza di poppa"," Si scontravano con violenza, poi ciascun dannato, voltandosi indietro, si rivolgeva all’altro gridando: «Perché tieni stretto il denaro?» e «Tu perché lo sprechi?»"
 Percotëansi 'ncontro," Così tornavano indietro per il cerchio, o-scuro da ogni parte, al punto opposto, gridando anch’essi parole ingiuriose"
" e poscia pur lì si rivolgea ciascun, voltando a retro, gridando: “Perché tieni?” e “Perché burli?”"," Poi, quand’era giunto, ciascun dannato si volgeva indietro e ripercorreva il suo mezzo cerchio fino al nuovo scontro"
" Così tornavan per lo cerchio tetro da ogne mano a l'opposito punto, gridandosi anche loro ontoso metro"," Con il cuo-re traboccante d’angoscia, dissi: «O maestro mio, dimmi che gente è questa e dimmi se furono tutti chierici questi dannati che hanno la chierica qui alla nostra sinistra…» Ed egli a me: «Tutti costoro furono prodighi, videro in modo di-storto con la ragione nella vita terrena e non fecero mai alcuna spesa con misura"
" poi si volgea ciascun, quand'era giunto, per lo suo mezzo cerchio a l'altra giostra"," La loro voce lo abbaia molto chiaramente, quando giungono ai due punti opposti del cerchio, dove la colpa contraria li divi-de"
" E io, ch'avea lo cor quasi compunto, dissi: “Maestro mio, or mi dimostra che gente è questa, e se tutti fuor cherci questi chercuti a la sinistra nostra”"," Questi altri che non hanno il coperchio di capelli sul capo, furono avari: furono chierici, papi e cardi-nali"
" Ed elli a me: “Tutti quanti fuor guerci sì de la mente in la vita primaia, che con misura nullo spendio ferci", Su di essi l’avarizia ha esercitato tutto il suo potere»
" Assai la voce lor chiaro l'abbaia, quando vegnono a' due punti del cerchio dove colpa contraria li dispaia"," Ed io: «O maestro, tra costoro io dovrei ben riconoscere alcuni, che s’insozzarono di questi due vizi"
" Questi fuor cherci, che non han coperchio piloso al capo, e papi e cardinali, in cui usa avarizia il suo soperchio”","» Ed egli a me: «In testa hai un pensiero sbagliato: la vita dissenna-ta, che li fece sozzi, ora impedisce di riconoscerli"
" E io: “Maestro, tra questi cotali dovre' io ben riconoscere alcuni che furo immondi di cotesti mali”"," Cozzeranno in eterno gli uni contro gli altri: gli ava-ri risorgeranno dalla tomba con il pugno chiuso, i prodighi con i capelli tagliati"
" Ed elli a me: “Vano pensiero aduni: la sconoscente vita che i fé sozzi, ad ogne conoscenza or li fa bruni"," Lo spreco di denaro e l’attaccamento al denaro hanno tolto loro il mondo bello del paradiso, e li hanno posti in questa zuffa: quale essa sia, non aggiungo altre parole"
" In etterno verranno a li due cozzi: questi resurgeranno del sepulcro col pugno chiuso, e questi coi crin mozzi"," La Fortuna Ora, o figlio, puoi vedere la breve permanenza nelle nostre mani dei beni che sono affidati alla Fortuna, per i quali l’umana gente si affanna"
" Mal dare e mal tener lo mondo pulcro ha tolto loro, e posti a questa zuffa: qual ella sia, parole non ci appulcro"," Tutto l’oro che è e che fu sotto la Luna, sulla Terra, non potrebbe acquietare neppure una di queste anime sofferenti»"
" Or puoi, figliuol, veder la corta buffa d'i ben che son commessi a la fortuna, per che l'umana gente si rabuffa"," «O maestro mio» io dissi, «ora dimmi anche: che cos’è questa Fortuna, di cui tu mi parli, che ha i beni del mondo tra i suoi artigli?» E quello a me: «O creature sciocche, quanta ignoranza vi danneg-gia"
" ché tutto l'oro ch'è sotto la luna e che già fu, di quest'anime stanche non poterebbe farne posare una”", Ora voglio che tu assimili bene le mie parole
" “Maestro mio”, diss'io, “or mi dì anche: questa fortuna di che tu mi tocche, che è, che i ben del mondo ha sì tra branche?”"," Colui il cui sapere supera tutto (=Dio) creò i cieli e diede loro chi li conduce (=le intelligenze angeli-che), in modo che ogni cielo risplenda come tutti gli altri, poiché diffonde la stessa quantità di luce"
" E quelli a me: “Oh creature sciocche, quanta ignoranza è quella che v'offende"," Allo stesso modo per le ricchezze terrene dispose un’intelligenza generale e una guida, che a tempo debito trasferisse i beni vani di gente in gente e da una famiglia all’altra, al di là delle resistenze fatte dagli uomini"
 Or vo' che tu mia sentenza ne 'mbocche," Perciò una gente diventa ricca, un’altra diventa povera, in base al giudizio della Fortuna, che è nascosto, come il serpente tra l’erba"
" Colui lo cui saver tutto trascende, fece li cieli e diè lor chi conduce sì, ch'ogne parte ad ogne parte splende, distribuendo igualmente la luce"," Il vostro sapere non la può contrastare: essa provve-de, giudica e attua i suoi disegni, come fanno le al-tre intelligenze angeliche"
" Similemente a li splendor mondani ordinò general ministra e duce che permutasse a tempo li ben vani di gente in gente e d'uno in altro sangue, oltre la difension d'i senni umani", I suoi trasferimenti di ric-chezza non si fermano mai
" per ch'una gente impera e l'altra langue, seguendo lo giudicio di costei, che è occulto come in erba l'angue"," La necessità, cioè il vo-lere divino, la fa essere veloce"
" Vostro saver non ha contasto a lei: questa provede, giudica, e persegue suo regno come il loro li altri dèi", Così succede spesso che qualcuno muti condizione
 Le sue permutazion non hanno triegue: necessità la fa esser veloce, Questa è colei che è maltrattata anche da coloro che dovrebbero lodarla e che invece la biasimano a torto e la insultano
 sì spesso vien chi vicenda consegue, Ma lei è beata e non ode le imprecazioni: con le altre intelligenze angeliche fa girare con animo lieto la sua sfera e con i beati gode della visione di Dio
" Quest'è colei ch'è tanto posta in croce pur da color che le dovrien dar lode, dandole biasmo a torto e mala voce"," Ora discendiamo nel cerchio sottostante, ad un’angoscia maggiore"
 ma ella s'è beata e ciò non ode: con l'altre prime creature lieta volve sua spera e beata si gode, Ormai tramontano le stelle che sorgevano quando io mi mossi dal limbo
 Or discendiamo omai a maggior pieta, Non possiamo fermarci troppo a lungo
" già ogne stella cade che saliva quand'io mi mossi, e 'l troppo star si vieta”","» Il cerchio quinto: gli iracondi e gli acci-diosi Noi attraversammo il cerchio fino alla riva opposta, sopra una sorgente che bolle e si riversa in un fossa-to, l’Acherónte, che parte da essa"
 Noi ricidemmo il cerchio a l'altra riva sovr'una fonte che bolle e riversa per un fossato che da lei deriva," L’acqua era oscu-ra, piuttosto che nera, e noi, seguendo le sue onde torbide, scendemmo giù per una via malagevole"
 L'acqua era buia assai più che persa," Questo ruscello malsano sbocca nella palude chia-mata Stige, quando è disceso ai piedi di quel pendio maligno e grigio"
" e noi, in compagnia de l'onde bige, intrammo giù per una via diversa"," Io ero tutto proteso a guardare, co-sì vidi genti ricoperte di fango in quel pantano (=gli iracondi)"
" In la palude va c'ha nome Stige questo tristo ruscel, quand'è disceso al piè de le maligne piagge grige", Erano tutte nude e avevano l’aspetto sof-ferente
" E io, che di mirare stava inteso, vidi genti fangose in quel pantano, ignude tutte, con sembiante offeso"," Esse si colpivano non soltanto con le mani, ma anche con la testa, il petto e i piedi, strappandosi con i denti brandelli di carne"
" Queste si percotean non pur con mano, ma con la testa e col petto e coi piedi, troncandosi co' denti a brano a brano"," Il buon maestro disse: «O figlio, ora vedi le anime che furono vinte dall’ira"
" Lo buon maestro disse: “Figlio, or vedi l'anime di color cui vinse l'ira"," Voglio anche che tu creda per certo che sot-to l’acqua c’è gente (=gli accidiosi), che sospira e fa gorgogliare quest’acqua in superficie, come ti dice lo sguardo ovunque tu lo volgi"
" e anche vo' che tu per certo credi che sotto l'acqua è gente che sospira, e fanno pullular quest'acqua al summo, come l'occhio ti dice, u' che s'aggira"," Immersi nel fango, dicono: “Noi fummo tristi nell’aria dolce che il Sole rallegra, poiché portammo dentro l’animo il fumo dell’accidia e fummo indolenti e negligenti"
" Fitti nel limo dicon: ""Tristi fummo ne l'aere dolce che dal sol s'allegra, portando dentro accidïoso fummo: or ci attristiam ne la belletta negra""", Ora ci rattristiamo nella nera fanghiglia”
" Quest'inno si gorgoglian ne la strozza, ché dir nol posson con parola integra”"," Fanno gorgoglia-re questo lamento nella gola, poiché non lo possono dire con parole chiare»"
" Così girammo de la lorda pozza grand'arco, tra la ripa secca e 'l mézzo, con li occhi vòlti a chi del fango ingozza"," Così costeggiammo quella sozza palude facendo un grande arco tra l’argine roccioso e il pantano, con gli occhi rivolti a chi s’ingózza di fango"
 Venimmo al piè d'una torre al da sezzo, Alla fine venimmo ai piedi di una torre
,
"Io dico, seguitando, ch'assai prima che noi fossimo al piè de l'alta torre, li occhi nostri n'andar suso a la cima per due fiammette che i vedemmo porre, e un'altra da lungi render cenno, tanto ch'a pena il potea l'occhio tòrre","Flegiàs, il nocchiero dello Stige Io dico, proseguendo il racconto del viaggio, che molto prima che fossimo giunti ai piedi di una torre, assai alta, i nostri occhi andarono fino alla sua cima, perché vi vedemmo accendere due fiammelle, men-tre un’altra torre più lontana, che a fatica l’occhio poteva scorgere, rispondeva al segnale accendendo a sua volta una fiammella"
 E io mi volsi al mar di tutto 'l senno," Io mi rivolsi a Virgilio, il mare di saggezza, e dissi: «Che cosa dice questo segnale? E che cosa risponde quell’altro? E chi sono quelli che fanno questi se-gnali?» Ed egli a me: «Su per le acque sporche puoi già scorgere colui che stiamo aspettando, se il vapore del pantano non te lo nasconde alla vista»"
 dissi: “Questo che dice? e che risponde quell'altro foco? e chi son quei che 'l fenno?”," La corda di un arco non scoccò mai una freccia che fendesse l’aria in modo così veloce come fece una piccola barca che io vidi in quel momento venire per l’acqua verso di noi, governata da un solo barcaiolo, che gridava: «Finalmente sei arrivata, o anima malvagia"
" Ed elli a me: “Su per le sucide onde già scorgere puoi quello che s'aspetta, se 'l fummo del pantan nol ti nasconde”","» «O Flegiàs, o Flegiàs, tu gridi per niente questa vol-ta» disse il mio signore, «ci avrai con te soltanto per attraversare la palude di fango…» Come chi ascolta un grande inganno, che gli è stato fatto, e poi se ne rammarica, così si fece Flegiàs, frenando la sua rabbia di soddisfazione"
" Corda non pinse mai da sé saetta che sì corresse via per l'aere snella, com'io vidi una nave piccioletta venir per l'acqua verso noi in quella, sotto 'l governo d'un sol galeoto, che gridava: “Or se' giunta, anima fella", La mia gui-da discese nella barca e poi mi fece scendere accan-to a lei
”, Soltanto quando fui dentro essa appariva ca-rica
" “Flegïàs, Flegïàs, tu gridi a vòto”, disse lo mio segnore, “a questa volta: più non ci avrai che sol passando il loto”"," Non appena Virgilio ed io fummo saliti, l’antica barca ripartì fendendo l’acqua più di quanto non fosse solita fare con gli altri passeggeri"
" Qual è colui che grande inganno ascolta che li sia fatto, e poi se ne rammarca, fecesi Flegïàs ne l'ira accolta"," L’incontro-scontro con Filippo Argenti Mentre noi attraversavamo la palude stagnante, mi si mise davanti un dannato ricoperto di fango, che disse: «Chi sei tu, che vieni qui prima di esser morto?» Ed io a lui: «Se io vengo, non rimango"
" Lo duca mio discese ne la barca, e poi mi fece intrare appresso lui"," Ma chi sei tu, che sei così abbruttito dal fango?» Rispose: «Vedi che sono uno che soffre"
 e sol quand'io fui dentro parve carca,"» Ed io a lui: «Rimani pure con le tue lacrime e il tuo dolore, o spirito maledetto, perché io ti riconosco, anche se sei tutto sporco di fango"
